,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
11,富祥转债,123020,2019-03-29,富祥股份,300497,医药,122.61,2.26%,1.66%,23.48,4.54%,78,15.20%,18.05,4.82,30.10%,130.08,-5.70%,5.90年,3.90年,8.00%,10.40%,4.2,-0.21%,-0.82%,-0.34%,-3.91%,-4.11%,88.05,94.75,46.32,141.08,-13.10%,64%,<2%,16%,0.86,3.63,-1.46,AA-,4.30%,34
12,长城转债,113528,2019-03-20,长城科技,603897,机械装备制造,113.66,0.30%,-0.73%,25.95,-0.57%,12,1.70%,24.18,2.82,7.30%,107.32,5.90%,5.90年,3.90年,13.70%,14.70%,6.3,0.66%,0.12%,0.56%,-2.08%,-2.28%,87.07,90.95,30.97,121.91,-6.80%,57%,<2%,17%,0.75,1.68,-0.09,AA-,4.60%,24
13,今飞转债,128056,2019-03-22,今飞凯达,2863,汽车,114.17,3.23%,0.64%,7.74,4.88%,52,12.70%,6.8,3.09,13.80%,113.82,0.30%,5.90年,3.90年,12.60%,14.40%,3.7,1.10%,0.46%,0.97%,-2.12%,-2.33%,87.39,93.7,34,127.71,-10.60%,72%,<2%,17%,0.79,2.62,-0.8,A+,4.60%,34
14,中天转债,110051,2019-03-22,中天科技,600522,通信互联网,115.07,-0.08%,-0.05%,10.39,-0.19%,61,1.30%,10.29,1.69,1.00%,100.97,14.00%,5.90年,3.90年,12.40%,12.60%,39.7,-0.12%,-0.55%,-0.20%,-2.53%,-2.70%,87.53,89.46,25.15,114.61,0.40%,64%,18%,16%,0.68,0.38,0.98,AA+,4.30%,23
15,长青转2,128055,2019-04-03,长青股份,2391,石油天然气化工,125.82,2.82%,0.65%,15.05,3.94%,315,27.70%,11.41,1.66,31.90%,131.9,-4.60%,5.90年,3.90年,16.90%,22.30%,9.1,-1.47%,-1.92%,-1.56%,-4.62%,-4.80%,88.03,90.89,49.94,140.83,-10.70%,31%,<2%,16%,0.88,3.12,-1.04,AA,4.20%,39
16,中来转债,123019,2019-03-22,中来股份,300393,能源电力,112.115,-0.43%,-1.47%,21.13,-2.85%,25,2.20%,20.41,2.03,3.50%,103.53,8.30%,5.89年,3.89年,19.60%,20.30%,10,1.89%,1.17%,1.75%,-1.66%,-1.88%,86.74,95.15,27.14,122.29,-8.30%,48%,6%,18%,0.67,1.9,-0.43,AA-,4.80%,44
17,中宠转债,128054,2019-03-14,中宠股份,2891,农业,113.329,-0.15%,-0.45%,37,-0.83%,1.9,0.80%,37.97,5.05,-2.60%,97.45,16.30%,5.86年,3.86年,5.20%,5.10%,1.9,0.35%,-0.13%,0.25%,-2.14%,-2.33%,86.1,88.14,23.74,111.88,1.30%,49%,19%,16%,0.72,-0.21,1.66,A+,4.80%,11
18,尚荣转债,128053,2019-03-07,尚荣医疗,2551,医药,122.01,-0.29%,-0.53%,6.41,-0.93%,39,4.20%,4.94,1.96,29.80%,129.76,-6.00%,5.86年,3.86年,16.60%,21.50%,7.5,-0.98%,-1.43%,-1.07%,-3.97%,-4.14%,87.94,90.78,48.03,138.81,-12.10%,43%,<2%,16%,0.88,3.48,-1.32,AA,4.20%,50
19,维格转债,113527,2019-02-19,维格娜丝,603518,服装纺织,119.56,1.43%,0.89%,18.41,2.91%,25,2.80%,14.96,1.38,23.10%,123.06,-2.80%,5.80年,3.80年,22.40%,27.60%,7.5,0.17%,-0.44%,0.04%,-3.48%,-3.66%,87.84,94.45,41.37,135.82,-12.00%,39%,<2%,18%,0.8,3.22,-1.26,AA,4.40%,42
20,联泰转债,113526,2019-02-18,联泰环保,603797,城市公用设施,117.35,0.13%,-0.80%,14.52,-0.82%,2,0.40%,12.31,2.93,18.00%,117.95,-0.50%,5.80年,3.80年,12.60%,14.90%,3.9,-0.95%,-1.30%,-1.02%,-3.12%,-3.28%,87.56,87.08,41.66,128.74,-8.80%,50%,<2%,18%,0.82,2.52,-0.67,AA,4.40%,15
21,平银转债,127010,2019-02-18,平安银行,1,金融,125.451,1.71%,0.55%,13.86,3.13%,218,0.70%,11.77,1.08,17.80%,117.76,6.50%,5.79年,无权,10.90%,12.90%,260,-1.08%,-1.61%,-1.18%,无权,无权,无权,94.54,38.46,133,-5.70%,29%,<2%,16%,0.72,1.99,-0.4,AAA,4.00%,45
22,冰轮转债,127009,2019-02-21,冰轮环境,811,机械装备制造,146.502,1.56%,-0.83%,9.06,0.78%,31,4.20%,5.52,2.09,64.10%,164.13,-10.70%,5.77年,3.77年,8.60%,14.10%,5.1,-4.13%,-4.57%,-4.22%,-8.44%,-8.60%,88.63,91.67,80.59,172.25,-14.90%,44%,<2%,17%,0.94,4.47,-1.94,AA,4.10%,27
23,凯龙转债,128052,2019-01-21,凯龙股份,2783,石油天然气化工,158.5,3.59%,0.63%,13.27,4.41%,297,57.70%,6.97,3.04,90.40%,190.39,-16.70%,5.71年,3.71年,7.40%,14.20%,3.3,-5.49%,-5.92%,-5.57%,-10.00%,-10.20%,89.21,92.33,104.76,197.09,-19.60%,78%,<2%,17%,0.96,5.98,-2.9,AA,4.10%,31
24,溢利转债,123018,2019-01-23,溢多利,300381,医药,121.329,-0.81%,0.40%,10.72,-0.46%,5.5,0.70%,8.41,2.18,27.50%,127.47,-4.80%,5.71年,3.71年,15.30%,19.40%,6.7,-0.90%,-1.37%,-1.00%,-3.98%,-4.16%,88.24,90.96,46.33,137.29,-11.60%,77%,<2%,17%,0.87,3.25,-1.16,AA-,4.30%,31
25,佳都转债,110050,2019-01-21,佳都科技,600728,计算机及应用,139.44,-1.14%,-1.79%,12.38,-3.13%,92,7.50%,7.95,6.09,55.70%,155.72,-10.50%,5.70年,3.70年,4.40%,6.80%,8.8,-3.48%,-3.91%,-3.57%,-7.40%,-7.57%,88.89,91.15,71.81,162.96,-14.40%,71%,<2%,16%,0.94,4.33,-1.85,AA,4.10%,26
26,海尔转债,110049,2019-01-18,青岛海尔,600690,家电,129.77,0.11%,0.21%,18.24,0.39%,94,2.40%,14.55,3.16,25.40%,125.36,3.50%,5.70年,3.70年,2.60%,3.20%,30.1,-2.90%,-3.21%,-2.96%,-5.72%,-5.88%,89.03,88.3,46.01,134.31,-3.40%,32%,<2%,16%,0.82,1.56,0.15,AAA,4.00%,23
27,台华转债,113525,2019-01-11,台华新材,603055,服装纺织,118.5,0.69%,-0.15%,12.54,0.72%,18,2.90%,11.56,2.75,8.50%,108.48,9.20%,5.70年,3.70年,7.70%,8.40%,5.3,-0.49%,-0.96%,-0.58%,-3.40%,-3.58%,87.7,90.14,31.79,121.93,-2.80%,47%,13%,17%,0.75,0.95,0.56,AA,4.50%,6
28,奇精转债,113524,2019-01-07,奇精机械,603677,家电,112.97,-0.16%,-1.49%,15.51,-2.33%,5.5,1.50%,14.76,3.16,5.10%,105.08,7.50%,5.69年,3.69年,10.80%,11.40%,3.3,0.83%,0.26%,0.71%,-2.19%,-2.37%,87.46,92.09,28.03,120.12,-5.90%,60%,10%,18%,0.71,1.53,-0.04,AA,4.60%,47
29,光华转债,128051,2019-01-09,光华科技,2741,汽车,108.35,0.05%,-0.33%,15.64,-0.45%,6.6,2.40%,17.03,4.87,-8.20%,91.84,18.00%,5.69年,3.69年,4.30%,3.90%,2.5,1.23%,0.72%,1.13%,-0.99%,-1.20%,86.9,88.82,20.67,109.49,-1.00%,38%,17%,17%,0.63,0.21,1.06,AA-,4.90%,19
30,钧达转债,128050,2018-12-27,钧达股份,2865,汽车,111.898,0.63%,0.10%,23.1,1.05%,8.6,2.40%,21.74,3.25,6.30%,106.26,5.30%,5.68年,3.68年,11.40%,12.10%,3.2,1.88%,1.15%,1.73%,-1.80%,-2.02%,87.49,95.77,27.7,123.47,-9.40%,66%,<2%,18%,0.69,2.21,-0.65,AA-,4.80%,68
31,伟明转债,113523,2018-12-26,伟明环保,603568,城市公用设施,114.72,-0.31%,-0.74%,25.44,-1.40%,9.8,1.30%,23.92,6.37,6.40%,106.35,7.90%,5.68年,3.68年,3.80%,4.10%,6.7,0.09%,-0.39%,-0.01%,-2.59%,-2.77%,87.79,90.24,28.53,118.77,-3.40%,43%,12%,16%,0.75,1.07,0.46,AA,4.50%,27
32,福能转债,110048,2018-12-28,福能股份,600483,能源电力,124.89,0.01%,0.78%,10.1,1.00%,22,0.60%,8.69,1.43,16.20%,116.23,7.50%,5.67年,3.67年,18.10%,21.00%,28.3,-1.58%,-2.02%,-1.67%,-4.75%,-4.92%,88.73,90.84,36.13,126.98,-1.60%,29%,14%,16%,0.78,0.96,0.62,AA+,4.20%,10
33,华源转债,128049,2018-12-20,华源控股,2787,造纸包装印刷,120.555,1.09%,1.46%,9.58,3.01%,23,4.80%,7.57,2.2,26.60%,126.55,-4.70%,5.64年,3.64年,13.40%,17.00%,4,-0.74%,-1.23%,-0.84%,-3.83%,-4.02%,88.51,91.28,46.83,138.11,-12.70%,75%,<2%,18%,0.85,3.49,-1.38,AA-,4.40%,55
34,旭升转债,113522,2018-12-11,旭升股份,603305,汽车,116,0.53%,-0.42%,31.57,0.16%,8.8,1.80%,29.86,8.99,5.70%,105.73,9.70%,5.63年,3.63年,3.30%,3.50%,4.2,0.66%,0.04%,0.54%,-2.91%,-3.09%,87.73,93.94,25.66,119.6,-3.00%,63%,13%,16%,0.71,0.91,0.53,AA,4.60%,18
35,山鹰转债,110047,2018-12-10,山鹰纸业,600567,造纸包装印刷,127.5,3.19%,0.21%,4.28,4.14%,143,5.00%,3.34,1.52,28.10%,128.14,-0.50%,5.63年,3.63年,11.70%,15.00%,23,-1.32%,-1.87%,-1.43%,-5.31%,-5.49%,89.03,94.53,44.42,138.95,-8.20%,29%,<2%,16%,0.82,2.55,-0.69,AA+,4.20%,61
36,寒锐转债,123017,2018-12-24,寒锐钴业,300618,有色金属,126,1.62%,0.53%,100.91,2.45%,99,17.90%,81.49,10.84,23.80%,123.83,1.80%,5.62年,3.62年,2.30%,2.80%,4.4,-2.25%,-2.60%,-2.32%,-5.07%,-5.24%,88.44,88.06,44.72,132.78,-5.10%,77%,<2%,16%,0.88,1.7,0.13,AA-,4.30%,42
37,圆通转债,110046,2018-12-18,圆通速递,600233,交通运输,128.63,0.73%,-1.21%,14.1,-0.56%,180,3.80%,10.89,3.88,29.50%,129.48,-0.70%,5.62年,3.62年,9.20%,11.80%,36.5,-1.92%,-2.39%,-2.01%,-5.49%,-5.67%,89.38,92.4,46.49,138.89,-7.40%,61%,<2%,16%,0.85,2.37,-0.5,AA+,4.20%,34
38,桐昆转债,113020,2018-12-12,桐昆股份,601233,服装纺织,132.93,2.57%,3.46%,17.15,6.85%,335,6.70%,12.63,2.04,35.80%,135.79,-2.10%,5.62年,3.62年,12.20%,16.50%,38,-2.88%,-3.28%,-2.96%,-6.42%,-6.58%,89.02,90.5,53.5,144,-7.70%,48%,<2%,16%,0.88,2.53,-0.57,AA+,4.10%,24
39,特发转债,127008,2018-12-25,特发信息,70,通信互联网,187.826,1.53%,-1.72%,15.32,-0.20%,299,37.80%,6.78,4.52,126%,225.96,-16.90%,4.61年,2.61年,4.40%,9.90%,4.2,-10.10%,-10.50%,-10.20%,-13.10%,-13.10%,91.63,93.09,137.55,230.65,-18.60%,60%,<2%,17%,0.98,5.73,-2.71,AA,4.00%,40
40,科森转债,113521,2018-12-07,科森科技,603626,通信互联网,117.97,0.90%,-0.67%,10.53,0.29%,12,1.70%,8.95,2.5,17.70%,117.65,0.30%,5.61年,3.61年,13.90%,16.40%,6.1,-0.35%,-0.85%,-0.45%,-3.31%,-3.50%,88.5,91.22,39.36,130.58,-9.70%,64%,<2%,18%,0.79,2.62,-0.81,AA,4.40%,60
41,张行转债,128048,2018-11-29,张家港行,2839,金融,122.71,1.37%,-0.72%,7.17,0.84%,61,2.00%,6.06,1.45,18.30%,118.32,3.70%,5.60年,无权,19.30%,22.80%,25,-1.28%,-1.73%,-1.37%,无权,无权,无权,91.03,39.07,130.1,-5.70%,56%,<2%,18%,0.77,1.84,-0.19,AA+,4.20%,27
42,百合转债,113520,2018-11-26,梦百合,603313,其他,157.52,-0.88%,0.94%,31.82,0.06%,11,1.30%,19.03,4.45,67.20%,167.21,-5.80%,5.59年,3.59年,6.60%,11.10%,5.1,-5.46%,-5.92%,-5.56%,-10.20%,-10.40%,89.48,92.66,82.51,175.17,-10.10%,41%,<2%,16%,0.94,3.17,-0.97,AA-,4.10%,16
43,洲明转债,123016,2018-12-03,洲明科技,300232,电子,154.88,2.13%,-0.32%,15.44,1.91%,3.5,0.40%,9.45,5.58,63.40%,163.39,-5.20%,5.59年,3.59年,4.70%,7.60%,5.5,-5.17%,-5.62%,-5.26%,-10.10%,-10.30%,89.74,92.78,77.99,170.78,-9.30%,69%,<2%,16%,0.94,2.97,-0.81,AA-,4.10%,13
44,长久转债,113519,2018-11-30,长久物流,603569,交通运输,122.7,-1.02%,-1.01%,14.71,-2.52%,16,1.90%,11.99,3.67,22.70%,122.69,0.00%,5.59年,3.59年,8.50%,10.40%,7,-0.31%,-0.94%,-0.44%,-4.33%,-4.52%,88.77,95.34,39.02,134.35,-8.70%,53%,<2%,17%,0.81,2.42,-0.61,AA,4.40%,21
45,光电转债,128047,2018-12-07,中航光电,2179,机械装备制造,120,0.11%,-0.82%,40.66,-1.02%,12,0.70%,40.26,5.56,1.00%,100.99,18.80%,5.58年,3.58年,4.00%,4.10%,13,-1.57%,-1.89%,-1.64%,-3.90%,-4.06%,88.46,87.27,26.3,113.58,5.70%,34%,25%,16%,0.69,-0.59,2,AA+,4.30%,10
46,利尔转债,128046,2018-11-09,利尔化学,2258,石油天然气化工,118.3,4.44%,0.69%,18.11,7.54%,41,4.10%,18.62,3.21,-2.70%,97.26,21.60%,5.53年,3.53年,9.00%,8.70%,8.5,-0.79%,-1.22%,-0.88%,-3.51%,-3.69%,87.93,88.61,22.49,111.09,6.50%,61%,26%,16%,0.68,-0.95,2.38,AA,4.60%,13
47,顾家转债,113518,2018-10-09,顾家家居,603816,其他,124.55,-1.47%,-1.81%,57.95,-4.21%,13,0.90%,52.2,5.85,11.00%,111.02,12.20%,5.43年,3.43年,4.40%,4.90%,11,-1.44%,-1.92%,-1.53%,-4.98%,-5.16%,88.9,91.46,31.13,122.59,1.60%,39%,20%,16%,0.78,0.13,1.43,AA,4.40%,6
48,机电转债,128045,2018-09-14,中航机电,2013,航空航天,122,0.41%,-0.93%,8.44,-0.71%,3.7,0.10%,7.66,3.43,10.20%,110.18,10.70%,5.39年,3.39年,6.90%,7.60%,21,-1.93%,-2.27%,-2.00%,-4.55%,-4.73%,90.12,89.38,32.01,121.39,0.50%,57%,18%,16%,0.73,0.64,0.83,AAA,4.00%,11
49,岭南转债,128044,2018-09-04,岭南股份,2717,城市公用设施,116.502,1.09%,2.06%,9.97,3.96%,49,6.40%,8.96,2.33,11.30%,111.27,4.70%,5.36年,3.36年,6.50%,7.20%,6.6,-0.73%,-1.14%,-0.81%,-3.30%,-3.49%,89.13,89.38,32.75,122.13,-4.60%,67%,<2%,16%,0.8,1.47,0.18,AA,4.40%,26
50,蓝盾转债,123015,2018-09-13,蓝盾股份,300297,计算机及应用,132.03,-1.18%,0.04%,7.72,-1.28%,19,7.30%,5.82,2.17,32.60%,132.65,-0.50%,5.35年,3.35年,2.10%,2.80%,2,-2.87%,-3.30%,-2.95%,-6.67%,-6.85%,89.87,91.2,49.94,141.15,-6.50%,37%,<2%,16%,0.89,2.14,-0.23,AA,4.20%,44
51,曙光转债,113517,2018-08-23,中科曙光,603019,计算机及应用,130.99,0.76%,0.91%,65.3,1.92%,48,3.30%,51.28,11.49,27.30%,127.34,2.90%,5.33年,3.33年,2.70%,3.40%,11.2,-2.73%,-3.16%,-2.82%,-6.49%,-6.68%,89.84,91.12,45.29,136.41,-4.00%,60%,<2%,16%,0.87,1.5,0.29,AA,4.30%,6
52,东音转债,128043,2018-08-27,东音股份,2793,机械装备制造,116.72,-0.05%,-1.57%,12.91,-2.05%,11,3.50%,11.43,3.05,12.90%,112.95,3.30%,5.32年,3.32年,10.40%,11.80%,2.7,-0.20%,-0.72%,-0.30%,-3.33%,-3.53%,89.13,91.71,33.7,125.41,-6.90%,69%,<2%,17%,0.79,1.89,-0.2,AA-,4.50%,34
53,苏农转债,113516,2018-08-20,苏农银行,603323,金融,127.91,1.72%,1.31%,7.96,3.78%,72,4.40%,6.34,1.29,25.60%,125.55,1.90%,5.32年,无权,9.90%,12.40%,12.9,-1.92%,-2.43%,-2.02%,无权,无权,无权,93.33,43.32,136.64,-6.40%,49%,<2%,18%,0.8,2.09,-0.35,AA+,4.20%,29
54,凯发转债,123014,2018-08-21,凯发电气,300407,能源电力,122.59,-0.30%,-0.55%,9.82,-1.01%,5.8,1.50%,8.15,2.77,20.50%,120.49,1.70%,4.31年,2.31年,11.40%,13.80%,3.2,-2.62%,-3.02%,-2.70%,-7.11%,-7.27%,91.84,90.98,38.35,129.32,-5.20%,64%,<2%,18%,0.84,1.66,0.1,A+,4.50%,18
55,凯中转债,128042,2018-09-03,凯中精密,2823,能源电力,111.02,-0.55%,0.75%,13.24,0.30%,15,3.20%,13.25,2.94,-0.10%,99.92,11.10%,5.31年,3.31年,10.80%,10.80%,4.2,1.06%,0.48%,0.94%,-1.93%,-2.14%,88.66,92.42,22.77,115.19,-3.60%,67%,13%,17%,0.66,1.01,0.34,AA,4.70%,48
56,横河转债,123013,2018-08-20,横河模具,300539,机械装备制造,128,-1.58%,1.36%,11.89,-0.25%,19,34.40%,9.26,6.48,28.40%,128.4,-0.30%,5.30年,3.30年,1.70%,2.20%,0.4,-1.80%,-2.33%,-1.91%,-5.70%,-5.93%,90.36,93.3,46.23,139.53,-8.30%,77%,<2%,17%,0.87,2.37,-0.46,A+,4.40%,24
57,高能转债,113515,2018-08-27,高能环境,603588,城市公用设施,125,4.34%,0.78%,11.39,6.05%,23,2.30%,9.38,3.08,21.40%,121.43,2.90%,5.30年,3.30年,11.20%,13.60%,8.4,-1.87%,-2.31%,-1.96%,-5.26%,-5.46%,89.8,91,40.1,131.1,-4.70%,67%,<2%,16%,0.85,1.61,0.15,AA,4.30%,31
58,万顺转债,123012,2018-08-29,万顺股份,300057,造纸包装印刷,127.64,-0.36%,-1.29%,8.2,-1.91%,7.8,2.00%,6.47,1.35,26.70%,126.74,0.70%,5.29年,3.29年,6.90%,8.80%,3,-2.61%,-2.98%,-2.68%,-5.87%,-6.06%,89.77,89.32,47.27,136.6,-6.60%,44%,<2%,18%,0.86,2.02,-0.17,AA-,4.30%,29
59,威帝转债,113514,2018-08-13,威帝股份,603023,汽车,112.28,0.63%,-0.63%,6.27,0.00%,9.5,4.30%,5.92,4.01,5.90%,105.91,6.00%,4.29年,2.29年,8.90%,9.40%,2,-0.16%,-0.65%,-0.26%,-3.76%,-3.93%,91.22,91.5,26.22,117.72,-4.60%,70%,11%,18%,0.74,1.28,0.24,A+,4.80%,45
60,德尔转债,123011,2018-08-14,德尔股份,300473,汽车,116.7,0.04%,-0.22%,39.25,-0.23%,8.5,1.30%,34.96,2.26,12.30%,112.27,3.90%,5.28年,2.79年,13.50%,15.10%,5.6,0.15%,-0.44%,0.03%,-4.08%,-4.29%,90.67,93.39,31.48,124.87,-6.50%,44%,<2%,17%,0.77,1.78,-0.13,AA-,4.60%,42
61,盛路转债!,128041,2018-08-14,盛路通信,2446,通信互联网,162,-0.12%,-0.59%,11.19,-0.71%,33,12.80%,6.88,3.02,62.60%,162.65,-0.40%,5.28年,3.28年,1.60%,2.60%,1.6,-6.32%,-6.79%,-6.41%,-11.90%,-12.00%,91.01,94.32,68.32,162.65,-0.40%,52%,<2%,16%,1,1.08,0.92,AA,4.00%,19
62,海澜转债,110045,2018-07-31,海澜之家,600398,服装纺织,107.06,0.06%,0.34%,10.1,0.90%,20,0.60%,12.4,3.66,-18.50%,81.45,31.40%,5.27年,3.27年,6.60%,5.40%,30,0.86%,0.44%,0.77%,-1.18%,-1.34%,88.32,88.79,11.6,100.39,6.60%,30%,26%,16%,0.44,-1.03,1.96,AA+,4.60%,35
63,安井转债,113513,2018-07-31,安井食品,603345,食品饮料,121,-1.53%,-1.78%,41.7,-3.94%,15,2.50%,35.46,4.93,17.60%,117.6,2.90%,5.27年,3.27年,5.60%,6.50%,5,-1.30%,-1.74%,-1.38%,-4.46%,-4.65%,89.49,90.55,37.08,127.63,-5.20%,51%,<2%,16%,0.84,1.64,0.12,AA-,4.40%,15
64,景旺转债!,113512,2018-07-24,景旺电子,603228,电子,130.4,1.75%,0.23%,65.47,1.98%,44,5.40%,49.85,6.93,31.30%,131.33,-0.70%,5.25年,3.25年,2.30%,3.00%,6.2,-2.69%,-3.13%,-2.78%,-6.52%,-6.71%,90.92,92.61,38.72,131.33,-0.70%,38%,<2%,16%,1,1.15,0.86,AA,4.00%,10
65,博世转债,123010,2018-08-14,博世科,300422,城市公用设施,113.222,0.82%,-0.59%,12.43,0.40%,5.3,1.10%,14.3,3.34,-13.10%,86.92,30.30%,5.25年,3.25年,9.70%,8.50%,4.3,0.01%,-0.45%,-0.08%,-2.54%,-2.75%,87.77,87.78,16.41,104.19,8.70%,68%,30%,17%,0.56,-1.53,2.79,AA-,5.10%,34
66,湖广转债,127007,2018-08-01,湖北广电,665,传媒娱乐,125.801,0.12%,-0.62%,9.62,-0.62%,21,1.20%,7.92,1.02,21.50%,121.46,3.60%,5.23年,3.23年,21.00%,25.50%,13.7,-1.97%,-2.43%,-2.06%,-5.49%,-5.70%,90.71,92.08,40,132.08,-4.80%,33%,<2%,17%,0.8,1.72,-0.03,AA+,4.20%,34
67,广电转债,110044,2018-07-24,广电网络,600831,传媒娱乐,169.95,-0.10%,1.07%,11.8,1.03%,147,47.70%,6.91,2.24,70.80%,170.77,-0.50%,5.22年,3.22年,2.20%,3.80%,1.8,-7.60%,-8.00%,-7.68%,-13.30%,-13.40%,90.69,92.22,85.53,177.75,-4.40%,42%,<2%,17%,0.95,1.83,0.14,AA,4.10%,10
68,千禾转债,113511,2018-07-10,千禾味业,603027,食品饮料,113.08,-0.02%,0.04%,23.72,0.04%,3.8,0.90%,25.85,6.06,-8.20%,91.76,23.20%,5.20年,3.20年,4.60%,4.20%,3.6,0.00%,-0.45%,-0.09%,-2.59%,-2.78%,88.25,88.51,18.47,106.98,5.70%,57%,26%,16%,0.63,-0.99,2.32,AA-,4.90%,37
69,再升转债,113510,2018-07-13,再升科技,603601,城市公用设施,107.56,0.27%,-0.41%,9.55,-0.31%,2.7,2.20%,11.32,4.11,-15.60%,84.36,27.50%,5.20年,1.20年,2.20%,1.90%,1.1,1.02%,0.55%,0.93%,-4.39%,-4.54%,94.13,86.59,16.39,102.98,4.40%,66%,25%,17%,0.43,-0.7,1.58,AA-,5.40%,29
70,华通转债,128040,2018-07-13,华通医药,2758,医药,113.899,3.29%,2.41%,12.66,7.38%,30,12.10%,11.45,4.14,10.60%,110.57,3.00%,5.19年,3.19年,8.40%,9.30%,2.2,-0.10%,-0.57%,-0.20%,-2.76%,-2.97%,89.5,90.3,32.78,123.08,-7.50%,76%,<2%,18%,0.77,2.01,-0.33,AA-,4.60%,48
