,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
39,凯龙转债,128052,2019-01-21,凯龙股份,2783,石油天然气化工,193,3.21%,-7.17%,16.58,-4.05%,487,77.10%,6.97,1.6,138%,237.88,-18.90%,5.65年,3.65年,6.00%,14.20%,3.3,-8.82%,-9.24%,-8.91%,-14.30%,-14.50%,89.54,92.73,150.12,242.85,-20.50%,79%,<2%,17%,0.98,6.36,-3.1,AA,4.00%,37
40,溢利转债,123018,2019-01-23,溢多利,300381,医药,110,-1.96%,0.05%,9.74,-2.31%,5.9,0.80%,8.41,1.68,15.80%,115.81,-5.00%,5.65年,3.65年,16.80%,19.40%,6.7,0.85%,0.36%,0.75%,-1.52%,-1.71%,88.13,90.69,35.15,125.84,-12.60%,77%,<2%,17%,0.83,3.35,-1.3,AA-,4.40%,37
41,佳都转债,110050,2019-01-21,佳都科技,600728,计算机及应用,126.51,-0.44%,0.53%,10.68,0.09%,20,1.80%,7.95,3.72,34.30%,134.34,-5.80%,5.65年,3.65年,5.10%,6.80%,8.8,-1.81%,-2.25%,-1.90%,-5.10%,-5.27%,88.87,91.01,50.39,141.4,-10.50%,70%,<2%,16%,0.9,3.16,-1.04,AA,4.20%,27
42,海尔转债,110049,2019-01-18,青岛海尔,600690,家电,117.99,-1.74%,0.51%,16.75,-1.59%,43,1.20%,14.55,2.52,15.10%,115.12,2.50%,5.64年,3.64年,2.80%,3.20%,30.1,-1.25%,-1.58%,-1.32%,-3.40%,-3.57%,89.23,88.49,35.27,123.76,-4.70%,32%,<2%,16%,0.77,1.82,-0.17,AAA,4.00%,22
43,台华转债,113525,2019-01-11,台华新材,603055,服装纺织,107,-0.34%,-1.57%,11.32,-2.83%,14,2.40%,11.56,2.53,-2.10%,97.92,9.30%,5.64年,3.64年,8.50%,8.40%,5.3,1.36%,0.86%,1.26%,-0.80%,-0.99%,87.46,89.67,21.83,111.5,-4.00%,46%,10%,17%,0.68,1.09,0.3,AA,4.60%,7
44,奇精转债,113524,2019-01-07,奇精机械,603677,家电,106.14,-0.51%,2.92%,15.71,3.36%,5.8,1.70%,14.76,3,6.40%,106.44,-0.30%,5.63年,3.63年,10.70%,11.40%,3.3,1.98%,1.40%,1.86%,-0.59%,-0.78%,87.75,92.43,27.38,119.81,-11.40%,60%,<2%,18%,0.72,2.88,-1.14,AA,4.60%,51
45,光华转债,128051,2019-01-09,光华科技,2741,汽车,100,-1.77%,-0.29%,14.12,-3.88%,3.5,1.40%,17.03,5.28,-17.10%,82.91,20.60%,5.63年,3.63年,4.70%,3.90%,2.5,2.73%,2.20%,2.62%,1.13%,0.91%,86.33,87.86,13.33,101.19,-1.20%,37%,16%,17%,0.53,0.13,0.93,AA-,5.20%,25
46,钧达转债,128050,2018-12-27,钧达股份,2865,汽车,102.2,-2.07%,-2.63%,20,-8.30%,18,5.50%,21.74,3.06,-8.00%,92,11.10%,5.62年,3.62年,13.10%,12.10%,3.2,3.59%,2.84%,3.44%,0.58%,0.35%,86.75,94.47,16.64,111.11,-8.00%,65%,<2%,18%,0.57,1.69,-0.43,AA-,5.10%,73
47,伟明转债,113523,2018-12-26,伟明环保,603568,城市公用设施,114.2,0.03%,1.79%,28.01,2.19%,13,1.70%,23.92,5.22,17.10%,117.1,-2.50%,5.62年,3.62年,3.50%,4.10%,6.7,0.17%,-0.31%,0.08%,-2.51%,-2.70%,88.49,91.2,35.13,126.33,-9.60%,43%,<2%,16%,0.83,2.69,-0.79,AA,4.30%,24
48,福能转债,110048,2018-12-28,福能股份,600483,能源电力,109.5,-2.79%,-1.10%,9.05,-5.53%,169,5.40%,8.69,1.2,4.10%,104.14,5.10%,5.61年,3.61年,20.20%,21.00%,28.3,0.78%,0.32%,0.69%,-1.42%,-1.61%,88.67,90.66,25.14,115.8,-5.40%,29%,<2%,16%,0.7,1.67,-0.17,AA+,4.30%,10
49,华源转债,128049,2018-12-20,华源控股,2787,造纸包装印刷,108.001,-0.37%,-0.28%,8.09,-0.86%,5.8,1.30%,7.57,1.74,6.90%,106.87,1.10%,5.59年,3.59年,15.90%,17.00%,4,1.27%,0.75%,1.16%,-1.00%,-1.21%,87.98,90.37,29.08,119.45,-9.60%,75%,<2%,18%,0.75,2.4,-0.7,AA-,4.60%,55
50,旭升转债,113522,2018-12-11,旭升股份,603305,汽车,104.68,-1.24%,0.06%,26.97,-2.11%,7,1.60%,29.86,8.5,-9.70%,90.32,15.90%,5.57年,3.57年,3.90%,3.50%,4.2,2.57%,1.93%,2.44%,-0.23%,-0.42%,86.99,92.66,14.48,107.14,-2.30%,63%,14%,16%,0.56,0.53,0.6,AA,4.90%,21
51,山鹰转债,110047,2018-12-10,山鹰纸业,600567,造纸包装印刷,109.41,-0.33%,-0.06%,3.7,-0.54%,85,3.40%,3.34,1.15,10.80%,110.78,-1.20%,5.57年,3.57年,13.60%,15.00%,23,1.47%,0.88%,1.35%,-1.40%,-1.60%,88.93,94.26,27.95,122.21,-10.50%,29%,<2%,16%,0.72,2.95,-1.18,AA+,4.30%,67
52,寒锐转债,123017,2018-12-24,寒锐钴业,300618,有色金属,105.713,-2.12%,0.26%,78.17,-2.63%,5.7,1.20%,81.49,8.75,-4.10%,95.93,10.20%,5.57年,3.57年,2.90%,2.80%,4.4,0.91%,0.54%,0.84%,-0.54%,-0.73%,87.29,86.28,21.49,107.77,-1.90%,77%,15%,16%,0.71,0.62,0.8,AA-,4.70%,39
53,圆通转债,110046,2018-12-18,圆通速递,600233,交通运输,118,-1.66%,-1.19%,13.25,-3.50%,47,1.10%,10.89,2.75,21.70%,121.67,-3.00%,5.57年,3.57年,9.70%,11.80%,36.5,-0.38%,-0.87%,-0.47%,-3.34%,-3.53%,89.49,92.46,38.17,130.63,-9.70%,60%,<2%,16%,0.82,2.91,-0.99,AA+,4.20%,36
54,桐昆转债,113020,2018-12-12,桐昆股份,601233,服装纺织,119.99,-1.53%,0.89%,15.79,-0.75%,91,2.00%,12.63,1.5,25.00%,125.02,-4.00%,5.57年,3.57年,13.20%,16.50%,38,-1.07%,-1.49%,-1.16%,-3.89%,-4.06%,89.13,90.56,42.25,132.81,-9.70%,48%,<2%,16%,0.85,2.94,-0.95,AA+,4.20%,33
55,特发转债,127008,2018-12-25,特发信息,70,通信互联网,199.8,-1.09%,-6.38%,15.6,-7.58%,593,70.60%,6.78,1.9,130%,230.09,-13.20%,4.56年,2.56年,4.30%,9.90%,4.2,-11.30%,-11.70%,-11.40%,-14.50%,-14.50%,91.87,93.36,139.98,233.33,-14.40%,60%,<2%,17%,0.98,4.49,-1.87,AA,4.00%,48
56,科森转债,113521,2018-12-07,科森科技,603626,通信互联网,107.42,-0.47%,0.17%,9.71,-0.41%,27,4.20%,8.95,2.12,8.50%,108.49,-1.00%,5.56年,3.56年,15.10%,16.40%,6.1,1.37%,0.86%,1.27%,-0.87%,-1.07%,88.44,91.02,29.86,120.87,-11.10%,63%,<2%,18%,0.75,2.91,-1.12,AA,4.50%,66
57,张行转债,128048,2018-11-29,张家港行,2839,金融,110,-1.35%,0.07%,6.53,-1.80%,71,2.60%,6.06,1.22,7.80%,107.76,2.10%,5.55年,无权,21.20%,22.80%,25,0.71%,0.24%,0.61%,无权,无权,无权,90.94,29.13,120.08,-8.40%,56%,<2%,18%,0.71,2.41,-0.78,AA+,4.30%,33
58,百合转债,113520,2018-11-26,梦百合,603313,其他,130.4,0.15%,-1.27%,25.44,-1.24%,3.5,0.50%,19.03,2.66,33.70%,133.68,-2.50%,5.54年,3.54年,8.30%,11.10%,5.1,-2.18%,-2.66%,-2.28%,-5.98%,-6.17%,89.35,92.37,48.94,141.3,-7.70%,42%,<2%,16%,0.9,2.4,-0.42,AA-,4.20%,18
59,洲明转债,123016,2018-12-03,洲明科技,300232,电子,129,-1.62%,-0.06%,12.74,-1.85%,9.6,1.40%,9.45,3.42,34.80%,134.81,-4.30%,5.53年,3.53年,5.70%,7.60%,5.5,-1.97%,-2.46%,-2.07%,-5.65%,-5.85%,89.63,92.51,49.91,142.42,-9.40%,69%,<2%,16%,0.9,2.84,-0.77,AA-,4.20%,18
60,长久转债,113519,2018-11-30,长久物流,603569,交通运输,109.2,-0.84%,1.74%,13.28,1.22%,7.3,1.00%,11.99,2.77,10.80%,110.76,-1.40%,5.53年,3.53年,9.40%,10.40%,7,1.85%,1.19%,1.72%,-1.30%,-1.51%,88.56,94.9,28.39,123.29,-11.40%,52%,<2%,17%,0.74,2.96,-1.16,AA,4.50%,21
61,光电转债,128047,2018-12-07,中航光电,2179,机械装备制造,112.8,2.54%,1.75%,42.51,5.83%,80,5.50%,40.26,5.51,5.60%,105.59,6.80%,5.53年,3.53年,3.90%,4.10%,13,-0.46%,-0.79%,-0.53%,-2.32%,-2.50%,88.82,87.69,27.92,115.61,-2.40%,34%,16%,16%,0.74,1.11,0.4,AA+,4.30%,7
62,利尔转债,128046,2018-11-09,利尔化学,2258,石油天然气化工,103.549,-1.02%,0.31%,14.88,-1.52%,10,1.10%,18.62,3.34,-20.10%,79.91,29.60%,5.47年,3.47年,10.90%,8.70%,8.5,1.69%,1.24%,1.60%,0.07%,-0.14%,86.86,86.91,10.89,97.8,5.90%,41%,25%,16%,0.47,-1.05,2.04,AA,5.10%,12
63,顾家转债,113518,2018-10-09,顾家家居,603816,其他,107.71,-0.27%,0.45%,50.5,0.28%,6.2,0.50%,52.2,4.77,-3.30%,96.74,11.30%,5.38年,3.38年,5.10%,4.90%,11,1.30%,0.78%,1.20%,-1.05%,-1.25%,88.44,90.64,19.47,110.11,-2.20%,39%,15%,16%,0.66,0.68,0.66,AA,4.70%,9
64,机电转债,128045,2018-09-14,中航机电,2013,航空航天,110.677,-0.11%,-0.05%,7.47,-0.27%,21,0.90%,7.66,3.12,-2.50%,97.52,13.50%,5.34年,3.34年,7.80%,7.60%,21,-0.12%,-0.46%,-0.19%,-1.91%,-2.10%,90.32,89.57,20.55,110.12,0.50%,55%,18%,16%,0.61,0.54,0.69,AAA,4.00%,13
65,岭南转债,128044,2018-09-04,岭南股份,2717,城市公用设施,103.86,-0.16%,-1.07%,8.66,-1.81%,17,2.50%,8.96,2.09,-3.30%,96.65,7.50%,5.30年,3.30年,7.40%,7.20%,6.6,1.48%,1.05%,1.39%,-0.07%,-0.28%,88.65,88.55,20.34,108.89,-4.60%,66%,9%,16%,0.68,1.29,0.12,AA,4.60%,39
66,蓝盾转债!,123015,2018-09-13,蓝盾股份,300297,计算机及应用,126.201,-1.25%,2.07%,7.35,0.82%,12,9.00%,5.82,1.64,26.30%,126.29,-0.10%,5.30年,3.30年,1.10%,1.40%,1,-2.05%,-2.49%,-2.14%,-5.54%,-5.73%,90.75,92.44,33.85,126.29,-0.10%,37%,67%,16%,1,1.01,0.99,AA,4.00%,31
67,曙光转债,113517,2018-08-23,中科曙光,603019,计算机及应用,118.41,-1.07%,2.84%,42.88,2.12%,50,3.80%,36.53,6.34,17.40%,117.38,0.90%,5.28年,3.28年,2.90%,3.40%,11.2,-0.85%,-1.30%,-0.94%,-3.79%,-3.99%,89.83,90.99,35.21,126.2,-6.20%,64%,10%,16%,0.83,1.92,-0.14,AA,4.30%,4
68,东音转债,128043,2018-08-27,东音股份,2793,机械装备制造,195.9,14.00%,-5.14%,14.89,9.97%,387,76.20%,11.13,2.63,33.80%,133.78,46.40%,5.27年,3.27年,9.00%,12.10%,2.7,-9.70%,-10.10%,-9.78%,-16.30%,-16.50%,90.08,93.08,48.65,141.73,38.20%,69%,69%,17%,0.89,-5.06,8.83,AA-,4.30%,39
69,苏农转债,113516,2018-08-20,苏农银行,603323,金融,114.4,-2.36%,1.96%,7.11,-0.56%,13,0.90%,6.34,1.03,12.10%,112.15,2.00%,5.27年,无权,11.10%,12.40%,12.9,0.20%,-0.33%,0.10%,无权,无权,无权,93.21,30.99,124.19,-7.90%,48%,<2%,18%,0.73,2.33,-0.67,AA+,4.30%,28
70,凯发转债,123014,2018-08-21,凯发电气,300407,能源电力,106.9,-2.26%,0.99%,8.26,-1.78%,1.3,0.40%,8.15,2.3,1.30%,101.35,5.50%,4.25年,2.25年,13.60%,13.80%,3.2,0.58%,0.16%,0.49%,-1.83%,-2.01%,91.24,89.78,22.54,112.31,-4.80%,64%,13%,18%,0.71,1.28,0.2,A+,4.90%,19
