,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
33,钧达转债,128050,2018-12-27,钧达股份,2865,汽车,109.566,1.11%,1.11%,22.36,3.33%,4.5,1.30%,21.74,3.15,2.90%,102.85,6.50%,5.66年,3.66年,11.80%,12.10%,3.2,2.27%,1.54%,2.13%,-1.26%,-1.48%,87.42,95.6,23.32,118.92,-7.90%,66%,9%,18%,0.67,1.8,-0.34,AA-,4.80%,73
34,伟明转债,113523,2018-12-26,伟明环保,603568,城市公用设施,119,0.41%,-1.73%,27.83,-1.59%,16,2.00%,23.92,6.57,16.30%,116.35,2.30%,5.66年,3.66年,3.50%,4.10%,6.7,-0.57%,-1.04%,-0.66%,-3.54%,-3.72%,88.36,91.05,34.64,125.69,-5.30%,43%,<2%,16%,0.83,1.65,0.08,AA,4.30%,25
35,福能转债,110048,2018-12-28,福能股份,600483,能源电力,121.2,0.62%,1.22%,10.39,2.26%,109,3.20%,8.69,1.48,19.60%,119.56,1.40%,5.65年,3.65年,17.60%,21.00%,28.3,-1.05%,-1.50%,-1.14%,-4.02%,-4.20%,88.9,91.07,37.3,128.37,-5.60%,29%,<2%,16%,0.81,1.9,-0.16,AA+,4.20%,11
36,华源转债,128049,2018-12-20,华源控股,2787,造纸包装印刷,116.17,-2.63%,-2.28%,8.93,-6.00%,13,2.70%,7.57,2.05,18.00%,117.97,-1.50%,5.62年,3.62年,14.40%,17.00%,4,-0.07%,-0.57%,-0.17%,-2.90%,-3.10%,88.37,91.03,37.61,128.65,-9.70%,75%,<2%,18%,0.82,2.6,-0.73,AA-,4.50%,64
37,旭升转债,113522,2018-12-11,旭升股份,603305,汽车,114.68,0.31%,-1.55%,30.72,-1.79%,1.4,0.30%,29.86,8.75,2.90%,102.88,11.50%,5.61年,3.61年,3.40%,3.50%,4.2,0.87%,0.24%,0.75%,-2.63%,-2.82%,87.7,93.84,22.15,115.99,-1.10%,63%,13%,16%,0.69,0.49,0.89,AA,4.60%,20
38,山鹰转债,110047,2018-12-10,山鹰纸业,600567,造纸包装印刷,123.28,-0.09%,0.29%,4.17,0.24%,44,1.60%,3.34,1.49,24.90%,124.85,-1.30%,5.60年,3.60年,12.00%,15.00%,23,-0.72%,-1.28%,-0.83%,-4.49%,-4.67%,89.11,94.6,39.23,133.83,-7.90%,29%,<2%,16%,0.82,2.46,-0.63,AA+,4.20%,63
39,寒锐转债,123017,2018-12-24,寒锐钴业,300618,有色金属,116.71,-0.93%,0.39%,91.19,-0.64%,15,2.90%,81.49,9.79,11.90%,111.9,4.30%,5.60年,3.60年,2.50%,2.80%,4.4,-0.89%,-1.25%,-0.96%,-3.14%,-3.31%,88.16,87.62,33.24,120.86,-3.40%,77%,12%,16%,0.83,1.18,0.52,AA-,4.40%,45
40,圆通转债,110046,2018-12-18,圆通速递,600233,交通运输,123.88,-0.51%,0.32%,13.75,-0.22%,121,2.70%,10.89,3.78,26.30%,126.26,-1.90%,5.60年,3.60年,9.40%,11.80%,36.5,-1.25%,-1.74%,-1.35%,-4.56%,-4.75%,89.45,92.46,42.24,134.7,-8.00%,61%,<2%,16%,0.84,2.53,-0.64,AA+,4.20%,38
41,桐昆转债,113020,2018-12-12,桐昆股份,601233,服装纺织,127.71,-1.01%,0.85%,16.87,-0.18%,48,1.00%,12.63,2.01,33.60%,133.57,-4.40%,5.60年,3.60年,12.40%,16.50%,38,-2.18%,-2.59%,-2.26%,-5.45%,-5.61%,89.11,90.59,49.84,140.44,-9.10%,48%,<2%,16%,0.88,2.87,-0.84,AA+,4.10%,28
42,特发转债,127008,2018-12-25,特发信息,70,通信互联网,181.311,0.07%,0.90%,14.22,0.99%,82,10.70%,6.78,4.2,110%,209.73,-13.60%,4.59年,2.59年,4.70%,9.90%,4.2,-10.20%,-10.50%,-10.20%,-12.60%,-12.70%,91.74,93.21,119.86,213.07,-14.90%,60%,<2%,17%,0.98,4.63,-1.98,AA,4.00%,42
43,科森转债,113521,2018-12-07,科森科技,603626,通信互联网,115,0.97%,-0.97%,10.18,0.00%,14,2.00%,8.95,2.42,13.70%,113.74,1.10%,5.59年,3.59年,14.40%,16.40%,6.1,0.11%,-0.39%,0.01%,-2.66%,-2.86%,88.57,91.27,33.95,125.21,-8.20%,63%,<2%,18%,0.79,2.24,-0.5,AA,4.40%,63
44,张行转债,128048,2018-11-29,张家港行,2839,金融,118.4,-0.42%,-0.12%,6.87,-0.72%,35,1.20%,6.06,1.39,13.40%,113.37,4.40%,5.58年,无权,20.10%,22.80%,25,-0.64%,-1.10%,-0.73%,无权,无权,无权,91.05,33.57,124.62,-5.00%,56%,10%,18%,0.75,1.65,-0.06,AA+,4.20%,28
45,百合转债,113520,2018-11-26,梦百合,603313,其他,137.41,1.45%,-0.13%,28.04,1.41%,53,7.60%,19.03,3.92,47.30%,147.35,-6.70%,5.57年,3.57年,7.50%,11.10%,5.1,-3.10%,-3.57%,-3.19%,-7.25%,-7.43%,89.47,92.61,61.39,154,-10.80%,41%,<2%,16%,0.93,3.27,-1.07,AA-,4.20%,19
46,洲明转债,123016,2018-12-03,洲明科技,300232,电子,140.467,1.42%,0.14%,13.93,1.68%,14,1.80%,9.45,5.04,47.40%,147.41,-4.70%,5.57年,3.57年,5.20%,7.60%,5.5,-3.48%,-3.95%,-3.57%,-7.75%,-7.94%,89.72,92.72,61.44,154.16,-8.90%,69%,<2%,16%,0.93,2.79,-0.69,AA-,4.20%,14
47,长久转债,113519,2018-11-30,长久物流,603569,交通运输,118,0.35%,-0.24%,13.92,0.14%,2.7,0.30%,11.99,3.47,16.10%,116.1,1.60%,5.57年,3.57年,9.00%,10.40%,7,0.40%,-0.24%,0.27%,-3.34%,-3.54%,88.68,95.15,32.34,127.49,-7.40%,53%,<2%,17%,0.78,2.07,-0.37,AA,4.40%,22
48,光电转债,128047,2018-12-07,中航光电,2179,机械装备制造,116.9,0.21%,-1.59%,39.03,-2.08%,3,0.20%,40.26,5.34,-3.10%,96.94,20.60%,5.56年,3.56年,4.20%,4.10%,13,-1.11%,-1.43%,-1.17%,-3.24%,-3.41%,88.45,87.22,21.72,108.94,7.30%,34%,25%,16%,0.66,-0.92,2.3,AA+,4.30%,8
49,利尔转债,128046,2018-11-09,利尔化学,2258,石油天然气化工,114.5,-0.18%,-0.37%,17.04,-0.87%,15,1.60%,18.62,3.02,-8.50%,91.51,25.10%,5.51年,3.51年,9.50%,8.70%,8.5,-0.19%,-0.63%,-0.28%,-2.66%,-2.85%,87.71,88.25,17.37,105.62,8.40%,61%,28%,16%,0.63,-1.39,2.77,AA,4.70%,11
50,顾家转债,113518,2018-10-09,顾家家居,603816,其他,118,-0.67%,0.66%,53.69,-0.02%,3.3,0.30%,52.2,5.42,2.90%,102.85,14.70%,5.41年,3.41年,4.80%,4.90%,11,-0.43%,-0.93%,-0.53%,-3.55%,-3.75%,88.68,91.07,23.69,114.76,2.80%,39%,23%,16%,0.73,-0.24,1.71,AA,4.50%,6
51,机电转债,128045,2018-09-14,中航机电,2013,航空航天,116.88,0.00%,0.43%,8.16,0.62%,3.9,0.20%,7.66,3.32,6.50%,106.53,9.70%,5.37年,3.37年,7.10%,7.60%,21,-1.14%,-1.48%,-1.21%,-3.41%,-3.59%,90.2,89.46,27.33,116.79,0.10%,56%,18%,16%,0.7,0.73,0.69,AAA,4.00%,14
52,岭南转债,128044,2018-09-04,岭南股份,2717,城市公用设施,113.3,-0.54%,0.05%,9.64,-0.62%,3.3,0.40%,8.96,2.25,7.60%,107.59,5.30%,5.33年,3.33年,6.70%,7.20%,6.6,-0.20%,-0.62%,-0.29%,-2.55%,-2.74%,89.1,89.29,28.21,117.5,-3.60%,67%,11%,16%,0.78,1.22,0.37,AA,4.40%,28
53,蓝盾转债,123015,2018-09-13,蓝盾股份,300297,计算机及应用,136.401,2.79%,-0.57%,8,2.43%,91,35.20%,5.82,2.25,37.50%,137.46,-0.80%,5.33年,3.33年,2.00%,2.70%,1.9,-3.48%,-3.91%,-3.57%,-7.58%,-7.76%,90.1,91.5,52.71,144.22,-5.40%,37%,<2%,16%,0.91,1.94,-0.02,AA,4.20%,42
54,曙光转债,113517,2018-08-23,中科曙光,603019,计算机及应用,123,0.00%,0.59%,59.07,0.72%,14,1.00%,51.28,10.39,15.20%,115.19,6.80%,5.31年,3.31年,2.90%,3.40%,11.2,-1.56%,-2.00%,-1.65%,-4.81%,-5.00%,89.64,90.76,33.59,124.36,-1.10%,60%,17%,16%,0.82,0.75,0.89,AA,4.40%,6
55,东音转债,128043,2018-08-27,东音股份,2793,机械装备制造,114.09,0.00%,0.00%,12.61,0.00%,0,0.00%,11.43,2.98,10.30%,110.32,3.40%,5.30年,3.30年,10.70%,11.80%,2.7,0.24%,-0.29%,0.13%,-2.71%,-2.91%,89.16,91.72,29.66,121.38,-6.00%,69%,<2%,17%,0.78,1.67,-0.02,AA-,4.50%,45
56,苏农转债,113516,2018-08-20,苏农银行,603323,金融,123.71,-0.57%,-1.51%,7.62,-2.68%,52,3.30%,6.34,1.24,20.20%,120.19,2.90%,5.30年,无权,10.30%,12.40%,12.9,-1.30%,-1.81%,-1.40%,无权,无权,无权,93.3,37.49,130.8,-5.40%,49%,<2%,18%,0.78,1.81,-0.15,AA+,4.20%,31
57,凯发转债,123014,2018-08-21,凯发电气,300407,能源电力,118.236,0.30%,0.49%,9.37,0.97%,2.6,0.70%,8.15,2.64,15.00%,114.97,2.80%,4.28年,2.28年,12.00%,13.80%,3.2,-1.80%,-2.20%,-1.88%,-5.79%,-5.95%,91.77,90.79,32.42,123.22,-4.00%,64%,12%,18%,0.82,1.34,0.35,A+,4.50%,20
58,凯中转债,128042,2018-09-03,凯中精密,2823,能源电力,109.5,0.46%,-0.46%,12.78,0.00%,2.7,0.60%,13.25,2.84,-3.50%,96.45,13.50%,5.29年,3.29年,11.20%,10.80%,4.2,1.33%,0.75%,1.22%,-1.55%,-1.76%,88.59,92.25,19.13,111.39,-1.70%,67%,15%,17%,0.63,0.52,0.75,AA,4.70%,52
59,横河转债,123013,2018-08-20,横河模具,300539,机械装备制造,124.8,1.46%,-0.56%,11.59,1.05%,6.5,12.50%,9.26,6.36,25.20%,125.16,-0.30%,5.28年,3.28年,1.70%,2.10%,0.4,-1.33%,-1.86%,-1.43%,-5.04%,-5.27%,90.42,93.35,41.51,134.86,-7.50%,77%,<2%,17%,0.87,2.16,-0.29,A+,4.40%,28
60,高能转债,113515,2018-08-27,高能环境,603588,城市公用设施,126.51,-0.60%,0.75%,11.75,0.17%,12,1.20%,9.38,3.03,25.30%,125.27,1.00%,5.28年,3.28年,10.70%,13.40%,8.3,-2.11%,-2.54%,-2.19%,-5.63%,-5.82%,90.05,91.34,41.8,133.14,-5.00%,67%,<2%,16%,0.87,1.73,0.1,AA,4.30%,33
61,万顺转债,123012,2018-08-29,万顺股份,300057,造纸包装印刷,129.01,1.00%,-0.05%,8.4,1.08%,16,4.60%,6.47,1.37,29.80%,129.83,-0.60%,5.26年,3.26年,5.90%,7.70%,2.7,-2.82%,-3.19%,-2.89%,-6.20%,-6.39%,89.97,89.58,48.34,137.93,-6.50%,43%,<2%,18%,0.88,2.05,-0.17,AA-,4.30%,30
62,威帝转债,113514,2018-08-13,威帝股份,603023,汽车,111.65,-0.21%,-0.73%,6.36,-1.24%,7.4,3.30%,5.92,4.07,7.40%,107.43,3.90%,4.26年,2.26年,8.70%,9.40%,2,-0.03%,-0.52%,-0.13%,-3.57%,-3.74%,91.45,91.82,25.65,117.47,-5.00%,70%,<2%,18%,0.76,1.4,0.17,A+,4.70%,45
63,德尔转债,123011,2018-08-14,德尔股份,300473,汽车,109.72,0.01%,-0.60%,36.52,-0.81%,18,3.00%,34.96,2.11,4.50%,104.46,5.00%,5.26年,2.76年,14.50%,15.10%,5.6,1.36%,0.76%,1.24%,-2.06%,-2.27%,90.48,92.96,24.51,117.47,-6.60%,44%,<2%,17%,0.73,1.65,-0.1,AA-,4.70%,44
64,盛路转债!,128041,2018-08-14,盛路通信,2446,通信互联网,151.789,2.35%,-0.31%,10.47,2.05%,8.5,3.70%,6.88,2.83,52.20%,152.18,-0.30%,5.26年,3.26年,1.70%,2.50%,1.5,-5.16%,-5.64%,-5.26%,-10.30%,-10.50%,91.09,94.41,57.77,152.18,-0.30%,52%,<2%,16%,1,1.05,0.95,AA,4.00%,19
65,海澜转债,110045,2018-07-31,海澜之家,600398,服装纺织,104.03,-0.89%,0.35%,9.62,-1.43%,53,1.70%,12.4,3.48,-22.40%,77.58,34.10%,5.24年,3.24年,6.90%,5.40%,30,1.42%,1.00%,1.34%,-0.35%,-0.51%,88.24,88.61,8.41,97.02,7.20%,30%,27%,16%,0.38,-1.14,1.95,AA+,4.60%,39
66,安井转债,113513,2018-07-31,安井食品,603345,食品饮料,114.77,0.03%,0.19%,39.08,0.28%,11,2.00%,35.46,4.62,10.20%,110.21,4.10%,5.24年,3.24年,5.90%,6.50%,5,-0.28%,-0.73%,-0.37%,-2.98%,-3.18%,89.33,90.26,29.61,119.87,-4.30%,51%,10%,16%,0.81,1.33,0.33,AA-,4.50%,20
67,景旺转债!,113512,2018-07-24,景旺电子,603228,电子,120.52,2.57%,0.17%,60.3,2.74%,80,13.40%,49.85,6.38,21.00%,120.96,-0.40%,5.23年,3.23年,2.00%,2.40%,5,-1.20%,-1.65%,-1.29%,-4.35%,-4.55%,91,92.7,28.27,120.96,-0.40%,38%,<2%,16%,1,1.08,0.93,AA,4.00%,9
68,博世转债,123010,2018-08-14,博世科,300422,城市公用设施,109.33,0.60%,0.86%,12.35,2.07%,4.5,1.00%,12.45,3.32,-0.80%,99.2,10.20%,5.22年,3.22年,9.80%,9.70%,4.3,0.70%,0.23%,0.61%,-1.54%,-1.75%,88.87,89.4,22.52,111.92,-2.30%,68%,16%,17%,0.7,0.71,0.71,AA-,4.70%,36
69,湖广转债,127007,2018-08-01,湖北广电,665,传媒娱乐,116.4,-1.10%,0.52%,9.07,-0.77%,20,1.20%,7.92,0.96,14.50%,114.52,1.60%,5.20年,3.20年,22.20%,25.50%,13.7,-0.48%,-0.95%,-0.57%,-3.30%,-3.52%,90.69,92.02,32.96,124.97,-6.90%,32%,<2%,17%,0.77,2.12,-0.43,AA+,4.20%,34
70,广电转债,110044,2018-07-24,广电网络,600831,传媒娱乐,158.73,-1.18%,1.27%,10.99,0.09%,46,17.10%,6.91,2.08,59.00%,159.04,-0.20%,5.20年,3.20年,2.20%,3.50%,1.7,-6.39%,-6.80%,-6.47%,-11.70%,-11.80%,90.75,92.26,72.74,165,-3.80%,42%,<2%,17%,0.94,1.67,0.28,AA,4.10%,8
