,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,转股价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
11,海印转债,127003,海印股份,861,商业零售,104.47,1.69%,-1.56%,3.05,0.33%,50,4.30%,3.5,2.11,-12.90%,19.90%,3.24年,1.24年,16.70%,14.60%,11.1,2.88%,2.05%,2.71%,-1.15%,-1.53%,95.78,87.14,97.31,8.46,105.77,-1.20%,26%,13%,16%,0.4,0.41,0.4,AA,5.20%,94
12,洪涛转债,128013,洪涛股份,2325,建筑,97.169,0.42%,-0.42%,4.01,1.52%,44,3.80%,9.98,1.36,-59.80%,142%,3.38年,1.38年,24.00%,9.60%,12,4.47%,3.76%,4.33%,3.74%,3.36%,94.01,40.18,92.61,2.48,95.09,2.20%,36%,36%,16%,0,-0.43,0.42,AA,6.00%,74
13,光大转债,113011,光大银行,601818,金融,114.7,0.73%,-0.58%,4.18,0.24%,249,0.70%,4.13,0.79,1.20%,13.30%,4年4天,无权,13.70%,13.80%,300,-1.11%,-1.55%,-1.19%,无权,无权,无权,101.21,94.15,20.21,114.36,0.30%,18%,17%,16%,0.61,0.58,0.66,AAA,4.00%,26
14,骆驼转债,113012,骆驼股份,601311,汽车,121.78,7.76%,0.98%,16.9,10.00%,712,85.50%,13.44,2.57,25.70%,-3.20%,4年11天,2年11天,5.00%,6.30%,7.2,-2.70%,-3.11%,-2.78%,-7.38%,-7.62%,94.12,125.74,92.72,40.57,133.29,-8.60%,33%,<2%,16%,0.87,2.7,-0.72,AA,4.30%,23
15,永东转债,128014,永东股份,2753,石油天然气化工,102.759,0.35%,0.14%,10.66,1.33%,10,2.90%,13.53,2.65,-21.20%,30.40%,4年35天,2年35天,9.50%,7.50%,3.4,2.40%,1.80%,2.28%,0.32%,0.02%,91.67,78.79,90.96,9.15,100.11,2.60%,60%,23%,17%,0.37,-0.48,1.22,AA-,5.60%,30
16,模塑转债,127004,模塑科技,700,汽车,96.41,0.95%,-0.88%,3.91,1.56%,40,5.10%,7.72,1.34,-49.40%,90.40%,4.22年,2.22年,25.40%,12.80%,8.2,4.36%,3.68%,4.23%,3.05%,2.75%,90.37,50.65,90.75,1.77,92.51,4.20%,54%,32%,17%,0.05,-0.82,0.91,AA,5.90%,53
17,久其转债,128015,久其软件,2279,计算机及应用,111.6,3.33%,-1.00%,10.08,6.44%,20,2.30%,12.86,3.64,-21.60%,42.40%,4.24年,2.24年,10.90%,8.50%,7.8,0.15%,-0.38%,0.04%,-3.29%,-3.52%,91.15,78.38,90.68,8.96,99.64,12.00%,71%,36%,17%,0.36,-2.06,2.99,AA,5.30%,34
18,国君转债,113013,国泰君安,601211,金融,120.46,0.54%,0.40%,20.53,1.48%,350,4.20%,19.8,1.59,3.70%,16.20%,4.32年,无权,3.90%,4.10%,70,-2.16%,-2.57%,-2.25%,无权,无权,无权,103.69,93.02,23.7,116.72,3.20%,26%,24%,17%,0.64,0.04,1.24,AAA,4.00%,30
19,雨虹转债,128016,东方雨虹,2271,建筑,111.1,1.11%,-0.94%,19.59,0.36%,21,1.00%,22.63,3.99,-13.40%,28.30%,4.54年,2.54年,6.30%,5.40%,18.4,-0.16%,-0.58%,-0.25%,-2.76%,-2.97%,91.51,86.57,90.56,12.93,103.49,7.40%,50%,26%,16%,0.47,-1.06,2.06,AA+,4.50%,6
20,林洋转债,113014,林洋能源,601222,能源电力,107.1,0.92%,0.35%,6.4,4.23%,129,3.90%,8.76,1.23,-26.90%,46.60%,4.63年,2.63年,26.60%,19.40%,30,0.75%,0.31%,0.66%,-1.30%,-1.52%,89.29,73.06,87.28,8.28,95.55,12.10%,83%,38%,16%,0.3,-2.1,2.9,AA,5.40%,13
21,金禾转债,128017,金禾实业,2597,石油天然气化工,109.155,0.52%,1.39%,18.2,4.90%,11,1.70%,23.32,2.82,-22.00%,39.90%,4.64年,2.64年,5.90%,4.60%,6,0.23%,-0.18%,0.15%,-2.05%,-2.25%,89.45,78.04,87.5,10.58,98.08,11.30%,37%,37%,17%,0.39,-1.93,2.89,AA,5.20%,19
22,隆基转债,113015,隆基股份,601012,能源电力,128.1,-1.04%,0.98%,27.82,-0.07%,71,2.00%,22.98,5.21,21.10%,5.80%,4.64年,2.64年,3.60%,4.40%,28,-3.22%,-3.61%,-3.30%,-7.51%,-7.69%,91.95,121.06,91.54,37.93,129.47,-1.10%,47%,18%,16%,0.83,0.94,0.72,AA+,4.20%,11
23,小康转债,113016,小康股份,601127,汽车,111.65,1.31%,-1.27%,18.12,0.06%,18,1.90%,17.2,3.59,5.30%,6.00%,4.65年,2.65年,5.10%,5.40%,8.8,-0.17%,-0.59%,-0.25%,-2.74%,-2.96%,91.28,105.35,90.56,26.11,116.68,-4.30%,40%,<2%,16%,0.74,1.38,0.16,AA,4.50%,30
24,时达转债,128018,新时达,2527,机械装备制造,100.8,0.79%,0.05%,7.45,5.52%,22,2.50%,11.83,1.62,-37.00%,60.10%,4.65年,2.65年,19.00%,12.00%,8.8,2.09%,1.65%,2.00%,0.88%,0.65%,88.47,62.98,86.06,5.71,91.76,9.80%,35%,35%,16%,0.15,-1.79,2.2,AA,5.70%,36
25,久立转2,128019,久立特材,2318,石油天然气化工,113.494,1.15%,1.53%,8.31,3.88%,8.4,0.70%,8.22,2.51,1.10%,12.30%,4.66年,2.66年,14.90%,15.00%,10.4,-0.62%,-1.03%,-0.70%,-3.38%,-3.58%,90.82,101.09,89.75,23.76,113.51,0.00%,35%,20%,17%,0.69,0.35,1.03,AA,4.60%,15
26,嘉澳转债,113502,嘉澳环保,603822,城市公用设施,100.11,0.65%,-0.18%,31.15,1.80%,9.1,4.90%,45.27,3.22,-31.20%,45.50%,4.66年,2.66年,8.10%,5.60%,1.9,2.66%,2.14%,2.56%,1.16%,0.92%,88.16,68.81,87.09,6.96,94.04,6.50%,59%,29%,17%,0.26,-1.25,1.83,AA-,5.80%,32
27,济川转债,110038,济川药业,600566,医药,115,-0.01%,-0.77%,36.35,-1.46%,25,3.40%,40.04,5.95,-9.20%,26.70%,3.67年,1.67年,2.10%,1.90%,6.3,-1.51%,-1.95%,-1.60%,-6.55%,-6.70%,92.96,90.78,91.33,16.12,107.45,7.00%,35%,26%,15%,0.53,-1.09,2.22,AA,4.90%,11
28,水晶转债,128020,水晶光电,2273,电子,117.45,-1.63%,1.43%,15.24,-0.33%,56,4.00%,16,3.64,-4.70%,23.30%,4.68年,2.68年,9.00%,8.50%,11.8,-1.10%,-1.54%,-1.19%,-4.69%,-4.85%,89.94,95.25,90.16,18.25,108.41,8.30%,51%,32%,16%,0.63,-1.3,2.68,AA,4.70%,13
29,生益转债,110040,生益科技,600183,电子,116.99,-1.10%,0.87%,11.96,-0.33%,38,1.80%,11.62,4.28,2.90%,13.70%,4.70年,无权,7.10%,7.30%,18,-1.27%,-1.66%,-1.34%,无权,无权,无权,102.93,90.77,23.79,114.56,2.10%,45%,22%,16%,0.69,0.1,1.28,AA+,4.30%,2
30,国祯转债,123002,国祯环保,300388,城市公用设施,124.98,2.43%,0.29%,10.89,3.13%,16,2.20%,8.72,2.92,24.90%,0.10%,4.70年,2.70年,9.70%,12.10%,5.8,-2.67%,-3.05%,-2.74%,-6.55%,-6.73%,91.51,124.89,90.98,41.77,132.74,-5.80%,51%,<2%,16%,0.87,1.97,-0.12,AA,4.30%,6
31,兄弟转债,128021,兄弟科技,2562,医药,113.25,1.02%,-1.02%,5.41,0.00%,16,2.30%,5.35,2.24,1.10%,12.00%,4.71年,2.71年,13.40%,13.50%,6.4,-0.57%,-0.97%,-0.65%,-3.25%,-3.44%,90.66,101.12,89.64,23.2,112.84,0.40%,68%,16%,16%,0.71,0.29,1.12,AA,4.60%,19
32,众信转债,128022,众信旅游,2707,旅游餐饮酒店,107,0.28%,-0.35%,7.49,-0.27%,7.9,1.10%,10.99,2.82,-31.80%,57.00%,4.72年,2.72年,10.60%,7.20%,7,0.66%,0.25%,0.57%,-1.30%,-1.51%,88.34,68.15,85.98,7.41,93.39,14.60%,70%,42%,17%,0.24,-2.53,3.29,AA,5.50%,6
33,亚太转债,128023,亚太股份,2284,汽车,98.322,1.34%,-0.51%,6.24,5.76%,26,2.60%,10.34,1.75,-39.70%,62.90%,4.73年,2.73年,21.70%,13.10%,10,3.00%,2.49%,2.90%,1.73%,1.50%,88.06,60.35,87.17,4.58,91.75,7.20%,38%,33%,17%,0.14,-1.35,1.68,AA,5.70%,23
34,宁行转债,128024,宁波银行,2142,金融,117.31,-0.14%,0.14%,19.5,0.00%,91,1.00%,18.01,1.66,8.30%,8.30%,4.73年,无权,7.40%,8.00%,75,-1.56%,-1.91%,-1.63%,无权,无权,无权,108.27,90.8,29.41,120.21,-2.40%,30%,15%,18%,0.69,1.23,0.2,AAA,4.00%,21
35,特一转债,128025,特一药业,2728,医药,111,0.96%,-0.79%,16.45,0.24%,2.6,0.70%,16.1,3.15,2.20%,8.60%,4.74年,2.74年,10.30%,10.50%,3.4,-0.14%,-0.54%,-0.22%,-2.55%,-2.74%,90.29,102.17,89.1,25.05,114.15,-2.80%,36%,12%,17%,0.72,0.89,0.58,AA-,4.70%,26
36,蓝思转债,123003,蓝思科技,300433,电子,104.89,0.57%,-0.59%,9.24,-0.32%,298,5.90%,16.08,2.22,-42.50%,82.50%,4.74年,2.74年,13.20%,7.60%,48,1.09%,0.67%,1.00%,-0.61%,-0.81%,89.72,57.46,88.21,3.77,91.98,14.00%,87%,45%,16%,0.08,-2.42,2.81,AA+,4.90%,19
37,众兴转债,128026,众兴菌业,2772,农业,98.617,1.26%,-0.97%,8,1.14%,17,1.90%,11.64,1.18,-31.30%,43.50%,4.75年,2.75年,30.80%,21.20%,9.2,2.55%,2.11%,2.46%,1.65%,1.41%,87.66,68.73,85.03,7.68,92.7,6.40%,56%,26%,16%,0.25,-1.25,1.81,AA-,5.90%,34
38,泰晶转债,113503,泰晶科技,603738,电子,108.63,-0.34%,-0.53%,17.09,-1.38%,6.7,2.90%,17.99,4.49,-5.00%,14.40%,4.76年,2.76年,7.90%,7.50%,2.2,0.83%,0.33%,0.73%,-1.69%,-1.90%,90.39,95,90.95,18.47,109.42,-0.70%,63%,16%,16%,0.63,0.39,0.87,AA,4.70%,21
39,崇达转债,128027,崇达技术,2815,电子,122.82,-0.98%,-1.33%,17.95,-2.76%,5.3,0.50%,15.11,5.71,18.80%,3.40%,4.76年,2.76年,5.20%,6.20%,7.8,-2.18%,-2.58%,-2.26%,-5.78%,-5.98%,91.35,118.8,90.92,37.01,127.93,-4.00%,64%,<2%,16%,0.84,1.48,0.25,AA,4.30%,4
40,铁汉转债,123004,铁汉生态,300197,城市公用设施,121.497,1.37%,-0.29%,4.87,1.25%,36,6.00%,3.99,1.74,22.10%,-0.50%,4.77年,2.77年,4.50%,5.40%,5,-2.04%,-2.43%,-2.12%,-5.49%,-5.68%,91.27,122.06,90.74,38.98,129.72,-6.30%,67%,<2%,15%,0.87,2.07,-0.21,AA,4.30%,66
41,东财转债,123006,东方财富,300059,金融,176.8,1.54%,0.39%,20.32,2.01%,"1,977",42.30%,11.36,7.25,78.90%,-1.20%,4.77年,2.77年,2.50%,4.50%,26.5,-9.48%,-9.82%,-9.55%,-11.10%,-11.10%,90.97,178.87,91.55,92.39,183.94,-3.90%,58%,<2%,17%,0.96,1.76,0.23,AA,4.10%,38
42,赣锋转债,128028,赣锋锂业,2460,有色金属,105.52,1.07%,-0.99%,26.95,0.45%,13,1.30%,42.58,6.38,-36.70%,66.70%,4.78年,2.78年,2.60%,1.70%,9.3,0.85%,0.46%,0.77%,-0.97%,-1.14%,87.45,63.29,84.98,5.83,90.81,16.20%,71%,45%,17%,0.18,-2.78,3.49,AA,5.60%,11
43,太阳转债,128029,太阳纸业,2078,造纸包装印刷,109.4,1.83%,-0.93%,7.14,2.59%,18,1.40%,8.75,1.56,-18.40%,34.10%,3.78年,1.78年,6.50%,5.30%,12,-0.27%,-0.68%,-0.35%,-3.80%,-3.94%,92.9,81.6,91.36,8.21,99.57,9.90%,37%,31%,16%,0.35,-1.55,2.35,AA+,4.60%,6
44,天康转债,128030,天康生物,2100,农业,126.95,2.09%,6.32%,9.93,9.97%,105,8.40%,8.15,3.08,21.80%,4.20%,4.78年,2.78年,10.50%,12.70%,10,-2.48%,-2.95%,-2.58%,-6.80%,-7.00%,91.31,121.84,92.54,38.42,130.96,-3.10%,29%,21%,16%,0.84,1.28,0.45,AA,4.30%,11
45,双环转债,128032,双环传动,2472,机械装备制造,106.9,2.20%,-1.10%,7.76,2.78%,26,2.40%,9.99,1.61,-22.30%,37.60%,4.79年,2.79年,18.80%,14.60%,10,0.77%,0.34%,0.68%,-1.16%,-1.37%,89,77.68,87.28,10.27,97.55,9.60%,54%,30%,16%,0.4,-1.68,2.61,AA,5.20%,13
46,蒙电转债,110041,内蒙华电,600863,能源电力,115.48,1.65%,-0.35%,3,2.04%,35,1.60%,2.92,1.64,2.70%,12.40%,4.78年,2.78年,10.70%,11.00%,18.7,-0.86%,-1.27%,-0.94%,-3.71%,-3.92%,92.21,102.74,92.28,23.26,115.54,-0.10%,23%,17%,16%,0.64,0.68,0.61,AAA,4.00%,17
47,航电转债,110042,中航电子,600372,航空航天,126.13,0.90%,0.99%,17.97,2.28%,67,2.20%,14.23,4.59,26.30%,-0.10%,4.79年,2.79年,7.60%,9.60%,24,-2.90%,-3.26%,-2.98%,-6.58%,-6.77%,92.08,126.28,91.33,43.32,134.65,-6.30%,36%,<2%,16%,0.83,2.26,-0.44,AAA,4.00%,21
48,吉视转债,113017,吉视传媒,601929,传媒娱乐,115.97,7.21%,0.11%,3.16,10.10%,135,7.70%,2.96,1.48,6.80%,8.60%,4.79年,2.79年,15.90%,16.90%,15.6,-1.06%,-1.45%,-1.14%,-3.94%,-4.13%,91.12,106.76,90.56,26.88,117.45,-1.30%,26%,15%,16%,0.72,0.86,0.61,AA+,4.30%,32
49,迪龙转债,128033,雪迪龙,2658,城市公用设施,110.3,0.82%,-0.30%,8.6,0.82%,6.2,1.10%,9.03,2.62,-4.80%,15.80%,4.79年,2.79年,10.00%,9.50%,5.2,0.00%,-0.40%,-0.08%,-2.29%,-2.48%,89.96,95.24,88.72,20.24,108.96,1.20%,38%,20%,17%,0.63,0.06,1.2,AA,4.70%,40
50,道氏转债,123007,道氏技术,300409,建筑,127.9,2.32%,-0.23%,19.64,2.34%,26,4.50%,15.2,5.03,29.20%,-1.00%,4.80年,2.80年,5.30%,6.80%,4.6,-2.78%,-3.22%,-2.87%,-6.95%,-7.15%,91.53,129.21,92,45.32,137.32,-6.90%,77%,<2%,16%,0.89,2.2,-0.28,AA-,4.30%,26
51,常熟转债,113018,常熟银行,601128,金融,143.7,3.90%,-0.08%,8.35,4.24%,126,4.70%,5.76,1.61,45.00%,-0.90%,4.86年,无权,9.90%,14.30%,18.7,-5.49%,-5.83%,-5.56%,无权,无权,无权,144.97,90.43,61.02,151.45,-5.10%,42%,<2%,18%,0.9,1.96,-0.06,AA+,4.10%,43
52,江银转债,128034,江阴银行,2807,金融,115.61,0.01%,0.59%,6.49,0.78%,70,3.40%,5.67,1.2,14.50%,1.00%,4.87年,无权,15.40%,17.60%,17.6,-1.10%,-1.46%,-1.18%,无权,无权,无权,114.46,89.8,34.65,124.44,-7.10%,49%,<2%,18%,0.77,2.19,-0.5,AA+,4.20%,60
53,无锡转债,110043,无锡银行,600908,金融,110.27,0.10%,0.83%,6.68,1.37%,73,2.20%,6.7,1.24,-0.30%,10.60%,4.89年,无权,24.30%,24.20%,30,-0.93%,-1.14%,-0.98%,无权,无权,无权,99.7,86,25.52,111.52,-1.10%,47%,19%,18%,0.68,0.75,0.63,AA+,4.30%,51
54,大族转债,128035,大族激光,2008,电子,114.3,0.57%,-1.08%,43.99,-1.17%,36,1.40%,52.5,5.73,-16.20%,36.40%,4.91年,2.91年,4.90%,4.10%,23,-1.09%,-1.40%,-1.15%,-2.80%,-3.09%,91.42,83.79,87.31,13.78,101.1,13.10%,39%,34%,16%,0.43,-2.05,3.14,AA+,4.60%,13
55,玲珑转债,113019,玲珑轮胎,601966,汽车,110.21,1.09%,0.93%,16.97,4.37%,41,1.90%,18.84,2.15,-9.90%,22.40%,3.97年,1.97年,9.80%,8.80%,20,0.64%,0.04%,0.52%,-3.68%,-3.83%,92.57,90.07,94.94,11.85,106.79,3.20%,34%,24%,16%,0.46,-0.31,1.24,AA+,4.50%,11
56,康泰转债,123008,康泰生物,300601,医药,140.406,0.04%,0.63%,44.16,0.73%,18,6.20%,31.23,17.92,41.40%,-0.70%,4.89年,2.89年,0.70%,1.00%,2.1,-4.81%,-5.18%,-4.88%,-9.62%,-9.79%,91.21,141.4,91,57.52,148.52,-5.50%,69%,<2%,16%,0.92,1.98,-0.03,AA-,4.20%,11
57,艾华转债,113504,艾华集团,603989,电子,115.04,0.82%,0.37%,22.38,1.63%,5.5,0.70%,21.73,4.8,3.00%,11.70%,4.97年,2.97年,7.90%,8.20%,6.9,-0.77%,-1.16%,-0.84%,-3.39%,-3.59%,89.95,102.99,89.19,25.59,114.78,0.20%,41%,18%,16%,0.73,0.35,1.1,AA,4.50%,4
58,杭电转债,113505,杭电股份,603618,能源电力,108.33,0.77%,-1.23%,6.89,-0.72%,29,3.40%,7.29,2.19,-5.50%,14.60%,4.98年,2.98年,16.50%,15.60%,7.8,0.83%,0.36%,0.73%,-1.51%,-1.71%,89.37,94.51,89.91,19.02,108.93,-0.50%,72%,15%,16%,0.63,0.35,0.92,AA,4.70%,32
59,星源转债,123009,星源材质,300568,汽车,121.2,-0.10%,2.27%,33.13,2.60%,12,2.00%,27.69,4.58,19.60%,1.30%,4.99年,2.99年,7.50%,9.00%,4.8,-1.90%,-2.27%,-1.97%,-5.05%,-5.22%,90.25,119.65,89.61,39.01,128.62,-5.80%,64%,<2%,17%,0.84,1.87,-0.09,AA,4.30%,13
60,长证转债,127005,长江证券,783,金融,117.02,0.87%,-0.04%,7.58,1.34%,154,2.60%,7.45,1.6,1.70%,15.00%,5.00年,无权,11.90%,12.10%,50,-1.27%,-1.63%,-1.34%,无权,无权,无权,101.74,90.67,25.62,116.29,0.60%,31%,21%,18%,0.62,0.52,0.73,AAA,4.00%,36
61,敖东转债,127006,吉林敖东,623,医药,109.36,1.26%,-0.85%,18.5,0.76%,40,1.50%,20.82,1.04,-11.10%,23.10%,5年0.3天,3年0.3天,11.20%,10.00%,24.1,-0.14%,-0.46%,-0.21%,-2.11%,-2.24%,89.14,88.86,87.57,16.4,103.96,5.20%,31%,23%,16%,0.54,-0.64,1.74,AA+,4.50%,34
62,岩土转债,128037,中化岩土,2542,建筑,102.5,4.90%,-1.65%,5.8,10.10%,107,17.80%,8.03,2.91,-27.80%,41.90%,5年2天,3年2天,5.70%,4.10%,6,2.02%,1.53%,1.93%,0.34%,0.12%,87.95,72.23,87.57,7.82,95.4,7.40%,55%,27%,16%,0.32,-1.36,2.08,AA,5.40%,66
63,利欧转债,128038,利欧股份,2131,传媒娱乐,147.5,9.42%,-0.05%,2.62,10.10%,"1,254",132%,1.72,1.75,52.30%,-3.20%,5年9天,3年9天,4.20%,6.40%,6.8,-5.07%,-5.53%,-5.16%,-10.40%,-10.60%,91.13,152.33,93.43,66.22,159.65,-7.60%,80%,<2%,16%,0.93,2.54,-0.49,AA,4.10%,100
64,金农转债,128036,金新农,2548,农业,123.5,2.92%,0.05%,12.15,3.40%,141,18.10%,9.62,3.19,26.30%,-2.20%,4.99年,2.99年,14.00%,17.70%,6.5,-2.17%,-2.56%,-2.25%,-5.51%,-5.70%,90.57,126.3,90.15,44.95,135.1,-8.60%,38%,<2%,17%,0.87,2.55,-0.6,AA-,4.30%,64
65,鼎信转债,113506,鼎信通讯,603421,能源电力,136.45,-1.79%,2.09%,30.55,0.33%,154,41.60%,21.65,5.91,41.10%,-3.30%,5年30天,3年30天,1.90%,2.70%,2.7,-4.12%,-4.47%,-4.19%,-8.26%,-8.43%,90.63,141.11,90.23,58.08,148.31,-8.00%,51%,<2%,16%,0.92,2.6,-0.56,AA,4.20%,36
66,天马转债,113507,天马科技,603668,农业,123.5,-0.76%,0.48%,9.23,-0.32%,12,3.80%,7.37,3.09,25.20%,-1.40%,5年33天,3年33天,9.40%,11.80%,2.6,-1.71%,-2.17%,-1.80%,-5.25%,-5.45%,90.5,125.24,91.65,43.4,135.05,-8.60%,54%,<2%,17%,0.86,2.5,-0.58,AA-,4.30%,36
67,新凤转债,113508,新凤鸣,603225,服装纺织,107.78,0.96%,-1.78%,21.95,-1.35%,46,2.00%,23.74,2.39,-7.50%,16.60%,5年44天,3年44天,11.50%,10.60%,21.5,0.96%,0.49%,0.87%,-1.21%,-1.42%,88.98,92.46,89.45,18.41,107.86,-0.10%,48%,14%,16%,0.61,0.2,1.03,AA,4.80%,19
68,新泉转债,113509,新泉股份,603179,汽车,108.76,-0.21%,-0.10%,18.33,-0.49%,7.7,1.60%,19.38,2.73,-5.40%,15.00%,5.23年,3.23年,10.80%,10.20%,4.5,0.42%,0.02%,0.34%,-1.43%,-1.64%,88.7,94.58,87.69,21.64,109.33,-0.50%,55%,17%,17%,0.64,0.38,0.9,AA,4.70%,21
69,三力转债,128039,三 力 士,2224,机械装备制造,129,3.12%,0.14%,7.62,3.67%,37,5.80%,5.84,2.87,30.50%,-1.10%,5.24年,3.24年,10.00%,13.10%,5,-2.94%,-3.30%,-3.01%,-6.35%,-6.52%,89.72,130.48,89.16,49.7,138.86,-7.10%,39%,<2%,17%,0.89,2.24,-0.32,AA-,4.30%,32
70,华通转债,128040,华通医药,2758,医药,103.9,0.92%,-0.58%,10.11,0.60%,7.5,3.20%,11.45,3.31,-11.70%,17.70%,5.26年,3.26年,10.60%,9.30%,2.2,1.70%,1.22%,1.60%,-0.03%,-0.24%,87.85,88.3,87.92,18.08,106,-2.00%,76%,16%,18%,0.58,0.46,0.7,AA-,5.10%,43
71,再升转债,113510,再升科技,603601,城市公用设施,104.49,1.27%,0.10%,9.21,3.48%,3.2,2.70%,11.32,3.96,-18.60%,28.40%,5.27年,1.27年,2.30%,1.90%,1.1,1.58%,1.11%,1.49%,-2.23%,-2.39%,93.67,81.36,85.89,15.26,101.15,3.30%,67%,24%,17%,0.39,-0.52,1.31,AA-,5.50%,28
72,千禾转债,113511,千禾味业,603027,食品饮料,103.19,0.25%,-0.11%,19.22,0.37%,5.4,1.50%,25.85,4.91,-25.60%,38.80%,5.27年,3.27年,5.70%,4.20%,3.6,1.79%,1.32%,1.69%,0.12%,-0.09%,86.3,74.35,85.71,9.69,95.4,8.20%,59%,29%,16%,0.4,-1.6,2.51,AA-,5.50%,34
73,广电转债,110044,广电网络,600831,传媒娱乐,140.79,9.44%,-0.40%,9.79,10.00%,230,50.00%,6.91,1.86,41.70%,-0.60%,5.29年,3.29年,5.20%,7.40%,3.4,-4.09%,-4.52%,-4.18%,-8.51%,-8.69%,90.2,141.68,91.59,58.43,150.02,-6.20%,38%,<2%,17%,0.9,2.1,-0.17,AA,4.20%,17
