,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展/上市日,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,转股价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
17,久其转债,128015,2017-07-18,久其软件,2279,计算机及应用,106,2.28%,-1.80%,8.99,2.04%,3.2,0.40%,12.86,3.25,-30.10%,51.60%,4.22年,2.22年,12.20%,8.50%,7.8,1.40%,0.86%,1.29%,-1.18%,-1.43%,90.72,69.91,89.87,5.96,95.83,10.60%,71%,34%,17%,0.23,-1.88,2.49,AA,5.50%,32
18,国君转债,113013,2017-07-24,国泰君安,601211,金融,120.05,1.14%,0.41%,19.75,2.60%,206,2.50%,19.8,1.53,-0.30%,20.40%,4.30年,无权,4.10%,4.10%,70,-2.09%,-2.50%,-2.18%,无权,无权,无权,99.75,93.08,20.89,113.97,5.30%,26%,26%,17%,0.6,-0.43,1.64,AAA,4.00%,32
19,雨虹转债,128016,2017-10-20,东方雨虹,2271,建筑,117.85,4.94%,-1.11%,21.39,6.58%,83,3.90%,22.63,4.36,-5.50%,24.70%,4.52年,2.52年,5.80%,5.40%,18.4,-1.48%,-1.89%,-1.56%,-4.91%,-5.11%,91.83,94.52,91.05,17.53,108.58,8.50%,51%,28%,16%,0.58,-1.17,2.42,AA+,4.40%,10
20,林洋转债,113014,2017-11-13,林洋能源,601222,能源电力,106.06,1.01%,-0.33%,6.13,2.68%,38,1.20%,8.76,1.17,-30.00%,51.60%,4.61年,2.61年,27.70%,19.40%,30,0.97%,0.53%,0.88%,-0.95%,-1.18%,89.15,69.98,87.02,7.29,94.3,12.50%,83%,38%,16%,0.25,-2.19,2.91,AA,5.50%,14
21,金禾转债,128017,2017-11-27,金禾实业,2597,石油天然气化工,111.332,2.14%,0.08%,19.15,4.93%,11,1.60%,23.32,2.96,-17.90%,35.60%,4.62年,2.62年,5.60%,4.60%,6,-0.20%,-0.62%,-0.29%,-2.75%,-2.96%,89.8,82.12,88.02,12.5,100.52,10.80%,36%,34%,17%,0.45,-1.85,2.93,AA,5.10%,20
22,隆基转债,113015,2017-11-20,隆基股份,601012,能源电力,128.05,1.11%,0.43%,28.01,1.85%,38,1.10%,22.98,5.24,21.90%,5.10%,4.63年,2.63年,3.60%,4.40%,28,-3.23%,-3.62%,-3.30%,-7.54%,-7.72%,92.02,121.89,91.62,38.58,130.2,-1.70%,47%,15%,16%,0.83,1.07,0.61,AA+,4.20%,12
23,小康转债,113016,2017-11-21,小康股份,601127,汽车,108.73,-0.08%,0.16%,17.47,0.11%,10,1.10%,17.2,3.46,1.60%,7.00%,4.64年,2.64年,5.30%,5.40%,8.8,0.42%,-0.02%,0.33%,-1.82%,-2.05%,91.19,101.57,90.37,23.44,113.81,-4.50%,40%,10%,16%,0.71,1.33,0.14,AA,4.60%,30
24,时达转债,128018,2017-12-04,新时达,2527,机械装备制造,100.8,0.58%,-0.49%,6.84,1.03%,7,0.80%,11.83,1.49,-42.20%,74.30%,4.64年,2.64年,20.70%,12.00%,8.8,2.10%,1.65%,2.01%,0.88%,0.65%,88.26,57.82,85.67,4.73,90.4,11.50%,35%,37%,16%,0.09,-2.04,2.36,AA,5.80%,38
25,久立转2,128019,2017-12-01,久立特材,2318,石油天然气化工,115.2,3.78%,-0.74%,8.31,4.40%,8.3,0.70%,8.22,2.51,1.10%,14.00%,4.64年,2.64年,14.90%,15.00%,10.4,-0.95%,-1.35%,-1.03%,-3.92%,-4.12%,90.87,101.09,89.8,23.72,113.52,1.50%,35%,19%,17%,0.69,0.05,1.33,AA,4.60%,14
26,嘉澳转债,113502,2017-11-27,嘉澳环保,603822,城市公用设施,100.02,0.68%,-0.09%,31.27,2.26%,3.2,1.70%,45.27,3.24,-30.90%,44.80%,4.65年,2.65年,8.10%,5.60%,1.9,2.69%,2.17%,2.59%,1.20%,0.96%,88.27,69.07,87.2,6.99,94.19,6.20%,59%,29%,17%,0.27,-1.2,1.78,AA-,5.80%,38
27,济川转债,110038,2017-11-29,济川药业,600566,医药,114.59,1.68%,0.75%,36.75,4.46%,13,1.80%,40.04,6.02,-8.20%,24.80%,3.66年,1.66年,2.10%,1.90%,6.3,-1.42%,-1.86%,-1.51%,-6.43%,-6.58%,93.07,91.78,91.49,16.66,108.15,6.00%,35%,27%,15%,0.54,-0.89,2.03,AA,4.90%,12
28,水晶转债,128020,2017-12-12,水晶光电,2273,电子,112.601,1.90%,-0.72%,14.25,2.15%,10,0.80%,16,3.41,-10.90%,26.40%,4.67年,2.67年,9.60%,8.50%,11.8,-0.19%,-0.65%,-0.28%,-3.28%,-3.44%,89.61,89.06,89.58,14.48,104.06,8.20%,52%,28%,16%,0.55,-1.33,2.54,AA,4.90%,14
29,生益转债,110040,2017-12-11,生益科技,600183,电子,117.57,2.33%,-0.45%,11.81,2.79%,9.2,0.40%,11.62,4.23,1.60%,15.70%,4.69年,无权,7.20%,7.30%,18,-1.38%,-1.77%,-1.46%,无权,无权,无权,101.64,90.78,22.82,113.61,3.50%,45%,22%,16%,0.68,-0.19,1.55,AA+,4.30%,2
30,国祯转债,123002,2017-12-25,国祯环保,300388,城市公用设施,124.978,1.36%,-0.06%,10.81,1.50%,4.1,0.60%,8.72,2.9,24.00%,0.80%,4.69年,2.69年,9.80%,12.10%,5.8,-2.67%,-3.06%,-2.75%,-6.58%,-6.77%,91.56,123.97,91.01,40.92,131.93,-5.30%,52%,<2%,16%,0.87,1.82,0,AA,4.30%,10
31,兄弟转债,128021,2017-12-27,兄弟科技,2562,医药,113.25,2.21%,-0.74%,5.44,2.06%,20,2.80%,5.35,2.25,1.70%,11.40%,4.70年,2.70年,13.30%,13.50%,6.4,-0.57%,-0.97%,-0.65%,-3.27%,-3.46%,90.75,101.68,89.74,23.53,113.27,0.00%,68%,16%,16%,0.71,0.38,1.04,AA,4.60%,20
32,众信转债,128022,2017-12-28,众信旅游,2707,旅游餐饮酒店,107.13,0.12%,0.41%,7.39,2.35%,7.8,1.00%,10.99,2.78,-32.80%,59.30%,4.71年,2.71年,10.70%,7.20%,7,0.63%,0.22%,0.55%,-1.35%,-1.56%,88.34,67.24,85.94,7.11,93.05,15.10%,70%,45%,17%,0.22,-2.62,3.39,AA,5.60%,8
33,亚太转债,128023,2017-12-26,亚太股份,2284,汽车,97.678,0.39%,-0.21%,5.76,1.95%,8.4,0.90%,10.34,1.62,-44.30%,75.30%,4.71年,2.71年,23.50%,13.10%,10,3.16%,2.64%,3.06%,1.98%,1.75%,87.9,55.71,86.87,3.78,90.65,7.80%,37%,36%,17%,0.09,-1.44,1.68,AA,5.80%,28
34,宁行转债,128024,2018-01-12,宁波银行,2142,金融,118.989,1.56%,-0.19%,19.85,1.95%,183,2.10%,18.01,1.69,10.20%,8.00%,4.72年,无权,7.30%,8.00%,75,-1.87%,-2.21%,-1.94%,无权,无权,无权,110.22,90.86,30.89,121.75,-2.30%,30%,15%,18%,0.7,1.2,0.26,AAA,4.00%,26
35,特一转债,128025,2017-12-28,特一药业,2728,医药,110.44,1.64%,-0.52%,16.55,1.53%,7.4,2.00%,16.1,3.17,2.80%,7.40%,4.72年,2.72年,10.20%,10.50%,3.4,-0.03%,-0.43%,-0.11%,-2.39%,-2.59%,90.39,102.8,89.22,25.41,114.63,-3.70%,36%,11%,17%,0.73,1.1,0.39,AA-,4.70%,30
36,蓝思转债,123003,2018-01-17,蓝思科技,300433,电子,105.6,0.81%,-0.71%,8.8,1.73%,105,2.10%,16.08,2.12,-45.30%,93.00%,4.72年,2.72年,13.90%,7.60%,48,0.94%,0.53%,0.86%,-0.85%,-1.05%,89.74,54.73,88.2,3.41,91.61,15.30%,87%,51%,16%,0.06,-2.61,3,AA+,4.90%,28
37,众兴转债,128026,2018-01-03,众兴菌业,2772,农业,98.595,0.80%,-0.36%,7.83,1.95%,5.3,0.60%,11.64,1.16,-32.70%,46.60%,4.74年,2.74年,31.50%,21.20%,9.2,2.56%,2.12%,2.47%,1.67%,1.43%,87.6,67.27,84.88,7.18,92.07,7.10%,55%,29%,16%,0.23,-1.38,1.9,AA-,5.90%,38
38,泰晶转债,113503,2018-01-02,泰晶科技,603738,电子,105.7,1.74%,-0.65%,15.67,2.08%,6.7,3.00%,17.99,4.12,-12.90%,21.30%,4.74年,2.74年,8.60%,7.50%,2.2,1.43%,0.92%,1.32%,-0.76%,-0.98%,89.93,87.1,90.16,13.83,103.99,1.60%,63%,19%,16%,0.52,-0.17,1.22,AA,5.00%,30
39,崇达转债,128027,2018-01-22,崇达技术,2815,电子,118.5,2.33%,-0.99%,17.14,1.66%,27,3.00%,15.11,5.45,13.40%,4.50%,4.74年,2.74年,5.50%,6.20%,7.8,-1.43%,-1.84%,-1.51%,-4.64%,-4.84%,91.25,113.43,90.73,32.66,123.39,-4.00%,63%,<2%,16%,0.81,1.39,0.27,AA,4.40%,8
40,铁汉转债,123004,2018-01-26,铁汉生态,300197,城市公用设施,120.77,3.78%,-0.60%,4.75,3.71%,29,5.20%,3.99,1.7,19.00%,1.40%,4.75年,2.75年,4.30%,5.10%,4.8,-1.92%,-2.31%,-2.00%,-5.33%,-5.51%,91.25,119.05,90.67,36.37,127.04,-4.90%,67%,<2%,15%,0.86,1.72,0.07,AA,4.30%,70
41,东财转债!,123006,2018-01-29,东方财富,300059,金融,175.93,3.58%,0.05%,19.97,3.74%,"1,130",28.80%,11.36,7.13,75.80%,0.10%,4.76年,2.76年,2.20%,3.90%,22.6,-9.41%,-9.76%,-9.48%,-11.10%,-11.20%,91.07,175.79,91.67,89.21,180.88,-2.70%,58%,<2%,17%,0.97,1.56,0.42,AA,4.10%,32
42,赣锋转债,128028,2018-01-19,赣锋锂业,2460,有色金属,106.8,1.28%,-0.80%,31.46,1.39%,24,2.40%,42.58,7.45,-26.10%,44.60%,4.76年,2.76年,2.20%,1.70%,9.3,0.59%,0.21%,0.52%,-1.39%,-1.55%,88.22,73.88,86.15,9.16,95.31,12.10%,71%,35%,17%,0.34,-2.11,3.01,AA,5.30%,16
43,太阳转债,128029,2018-01-16,太阳纸业,2078,造纸包装印刷,113,3.76%,-2.18%,7.3,4.29%,15,1.10%,8.75,1.6,-16.60%,35.40%,3.76年,1.76年,6.30%,5.30%,12,-1.13%,-1.54%,-1.21%,-5.44%,-5.58%,93,83.43,91.5,9.02,100.52,12.40%,37%,33%,16%,0.37,-1.97,2.89,AA+,4.60%,10
44,天康转债,128030,2018-01-29,天康生物,2100,农业,124.25,1.35%,0.05%,8.58,1.90%,5.3,0.40%,8.15,2.66,5.30%,18.00%,4.76年,2.76年,12.10%,12.70%,10,-2.04%,-2.52%,-2.14%,-6.15%,-6.35%,90.81,105.28,91.69,25.47,117.16,6.00%,31%,27%,16%,0.73,-0.76,2.28,AA,4.50%,10
45,双环转债,128032,2018-01-25,双环传动,2472,机械装备制造,105.795,0.84%,0.18%,7.55,2.86%,6.7,0.60%,9.99,1.57,-24.40%,40.00%,4.77年,2.77年,19.30%,14.60%,10,0.99%,0.57%,0.91%,-0.82%,-1.03%,88.9,75.58,87.07,9.42,96.49,9.60%,54%,32%,16%,0.36,-1.71,2.56,AA,5.30%,14
46,蒙电转债,110041,2018-01-09,内蒙华电,600863,能源电力,114.1,1.78%,-0.73%,2.87,1.77%,35,1.70%,2.92,1.57,-1.70%,16.10%,4.76年,2.76年,11.20%,11.00%,18.7,-0.61%,-1.02%,-0.69%,-3.33%,-3.54%,92.27,98.29,92.34,20.01,112.36,1.60%,23%,18%,16%,0.59,0.31,0.87,AAA,4.00%,18
47,航电转债,110042,2018-01-15,中航电子,600372,航空航天,124,1.43%,-0.92%,16.96,0.65%,23,0.80%,14.23,4.33,19.20%,4.00%,4.77年,2.77年,8.00%,9.60%,24,-2.56%,-2.93%,-2.63%,-6.07%,-6.27%,92.14,119.18,91.39,37.07,128.46,-3.50%,35%,<2%,16%,0.79,1.56,0.09,AAA,4.00%,22
48,吉视转债,113017,2018-01-15,吉视传媒,601929,传媒娱乐,109.53,1.32%,-0.44%,2.86,1.42%,29,1.70%,2.96,1.34,-3.40%,13.40%,4.78年,2.78年,17.50%,16.90%,15.6,0.15%,-0.25%,0.07%,-2.07%,-2.26%,90.92,96.62,90.2,19.61,109.81,-0.30%,27%,16%,16%,0.62,0.53,0.72,AA+,4.40%,40
49,迪龙转债,128033,2018-01-29,雪迪龙,2658,城市公用设施,108,2.73%,0.58%,8.8,5.01%,15,2.70%,9.03,2.68,-2.50%,10.80%,4.78年,2.78年,9.80%,9.50%,5.2,0.45%,0.05%,0.37%,-1.59%,-1.79%,90.17,97.45,89,21.67,110.67,-2.40%,38%,15%,17%,0.66,0.82,0.52,AA,4.70%,48
50,道氏转债,123007,2018-01-26,道氏技术,300409,建筑,142.8,2.20%,-1.00%,21.84,1.30%,69,13.80%,15.2,5.59,43.70%,-0.60%,4.78年,2.78年,3.50%,5.00%,3.4,-5.04%,-5.46%,-5.13%,-10.30%,-10.50%,91.83,143.68,92.44,58.3,150.74,-5.30%,77%,<2%,16%,0.93,1.95,0,AA-,4.20%,28
51,常熟转债,113018,2018-02-06,常熟银行,601128,金融,138.3,1.83%,0.21%,7.95,2.32%,96,3.90%,5.76,1.54,38.00%,0.20%,4.84年,无权,10.10%,14.00%,18.2,-4.75%,-5.09%,-4.82%,无权,无权,无权,138.02,90.42,54.63,145.05,-4.70%,42%,<2%,18%,0.88,1.81,0.04,AA+,4.10%,42
52,江银转债,128034,2018-02-14,江阴银行,2807,金融,117.302,1.56%,0.50%,6.55,2.66%,41,2.00%,5.67,1.15,15.50%,1.50%,4.86年,无权,14.90%,17.20%,17.6,-1.41%,-1.77%,-1.48%,无权,无权,无权,115.52,89.89,35.41,125.3,-6.40%,49%,<2%,18%,0.77,2.04,-0.36,AA+,4.20%,60
53,无锡转债,110043,2018-03-14,无锡银行,600908,金融,110.88,1.25%,0.33%,6.82,2.25%,61,1.80%,6.7,1.27,1.80%,8.90%,4.87年,无权,23.80%,24.20%,30,-1.05%,-1.26%,-1.09%,无权,无权,无权,101.79,86.14,26.91,113.06,-1.90%,47%,17%,18%,0.7,0.96,0.47,AA+,4.30%,54
54,大族转债,128035,2018-03-05,大族激光,2008,电子,113.1,1.42%,-0.22%,43.38,2.89%,20,0.80%,52.5,5.65,-17.40%,36.90%,4.89年,2.89年,5.00%,4.10%,23,-0.87%,-1.19%,-0.94%,-2.47%,-2.77%,91.44,82.63,87.31,13.15,100.45,12.60%,39%,34%,16%,0.42,-2,3.04,AA+,4.60%,18
55,玲珑转债,113019,2018-03-22,玲珑轮胎,601966,汽车,109.27,1.09%,-0.44%,17.22,1.35%,44,2.00%,18.84,2.19,-8.60%,19.50%,3.95年,1.95年,9.70%,8.80%,20,0.86%,0.26%,0.74%,-3.32%,-3.47%,92.67,91.4,95.07,12.44,107.51,1.60%,34%,19%,16%,0.48,0.02,0.94,AA+,4.50%,16
56,康泰转债,123008,2018-03-19,康泰生物,300601,医药,146,4.27%,1.45%,45.92,6.12%,79,26.80%,31.23,18.64,47.00%,-0.70%,4.87年,2.87年,0.70%,1.00%,2.1,-5.59%,-5.96%,-5.67%,-10.70%,-10.80%,91.34,147.04,91.16,62.72,153.88,-5.10%,69%,<2%,16%,0.93,1.93,0.03,AA-,4.20%,12
57,艾华转债,113504,2018-03-23,艾华集团,603989,电子,113.34,0.74%,-1.03%,21.7,-0.41%,0.2,0.00%,21.73,4.65,-0.10%,13.50%,4.96年,2.96年,8.20%,8.20%,6.9,-0.46%,-0.86%,-0.54%,-2.95%,-3.14%,89.86,99.86,89.02,23.33,112.36,0.90%,40%,17%,16%,0.7,0.17,1.23,AA,4.60%,6
58,杭电转债,113505,2018-03-27,杭电股份,603618,能源电力,107.22,1.44%,-0.61%,6.77,1.35%,5.4,0.60%,7.29,2.15,-7.10%,15.50%,4.97年,2.97年,16.80%,15.60%,7.8,1.04%,0.57%,0.95%,-1.19%,-1.39%,89.35,92.87,89.83,17.95,107.78,-0.50%,72%,15%,16%,0.61,0.3,0.92,AA,4.80%,40
59,星源转债,123009,2018-04-10,星源材质,300568,汽车,119.3,5.10%,2.94%,31.65,10.00%,21,3.80%,27.69,4.25,14.30%,4.40%,4.97年,2.97年,7.90%,9.00%,4.8,-1.59%,-1.96%,-1.66%,-4.59%,-4.77%,90.14,114.3,89.4,34.68,124.08,-3.90%,64%,15%,17%,0.8,1.35,0.3,AA,4.40%,16
60,长证转债,127005,2018-04-11,长江证券,783,金融,116.5,1.44%,-0.27%,7.51,1.90%,41,0.70%,7.45,1.59,0.80%,15.60%,4.98年,无权,12.00%,12.10%,50,-1.22%,-1.57%,-1.29%,无权,无权,无权,100.81,90.53,24.73,115.25,1.10%,31%,20%,18%,0.61,0.41,0.82,AAA,4.00%,40
61,敖东转债,127006,2018-05-11,吉林敖东,623,医药,109.26,1.64%,-0.21%,18.48,2.67%,13,0.50%,20.82,1.04,-11.20%,23.10%,4.99年,2.99年,11.20%,10.00%,24.1,-0.16%,-0.47%,-0.22%,-2.15%,-2.27%,89,88.76,87.42,16.17,103.59,5.50%,31%,25%,16%,0.54,-0.7,1.8,AA+,4.50%,38
62,岩土转债,128037,2018-04-25,中化岩土,2542,建筑,101.931,1.84%,-0.65%,5.68,4.03%,37,6.20%,8.03,2.85,-29.30%,44.10%,4.99年,2.99年,5.80%,4.10%,6,2.09%,1.60%,1.99%,0.43%,0.22%,87.58,70.73,87.12,7.26,94.38,8.00%,55%,29%,16%,0.3,-1.47,2.15,AA,5.40%,68
63,利欧转债,128038,2018-04-19,利欧股份,2131,传媒娱乐,129.155,1.45%,-0.26%,2.23,1.36%,142,35.90%,1.72,1.49,29.70%,-0.40%,5年3.3天,3年3.3天,2.30%,2.90%,3.1,-2.49%,-2.97%,-2.58%,-6.77%,-6.96%,90.88,129.65,92.99,45.55,138.54,-6.80%,80%,<2%,16%,0.87,2.18,-0.29,AA,4.30%,96
64,金农转债,128036,2018-04-02,金新农,2548,农业,113.3,2.07%,0.38%,10.79,3.06%,68,10.80%,9.62,2.83,12.20%,1.00%,4.98年,2.98年,13.50%,15.10%,5.5,-0.44%,-0.84%,-0.52%,-2.89%,-3.09%,90.16,112.16,89.48,33.35,122.82,-7.80%,39%,<2%,17%,0.8,2.16,-0.4,AA-,4.50%,58
65,鼎信转债,113506,2018-05-14,鼎信通讯,603421,能源电力,130.06,2.08%,0.50%,28.39,2.90%,36,13.10%,21.65,5.49,31.10%,-0.80%,5年24天,3年24天,1.70%,2.20%,2.2,-3.20%,-3.57%,-3.27%,-6.92%,-7.10%,90.55,131.13,90.07,48.93,139,-6.40%,52%,<2%,16%,0.89,2.16,-0.24,AA,4.20%,34
66,天马转债,113507,2018-05-07,天马科技,603668,农业,119.32,2.68%,-1.23%,8.79,1.74%,8.1,2.90%,7.37,2.94,19.30%,0.00%,5年27天,3年27天,8.90%,10.60%,2.3,-1.04%,-1.50%,-1.13%,-4.25%,-4.46%,90.36,119.27,91.39,38.37,129.76,-8.00%,54%,<2%,17%,0.83,2.31,-0.48,AA-,4.40%,40
67,新凤转债,113508,2018-05-16,新凤鸣,603225,服装纺织,109.96,2.78%,1.43%,21.72,7.00%,96,4.10%,23.74,2.36,-8.50%,20.20%,5年38天,3年38天,11.60%,10.60%,21.5,0.56%,0.09%,0.47%,-1.82%,-2.03%,89.01,91.49,89.46,17.71,107.17,2.60%,49%,22%,16%,0.6,-0.34,1.55,AA,4.80%,28
68,新泉转债,113509,2018-06-22,新泉股份,603179,汽车,108,1.89%,-0.32%,17.96,2.51%,10,2.10%,19.38,2.68,-7.30%,16.50%,5.21年,3.21年,11.00%,10.20%,4.5,0.55%,0.16%,0.48%,-1.23%,-1.44%,88.68,92.67,87.63,20.41,108.04,0.00%,55%,18%,17%,0.62,0.24,1,AA,4.80%,24
69,三力转债,128039,2018-06-29,三 力 士,2224,机械装备制造,119.9,1.78%,-0.67%,6.93,1.32%,5.6,1.00%,5.84,2.61,18.70%,1.00%,5.22年,3.22年,10.30%,12.20%,4.7,-1.56%,-1.92%,-1.63%,-4.32%,-4.50%,89.45,118.66,88.71,39.59,128.29,-6.50%,38%,<2%,17%,0.84,1.98,-0.18,AA-,4.40%,32
70,华通转债,128040,2018-07-13,华通医药,2758,医药,107.5,1.99%,-1.93%,10.89,0.09%,9.5,4.00%,11.45,3.56,-4.90%,13.00%,5.24年,3.24年,9.80%,9.30%,2.2,1.03%,0.56%,0.93%,-1.03%,-1.25%,88.39,95.11,88.7,22.15,110.85,-3.00%,76%,12%,18%,0.64,0.78,0.52,AA-,4.90%,52
71,再升转债,113510,2018-07-13,再升科技,603601,城市公用设施,104.42,1.67%,-1.28%,9,1.12%,2.2,1.80%,11.32,3.87,-20.50%,31.30%,5.25年,1.25年,2.30%,1.90%,1.1,1.60%,1.13%,1.50%,-2.21%,-2.37%,93.61,79.51,85.48,14.72,100.2,4.20%,67%,23%,17%,0.35,-0.68,1.38,AA-,5.60%,30
