,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
11,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,124.79,-0.92%,-0.95%,10.67,-2.20%,29,1.40%,8.13,2.58,31.20%,131.24,-4.90%,5.90年,3.90年,14.40%,18.90%,16,-0.82%,-1.37%,-0.93%,-4.35%,-4.54%,88.6,94.09,45.83,139.92,-10.80%,41%,<2%,16%,0.85,3.23,-1.18,AA+,4.10%,35
12,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,125.822,-1.20%,-1.78%,16.64,-3.54%,20,1.30%,13.62,5.19,22.20%,122.17,3.00%,5.90年,3.90年,6.60%,8.00%,12,-1.06%,-1.59%,-1.16%,-4.66%,-4.83%,87.57,92.63,38.58,131.21,-4.10%,51%,<2%,16%,0.84,1.41,0.32,AA,4.30%,16
13,中信转债,113021,2019-03-19,中信银行,601998,金融,108.06,-0.34%,-0.06%,6.43,-0.92%,106,0.20%,7.45,0.78,-13.70%,86.31,25.20%,5.90年,无权,12.70%,11.00%,400,1.70%,1.13%,1.59%,无权,无权,无权,95.05,13.37,108.42,-0.30%,23%,18%,17%,0.43,0.54,0.34,AAA,4.00%,37
14,富祥转债,123020,2019-03-29,富祥股份,300497,医药,127.315,-2.05%,-2.21%,23.52,-4.85%,121,22.60%,18.05,4.83,30.30%,130.3,-2.30%,5.89年,3.89年,8.00%,10.40%,4.2,-0.86%,-1.47%,-0.98%,-4.82%,-5.01%,88.21,94.98,44.31,139.29,-8.60%,64%,<2%,16%,0.88,2.5,-0.55,AA-,4.30%,42
15,长城转债,113528,2019-03-20,长城科技,603897,机械装备制造,109.85,-1.47%,0.07%,25.19,-1.87%,10,1.50%,24.18,2.74,4.20%,104.18,5.40%,5.89年,3.89年,14.10%,14.70%,6.3,1.26%,0.72%,1.15%,-1.25%,-1.46%,87.11,90.99,26.42,117.41,-6.40%,56%,8%,17%,0.75,1.57,0.01,AA-,4.60%,32
16,今飞转债,128056,2019-03-22,今飞凯达,2863,汽车,111.702,-0.71%,-0.02%,7.36,-0.94%,8.7,2.10%,6.8,2.94,8.20%,108.24,3.20%,5.88年,3.88年,13.30%,14.40%,3.7,1.49%,0.85%,1.36%,-1.59%,-1.81%,87.25,93.46,28.24,121.7,-8.20%,71%,<2%,17%,0.77,1.92,-0.25,A+,4.70%,39
17,中天转债,110051,2019-03-22,中天科技,600522,通信互联网,114.11,0.36%,1.98%,10.56,3.33%,63,1.40%,10.29,1.72,2.60%,102.62,11.20%,5.88年,3.88年,12.20%,12.60%,39.7,0.03%,-0.41%,-0.06%,-2.33%,-2.50%,87.67,89.64,24.89,114.52,-0.40%,64%,17%,16%,0.7,0.55,0.86,AA+,4.30%,23
18,长青转2,128055,2019-04-03,长青股份,2391,石油天然气化工,131.607,-1.79%,0.87%,15.6,-1.02%,105,8.70%,11.41,1.72,36.70%,136.72,-3.70%,5.88年,3.88年,16.30%,22.30%,9.1,-2.23%,-2.68%,-2.32%,-5.70%,-5.87%,88.23,91.16,52.72,143.88,-8.50%,30%,<2%,16%,0.9,2.66,-0.63,AA,4.20%,44
19,中来转债,123019,2019-03-22,中来股份,300393,能源电力,109.881,-1.13%,-0.94%,20.8,-3.12%,23,2.10%,20.41,2,1.90%,101.91,7.80%,5.88年,3.88年,19.90%,20.30%,10,2.25%,1.52%,2.11%,-1.17%,-1.40%,86.78,95.19,23.52,118.71,-7.40%,48%,9%,18%,0.67,1.66,-0.23,AA-,4.80%,50
20,中宠转债,128054,2019-03-14,中宠股份,2891,农业,110.1,-0.90%,-1.03%,35.15,-2.79%,6.9,3.20%,37.97,4.8,-7.40%,92.57,18.90%,5.85年,3.85年,5.50%,5.10%,1.9,0.85%,0.37%,0.76%,-1.44%,-1.62%,85.84,87.72,18.81,106.53,3.40%,48%,21%,16%,0.69,-0.7,2.12,A+,4.90%,15
21,尚荣转债,128053,2019-03-07,尚荣医疗,2551,医药,122.5,-0.37%,-0.71%,6.51,-1.21%,36,3.90%,4.94,1.99,31.80%,131.78,-7.00%,5.85年,3.85年,16.30%,21.50%,7.5,-1.05%,-1.51%,-1.14%,-4.08%,-4.25%,88.08,90.97,48.28,139.25,-12.00%,42%,<2%,16%,0.89,3.5,-1.31,AA,4.20%,58
22,维格转债,113527,2019-02-19,维格娜丝,603518,服装纺织,118.38,-0.09%,0.18%,18.21,0.11%,9.9,1.10%,14.96,1.36,21.70%,121.72,-2.70%,5.79年,3.79年,22.70%,27.70%,7.5,0.34%,-0.27%,0.22%,-3.25%,-3.43%,87.94,94.59,38.44,133.03,-11.00%,39%,<2%,18%,0.81,2.97,-1.05,AA,4.40%,45
23,联泰转债,113526,2019-02-18,联泰环保,603797,城市公用设施,116.49,-0.61%,-1.07%,14.3,-2.05%,1.2,0.30%,12.31,2.89,16.20%,116.17,0.30%,5.79年,3.79年,12.80%,14.90%,3.9,-0.83%,-1.18%,-0.90%,-2.95%,-3.11%,87.6,87.12,38.67,125.79,-7.40%,50%,<2%,18%,0.81,2.14,-0.37,AA,4.40%,18
24,平银转债,127010,2019-02-18,平安银行,1,金融,122.89,-0.74%,0.31%,13.73,-0.58%,202,0.60%,11.77,1.07,16.70%,116.65,5.30%,5.78年,无权,11.00%,12.90%,260,-0.72%,-1.25%,-0.82%,无权,无权,无权,94.59,34.16,128.74,-4.50%,29%,<2%,16%,0.74,1.73,-0.16,AAA,4.00%,48
25,冰轮转债,127009,2019-02-21,冰轮环境,811,机械装备制造,145.81,4.67%,4.83%,9.61,9.95%,238,33.00%,5.52,2.22,74.10%,174.09,-16.20%,5.76年,3.76年,8.10%,14.10%,5.1,-4.06%,-4.50%,-4.15%,-8.35%,-8.51%,88.81,91.92,87.71,179.63,-18.80%,44%,<2%,17%,0.95,5.72,-2.74,AA,4.10%,29
26,凯龙转债,128052,2019-01-21,凯龙股份,2783,石油天然气化工,152.03,-0.28%,2.06%,12.59,1.86%,127,25.20%,6.97,2.89,80.60%,180.63,-15.80%,5.70年,3.70年,7.90%,14.20%,3.3,-4.79%,-5.24%,-4.88%,-9.45%,-9.61%,89.27,92.39,93.82,186.22,-18.40%,78%,<2%,17%,0.96,5.59,-2.65,AA,4.10%,34
27,溢利转债,123018,2019-01-23,溢多利,300381,医药,117.865,-1.45%,-1.37%,10.2,-3.32%,14,1.70%,8.41,2.08,21.30%,121.28,-2.80%,5.69年,3.69年,16.00%,19.40%,6.7,-0.39%,-0.87%,-0.49%,-3.27%,-3.45%,88.13,90.78,39.67,130.44,-9.60%,77%,<2%,17%,0.85,2.68,-0.75,AA-,4.40%,34
28,佳都转债,110050,2019-01-21,佳都科技,600728,计算机及应用,134.32,-0.83%,-0.51%,11.59,-1.45%,53,4.50%,7.95,5.7,45.80%,145.79,-7.90%,5.69年,3.69年,4.70%,6.80%,8.8,-2.84%,-3.27%,-2.93%,-6.52%,-6.69%,88.89,91.12,60.99,152.1,-11.70%,71%,<2%,16%,0.93,3.54,-1.28,AA,4.10%,26
29,海尔转债,110049,2019-01-18,青岛海尔,600690,家电,129.5,-0.15%,-1.33%,18.14,-1.79%,64,1.60%,14.55,3.14,24.70%,124.67,3.90%,5.69年,3.69年,2.60%,3.20%,30.1,-2.87%,-3.18%,-2.93%,-5.69%,-5.85%,89.08,88.35,43.75,132.1,-2.00%,32%,14%,16%,0.83,1.26,0.44,AAA,4.00%,24
30,台华转债,113525,2019-01-11,台华新材,603055,服装纺织,116.03,-0.98%,0.38%,12.58,-0.79%,2.8,0.50%,11.56,2.76,8.80%,108.82,6.60%,5.68年,3.68年,7.70%,8.40%,5.3,-0.11%,-0.59%,-0.21%,-2.88%,-3.06%,87.86,90.35,29.69,120.04,-3.30%,47%,13%,17%,0.76,1.1,0.46,AA,4.50%,8
31,奇精转债,113524,2019-01-07,奇精机械,603677,家电,110.29,-0.91%,0.27%,15.3,-0.91%,1.6,0.40%,14.76,3.11,3.70%,103.66,6.40%,5.68年,3.68年,11.00%,11.40%,3.3,1.27%,0.69%,1.15%,-1.58%,-1.77%,87.48,92.09,25.55,117.64,-6.20%,60%,10%,18%,0.7,1.59,-0.1,AA,4.60%,50
32,光华转债,128051,2019-01-09,光华科技,2741,汽车,109.1,-0.47%,-0.97%,15.98,-2.20%,1.7,0.60%,17.03,4.97,-6.20%,93.83,16.30%,5.68年,3.68年,4.20%,3.90%,2.5,1.11%,0.60%,1.01%,-1.17%,-1.38%,87.1,89.1,19.76,108.86,0.20%,37%,19%,17%,0.65,0.01,1.3,AA-,4.90%,21
33,钧达转债,128050,2018-12-27,钧达股份,2865,汽车,110.571,-0.83%,-1.30%,22.74,-3.11%,8.9,2.50%,21.74,3.2,4.60%,104.6,5.70%,5.67年,3.67年,11.60%,12.10%,3.2,2.10%,1.37%,1.96%,-1.50%,-1.71%,87.51,95.77,24.41,120.18,-8.00%,66%,7%,18%,0.69,1.88,-0.38,AA-,4.80%,73
34,伟明转债,113523,2018-12-26,伟明环保,603568,城市公用设施,119.62,3.57%,3.49%,28.14,8.48%,86,10.90%,23.92,6.64,17.60%,117.64,1.70%,5.67年,3.67年,3.50%,4.10%,6.7,-0.66%,-1.13%,-0.75%,-3.67%,-3.85%,88.36,91.07,35.72,126.79,-5.70%,43%,<2%,16%,0.83,1.75,0,AA,4.30%,27
35,福能转债,110048,2018-12-28,福能股份,600483,能源电力,119.33,-1.54%,1.86%,9.93,0.40%,36,1.00%,8.69,1.41,14.30%,114.27,4.40%,5.66年,3.66年,18.40%,21.00%,28.3,-0.77%,-1.22%,-0.86%,-3.61%,-3.79%,88.78,90.9,33.04,123.94,-3.70%,29%,10%,16%,0.79,1.41,0.22,AA+,4.20%,11
36,华源转债,128049,2018-12-20,华源控股,2787,造纸包装印刷,119.72,0.77%,0.87%,9.65,1.90%,11,2.40%,7.57,2.21,27.50%,127.48,-6.10%,5.63年,3.63年,13.30%,17.00%,4,-0.62%,-1.11%,-0.71%,-3.67%,-3.86%,88.7,91.54,45.31,136.85,-12.50%,75%,<2%,18%,0.86,3.47,-1.34,AA-,4.30%,61
37,旭升转债,113522,2018-12-11,旭升股份,603305,汽车,113.8,-0.36%,-0.77%,30.7,-1.63%,3.8,0.80%,29.86,8.74,2.80%,102.81,10.70%,5.62年,3.62年,3.40%,3.50%,4.2,1.01%,0.38%,0.89%,-2.42%,-2.61%,87.66,93.8,22.14,115.94,-1.80%,63%,14%,16%,0.69,0.64,0.75,AA,4.60%,19
38,山鹰转债,110047,2018-12-10,山鹰纸业,600567,造纸包装印刷,126.73,0.00%,-0.19%,4.29,-0.23%,72,2.50%,3.34,1.53,28.40%,128.44,-1.30%,5.61年,3.61年,11.70%,15.00%,23,-1.21%,-1.77%,-1.32%,-5.18%,-5.36%,89.13,94.66,42.33,136.99,-7.50%,29%,<2%,16%,0.84,2.39,-0.53,AA+,4.20%,65
39,寒锐转债,123017,2018-12-24,寒锐钴业,300618,有色金属,118.721,-3.87%,-4.13%,89.46,-9.73%,27,5.20%,81.49,9.61,9.80%,109.78,8.10%,5.61年,3.61年,2.60%,2.80%,4.4,-1.20%,-1.55%,-1.27%,-3.57%,-3.74%,88.03,87.44,31.6,119.05,-0.30%,77%,17%,16%,0.82,0.48,1.16,AA-,4.40%,44
40,圆通转债,110046,2018-12-18,圆通速递,600233,交通运输,125.25,-0.79%,-0.17%,13.91,-1.14%,38,0.80%,10.89,3.82,27.70%,127.73,-1.90%,5.61年,3.61年,9.30%,11.80%,36.5,-1.45%,-1.93%,-1.54%,-4.83%,-5.02%,89.44,92.46,43.55,136.01,-7.90%,61%,<2%,16%,0.85,2.51,-0.61,AA+,4.20%,39
41,桐昆转债,113020,2018-12-12,桐昆股份,601233,服装纺织,133.11,0.05%,0.83%,17.45,0.98%,72,1.40%,12.63,2.08,38.20%,138.16,-3.70%,5.61年,3.61年,12.00%,16.50%,38,-2.91%,-3.31%,-2.99%,-6.47%,-6.64%,89.13,90.64,54.09,144.72,-8.00%,48%,<2%,16%,0.9,2.63,-0.62,AA+,4.10%,26
42,特发转债,127008,2018-12-25,特发信息,70,通信互联网,183.788,-1.03%,-1.34%,14.55,-2.41%,104,13.40%,6.78,4.3,115%,214.6,-14.40%,4.60年,2.60年,4.60%,9.90%,4.2,-10.40%,-10.10%,-10.30%,-12.80%,-12.90%,91.71,93.18,124.72,217.91,-15.70%,60%,<2%,17%,0.98,4.85,-2.13,AA,4.00%,44
43,科森转债,113521,2018-12-07,科森科技,603626,通信互联网,115.99,0.42%,2.09%,10.65,3.10%,24,3.40%,8.95,2.53,19.00%,118.99,-2.50%,5.60年,3.60年,13.80%,16.40%,6.1,-0.05%,-0.54%,-0.15%,-2.88%,-3.07%,88.67,91.45,38.16,129.6,-10.50%,63%,<2%,18%,0.81,2.88,-0.98,AA,4.40%,66
44,张行转债,128048,2018-11-29,张家港行,2839,金融,119.54,-0.88%,-0.31%,6.96,-1.56%,33,1.10%,6.06,1.4,14.90%,114.85,4.10%,5.59年,无权,19.90%,22.80%,25,-0.81%,-1.27%,-0.90%,无权,无权,无权,91.06,34.78,125.85,-5.00%,56%,9%,18%,0.77,1.67,-0.05,AA+,4.20%,27
45,百合转债,113520,2018-11-26,梦百合,603313,其他,142.58,0.41%,0.96%,29.32,1.45%,28,3.90%,19.03,4.1,54.10%,154.07,-7.50%,5.58年,3.58年,7.20%,11.10%,5.1,-3.74%,-4.21%,-3.84%,-8.15%,-8.33%,89.52,92.69,67.67,160.37,-11.10%,41%,<2%,16%,0.94,3.4,-1.15,AA-,4.10%,19
46,洲明转债,123016,2018-12-03,洲明科技,300232,电子,148,-0.62%,1.72%,14.78,1.16%,10,1.30%,9.45,5.35,56.40%,156.4,-5.40%,5.57年,3.57年,4.90%,7.60%,5.5,-4.39%,-4.85%,-4.48%,-9.02%,-9.21%,89.79,92.84,69.88,162.72,-9.00%,69%,<2%,16%,0.95,2.89,-0.75,AA-,4.10%,13
47,长久转债,113519,2018-11-30,长久物流,603569,交通运输,119.52,-0.17%,0.39%,14.33,0.28%,10,1.20%,11.99,3.57,19.50%,119.52,0.00%,5.57年,3.57年,8.70%,10.40%,7,0.16%,-0.47%,0.04%,-3.66%,-3.86%,88.79,95.35,35.05,130.4,-8.30%,53%,<2%,17%,0.8,2.32,-0.53,AA,4.40%,23
48,光电转债,128047,2018-12-07,中航光电,2179,机械装备制造,118.3,-0.58%,1.05%,40.87,0.67%,16,1.10%,40.26,5.59,1.50%,101.52,16.50%,5.57年,3.57年,4.00%,4.10%,13,-1.32%,-1.64%,-1.38%,-3.54%,-3.71%,88.55,87.38,25.06,112.44,5.20%,34%,25%,16%,0.7,-0.5,1.92,AA+,4.30%,10
49,利尔转债,128046,2018-11-09,利尔化学,2258,石油天然气化工,118.65,-1.13%,0.75%,18.4,-0.54%,35,3.40%,18.62,3.26,-1.20%,98.82,20.10%,5.52年,3.52年,8.80%,8.70%,8.5,-0.85%,-1.28%,-0.93%,-3.60%,-3.78%,88.11,88.85,22.11,110.96,6.90%,61%,27%,16%,0.7,-1.01,2.49,AA,4.60%,13
50,顾家转债,113518,2018-10-09,顾家家居,603816,其他,122.52,0.43%,1.21%,56.9,2.12%,39,2.90%,52.2,5.75,9.00%,109,12.40%,5.42年,3.42年,4.50%,4.90%,11,-1.13%,-1.63%,-1.23%,-4.56%,-4.75%,88.92,91.46,28.1,119.56,2.50%,39%,21%,16%,0.77,-0.07,1.61,AA,4.50%,6
51,机电转债,128045,2018-09-14,中航机电,2013,航空航天,119.199,-0.25%,-1.35%,8.16,-2.28%,20,0.80%,7.66,3.32,6.50%,106.53,11.90%,5.38年,3.38年,7.10%,7.60%,21,-1.51%,-1.84%,-1.57%,-3.94%,-4.11%,90.17,89.43,27.38,116.8,2.00%,56%,21%,16%,0.7,0.32,1.08,AAA,4.00%,13
52,岭南转债,128044,2018-09-04,岭南股份,2717,城市公用设施,116.589,-0.07%,0.96%,10.14,1.10%,9.2,1.20%,8.96,2.37,13.20%,113.17,3.00%,5.34年,3.34年,6.30%,7.20%,6.6,-0.75%,-1.15%,-0.83%,-3.34%,-3.53%,89.3,89.61,32.64,122.25,-4.60%,67%,<2%,16%,0.82,1.51,0.19,AA,4.40%,26
53,蓝盾转债,123015,2018-09-13,蓝盾股份,300297,计算机及应用,126.731,-0.21%,-0.14%,7.4,-0.40%,5.1,2.00%,5.82,2.08,27.10%,127.15,-0.30%,5.34年,3.34年,2.20%,2.80%,2,-2.12%,-2.55%,-2.20%,-5.59%,-5.77%,89.87,91.17,43.65,134.82,-6.00%,37%,<2%,16%,0.88,1.98,-0.11,AA,4.20%,45
54,曙光转债,113517,2018-08-23,中科曙光,603019,计算机及应用,125.68,-0.92%,-0.44%,60.08,-1.64%,28,2.00%,51.28,10.57,17.20%,117.16,7.30%,5.32年,3.32年,2.90%,3.40%,11.2,-1.97%,-2.40%,-2.05%,-5.39%,-5.58%,89.67,90.82,35.19,126.01,-0.30%,60%,17%,16%,0.83,0.62,1.05,AA,4.30%,6
55,东音转债,128043,2018-08-27,东音股份,2793,机械装备制造,114.09,-0.95%,-0.34%,12.61,-1.64%,4.9,1.60%,11.43,2.98,10.30%,110.32,3.40%,5.31年,3.31年,10.70%,11.80%,2.7,0.24%,-0.29%,0.13%,-2.70%,-2.90%,89.13,91.68,29.69,121.37,-6.00%,69%,<2%,17%,0.78,1.67,-0.01,AA-,4.50%,40
56,苏农转债,113516,2018-08-20,苏农银行,603323,金融,125.37,-0.82%,1.75%,7.88,1.16%,18,1.10%,6.34,1.28,24.30%,124.29,0.90%,5.31年,无权,10.00%,12.40%,12.9,-1.55%,-2.06%,-1.65%,无权,无权,无权,93.38,40.81,134.2,-6.60%,49%,<2%,18%,0.8,2.14,-0.39,AA+,4.20%,32
57,凯发转债,123014,2018-08-21,凯发电气,300407,能源电力,119.111,-1.97%,0.85%,9.56,-1.34%,2.4,0.60%,8.15,2.7,17.30%,117.3,1.50%,4.29年,2.29年,11.70%,13.80%,3.2,-1.97%,-2.37%,-2.05%,-6.05%,-6.21%,91.82,90.9,34.22,125.12,-4.80%,64%,<2%,18%,0.83,1.56,0.17,A+,4.50%,19
58,凯中转债,128042,2018-09-03,凯中精密,2823,能源电力,110.7,-0.67%,0.27%,12.96,-0.61%,4.8,1.00%,13.25,2.88,-2.20%,97.81,13.20%,5.30年,3.30年,11.00%,10.80%,4.2,1.12%,0.54%,1.00%,-1.86%,-2.06%,88.64,92.35,19.99,112.34,-1.50%,67%,16%,17%,0.64,0.5,0.79,AA,4.70%,52
59,横河转债,123013,2018-08-20,横河模具,300539,机械装备制造,125.3,-0.42%,0.12%,11.66,-0.34%,5.6,10.50%,9.26,6.36,25.90%,125.92,-0.50%,5.29年,3.29年,1.70%,2.10%,0.4,-1.40%,-1.94%,-1.51%,-5.13%,-5.37%,90.41,93.36,42.19,135.54,-7.60%,77%,<2%,17%,0.87,2.19,-0.31,A+,4.40%,26
60,高能转债,113515,2018-08-27,高能环境,603588,城市公用设施,127.9,-1.08%,0.00%,12.06,-1.23%,34,3.10%,9.38,3.11,28.60%,128.57,-0.50%,5.29年,3.29年,10.50%,13.50%,8.4,-2.31%,-2.74%,-2.40%,-5.92%,-6.11%,90.08,91.4,44.69,136.09,-6.00%,67%,<2%,16%,0.88,2,-0.12,AA,4.20%,31
61,万顺转债,123012,2018-08-29,万顺股份,300057,造纸包装印刷,128.73,-1.36%,0.52%,8.34,-0.95%,22,6.20%,6.47,1.36,28.90%,128.9,-0.10%,5.27年,3.27年,6.20%,8.00%,2.8,-2.77%,-3.15%,-2.85%,-6.12%,-6.31%,89.92,89.51,47.59,137.1,-6.10%,43%,<2%,18%,0.88,1.95,-0.1,AA-,4.30%,31
62,威帝转债,113514,2018-08-13,威帝股份,603023,汽车,111.56,0.23%,1.72%,6.38,2.57%,5.9,2.60%,5.92,4.08,7.80%,107.77,3.50%,4.27年,2.27年,8.70%,9.40%,2,-0.01%,-0.50%,-0.11%,-3.53%,-3.70%,91.43,91.81,25.91,117.72,-5.20%,70%,10%,18%,0.76,1.47,0.11,A+,4.70%,45
63,德尔转债,123011,2018-08-14,德尔股份,300473,汽车,110.65,-4.16%,0.28%,36.74,-5.28%,23,3.60%,34.96,2.12,5.10%,105.09,5.30%,5.27年,2.77年,14.40%,15.10%,5.6,1.19%,0.59%,1.07%,-2.33%,-2.54%,90.48,92.99,24.98,117.97,-6.20%,44%,8%,17%,0.73,1.56,-0.01,AA-,4.70%,45
64,盛路转债!,128041,2018-08-14,盛路通信,2446,通信互联网,156.62,-0.28%,-0.45%,10.79,-0.74%,20,8.20%,6.88,2.91,56.80%,156.83,-0.10%,5.27年,3.27年,1.60%,2.60%,1.6,-5.72%,-6.20%,-5.82%,-11.10%,-11.30%,91.05,94.37,62.46,156.83,-0.10%,52%,<2%,16%,1,1.03,0.97,AA,4.00%,19
65,海澜转债,110045,2018-07-31,海澜之家,600398,服装纺织,105.3,-0.94%,0.94%,9.95,0.00%,12,0.40%,12.4,3.6,-19.80%,80.24,31.20%,5.25年,3.25年,6.70%,5.40%,30,1.18%,0.76%,1.10%,-0.70%,-0.86%,88.32,88.75,9.65,98.4,7.00%,30%,27%,16%,0.42,-1.08,1.96,AA+,4.60%,40
66,安井转债,113513,2018-07-31,安井食品,603345,食品饮料,119.38,-0.33%,0.96%,41.96,0.74%,1.4,0.20%,35.46,4.96,18.30%,118.33,0.90%,5.25年,3.25年,5.50%,6.50%,5,-1.04%,-1.49%,-1.13%,-4.10%,-4.29%,89.64,90.74,36.01,126.76,-5.80%,51%,<2%,16%,0.85,1.81,-0.01,AA-,4.40%,19
67,景旺转债!,113512,2018-07-24,景旺电子,603228,电子,125,-2.24%,0.16%,62.6,-2.08%,44,6.00%,49.85,6.62,25.60%,125.58,-0.50%,5.23年,3.23年,2.20%,2.80%,5.8,-1.90%,-2.34%,-1.98%,-5.37%,-5.56%,90.97,92.66,32.91,125.58,-0.50%,38%,<2%,16%,1,1.1,0.91,AA,4.00%,10
68,博世转债,123010,2018-08-14,博世科,300422,城市公用设施,111.333,-1.08%,0.06%,12.49,-1.42%,2.8,0.60%,12.45,3.35,0.30%,100.32,11.00%,5.23年,3.23年,9.70%,9.70%,4.3,0.34%,-0.12%,0.25%,-2.06%,-2.27%,88.91,89.49,23.33,112.82,-1.30%,68%,16%,17%,0.71,0.51,0.92,AA-,4.70%,37
69,湖广转债,127007,2018-08-01,湖北广电,665,传媒娱乐,120.3,-1.39%,-0.58%,9.27,-2.52%,8.7,0.50%,7.92,0.98,17.00%,117.05,2.80%,5.21年,3.21年,21.80%,25.50%,13.7,-1.12%,-1.58%,-1.21%,-4.24%,-4.45%,90.7,92.05,35,127.05,-5.30%,32%,<2%,17%,0.78,1.8,-0.13,AA+,4.20%,34
