,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展/上市日,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
11,洪涛转债,128013,2016-08-23,洪涛股份,2325,建筑,98.134,-0.04%,0.04%,3.9,1.04%,8.8,0.70%,9.98,1.32,-60.90%,39.08,151%,3.36年,1.36年,24.60%,9.60%,12,4.19%,3.47%,4.04%,3.12%,2.74%,94.13,92.73,2.41,95.14,3.10%,36%,41%,16%,0,-0.61,0.6,AA,6.00%,78
12,光大转债,113011,2017-07-18,光大银行,601818,金融,115.3,0.04%,-0.04%,4.18,0.00%,104,0.30%,4.13,0.79,1.20%,101.21,13.90%,3.99年,无权,13.70%,13.80%,300,-1.35%,-1.78%,-1.44%,无权,无权,无权,93.73,19.64,113.37,1.70%,18%,18%,16%,0.62,0.3,0.94,AAA,4.00%,29
13,骆驼转债,113012,2017-07-18,骆驼股份,601311,汽车,118.83,1.56%,0.86%,16.02,2.89%,334,52.40%,13.44,2.44,19.20%,119.2,-0.30%,4年3.3天,2年3.3天,4.00%,4.70%,5.4,-2.10%,-2.52%,-2.19%,-6.40%,-6.64%,94.07,92.57,34.99,127.56,-6.80%,34%,<2%,16%,0.84,2.17,-0.35,AA,4.30%,20
14,永东转债,128014,2017-07-18,永东股份,2753,石油天然气化工,104.434,0.13%,-0.09%,10.77,0.09%,4.4,1.20%,13.53,2.68,-20.40%,79.6,31.20%,4年27天,2年27天,9.40%,7.50%,3.4,2.00%,1.40%,1.88%,-0.40%,-0.71%,91.83,91.16,9.39,100.55,3.90%,60%,24%,17%,0.38,-0.69,1.47,AA-,5.50%,41
15,模塑转债,127004,2017-08-16,模塑科技,700,汽车,96.913,-0.11%,0.14%,3.87,0.78%,6,0.70%,7.72,1.33,-49.90%,50.13,93.30%,4.20年,2.20年,25.60%,12.80%,8.2,4.26%,3.57%,4.12%,2.85%,2.54%,90.48,90.84,1.7,92.54,4.70%,54%,36%,17%,0.04,-0.91,1,AA,5.90%,65
16,久其转债,128015,2017-07-18,久其软件,2279,计算机及应用,105.48,-1.01%,0.74%,9.11,-1.09%,6.3,0.80%,12.86,3.29,-29.20%,70.84,48.90%,4.22年,2.22年,12.00%,8.50%,7.8,1.53%,0.98%,1.42%,-0.98%,-1.23%,90.8,89.99,6.19,96.18,9.70%,71%,36%,17%,0.25,-1.72,2.33,AA,5.50%,33
17,国君转债,113013,2017-07-24,国泰君安,601211,金融,120,-0.38%,0.65%,19.7,0.46%,128,1.50%,19.8,1.53,-0.50%,99.49,20.60%,4.30年,无权,4.10%,4.10%,70,-2.09%,-2.49%,-2.17%,无权,无权,无权,93.1,20.69,113.8,5.50%,26%,26%,17%,0.59,-0.46,1.66,AAA,4.00%,31
18,雨虹转债,128016,2017-10-20,东方雨虹,2271,建筑,118.968,0.48%,0.69%,21.49,1.99%,30,1.40%,22.63,4.38,-5.00%,94.96,25.30%,4.52年,2.52年,5.70%,5.40%,18.4,-1.69%,-2.10%,-1.77%,-5.25%,-5.45%,91.87,91.09,17.78,108.87,9.30%,51%,32%,16%,0.59,-1.29,2.57,AA+,4.40%,10
19,林洋转债,113014,2017-11-13,林洋能源,601222,能源电力,106.46,-0.22%,0.00%,6,-0.99%,9.3,0.30%,8.76,1.15,-31.50%,68.49,55.40%,4.60年,2.60年,28.30%,19.40%,30,0.89%,0.45%,0.80%,-1.09%,-1.32%,89.06,86.86,6.84,93.69,13.60%,83%,40%,16%,0.23,-2.4,3.1,AA,5.50%,14
20,金禾转债,128017,2017-11-27,金禾实业,2597,石油天然气化工,110.5,0.85%,-0.40%,18.04,1.18%,3.6,0.60%,23.32,2.68,-22.60%,77.36,42.80%,4.62年,2.62年,6.00%,4.60%,6,-0.04%,-0.45%,-0.12%,-2.49%,-2.70%,89.47,87.48,10.33,97.81,13.00%,36%,36%,17%,0.38,-2.21,3.2,AA,5.20%,24
21,隆基转债,113015,2017-11-20,隆基股份,601012,能源电力,125.26,-1.32%,-0.09%,26.73,-1.76%,55,1.60%,22.98,5,16.30%,116.32,7.70%,4.62年,2.62年,3.70%,4.40%,28,-2.76%,-3.15%,-2.84%,-6.81%,-7.00%,91.96,91.5,33.82,125.32,-0.10%,47%,17%,16%,0.8,0.71,0.89,AA+,4.20%,10
22,小康转债,113016,2017-11-21,小康股份,601127,汽车,108.9,-0.24%,-0.47%,17.07,-1.04%,6.4,0.70%,17.2,3.38,-0.80%,99.24,9.70%,4.63年,2.63年,5.50%,5.40%,8.8,0.38%,-0.05%,0.29%,-1.88%,-2.11%,91.09,90.19,21.82,112.02,-2.80%,40%,12%,16%,0.68,0.93,0.46,AA,4.60%,29
23,时达转债,128018,2017-12-04,新时达,2527,机械装备制造,100.801,0.21%,-0.20%,6.87,0.15%,3.7,0.40%,11.83,1.5,-41.90%,58.07,73.60%,4.63年,2.63年,20.70%,12.00%,8.8,2.10%,1.66%,2.01%,0.89%,0.65%,88.3,85.72,4.75,90.47,11.40%,35%,37%,16%,0.09,-2.03,2.35,AA,5.80%,37
24,久立转2,128019,2017-12-01,久立特材,2318,石油天然气化工,119.2,0.00%,-1.55%,8.36,-2.22%,26,2.10%,8.22,2.37,1.70%,101.7,17.20%,4.64年,2.64年,14.80%,15.00%,10.4,-1.69%,-2.09%,-1.77%,-5.10%,-5.29%,90.92,89.86,24.12,113.98,4.60%,35%,23%,17%,0.7,-0.53,1.95,AA,4.60%,14
25,嘉澳转债,113502,2017-11-27,嘉澳环保,603822,城市公用设施,100.17,-0.33%,0.05%,30.65,-1.13%,1.7,0.90%,45.27,3.17,-32.30%,67.7,48.00%,4.64年,2.64年,8.20%,5.60%,1.9,2.66%,2.13%,2.56%,1.15%,0.91%,88.18,87.05,6.57,93.62,7.00%,59%,30%,17%,0.25,-1.36,1.92,AA-,5.90%,39
26,济川转债,110038,2017-11-29,济川药业,600566,医药,115.76,-0.38%,-0.29%,36.03,-1.29%,3.6,0.50%,40.04,5.9,-10.00%,89.99,28.60%,3.65年,1.65年,2.10%,1.90%,6.3,-1.70%,-2.14%,-1.79%,-6.97%,-7.12%,93.02,91.36,15.58,106.95,8.20%,35%,29%,15%,0.52,-1.31,2.44,AA,5.00%,12
27,水晶转债,128020,2017-12-12,水晶光电,2273,电子,111.37,-0.06%,-0.85%,13.77,-1.78%,8.2,0.60%,16,3.29,-13.90%,86.06,29.40%,4.66年,2.66年,9.90%,8.50%,11.8,0.04%,-0.41%,-0.05%,-2.90%,-3.07%,89.44,89.29,12.93,102.22,9.00%,52%,29%,16%,0.51,-1.52,2.67,AA,5.00%,16
28,生益转债,110040,2017-12-11,生益科技,600183,电子,117.45,-0.68%,0.22%,11.89,-0.67%,12,0.60%,11.62,4.25,2.30%,102.32,14.80%,4.68年,无权,7.10%,7.30%,18,-1.36%,-1.75%,-1.44%,无权,无权,无权,90.83,23.3,114.13,2.90%,45%,22%,16%,0.68,-0.07,1.43,AA+,4.30%,2
29,国祯转债,123002,2017-12-25,国祯环保,300388,城市公用设施,126.78,0.84%,0.87%,10.92,1.96%,3.1,0.40%,8.72,2.93,25.20%,125.23,1.20%,4.68年,2.68年,9.70%,12.10%,5.8,-2.98%,-3.37%,-3.06%,-7.07%,-7.25%,91.6,91.07,41.98,133.05,-4.70%,52%,<2%,16%,0.87,1.71,0.11,AA,4.30%,10
30,兄弟转债,128021,2017-12-27,兄弟科技,2562,医药,116.81,-3.46%,1.15%,5.8,-3.01%,46,6.10%,5.35,2.4,8.40%,108.41,7.70%,4.69年,2.69年,12.50%,13.50%,6.4,-1.24%,-1.63%,-1.31%,-4.32%,-4.51%,91.06,90.21,28.36,118.58,-1.50%,68%,17%,16%,0.77,0.81,0.74,AA,4.50%,24
31,众信转债,128022,2017-12-28,众信旅游,2707,旅游餐饮酒店,109,-0.90%,1.50%,7.42,2.63%,0.8,0.10%,10.99,2.79,-32.50%,67.52,61.40%,4.70年,2.70年,10.70%,7.20%,7,0.26%,-0.15%,0.18%,-1.95%,-2.15%,88.39,85.99,7.18,93.17,17.00%,70%,51%,17%,0.23,-2.9,3.75,AA,5.50%,10
32,亚太转债,128023,2017-12-26,亚太股份,2284,汽车,97.37,-0.32%,0.33%,5.7,0.18%,3.2,0.30%,10.34,1.6,-44.90%,55.13,76.60%,4.71年,2.71年,23.80%,13.10%,10,3.24%,2.71%,3.13%,2.09%,1.86%,87.89,86.84,3.69,90.54,7.50%,37%,37%,17%,0.09,-1.41,1.63,AA,5.80%,29
33,宁行转债,128024,2018-01-12,宁波银行,2142,金融,121.9,1.25%,1.56%,20.86,3.78%,100,1.10%,18.01,1.77,15.80%,115.82,5.20%,4.71年,无权,6.90%,8.00%,75,-2.38%,-2.72%,-2.45%,无权,无权,无权,90.88,35.31,126.19,-3.40%,30%,16%,18%,0.74,1.51,0.05,AAA,4.00%,27
34,特一转债,128025,2017-12-28,特一药业,2728,医药,111.226,-0.15%,-0.32%,16.4,-0.67%,1.7,0.40%,16.1,3.14,1.90%,101.86,9.20%,4.71年,2.71年,10.30%,10.50%,3.4,-0.18%,-0.58%,-0.26%,-2.63%,-2.83%,90.37,89.16,24.75,113.92,-2.40%,36%,14%,17%,0.72,0.79,0.66,AA-,4.70%,29
35,蓝思转债,123003,2018-01-17,蓝思科技,300433,电子,106.11,-0.52%,0.41%,8.68,-2.03%,39,0.80%,16.08,2.09,-46.00%,53.98,96.60%,4.72年,2.72年,14.10%,7.60%,48,0.84%,0.43%,0.76%,-1.02%,-1.22%,89.75,88.2,3.31,91.5,16.00%,87%,53%,16%,0.06,-2.71,3.11,AA+,4.90%,31
36,众兴转债,128026,2018-01-03,众兴菌业,2772,农业,98.501,-0.09%,0.21%,7.9,0.51%,5.4,0.60%,11.64,1.17,-32.10%,67.87,45.10%,4.73年,2.73年,31.20%,21.20%,9.2,2.59%,2.14%,2.50%,1.70%,1.47%,87.67,84.99,7.36,92.35,6.70%,55%,29%,16%,0.24,-1.31,1.84,AA-,5.90%,39
37,泰晶转债,113503,2018-01-02,泰晶科技,603738,电子,106.48,0.04%,-0.76%,15.68,-1.38%,5.3,2.30%,17.99,4.12,-12.80%,87.16,22.20%,4.74年,2.74年,8.60%,7.50%,2.2,1.27%,0.76%,1.17%,-1.01%,-1.24%,89.96,90.19,13.84,104.03,2.40%,63%,19%,16%,0.52,-0.31,1.36,AA,5.00%,27
38,崇达转债,128027,2018-01-22,崇达技术,2815,电子,119.96,-0.43%,-1.76%,16.85,-2.77%,6.6,0.70%,15.11,5.36,11.50%,111.52,7.60%,4.74年,2.74年,5.50%,6.20%,7.8,-1.69%,-2.10%,-1.77%,-5.05%,-5.25%,91.21,90.65,31.14,121.79,-1.50%,63%,10%,16%,0.79,0.83,0.77,AA,4.40%,8
39,铁汉转债,123004,2018-01-26,铁汉生态,300197,城市公用设施,120.299,-0.46%,1.73%,4.79,1.48%,11,1.80%,3.99,1.72,20.10%,120.05,0.20%,4.75年,2.75年,4.30%,5.10%,4.8,-1.84%,-2.23%,-1.92%,-5.21%,-5.40%,91.3,90.73,37.2,127.93,-6.00%,67%,<2%,15%,0.86,1.97,-0.14,AA,4.30%,69
40,东财转债!,123006,2018-01-29,东方财富,300059,金融,175.5,0.98%,0.36%,19.87,1.38%,"1,127",28.50%,11.36,7.09,74.90%,174.91,0.30%,4.75年,2.75年,2.20%,3.80%,22.6,-9.38%,-9.73%,-9.45%,-11.10%,-11.10%,91.09,91.69,88.31,180,-2.50%,58%,<2%,17%,0.97,1.51,0.47,AA,4.10%,33
41,赣锋转债,128028,2018-01-19,赣锋锂业,2460,有色金属,107,0.00%,-0.48%,30,-1.74%,6.3,0.60%,42.58,7.1,-29.50%,70.46,51.90%,4.75年,2.75年,2.40%,1.70%,9.3,0.55%,0.17%,0.48%,-1.45%,-1.62%,87.93,85.67,8.07,93.75,14.10%,71%,39%,17%,0.28,-2.43,3.26,AA,5.40%,16
42,太阳转债,128029,2018-01-16,太阳纸业,2078,造纸包装印刷,112.69,-1.17%,0.93%,7.09,-0.70%,8.1,0.60%,8.75,1.55,-19.00%,81.03,39.10%,3.76年,1.76年,6.50%,5.30%,12,-1.06%,-1.47%,-1.14%,-5.32%,-5.46%,92.98,91.42,7.91,99.34,13.40%,37%,37%,16%,0.34,-2.14,3.04,AA+,4.70%,10
43,天康转债,128030,2018-01-29,天康生物,2100,农业,122.5,-1.69%,-2.03%,8.54,-5.11%,5.9,0.50%,8.15,2.65,4.80%,104.79,16.90%,4.76年,2.76年,12.20%,12.70%,10,-1.75%,-2.22%,-1.84%,-5.70%,-5.90%,90.8,91.67,25.13,116.79,4.90%,31%,22%,16%,0.73,-0.56,2.04,AA,4.50%,10
44,双环转债,128032,2018-01-25,双环传动,2472,机械装备制造,105.456,-0.65%,0.20%,7.48,-1.32%,5.1,0.50%,9.99,1.56,-25.10%,74.87,40.80%,4.77年,2.77年,19.50%,14.60%,10,1.06%,0.64%,0.98%,-0.71%,-0.92%,88.87,87,9.12,96.13,9.70%,54%,32%,16%,0.35,-1.73,2.56,AA,5.30%,16
45,蒙电转债,110041,2018-01-09,内蒙华电,600863,能源电力,114.01,-0.29%,0.08%,2.87,-0.35%,4.4,0.20%,2.92,1.57,-1.70%,98.29,16.00%,4.76年,2.76年,11.20%,11.00%,18.7,-0.59%,-1.01%,-0.67%,-3.31%,-3.52%,92.29,92.36,20.01,112.37,1.50%,23%,19%,16%,0.59,0.33,0.85,AAA,4.00%,18
46,航电转债,110042,2018-01-15,中航电子,600372,航空航天,124,-0.99%,-0.42%,17,-1.79%,14,0.50%,14.23,4.34,19.50%,119.47,3.80%,4.77年,2.77年,8.00%,9.60%,24,-2.56%,-2.93%,-2.64%,-6.08%,-6.28%,92.16,91.41,37.29,128.7,-3.70%,35%,<2%,16%,0.79,1.6,0.05,AAA,4.00%,22
47,吉视转债,113017,2018-01-15,吉视传媒,601929,传媒娱乐,113.76,1.12%,-0.21%,3.01,1.35%,58,3.30%,2.96,1.41,1.70%,101.69,11.90%,4.77年,2.77年,16.60%,16.90%,15.6,-0.66%,-1.05%,-0.74%,-3.33%,-3.52%,91.09,90.45,23.16,113.62,0.10%,27%,17%,16%,0.68,0.48,0.87,AA+,4.30%,39
48,迪龙转债,128033,2018-01-29,雪迪龙,2658,城市公用设施,107.62,-0.56%,1.87%,8.87,1.95%,9.1,1.60%,9.03,2.7,-1.80%,98.23,9.60%,4.77年,2.77年,9.70%,9.50%,5.2,0.53%,0.12%,0.45%,-1.48%,-1.67%,90.23,89.09,22.18,111.27,-3.30%,38%,16%,17%,0.67,1.01,0.36,AA,4.70%,49
49,道氏转债,123007,2018-01-26,道氏技术,300409,建筑,144.69,1.89%,-0.31%,22,1.71%,32,6.70%,15.2,5.64,44.70%,144.74,0.00%,4.77年,2.77年,3.30%,4.80%,3.3,-5.32%,-5.73%,-5.40%,-10.70%,-10.90%,91.86,92.48,59.26,151.74,-4.60%,77%,<2%,16%,0.93,1.81,0.12,AA-,4.20%,27
50,常熟转债!,113018,2018-02-06,常熟银行,601128,金融,137.55,-0.35%,0.60%,7.91,0.25%,172,6.90%,5.76,1.53,37.30%,137.33,0.20%,4.83年,无权,10.20%,13.90%,18.2,-4.65%,-4.99%,-4.72%,无权,无权,无权,90.78,51.44,142.22,-3.30%,42%,<2%,18%,0.96,1.68,0.31,AA+,4.00%,39
51,江银转债,128034,2018-02-14,江阴银行,2807,金融,117.95,0.14%,-0.02%,6.59,0.15%,27,1.30%,5.67,1.15,16.20%,116.23,1.50%,4.85年,无权,14.80%,17.20%,17.6,-1.52%,-1.88%,-1.59%,无权,无权,无权,89.93,35.94,125.87,-6.30%,49%,<2%,18%,0.78,2.03,-0.34,AA+,4.20%,57
52,无锡转债,110043,2018-03-14,无锡银行,600908,金融,111.25,0.18%,-0.28%,6.76,-0.15%,53,1.60%,6.7,1.26,0.90%,100.9,10.30%,4.86年,无权,24.00%,24.20%,30,-1.12%,-1.33%,-1.16%,无权,无权,无权,86.13,26.27,112.4,-1.00%,47%,17%,18%,0.69,0.75,0.65,AA+,4.30%,51
53,大族转债,128035,2018-03-05,大族激光,2008,电子,113.5,-1.30%,0.63%,42.37,-1.76%,8.4,0.30%,52.5,5.52,-19.30%,80.7,40.60%,4.88年,2.88年,5.10%,4.10%,23,-0.95%,-1.27%,-1.01%,-2.59%,-2.88%,91.38,87.2,12.39,99.59,14.00%,39%,38%,16%,0.38,-2.25,3.28,AA+,4.60%,18
54,玲珑转债,113019,2018-03-22,玲珑轮胎,601966,汽车,108.92,-0.93%,0.39%,17.03,-1.16%,41,1.90%,18.84,2.16,-9.60%,90.39,20.50%,3.95年,1.95年,9.80%,8.80%,20,0.95%,0.35%,0.83%,-3.18%,-3.33%,92.67,95.04,11.94,106.98,1.80%,34%,20%,16%,0.47,-0.04,0.97,AA+,4.50%,20
55,康泰转债,123008,2018-03-19,康泰生物,300601,医药,148.28,1.35%,-0.27%,46.48,1.15%,23,8.20%,31.23,18.86,48.80%,148.83,-0.40%,4.87年,2.87年,0.60%,1.00%,1.9,-5.90%,-6.27%,-5.98%,-11.10%,-11.30%,91.38,91.21,64.39,155.6,-4.70%,69%,<2%,16%,0.94,1.85,0.11,AA-,4.20%,12
56,艾华转债,113504,2018-03-23,艾华集团,603989,电子,113.21,-0.19%,-0.70%,21.35,-1.29%,0.4,0.10%,21.73,4.58,-1.70%,98.25,15.20%,4.95年,2.95年,8.30%,8.20%,6.9,-0.44%,-0.84%,-0.52%,-2.92%,-3.11%,89.79,88.89,22.22,111.11,1.90%,40%,19%,16%,0.68,-0.04,1.41,AA,4.60%,6
57,杭电转债,113505,2018-03-27,杭电股份,603618,能源电力,108.01,0.29%,-0.98%,6.57,-1.20%,6.3,0.70%,7.29,2.08,-9.90%,90.12,19.80%,4.96年,2.96年,17.30%,15.60%,7.8,0.89%,0.42%,0.80%,-1.43%,-1.63%,89.18,89.56,16.26,105.82,2.10%,72%,18%,16%,0.58,-0.23,1.38,AA,4.80%,41
58,星源转债,123009,2018-04-10,星源材质,300568,汽车,118.381,-1.35%,-1.59%,31.05,-3.72%,6.2,1.10%,27.69,4.17,12.10%,112.13,5.60%,4.97年,2.97年,8.10%,9.00%,4.8,-1.44%,-1.81%,-1.51%,-4.36%,-4.54%,90.09,89.31,32.98,122.29,-3.20%,64%,<2%,17%,0.79,1.17,0.44,AA,4.40%,16
59,长证转债,127005,2018-04-11,长江证券,783,金融,117,0.34%,0.57%,7.55,1.48%,56,1.00%,7.45,1.59,1.30%,101.34,15.50%,4.98年,无权,12.00%,12.10%,50,-1.31%,-1.66%,-1.38%,无权,无权,无权,90.55,25.09,115.64,1.20%,31%,22%,18%,0.62,0.4,0.84,AAA,4.00%,39
60,敖东转债,127006,2018-05-11,吉林敖东,623,医药,110,0.22%,-0.10%,18.43,0.22%,11,0.40%,20.82,1.04,-11.50%,88.52,24.30%,4.98年,2.98年,11.30%,10.00%,24.1,-0.30%,-0.61%,-0.36%,-2.36%,-2.49%,89.01,87.43,16.01,103.44,6.30%,31%,26%,16%,0.53,-0.86,1.97,AA+,4.50%,39
61,岩土转债,128037,2018-04-25,中化岩土,2542,建筑,101.71,-0.11%,-0.26%,5.47,-1.44%,9.9,1.60%,8.03,2.74,-31.90%,68.12,49.30%,4.99年,2.99年,6.10%,4.10%,6,2.13%,1.65%,2.04%,0.50%,0.29%,87.39,86.82,6.42,93.24,9.10%,55%,31%,16%,0.25,-1.67,2.29,AA,5.50%,69
62,利欧转债,128038,2018-04-19,利欧股份,2131,传媒娱乐,129,-0.85%,0.07%,2.23,-0.89%,68,17.40%,1.72,1.49,29.70%,129.65,-0.50%,5年1.3天,3年1.3天,2.20%,2.90%,3,-2.47%,-2.95%,-2.56%,-6.74%,-6.93%,90.9,93.02,45.53,138.54,-6.90%,80%,<2%,16%,0.87,2.21,-0.31,AA,4.30%,94
63,金农转债,128036,2018-04-02,金新农,2548,农业,115.51,-2.69%,0.39%,11.18,-2.78%,68,10.60%,9.62,2.93,16.20%,116.22,-0.60%,4.97年,2.97年,13.00%,15.10%,5.5,-0.83%,-1.23%,-0.91%,-3.50%,-3.69%,90.33,89.73,36.47,126.2,-8.50%,39%,<2%,17%,0.82,2.41,-0.57,AA-,4.40%,59
64,鼎信转债,113506,2018-05-14,鼎信通讯,603421,能源电力,128.84,-3.36%,-0.57%,27.99,-4.44%,14,5.00%,21.65,5.42,29.30%,129.28,-0.30%,5年22天,3年22天,1.70%,2.20%,2.1,-3.02%,-3.39%,-3.09%,-6.66%,-6.83%,90.53,90.04,47.27,137.3,-6.20%,52%,<2%,16%,0.89,2.08,-0.19,AA,4.20%,33
65,天马转债,113507,2018-05-07,天马科技,603668,农业,119.85,0.04%,0.53%,8.79,0.69%,3.2,1.10%,7.37,2.94,19.30%,119.27,0.50%,5年25天,3年25天,8.80%,10.50%,2.3,-1.12%,-1.59%,-1.22%,-4.39%,-4.60%,90.38,91.41,38.35,129.76,-7.60%,54%,<2%,17%,0.83,2.21,-0.4,AA-,4.40%,37
66,新凤转债,113508,2018-05-16,新凤鸣,603225,服装纺织,109.53,-0.39%,1.73%,21.98,2.19%,29,1.20%,23.74,2.39,-7.40%,92.59,18.30%,5年36天,3年36天,11.50%,10.60%,21.5,0.64%,0.17%,0.55%,-1.71%,-1.91%,89.1,89.6,18.37,107.96,1.50%,49%,22%,16%,0.61,-0.11,1.34,AA,4.80%,31
67,新泉转债,113509,2018-06-22,新泉股份,603179,汽车,109.13,0.02%,0.83%,18.5,1.31%,3.9,0.80%,19.38,2.76,-4.50%,95.46,14.30%,5.21年,3.21年,10.70%,10.20%,4.5,0.35%,-0.04%,0.27%,-1.54%,-1.75%,88.85,87.86,22.13,110,-0.80%,55%,18%,17%,0.65,0.45,0.85,AA,4.70%,27
68,三力转债,128039,2018-06-29,三 力 士,2224,机械装备制造,119.6,-0.33%,1.07%,6.94,0.87%,5.8,1.00%,5.84,2.61,18.80%,118.84,0.60%,5.22年,3.22年,10.30%,12.20%,4.7,-1.51%,-1.88%,-1.59%,-4.26%,-4.44%,89.47,88.74,39.71,128.45,-6.90%,38%,<2%,17%,0.84,2.07,-0.25,AA-,4.40%,31
69,华通转债,128040,2018-07-13,华通医药,2758,医药,107.569,-0.83%,-0.66%,10.72,-2.37%,5.4,2.20%,11.45,3.51,-6.40%,93.62,14.90%,5.23年,3.23年,10.00%,9.30%,2.2,1.02%,0.55%,0.92%,-1.05%,-1.27%,88.32,88.59,21.23,109.82,-2.00%,76%,15%,18%,0.63,0.54,0.73,AA-,4.90%,51
70,再升转债,113510,2018-07-13,再升科技,603601,城市公用设施,105.31,0.59%,-0.97%,8.94,-1.11%,2,1.70%,11.32,3.84,-21.00%,78.98,33.30%,5.25年,1.25年,2.40%,1.90%,1.1,1.43%,0.96%,1.34%,-2.80%,-2.96%,93.61,85.41,14.52,99.94,5.40%,67%,25%,17%,0.34,-0.89,1.6,AA-,5.70%,33
