,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
11,苏银转债,110053,2019-04-03,江苏银行,600919,金融,106.82,-0.45%,0.31%,7.24,-0.28%,311,1.50%,7.9,0.92,-8.40%,91.65,16.60%,5.89年,无权,23.90%,21.90%,200,1.94%,1.35%,1.82%,无权,无权,无权,95.23,17.43,112.66,-5.20%,25%,13%,18%,0.5,1.63,-0.51,AAA,4.00%,46
12,浙商转债,113022,2019-03-28,浙商证券,601878,金融,108.99,-1.19%,1.33%,11.21,0.27%,61,1.60%,12.53,3.06,-10.50%,89.47,21.80%,5.89年,无权,9.40%,8.40%,35,0.16%,-0.16%,0.10%,无权,无权,无权,87.67,18.21,105.88,2.90%,50%,25%,18%,0.53,-0.03,1.09,AAA,4.00%,22
13,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,119.53,-0.81%,2.19%,46,1.72%,15,1.20%,40.52,5.49,13.50%,113.52,5.30%,5.88年,3.88年,5.30%,6.00%,10,-0.18%,-0.72%,-0.29%,-3.46%,-3.63%,87.31,92.21,31.6,123.81,-3.50%,46%,15%,16%,0.8,1.17,0.45,AA,4.40%,16
14,视源转债,128059,2019-04-02,视源股份,2841,电子,113.6,-0.18%,-0.20%,72.51,-0.56%,13,1.20%,76.25,14.69,-4.90%,95.1,19.50%,5.88年,3.88年,2.00%,1.90%,9.4,0.11%,-0.33%,0.02%,-2.22%,-2.40%,86.5,87.92,20.34,108.26,4.90%,56%,24%,16%,0.67,-0.75,2.14,AA,4.70%,13
15,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,114,-1.77%,-1.12%,12.08,-4.35%,34,2.50%,11.99,1.77,0.80%,100.75,13.20%,5.87年,3.87年,8.10%,8.20%,12,0.26%,-0.22%,0.16%,-2.26%,-2.45%,87.8,90.62,23.89,114.51,-0.40%,42%,16%,17%,0.66,0.53,0.8,AA+,4.30%,15
16,拓邦转债,128058,2019-04-08,拓邦股份,2139,电子,120.56,-0.77%,-0.98%,6.77,-2.17%,26,3.80%,5.64,2.59,20.00%,120.04,0.40%,5.87年,3.87年,8.30%,10.00%,5.7,0.35%,-0.31%,0.22%,-3.42%,-3.64%,88.41,96.16,35.25,131.41,-8.30%,59%,<2%,16%,0.81,2.3,-0.51,AA,4.40%,38
17,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,111.2,-1.41%,-0.80%,9.64,-2.82%,18,2.70%,8.9,1.93,8.30%,108.31,2.70%,5.87年,3.87年,11.40%,12.30%,5.8,0.98%,0.44%,0.87%,-1.64%,-1.83%,87.22,91.13,28.44,119.56,-7.00%,74%,<2%,16%,0.78,1.81,-0.14,AA-,4.50%,43
18,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,125.82,0.99%,2.12%,11.49,3.51%,242,12.10%,8.13,1.96,41.30%,141.33,-11.00%,5.87年,3.87年,13.40%,18.90%,16,-0.96%,-1.52%,-1.07%,-4.58%,-4.77%,88.84,94.39,54.6,148.99,-15.60%,41%,<2%,16%,0.88,4.63,-2.13,AA+,4.10%,37
19,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,117.586,-1.73%,0.07%,15.58,-2.07%,18,1.30%,13.62,4.25,14.40%,114.39,2.80%,5.86年,3.86年,7.00%,8.00%,12,0.11%,-0.44%,0.00%,-3.07%,-3.25%,87.42,92.34,32.23,124.57,-5.60%,50%,<2%,16%,0.8,1.66,0.02,AA,4.40%,13
20,中信转债,113021,2019-03-19,中信银行,601998,金融,106.13,-1.08%,0.69%,6.35,-0.94%,397,0.90%,7.45,0.91,-14.80%,85.23,24.50%,5.86年,无权,12.90%,11.00%,400,2.04%,1.45%,1.92%,无权,无权,无权,95.18,12.73,107.91,-1.60%,23%,17%,17%,0.42,0.79,0.08,AAA,4.00%,41
21,富祥转债,123020,2019-03-29,富祥股份,300497,医药,121.998,0.00%,1.15%,22.75,1.34%,40,7.80%,18.05,3.71,26.00%,126.04,-3.20%,5.85年,3.85年,8.20%,10.40%,4.2,-0.13%,-0.74%,-0.25%,-3.84%,-4.03%,88.19,94.89,40.67,135.56,-10.00%,64%,<2%,16%,0.86,2.79,-0.82,AA-,4.40%,40
22,长城转债,113528,2019-03-20,长城科技,603897,机械装备制造,107.51,-1.41%,-1.06%,24.62,-3.41%,5.4,0.80%,24.18,2.63,1.80%,101.82,5.60%,5.85年,3.85年,14.40%,14.70%,6.3,1.65%,1.10%,1.54%,-0.73%,-0.94%,87.06,90.84,24.67,115.51,-6.90%,56%,<2%,17%,0.72,1.66,-0.12,AA-,4.70%,34
23,今飞转债,128056,2019-03-22,今飞凯达,2863,汽车,109,-1.40%,-0.73%,7.08,-2.88%,4.2,1.00%,6.8,2.71,4.10%,104.12,4.70%,5.85年,3.85年,13.80%,14.40%,3.7,1.93%,1.28%,1.80%,-0.99%,-1.22%,87.06,93.12,25.25,118.36,-7.90%,71%,<2%,17%,0.74,1.79,-0.2,A+,4.80%,46
24,中天转债,110051,2019-03-22,中天科技,600522,通信互联网,113.3,-0.84%,-1.28%,10.83,-2.96%,88,2.00%,10.29,1.68,5.20%,105.25,7.70%,5.85年,3.85年,11.90%,12.60%,39.7,0.15%,-0.29%,0.07%,-2.18%,-2.35%,87.85,89.84,26.72,116.56,-2.80%,64%,11%,16%,0.72,1.1,0.37,AA+,4.30%,26
25,长青转2,128055,2019-04-03,长青股份,2391,石油天然气化工,120.25,-1.92%,-0.05%,14.18,-2.27%,53,4.80%,11.41,1.23,24.30%,124.28,-3.20%,5.85年,3.85年,17.90%,22.30%,9.1,-0.70%,-1.16%,-0.79%,-3.59%,-3.77%,88.08,90.88,41.79,132.67,-9.40%,31%,<2%,16%,0.86,2.74,-0.77,AA,4.30%,43
26,中来转债,123019,2019-03-22,中来股份,300393,能源电力,107.5,-1.03%,-1.24%,20.63,-3.46%,3.1,0.30%,20.41,1.96,1.10%,101.08,6.40%,5.84年,3.84年,20.10%,20.30%,10,2.66%,1.92%,2.51%,-0.64%,-0.86%,86.84,95.22,22.9,118.12,-9.00%,47%,<2%,18%,0.66,2.01,-0.55,AA-,4.90%,50
27,中宠转债,128054,2019-03-14,中宠股份,2891,农业,108.001,-0.45%,-0.24%,34.6,-1.03%,3,1.40%,37.97,4.73,-8.90%,91.12,18.50%,5.81年,3.81年,5.60%,5.10%,1.9,1.20%,0.71%,1.10%,-0.97%,-1.16%,85.78,87.58,17.83,105.42,2.50%,48%,20%,16%,0.67,-0.54,1.91,A+,5.00%,18
28,尚荣转债,128053,2019-03-07,尚荣医疗,2551,医药,118.362,-1.37%,-1.75%,6.21,-3.57%,22,2.40%,4.94,1.51,25.70%,125.71,-5.80%,5.81年,3.81年,17.10%,21.50%,7.5,-0.46%,-0.92%,-0.55%,-3.27%,-3.45%,88.07,90.89,42.88,133.78,-11.50%,42%,<2%,16%,0.87,3.31,-1.2,AA,4.30%,62
29,维格转债,113527,2019-02-19,维格娜丝,603518,服装纺织,113.21,-1.03%,0.33%,17.26,-0.92%,4.4,0.50%,14.96,1.12,15.40%,115.37,-1.90%,5.75年,3.75年,24.00%,27.70%,7.5,1.14%,0.52%,1.02%,-2.15%,-2.35%,87.81,94.31,33.33,127.64,-11.30%,39%,<2%,18%,0.77,2.99,-1.14,AA,4.50%,44
30,联泰转债,113526,2019-02-18,联泰环保,603797,城市公用设施,111.39,-2.13%,0.27%,13.48,-2.39%,0.4,0.10%,12.31,2.49,9.50%,109.5,1.70%,5.75年,3.75年,13.60%,14.90%,3.9,-0.05%,-0.40%,-0.12%,-1.85%,-2.02%,87.5,86.92,33.28,120.2,-7.30%,49%,<2%,18%,0.78,2.05,-0.35,AA,4.40%,19
31,平银转债,127010,2019-02-18,平安银行,1,金融,121.699,-0.62%,0.19%,14.07,-0.57%,185,0.60%,11.77,0.92,19.50%,119.54,1.80%,5.75年,无权,10.80%,12.90%,260,-0.55%,-1.09%,-0.66%,无权,无权,无权,94.71,36.42,131.13,-7.20%,29%,<2%,16%,0.75,2.39,-0.68,AAA,4.00%,51
32,冰轮转债,127009,2019-02-21,冰轮环境,811,机械装备制造,154.98,-1.85%,1.76%,10.41,-0.10%,103,13.00%,5.52,1.28,88.60%,188.59,-17.80%,5.73年,3.73年,7.50%,14.10%,5.1,-5.11%,-5.55%,-5.20%,-9.86%,-10.00%,89,92.14,101.68,193.82,-20.00%,44%,<2%,17%,0.96,6.14,-2.99,AA,4.10%,26
33,凯龙转债,128052,2019-01-21,凯龙股份,2783,石油天然气化工,196.199,-15.10%,5.23%,20.79,-10.00%,583,83.70%,6.97,1.6,198%,298.28,-34.20%,5.66年,3.66年,4.80%,14.20%,3.3,-9.08%,-9.49%,-9.16%,-14.60%,-14.80%,89.55,92.76,210.39,303.15,-35.30%,79%,<2%,17%,0.98,12.39,-6.05,AA,4.00%,34
34,溢利转债,123018,2019-01-23,溢多利,300381,医药,116.2,0.00%,0.67%,10.24,0.79%,5.8,0.80%,8.41,1.71,21.80%,121.76,-4.60%,5.66年,3.66年,16.00%,19.40%,6.7,-0.14%,-0.62%,-0.24%,-2.93%,-3.12%,88.27,90.93,39.92,130.85,-11.20%,77%,<2%,17%,0.85,3.09,-1.07,AA-,4.40%,35
35,佳都转债,110050,2019-01-21,佳都科技,600728,计算机及应用,128.73,-0.91%,-0.07%,11.04,-1.08%,23,2.00%,7.95,3.72,38.90%,138.87,-7.30%,5.66年,3.66年,4.90%,6.80%,8.8,-2.12%,-2.55%,-2.20%,-5.52%,-5.70%,88.92,91.11,54.51,145.62,-11.60%,70%,<2%,16%,0.91,3.47,-1.25,AA,4.20%,25
36,海尔转债,110049,2019-01-18,青岛海尔,600690,家电,124.78,-0.03%,0.12%,17.7,0.11%,41,1.10%,14.55,2.52,21.60%,121.65,2.60%,5.65年,3.65年,2.70%,3.20%,30.1,-2.24%,-2.55%,-2.30%,-4.81%,-4.97%,89.2,88.47,40.95,129.42,-3.60%,32%,<2%,16%,0.82,1.61,0.1,AAA,4.00%,24
37,台华转债,113525,2019-01-11,台华新材,603055,服装纺织,112,-0.31%,0.13%,12.21,-0.25%,16,2.70%,11.56,2.53,5.60%,105.62,6.00%,5.65年,3.65年,7.90%,8.40%,5.3,0.52%,0.04%,0.43%,-1.99%,-2.18%,87.83,90.24,27.31,117.55,-4.70%,46%,11%,17%,0.74,1.33,0.2,AA,4.50%,9
38,奇精转债,113524,2019-01-07,奇精机械,603677,家电,107.71,-1.25%,0.93%,15.51,-0.45%,1.4,0.40%,14.76,3,5.10%,105.08,2.50%,5.64年,3.64年,10.80%,11.40%,3.3,1.71%,1.13%,1.59%,-0.98%,-1.17%,87.69,92.35,26.42,118.77,-9.30%,60%,<2%,18%,0.71,2.33,-0.71,AA,4.60%,54
39,光华转债,128051,2019-01-09,光华科技,2741,汽车,104.871,-0.79%,0.96%,15.48,0.26%,2,0.80%,17.03,5.3,-9.10%,90.9,15.40%,5.64年,3.64年,4.30%,3.90%,2.5,1.84%,1.32%,1.74%,-0.14%,-0.36%,87.06,88.97,17.8,106.77,-1.80%,37%,17%,17%,0.63,0.37,0.89,AA-,4.90%,25
40,钧达转债,128050,2018-12-27,钧达股份,2865,汽车,106.5,-0.90%,2.03%,22.82,1.65%,20,5.90%,21.74,3.06,5.00%,104.97,1.50%,5.63年,3.63年,11.50%,12.10%,3.2,2.81%,2.07%,2.66%,-0.52%,-0.75%,87.67,95.95,24.54,120.5,-11.60%,66%,<2%,18%,0.69,2.78,-1.11,AA-,4.80%,76
41,伟明转债,113523,2018-12-26,伟明环保,603568,城市公用设施,115.41,-1.35%,-0.69%,26.99,-2.53%,1.6,0.20%,23.92,5.22,12.80%,112.83,2.30%,5.63年,3.63年,3.60%,4.10%,6.7,-0.02%,-0.50%,-0.11%,-2.78%,-2.96%,88.32,90.94,31.76,122.7,-5.90%,43%,<2%,16%,0.81,1.76,-0.06,AA,4.40%,25
42,福能转债,110048,2018-12-28,福能股份,600483,能源电力,116.8,-1.10%,0.24%,9.71,-1.12%,26,0.80%,8.69,1.2,11.70%,111.74,4.50%,5.62年,3.62年,18.80%,21.00%,28.3,-0.39%,-0.84%,-0.48%,-3.09%,-3.28%,88.84,90.93,30.89,121.82,-4.10%,29%,10%,16%,0.76,1.48,0.11,AA+,4.20%,9
43,华源转债,128049,2018-12-20,华源控股,2787,造纸包装印刷,113.2,-0.97%,0.78%,8.64,-0.23%,5.1,1.10%,7.57,1.74,14.10%,114.13,-0.80%,5.60年,3.60年,14.90%,17.00%,4,0.40%,-0.10%,0.30%,-2.24%,-2.44%,88.36,90.96,34.47,125.43,-9.80%,75%,<2%,18%,0.8,2.56,-0.73,AA-,4.50%,57
44,旭升转债,113522,2018-12-11,旭升股份,603305,汽车,108.38,-1.45%,-0.62%,28.82,-3.29%,7.8,1.70%,29.86,8.5,-3.50%,96.52,12.30%,5.58年,3.58年,3.60%,3.50%,4.2,1.92%,1.28%,1.79%,-1.16%,-1.35%,87.42,93.36,18.1,111.45,-2.80%,63%,12%,16%,0.63,0.71,0.57,AA,4.70%,18
45,山鹰转债,110047,2018-12-10,山鹰纸业,600567,造纸包装印刷,113.17,-1.29%,0.32%,3.83,-1.29%,48,1.80%,3.34,1.15,14.70%,114.67,-1.30%,5.58年,3.58年,13.10%,15.00%,23,0.84%,0.26%,0.73%,-2.29%,-2.48%,89,94.38,30.92,125.31,-9.70%,29%,<2%,16%,0.76,2.8,-1.01,AA+,4.20%,68
46,寒锐转债,123017,2018-12-24,寒锐钴业,300618,有色金属,110.02,-2.46%,1.58%,81.82,-1.17%,23,4.60%,81.49,8.75,0.40%,100.4,9.60%,5.58年,3.58年,2.80%,2.80%,4.4,0.18%,-0.19%,0.10%,-1.61%,-1.79%,87.62,86.78,24.61,111.39,-1.20%,77%,18%,16%,0.75,0.52,0.99,AA-,4.60%,43
47,圆通转债,110046,2018-12-18,圆通速递,600233,交通运输,124.47,-2.36%,-1.09%,13.99,-4.05%,91,2.00%,10.89,2.84,28.50%,128.47,-3.10%,5.58年,3.58年,9.20%,11.80%,36.5,-1.34%,-1.83%,-1.44%,-4.71%,-4.90%,89.57,92.61,44.06,136.67,-8.90%,60%,<2%,16%,0.85,2.76,-0.8,AA+,4.10%,35
48,桐昆转债,113020,2018-12-12,桐昆股份,601233,服装纺织,124.34,-2.23%,2.29%,16.85,0.06%,70,1.50%,12.63,1.5,33.40%,133.41,-6.80%,5.57年,3.57年,12.40%,16.50%,38,-1.71%,-2.13%,-1.80%,-4.80%,-4.97%,89.2,90.68,49.61,140.29,-11.40%,48%,<2%,16%,0.88,3.46,-1.3,AA+,4.10%,31
49,特发转债,127008,2018-12-25,特发信息,70,通信互联网,213.5,-8.37%,12.20%,19.2,3.90%,"2,170",229%,6.78,1.9,183%,283.19,-24.60%,4.57年,2.57年,3.50%,9.90%,4.2,-12.40%,-12.70%,-12.50%,-15.40%,-15.50%,91.86,93.36,193,286.36,-25.40%,60%,<2%,17%,0.99,8.14,-4.09,AA,4.00%,47
50,科森转债,113521,2018-12-07,科森科技,603626,通信互联网,115.08,-1.26%,2.10%,10.74,1.03%,29,4.00%,8.95,2.12,20.00%,120,-4.10%,5.57年,3.57年,13.70%,16.40%,6.1,0.10%,-0.40%,0.00%,-2.70%,-2.89%,88.83,91.63,38.82,130.45,-11.80%,63%,<2%,18%,0.81,3.23,-1.24,AA,4.40%,66
51,张行转债,128048,2018-11-29,张家港行,2839,金融,114.15,-0.80%,0.15%,6.82,-0.87%,35,1.20%,6.06,1.22,12.50%,112.54,1.40%,5.55年,无权,20.30%,22.80%,25,0.02%,-0.44%,-0.07%,无权,无权,无权,91.11,32.83,123.93,-7.90%,56%,<2%,18%,0.75,2.33,-0.64,AA+,4.30%,31
52,百合转债,113520,2018-11-26,梦百合,603313,其他,129.91,-6.15%,-2.65%,24.95,-9.83%,17,2.50%,19.03,2.66,31.10%,131.11,-0.90%,5.54年,3.54年,8.50%,11.10%,5.1,-2.11%,-2.59%,-2.20%,-5.87%,-6.06%,89.27,92.25,46.74,138.99,-6.50%,41%,<2%,16%,0.9,2.08,-0.17,AA-,4.30%,18
53,洲明转债,123016,2018-12-03,洲明科技,300232,电子,131.8,-1.63%,0.79%,12.96,-0.92%,3.6,0.50%,9.45,3.42,37.10%,137.14,-3.90%,5.54年,3.54年,5.60%,7.60%,5.5,-2.36%,-2.84%,-2.45%,-6.18%,-6.38%,89.65,92.56,52,144.56,-8.80%,69%,<2%,16%,0.91,2.71,-0.66,AA-,4.20%,16
54,长久转债,113519,2018-11-30,长久物流,603569,交通运输,117.48,-0.83%,0.66%,14.02,-0.21%,3.7,0.40%,11.99,2.77,16.90%,116.93,0.50%,5.54年,3.54年,8.90%,10.40%,7,0.48%,-0.16%,0.36%,-3.24%,-3.44%,88.81,95.3,32.92,128.23,-8.40%,52%,<2%,17%,0.78,2.31,-0.56,AA,4.40%,21
55,光电转债,128047,2018-12-07,中航光电,2179,机械装备制造,114.2,-0.65%,0.18%,39.82,-0.70%,2.1,0.10%,40.26,5.51,-1.10%,98.91,15.50%,5.54年,3.54年,4.10%,4.10%,13,-0.69%,-1.02%,-0.75%,-2.64%,-2.82%,88.6,87.39,23.1,110.5,3.40%,34%,22%,16%,0.68,-0.18,1.54,AA+,4.30%,7
56,利尔转债,128046,2018-11-09,利尔化学,2258,石油天然气化工,106.51,-1.92%,1.15%,16.56,-1.31%,12,1.40%,18.62,3.3,-11.10%,88.94,19.80%,5.48年,3.48年,9.80%,8.70%,8.5,1.16%,0.71%,1.07%,-0.71%,-0.91%,87.57,87.98,15.74,103.72,2.70%,41%,22%,16%,0.59,-0.36,1.55,AA,4.80%,12
57,顾家转债,113518,2018-10-09,顾家家居,603816,其他,114.5,-0.79%,-0.01%,53.61,-1.11%,6.1,0.50%,52.2,5.16,2.70%,102.7,11.50%,5.39年,3.39年,4.80%,4.90%,11,0.13%,-0.37%,0.03%,-2.75%,-2.95%,88.76,91.15,23.5,114.65,-0.10%,39%,17%,16%,0.72,0.34,1.11,AA,4.60%,9
58,机电转债,128045,2018-09-14,中航机电,2013,航空航天,114.6,-0.49%,-1.38%,7.78,-2.87%,6.5,0.30%,7.66,3.12,1.60%,101.57,12.80%,5.34年,3.34年,7.50%,7.60%,21,-0.78%,-1.12%,-0.85%,-2.88%,-3.07%,90.29,89.55,23.52,113.07,1.40%,55%,17%,16%,0.65,0.4,0.91,AAA,4.00%,13
59,岭南转债,128044,2018-09-04,岭南股份,2717,城市公用设施,105.67,-3.06%,1.95%,9.16,-1.51%,38,5.30%,8.96,2.09,2.20%,102.23,3.40%,5.31年,3.31年,7.00%,7.20%,6.6,1.14%,0.71%,1.05%,-0.57%,-0.77%,88.94,89,24.3,113.3,-6.70%,66%,9%,16%,0.73,1.83,-0.24,AA,4.50%,32
60,蓝盾转债!,123015,2018-09-13,蓝盾股份,300297,计算机及应用,133.5,-5.29%,-0.87%,7.78,-6.15%,23,14.10%,5.82,1.64,33.70%,133.68,-0.10%,5.31年,3.31年,1.20%,1.70%,1.2,-3.10%,-3.53%,-3.19%,-7.06%,-7.24%,90.72,92.41,41.27,133.68,-0.10%,37%,<2%,16%,1,1.03,0.97,AA,4.00%,35
61,曙光转债,113517,2018-08-23,DR中科曙,603019,计算机及应用,119.5,-2.18%,-0.87%,41.25,-3.76%,18,1.30%,36.53,6.34,12.90%,112.92,5.80%,5.29年,3.29年,4.20%,4.80%,11.2,-1.02%,-1.47%,-1.11%,-4.04%,-4.23%,89.66,90.75,31.7,122.45,-2.40%,60%,11%,16%,0.81,1,0.64,AA,4.40%,4
62,东音转债,128043,2018-08-27,东音股份,2793,机械装备制造,114.09,0.00%,0.00%,12.61,0.00%,0,0.00%,11.43,2.7,10.30%,110.32,3.40%,5.27年,3.27年,10.70%,11.80%,2.7,0.24%,-0.29%,0.13%,-2.73%,-2.93%,89.26,91.81,29.57,121.38,-6.00%,69%,<2%,17%,0.78,1.67,-0.02,AA-,4.50%,40
63,苏农转债,113516,2018-08-20,苏农银行,603323,金融,119.55,-0.44%,0.03%,7.28,-0.55%,2.7,0.20%,6.34,1.03,14.80%,114.83,4.10%,5.27年,无权,10.80%,12.40%,12.9,-0.65%,-1.17%,-0.75%,无权,无权,无权,93.28,33.13,126.4,-5.40%,48%,<2%,18%,0.75,1.76,-0.15,AA+,4.20%,28
64,凯发转债,123014,2018-08-21,凯发电气,300407,能源电力,111.599,-2.62%,-0.89%,8.84,-4.54%,3.1,0.90%,8.15,2.3,8.50%,108.47,2.90%,4.26年,2.26年,12.70%,13.80%,3.2,-0.45%,-0.86%,-0.53%,-3.56%,-3.73%,91.59,90.4,27.46,117.86,-5.30%,64%,<2%,18%,0.77,1.52,0.09,A+,4.70%,19
65,凯中转债,128042,2018-09-03,凯中精密,2823,能源电力,105.32,-1.58%,0.19%,12.46,-2.27%,7.4,1.70%,13.25,2.95,-6.00%,94.04,12.00%,5.27年,3.27年,11.50%,10.80%,4.2,2.11%,1.51%,1.99%,-0.43%,-0.64%,88.58,92.18,17.55,109.73,-4.00%,66%,13%,17%,0.61,0.98,0.28,AA,4.80%,51
66,横河转债,123013,2018-08-20,横河模具,300539,机械装备制造,116.888,-2.76%,0.30%,10.84,-2.95%,4.1,8.70%,9.26,5.08,17.10%,117.06,-0.10%,5.26年,3.26年,1.70%,2.00%,0.4,-0.06%,-0.62%,-0.18%,-3.22%,-3.46%,90.19,92.93,34.98,127.91,-8.60%,77%,<2%,17%,0.83,2.3,-0.48,A+,4.50%,26
67,高能转债,113515,2018-08-27,高能环境,603588,城市公用设施,121.42,-2.40%,0.42%,11.39,-2.32%,7,0.70%,9.38,2.42,21.40%,121.43,0.00%,5.26年,3.26年,10.40%,12.70%,7.9,-1.33%,-1.78%,-1.42%,-4.52%,-4.72%,90.03,91.26,38.44,129.7,-6.40%,67%,<2%,16%,0.85,2.03,-0.2,AA,4.30%,37
68,万顺转债,123012,2018-08-29,万顺股份,300057,造纸包装印刷,121.6,-0.33%,0.76%,7.85,0.51%,5.8,2.50%,6.47,1.06,21.30%,121.33,0.20%,5.24年,3.24年,4.50%,5.40%,1.9,-1.71%,-2.09%,-1.78%,-4.59%,-4.78%,89.83,89.32,41.05,130.37,-6.70%,41%,<2%,18%,0.85,2.03,-0.21,AA-,4.40%,24
69,威帝转债,113514,2018-08-13,威帝股份,603023,汽车,107.61,-2.27%,1.11%,6.26,-1.57%,2.7,1.20%,5.92,3.54,5.70%,105.74,1.80%,4.24年,2.24年,8.90%,9.40%,2,0.85%,0.35%,0.75%,-2.11%,-2.29%,91.44,91.73,24.45,116.19,-7.40%,70%,<2%,18%,0.74,1.93,-0.32,A+,4.80%,46
70,德尔转债,123011,2018-08-14,德尔股份,300473,汽车,109,-2.68%,-0.24%,36.78,-3.97%,12,2.00%,34.96,2.02,5.20%,105.21,3.60%,5.23年,2.74年,14.40%,15.10%,5.6,1.49%,0.89%,1.37%,-1.85%,-2.06%,90.62,93.13,24.95,118.08,-7.70%,44%,<2%,17%,0.73,1.91,-0.32,AA-,4.70%,43
