,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展/上市日,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
11,今飞转债,128056,2019-03-22,今飞凯达,2863,汽车,110.599,0.82%,0.87%,7.38,2.22%,17,4.20%,6.8,2.95,8.50%,108.53,1.90%,5.91年,3.91年,13.20%,14.40%,3.7,1.65%,1.02%,1.53%,-1.34%,-1.56%,87.07,93.23,30.24,123.48,-10.40%,72%,<2%,17%,0.76,2.45,-0.71,A+,4.70%,36
12,中天转债,110051,2019-03-22,中天科技,600522,通信互联网,115.16,0.74%,0.72%,10.41,2.16%,126,2.80%,10.29,1.7,1.20%,101.17,13.80%,5.91年,3.91年,12.40%,12.60%,39.7,-0.13%,-0.56%,-0.22%,-2.54%,-2.71%,87.52,89.45,25.31,114.76,0.40%,64%,19%,16%,0.68,0.39,0.97,AA+,4.30%,24
13,长青转2,128055,今日上市,长青股份,2391,石油天然气化工,122.365,22.40%,0.00%,14.48,-1.30%,674,59.60%,11.41,1.6,26.90%,126.91,-3.60%,5.90年,3.90年,17.60%,22.30%,9.1,-0.99%,-1.45%,-1.08%,-3.95%,-4.13%,87.91,90.71,45.61,136.32,-10.20%,31%,<2%,16%,0.87,2.96,-0.94,AA,4.30%,31
14,中来转债,123019,2019-03-22,中来股份,300393,能源电力,112.6,0.18%,0.37%,21.75,0.79%,14,1.30%,20.41,2.09,6.60%,106.57,5.70%,5.90年,3.90年,19.10%,20.30%,10,1.81%,1.09%,1.67%,-1.77%,-1.99%,86.94,95.48,29.22,124.7,-9.70%,48%,<2%,18%,0.69,2.27,-0.69,AA-,4.80%,42
15,中宠转债,128054,2019-03-14,中宠股份,2891,农业,113.5,-0.68%,1.20%,37.31,0.70%,5.1,2.30%,37.97,5.09,-1.70%,98.26,15.50%,5.87年,3.87年,5.20%,5.10%,1.9,0.32%,-0.16%,0.22%,-2.18%,-2.36%,86.15,88.22,24.27,112.48,0.90%,49%,20%,16%,0.73,-0.11,1.57,A+,4.80%,12
16,尚荣转债,128053,2019-03-07,尚荣医疗,2551,医药,122.36,1.62%,0.61%,6.47,2.54%,72,7.90%,4.94,1.97,31.00%,130.97,-6.60%,5.87年,3.87年,16.40%,21.50%,7.5,-1.03%,-1.48%,-1.12%,-4.03%,-4.20%,87.93,90.78,49.13,139.91,-12.50%,43%,<2%,16%,0.88,3.61,-1.41,AA,4.20%,53
17,维格转债,113527,2019-02-19,维格娜丝,603518,服装纺织,117.88,0.77%,0.53%,17.89,1.65%,15,1.70%,14.96,1.42,19.60%,119.59,-1.40%,5.81年,3.81年,23.10%,27.60%,7.5,0.42%,-0.20%,0.29%,-3.12%,-3.31%,87.73,94.29,38.6,132.9,-11.30%,39%,<2%,18%,0.79,3.01,-1.12,AA,4.40%,42
18,联泰转债,113526,2019-02-18,联泰环保,603797,城市公用设施,117.2,-0.76%,-0.13%,14.64,-1.08%,1.6,0.30%,12.31,2.96,18.90%,118.93,-1.50%,5.81年,3.81年,12.50%,14.90%,3.9,-0.93%,-1.28%,-1.00%,-3.08%,-3.25%,87.57,87.1,42.45,129.56,-9.50%,50%,<2%,18%,0.82,2.71,-0.82,AA,4.40%,15
19,平银转债,127010,2019-02-18,平安银行,1,金融,123.34,0.52%,-0.10%,13.44,0.60%,150,0.50%,11.77,1.05,14.20%,114.19,8.00%,5.80年,无权,11.30%,12.90%,260,-0.78%,-1.31%,-0.88%,无权,无权,无权,94.51,35.55,130.06,-5.20%,29%,<2%,16%,0.7,1.85,-0.32,AAA,4.00%,47
20,冰轮转债,127009,2019-02-21,冰轮环境,811,机械装备制造,144.25,-0.93%,-2.18%,8.99,-3.33%,16,2.20%,5.52,2.08,62.90%,162.86,-11.40%,5.78年,3.78年,8.70%,14.10%,5.1,-3.86%,-4.30%,-3.95%,-8.06%,-8.22%,88.59,91.62,79.41,171.03,-15.70%,44%,<2%,17%,0.93,4.67,-2.09,AA,4.10%,25
21,凯龙转债,128052,2019-01-21,凯龙股份,2783,石油天然气化工,153,6.99%,0.37%,12.71,7.71%,261,53.80%,6.97,2.91,82.40%,182.35,-16.10%,5.72年,3.72年,7.80%,14.20%,3.3,-4.88%,-5.32%,-4.97%,-9.55%,-9.71%,89.16,92.27,96.95,189.22,-19.10%,78%,<2%,17%,0.95,5.82,-2.8,AA,4.10%,31
22,溢利转债,123018,2019-01-23,溢多利,300381,医药,122.318,-0.83%,-1.46%,10.77,-2.62%,4.2,0.50%,8.41,2.19,28.10%,128.06,-4.50%,5.71年,3.71年,15.20%,19.40%,6.7,-1.05%,-1.51%,-1.14%,-4.18%,-4.35%,88.23,90.96,46.86,137.82,-11.20%,77%,<2%,17%,0.87,3.16,-1.09,AA-,4.30%,34
23,佳都转债,110050,2019-01-21,佳都科技,600728,计算机及应用,141.05,-1.02%,0.50%,12.78,-0.54%,126,10.20%,7.95,6.28,60.80%,160.75,-12.30%,5.71年,3.71年,4.20%,6.80%,8.8,-3.68%,-4.10%,-3.76%,-7.67%,-7.83%,88.9,91.18,76.63,167.81,-15.90%,71%,<2%,16%,0.94,4.79,-2.15,AA,4.10%,24
24,海尔转债,110049,2019-01-18,青岛海尔,600690,家电,129.63,0.49%,0.89%,18.17,1.68%,30,0.80%,14.55,3.14,24.90%,124.88,3.80%,5.71年,3.71年,2.60%,3.20%,30.1,-2.88%,-3.19%,-2.94%,-5.68%,-5.84%,89.01,88.28,45.61,133.88,-3.20%,32%,12%,16%,0.82,1.51,0.19,AAA,4.00%,24
25,台华转债,113525,2019-01-11,台华新材,603055,服装纺织,117.69,0.19%,0.41%,12.45,0.81%,6.2,1.00%,11.56,2.73,7.70%,107.7,9.30%,5.71年,3.71年,7.80%,8.40%,5.3,-0.37%,-0.84%,-0.46%,-3.22%,-3.40%,87.64,90.06,31.26,121.32,-3.00%,47%,14%,17%,0.74,0.98,0.53,AA,4.50%,7
26,奇精转债,113524,2019-01-07,奇精机械,603677,家电,113.15,1.73%,-1.05%,15.88,0.95%,10,2.80%,14.76,3.23,7.60%,107.59,5.20%,5.70年,3.70年,10.60%,11.40%,3.3,0.80%,0.23%,0.69%,-2.23%,-2.41%,87.48,92.13,29.89,122.02,-7.30%,61%,<2%,18%,0.71,1.87,-0.32,AA,4.60%,49
27,光华转债,128051,2019-01-09,光华科技,2741,汽车,108.3,-0.08%,0.25%,15.71,0.26%,5.1,1.90%,17.03,4.89,-7.80%,92.25,17.40%,5.70年,3.70年,4.30%,3.90%,2.5,1.24%,0.73%,1.14%,-0.97%,-1.18%,86.89,88.83,20.95,109.78,-1.30%,38%,17%,17%,0.64,0.27,1,AA-,4.90%,22
28,钧达转债,128050,2018-12-27,钧达股份,2865,汽车,111.202,-0.22%,-1.06%,22.86,-1.89%,5.9,1.60%,21.74,3.22,5.20%,105.15,5.80%,5.69年,3.69年,11.50%,12.10%,3.2,1.99%,1.26%,1.84%,-1.64%,-1.85%,87.38,95.61,26.96,122.57,-9.30%,66%,<2%,18%,0.68,2.18,-0.64,AA-,4.80%,69
29,伟明转债,113523,2018-12-26,伟明环保,603568,城市公用设施,115.08,0.03%,0.63%,25.8,0.86%,1.6,0.20%,23.92,6.46,7.90%,107.86,6.70%,5.69年,3.69年,3.80%,4.10%,6.7,0.03%,-0.44%,-0.06%,-2.67%,-2.85%,87.83,90.32,29.64,119.95,-4.10%,43%,11%,16%,0.76,1.25,0.32,AA,4.50%,29
30,福能转债,110048,2018-12-28,福能股份,600483,能源电力,124.88,1.53%,-0.58%,10,1.21%,34,1.00%,8.69,1.42,15.10%,115.07,8.50%,5.68年,3.68年,18.20%,21.00%,28.3,-1.57%,-2.01%,-1.66%,-4.74%,-4.91%,88.69,90.8,35.21,126.01,-0.90%,29%,15%,16%,0.78,0.79,0.78,AA+,4.20%,10
31,华源转债,128049,2018-12-20,华源控股,2787,造纸包装印刷,119.25,-0.23%,-1.35%,9.3,-1.90%,7.5,1.60%,7.57,2.13,22.90%,122.85,-2.90%,5.65年,3.65年,13.80%,17.00%,4,-0.54%,-1.03%,-0.64%,-3.55%,-3.74%,88.35,91.05,43.8,134.85,-11.60%,75%,<2%,18%,0.83,3.14,-1.14,AA-,4.40%,58
32,旭升转债,113522,2018-12-11,旭升股份,603305,汽车,115.39,-0.29%,-1.54%,31.52,-2.57%,2.4,0.50%,29.86,8.97,5.60%,105.56,9.30%,5.64年,3.64年,3.30%,3.50%,4.2,0.76%,0.13%,0.63%,-2.77%,-2.95%,87.69,93.89,25.57,119.46,-3.40%,64%,10%,16%,0.71,1,0.45,AA,4.60%,19
33,山鹰转债,110047,2018-12-10,山鹰纸业,600567,造纸包装印刷,123.56,1.39%,-0.01%,4.11,1.73%,37,1.30%,3.34,1.46,23.10%,123.05,0.40%,5.63年,3.63年,12.20%,15.00%,23,-0.75%,-1.32%,-0.87%,-4.51%,-4.69%,88.92,94.36,40.19,134.55,-8.20%,29%,<2%,16%,0.79,2.48,-0.69,AA+,4.20%,64
34,寒锐转债,123017,2018-12-24,寒锐钴业,300618,有色金属,123.99,1.38%,1.82%,98.5,3.68%,150,27.70%,81.49,10.58,20.90%,120.87,2.60%,5.63年,3.63年,2.30%,2.80%,4.4,-1.96%,-2.31%,-2.03%,-4.66%,-4.82%,88.32,87.89,42.21,130.1,-4.70%,77%,<2%,16%,0.87,1.58,0.22,AA-,4.30%,39
35,圆通转债,110046,2018-12-18,圆通速递,600233,交通运输,127.7,1.35%,0.49%,14.18,2.16%,283,6.10%,10.89,3.9,30.20%,130.21,-1.90%,5.63年,3.63年,9.10%,11.80%,36.5,-1.79%,-2.26%,-1.88%,-5.29%,-5.48%,89.36,92.38,47.16,139.54,-8.50%,61%,<2%,16%,0.85,2.65,-0.72,AA+,4.20%,36
36,桐昆转债,113020,2018-12-12,桐昆股份,601233,服装纺织,129.6,0.15%,1.35%,16.05,1.78%,93,1.90%,12.63,1.91,27.10%,127.08,2.00%,5.63年,3.63年,13.00%,16.50%,38,-2.43%,-2.83%,-2.51%,-5.77%,-5.94%,88.9,90.33,45.82,136.15,-4.80%,48%,<2%,16%,0.85,1.77,0.02,AA+,4.20%,25
37,特发转债,127008,2018-12-25,特发信息,70,通信互联网,185,-0.35%,-1.46%,15.35,-1.85%,199,25.70%,6.78,4.53,126%,226.4,-18.30%,4.62年,2.62年,4.40%,9.90%,4.2,-10.50%,-10.20%,-10.40%,-12.80%,-12.80%,91.61,93.07,138.02,231.09,-19.90%,60%,<2%,17%,0.98,6.18,-2.99,AA,4.00%,41
38,科森转债,113521,2018-12-07,科森科技,603626,通信互联网,116.92,0.94%,0.67%,10.5,2.04%,14,2.00%,8.95,2.49,17.30%,117.32,-0.30%,5.62年,3.62年,14.00%,16.40%,6.1,-0.19%,-0.68%,-0.29%,-3.07%,-3.26%,88.48,91.19,39.11,130.3,-10.30%,64%,<2%,18%,0.79,2.77,-0.93,AA,4.40%,66
39,张行转债,128048,2018-11-29,张家港行,2839,金融,121.05,-0.21%,0.64%,7.11,0.57%,46,1.50%,6.06,1.44,17.30%,117.33,3.20%,5.61年,无权,19.50%,22.80%,25,-1.04%,-1.48%,-1.13%,无权,无权,无权,90.97,38.31,129.28,-6.40%,57%,<2%,18%,0.76,1.99,-0.33,AA+,4.20%,29
40,百合转债,113520,2018-11-26,梦百合,603313,其他,158.92,0.05%,-0.96%,31.8,-0.97%,25,3.10%,19.03,4.45,67.10%,167.1,-4.90%,5.60年,3.60年,6.60%,11.10%,5.1,-5.61%,-6.06%,-5.70%,-10.40%,-10.60%,89.45,92.63,82.44,175.07,-9.20%,41%,<2%,16%,0.94,2.95,-0.8,AA-,4.10%,17
41,洲明转债,123016,2018-12-03,洲明科技,300232,电子,151.651,-0.57%,0.76%,15.15,0.20%,2.5,0.30%,9.45,5.48,60.30%,160.32,-5.40%,5.60年,3.60年,4.80%,7.60%,5.5,-4.80%,-5.26%,-4.89%,-9.57%,-9.75%,89.69,92.73,75.09,167.82,-9.60%,69%,<2%,16%,0.94,3.03,-0.87,AA-,4.10%,15
42,长久转债,113519,2018-11-30,长久物流,603569,交通运输,123.96,1.61%,2.15%,15.09,4.57%,73,8.50%,11.99,3.76,25.90%,125.85,-1.50%,5.60年,3.60年,8.30%,10.40%,7,-0.50%,-1.12%,-0.62%,-4.58%,-4.78%,88.84,95.47,41.56,137.02,-9.50%,53%,<2%,17%,0.82,2.69,-0.8,AA,4.40%,22
43,光电转债,128047,2018-12-07,中航光电,2179,机械装备制造,119.864,0.49%,-1.47%,41.08,-1.39%,7.3,0.50%,40.26,5.62,2.00%,102.04,17.50%,5.59年,3.59年,4.00%,4.10%,13,-1.55%,-1.87%,-1.61%,-3.86%,-4.03%,88.48,87.31,27.06,114.38,4.80%,34%,22%,16%,0.7,-0.42,1.84,AA+,4.30%,10
44,利尔转债,128046,2018-11-09,利尔化学,2258,石油天然气化工,113.27,-1.14%,-0.85%,16.84,-3.27%,15,1.60%,18.62,2.99,-9.60%,90.44,25.20%,5.54年,3.54年,9.60%,8.70%,8.5,0.00%,-0.43%,-0.08%,-2.35%,-2.54%,87.46,87.92,18.25,106.17,6.70%,61%,25%,16%,0.61,-1.11,2.4,AA,4.80%,15
45,顾家转债,113518,2018-10-09,顾家家居,603816,其他,126.41,-1.20%,0.01%,60.5,-1.47%,9.2,0.70%,52.2,6.11,15.90%,115.9,9.10%,5.44年,3.44年,4.20%,4.90%,11,-1.71%,-2.19%,-1.80%,-5.36%,-5.55%,89.08,91.75,35.01,126.76,-0.30%,39%,17%,16%,0.81,0.54,1.08,AA,4.40%,7
46,机电转债,128045,2018-09-14,中航机电,2013,航空航天,121.5,0.58%,0.82%,8.5,1.92%,5.1,0.20%,7.66,3.46,11.00%,110.97,9.50%,5.40年,3.40年,6.80%,7.60%,21,-1.86%,-2.19%,-1.92%,-4.43%,-4.61%,90.1,89.35,32.67,122.02,-0.40%,57%,18%,16%,0.73,0.83,0.65,AAA,4.00%,12
47,岭南转债,128044,2018-09-04,岭南股份,2717,城市公用设施,115.242,0.10%,0.22%,9.59,0.42%,3.9,0.50%,8.96,2.24,7.00%,107.03,7.70%,5.36年,3.36年,6.70%,7.20%,6.6,-0.52%,-0.93%,-0.60%,-3.00%,-3.18%,88.91,89.07,29.44,118.51,-2.80%,67%,13%,16%,0.77,1.03,0.53,AA,4.50%,24
48,蓝盾转债,123015,2018-09-13,蓝盾股份,300297,计算机及应用,133.6,1.52%,0.23%,7.82,1.96%,53,16.80%,5.82,2.2,34.40%,134.36,-0.60%,5.36年,3.36年,2.50%,3.30%,2.4,-3.08%,-3.51%,-3.17%,-6.97%,-7.15%,89.88,91.23,51.51,142.73,-6.40%,36%,<2%,16%,0.89,2.14,-0.22,AA,4.20%,46
49,曙光转债,113517,2018-08-23,中科曙光,603019,计算机及应用,130,-0.38%,0.14%,64.07,-0.28%,17,1.10%,51.28,11.27,24.90%,124.94,4.00%,5.34年,3.34年,2.70%,3.40%,11.2,-2.59%,-3.02%,-2.67%,-6.27%,-6.46%,89.77,91.02,43.24,134.26,-3.20%,60%,<2%,16%,0.86,1.31,0.46,AA,4.30%,7
50,东音转债,128043,2018-08-27,东音股份,2793,机械装备制造,116.78,0.50%,-0.56%,13.18,-0.08%,7.2,2.30%,11.43,3.12,15.30%,115.31,1.30%,5.33年,3.33年,10.20%,11.80%,2.7,-0.21%,-0.73%,-0.31%,-3.34%,-3.54%,89.22,91.87,35.56,127.43,-8.40%,69%,<2%,17%,0.81,2.26,-0.48,AA-,4.50%,34
51,苏农转债,113516,2018-08-20,苏农银行,603323,金融,125.75,-0.55%,0.96%,7.67,0.52%,8.4,0.50%,6.34,1.24,21.00%,120.98,3.90%,5.33年,无权,10.30%,12.40%,12.9,-1.60%,-2.10%,-1.70%,无权,无权,无权,93.17,39.6,132.77,-5.30%,49%,<2%,18%,0.77,1.78,-0.13,AA+,4.20%,31
52,凯发转债,123014,2018-08-21,凯发电气,300407,能源电力,122.96,0.29%,-0.72%,9.92,-0.50%,11,2.70%,8.15,2.8,21.70%,121.72,1.00%,4.31年,2.31年,11.30%,13.80%,3.2,-2.69%,-3.08%,-2.77%,-7.20%,-7.36%,91.85,91.02,39.39,130.41,-5.70%,64%,<2%,18%,0.85,1.79,0,A+,4.40%,19
53,凯中转债,128042,2018-09-03,凯中精密,2823,能源电力,111.63,0.84%,0.17%,13.2,1.54%,5.1,1.10%,13.25,2.93,-0.40%,99.62,12.10%,5.32年,3.32年,10.80%,10.80%,4.2,0.95%,0.37%,0.84%,-2.08%,-2.29%,88.62,92.36,22.61,114.97,-2.90%,67%,14%,17%,0.66,0.85,0.49,AA,4.70%,47
54,横河转债,123013,2018-08-20,横河模具,300539,机械装备制造,130.05,0.19%,0.17%,11.92,0.42%,14,26.00%,9.26,6.5,28.70%,128.73,1.00%,5.31年,3.31年,1.70%,2.20%,0.4,-2.10%,-2.63%,-2.20%,-6.13%,-6.35%,90.34,93.29,46.53,139.82,-7.00%,78%,<2%,17%,0.87,2.07,-0.2,A+,4.40%,29
55,高能转债,113515,2018-08-27,高能环境,603588,城市公用设施,119.8,0.31%,-0.54%,10.74,-0.28%,7.4,0.70%,9.38,2.9,14.50%,114.5,4.60%,5.31年,3.31年,11.80%,13.60%,8.4,-1.06%,-1.51%,-1.15%,-4.08%,-4.27%,89.57,90.65,34.53,125.18,-4.30%,67%,<2%,16%,0.81,1.42,0.25,AA,4.40%,31
56,万顺转债,123012,2018-08-29,万顺股份,300057,造纸包装印刷,128.1,0.55%,0.29%,8.36,0.97%,19,4.40%,6.47,1.38,29.20%,129.21,-0.90%,5.29年,3.29年,7.50%,9.70%,3.4,-2.67%,-3.04%,-2.74%,-5.95%,-6.14%,89.79,89.36,49.43,138.79,-7.70%,45%,<2%,18%,0.87,2.32,-0.42,AA-,4.30%,31
57,威帝转债,113514,2018-08-13,威帝股份,603023,汽车,111.58,0.32%,0.27%,6.27,0.80%,2,0.90%,5.92,4.01,5.90%,105.91,5.40%,4.29年,2.29年,8.90%,9.40%,2,-0.02%,-0.51%,-0.11%,-3.51%,-3.67%,91.19,91.47,26.25,117.72,-5.20%,71%,11%,18%,0.74,1.41,0.13,A+,4.80%,49
58,德尔转债,123011,2018-08-14,德尔股份,300473,汽车,116.65,1.68%,-0.17%,39.34,1.94%,8,1.20%,34.96,2.27,12.50%,112.53,3.70%,5.29年,2.79年,13.40%,15.10%,5.6,0.16%,-0.43%,0.04%,-4.06%,-4.26%,90.66,93.39,31.71,125.09,-6.70%,44%,<2%,17%,0.78,1.83,-0.17,AA-,4.60%,44
59,盛路转债!,128041,2018-08-14,盛路通信,2446,通信互联网,162.2,4.98%,0.54%,11.27,5.52%,76,28.50%,6.88,3.04,63.80%,163.81,-1.00%,5.29年,3.29年,1.70%,2.80%,1.7,-6.34%,-6.80%,-6.43%,-11.90%,-12.00%,90.98,94.3,69.51,163.81,-1.00%,52%,<2%,16%,1,1.21,0.8,AA,4.00%,20
60,海澜转债,110045,2018-07-31,海澜之家,600398,服装纺织,107,-0.06%,0.18%,10.01,0.30%,49,1.50%,12.4,3.62,-19.30%,80.73,32.50%,5.27年,3.27年,6.70%,5.40%,30,0.87%,0.45%,0.78%,-1.16%,-1.32%,88.27,88.72,11.24,99.95,7.00%,30%,27%,16%,0.43,-1.11,2.02,AA+,4.60%,37
61,安井转债,113513,2018-07-31,安井食品,603345,食品饮料,122.88,0.97%,1.40%,43.41,2.75%,8.3,1.30%,35.46,5.13,22.40%,122.42,0.40%,5.27年,3.27年,5.30%,6.50%,5,-1.59%,-2.03%,-1.68%,-4.88%,-5.07%,89.63,90.78,41.07,131.85,-6.80%,51%,<2%,16%,0.86,2.08,-0.22,AA-,4.30%,17
62,景旺转债!,113512,2018-07-24,景旺电子,603228,电子,128.16,-1.76%,0.59%,64.2,-1.17%,37,4.40%,49.85,6.79,28.80%,128.79,-0.50%,5.26年,3.26年,2.50%,3.20%,6.6,-2.36%,-2.80%,-2.45%,-6.03%,-6.22%,90.89,92.59,36.2,128.79,-0.50%,38%,38%,16%,1,1.1,0.9,AA,4.00%,12
63,博世转债,123010,2018-08-14,博世科,300422,城市公用设施,112.3,0.71%,1.05%,12.38,3.17%,6.3,1.30%,14.3,3.33,-13.40%,86.57,29.70%,5.25年,3.25年,9.80%,8.50%,4.3,0.17%,-0.29%,0.08%,-2.30%,-2.50%,87.71,87.7,16.23,103.93,8.10%,68%,31%,17%,0.56,-1.43,2.66,AA-,5.10%,34
64,湖广转债,127007,2018-08-01,湖北广电,665,传媒娱乐,125.65,-0.68%,0.68%,9.68,0.00%,19,1.10%,7.92,1.02,22.20%,122.22,2.80%,5.23年,3.23年,20.80%,25.50%,13.7,-1.95%,-2.40%,-2.04%,-5.45%,-5.65%,90.69,92.08,40.68,132.76,-5.40%,32%,<2%,17%,0.81,1.86,-0.14,AA+,4.20%,34
65,广电转债,110044,2018-07-24,广电网络,600831,传媒娱乐,170.12,-0.61%,-1.75%,11.68,-2.50%,54,17.00%,6.91,2.21,69.00%,169.03,0.60%,5.23年,3.23年,2.30%,3.90%,1.9,-7.60%,-8.00%,-7.68%,-13.30%,-13.40%,90.66,92.17,83.87,176.05,-3.40%,41%,<2%,17%,0.94,1.6,0.35,AA,4.10%,10
66,千禾转债,113511,2018-07-10,千禾味业,603027,食品饮料,113.1,-0.11%,-0.94%,23.71,-1.66%,4.4,1.10%,25.85,6.06,-8.30%,91.72,23.30%,5.21年,3.21年,4.60%,4.20%,3.6,0.00%,-0.46%,-0.09%,-2.59%,-2.78%,88.21,88.48,18.47,106.95,5.80%,57%,24%,16%,0.63,-1,2.33,AA-,4.90%,39
67,再升转债,113510,2018-07-13,再升科技,603601,城市公用设施,107.27,0.12%,-0.30%,9.58,-0.42%,0.9,0.70%,11.32,4.12,-15.40%,84.63,26.80%,5.21年,1.21年,2.20%,1.90%,1.1,1.08%,0.61%,0.98%,-4.18%,-4.33%,94.11,86.61,16.52,103.13,4.00%,66%,23%,17%,0.44,-0.61,1.5,AA-,5.40%,31
68,华通转债,128040,2018-07-13,华通医药,2758,医药,110.27,-0.22%,-0.08%,11.79,-0.42%,4.9,2.00%,11.45,3.86,3.00%,102.97,7.10%,5.20年,3.20年,9.00%,9.30%,2.2,0.53%,0.07%,0.44%,-1.80%,-2.01%,89.04,89.61,27.37,116.98,-5.70%,76%,9%,18%,0.71,1.47,0.02,AA-,4.70%,47
69,三力转债,128039,2018-06-29,三 力 士,2224,机械装备制造,121.543,0.41%,0.08%,7.05,0.57%,3,0.50%,5.84,2.65,20.70%,120.72,0.70%,5.18年,3.18年,9.70%,11.70%,4.7,-1.84%,-2.20%,-1.91%,-4.77%,-4.95%,89.7,89,41.15,130.15,-6.60%,38%,<2%,17%,0.85,2.02,-0.19,AA-,4.40%,25
