,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,转股价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
11,海印转债,127003,海印股份,861,商业零售,101.901,-2.29%,-0.52%,2.94,-7.84%,41,3.60%,3.5,2.03,-16.00%,21.30%,3.24年,1.24年,17.30%,14.60%,11.1,3.68%,2.84%,3.51%,0.63%,0.24%,95.65,84,97.06,7.18,104.24,-2.20%,26%,14%,16%,0.36,0.58,0.17,AA,5.30%,85
12,洪涛转债,128013,洪涛股份,2325,建筑,95.3,-1.55%,1.55%,3.77,-5.99%,20,1.70%,9.98,1.28,-62.20%,152%,3.38年,1.38年,25.50%,9.60%,12,5.08%,4.36%,4.93%,5.04%,4.66%,93.98,37.78,92.58,2.5,95.08,0.20%,36%,36%,16%,0,-0.05,0.04,AA,6.00%,72
13,光大转债,113011,光大银行,601818,金融,113.98,-2.00%,-0.66%,4.17,-4.36%,411,1.20%,4.13,0.78,1.00%,12.90%,4年6天,无权,13.70%,13.80%,300,-0.95%,-1.39%,-1.04%,无权,无权,无权,100.97,94.13,20.06,114.19,-0.20%,18%,17%,16%,0.61,0.67,0.57,AAA,4.00%,23
14,骆驼转债,113012,骆驼股份,601311,汽车,118.84,-6.02%,13.60%,14.66,9.98%,240,28.10%,13.44,2.23,9.10%,9.00%,4年13天,2年13天,5.80%,6.30%,7.2,-2.09%,-2.51%,-2.17%,-6.32%,-6.56%,93.67,109.08,91.95,27.08,119.04,-0.20%,33%,18%,16%,0.76,0.56,0.97,AA,4.50%,13
15,永东转债,128014,永东股份,2753,石油天然气化工,100.619,-2.96%,1.35%,10.21,-5.11%,7.4,2.10%,13.53,2.54,-24.50%,33.30%,4年37天,2年37天,9.90%,7.50%,3.4,2.94%,2.33%,2.82%,1.27%,0.96%,91.38,75.46,90.46,7.93,98.39,2.30%,60%,22%,17%,0.31,-0.42,1.05,AA-,5.70%,28
16,模塑转债,127004,模塑科技,700,汽车,93.01,-2.34%,2.12%,3.68,-7.30%,34,4.40%,7.72,1.26,-52.30%,95.10%,4.23年,2.23年,26.90%,12.80%,8.2,5.27%,4.58%,5.13%,4.62%,4.31%,90.28,47.67,90.61,1.56,92.17,0.90%,54%,26%,17%,0.03,-0.19,0.25,AA,5.90%,51
17,久其转债,128015,久其软件,2279,计算机及应用,106.8,2.50%,-3.39%,9.18,-3.47%,54,6.60%,12.86,3.32,-28.60%,49.60%,4.24年,2.24年,11.90%,8.50%,7.8,1.21%,0.67%,1.11%,-1.48%,-1.73%,90.71,71.38,89.93,6.42,96.34,10.90%,71%,37%,17%,0.26,-1.9,2.57,AA,5.50%,34
18,国君转债,113013,国泰君安,601211,金融,117.72,-3.76%,-1.28%,20.01,-8.25%,389,4.70%,19.8,1.55,1.10%,16.50%,4.32年,无权,4.00%,4.10%,70,-1.63%,-2.04%,-1.71%,无权,无权,无权,101.06,93,21.88,114.88,2.50%,26%,22%,17%,0.61,0.13,1.09,AAA,4.00%,28
19,雨虹转债,128016,东方雨虹,2271,建筑,108.88,-1.79%,0.21%,18.81,-3.74%,61,3.00%,22.63,3.83,-16.90%,31.00%,4.54年,2.54年,6.60%,5.40%,18.4,0.29%,-0.13%,0.21%,-2.03%,-2.24%,91.37,83.12,90.35,11.18,101.53,7.20%,50%,28%,16%,0.42,-1.11,2.01,AA+,4.60%,6
20,林洋转债,113014,林洋能源,601222,能源电力,102.61,-1.63%,0.68%,5.58,-5.90%,28,0.90%,8.76,1.07,-36.30%,61.10%,4.63年,2.63年,30.50%,19.40%,30,1.70%,1.26%,1.62%,0.24%,0.01%,88.62,63.7,86.23,5.64,91.87,11.70%,83%,38%,16%,0.16,-2.07,2.55,AA,5.70%,13
21,金禾转债,128017,金禾实业,2597,石油天然气化工,107.81,-0.82%,-0.60%,17,-4.60%,3.4,0.50%,23.32,2.63,-27.10%,47.90%,4.64年,2.64年,6.30%,4.60%,6,0.50%,0.09%,0.42%,-1.61%,-1.81%,89.03,72.9,86.84,8.75,95.59,12.80%,37%,37%,17%,0.31,-2.22,3.06,AA,5.40%,19
22,隆基转债,113015,隆基股份,601012,能源电力,120.25,-0.17%,-1.82%,25.31,-2.65%,134,4.00%,22.98,4.74,10.10%,9.20%,4.65年,2.65年,4.00%,4.40%,28,-1.87%,-2.27%,-1.95%,-5.37%,-5.57%,91.74,110.14,91.22,29.05,120.27,0.00%,47%,18%,16%,0.75,0.62,0.89,AA+,4.30%,11
23,小康转债,113016,小康股份,601127,汽车,108.62,-1.48%,-2.24%,17.18,-5.40%,10,1.10%,17.2,3.4,-0.10%,8.70%,4.66年,2.66年,5.40%,5.40%,8.8,0.44%,0.00%,0.35%,-1.77%,-2.00%,91.01,99.88,90.14,22.36,112.5,-3.40%,40%,12%,16%,0.69,1.08,0.34,AA,4.60%,30
24,时达转债,128018,新时达,2527,机械装备制造,99.85,-0.25%,-0.17%,6.72,-5.35%,31,3.60%,11.83,1.47,-43.20%,75.80%,4.66年,2.66年,21.10%,12.00%,8.8,2.30%,1.86%,2.21%,1.22%,0.99%,88.1,56.8,85.5,4.8,90.3,10.60%,35%,37%,16%,0.08,-1.92,2.19,AA,5.80%,36
25,久立转2,128019,久立特材,2318,石油天然气化工,110,-1.83%,-2.43%,7.45,-7.45%,8.3,0.70%,8.22,2.25,-9.40%,21.40%,4.66年,2.66年,16.60%,15.00%,10.4,0.06%,-0.35%,-0.02%,-2.30%,-2.50%,90.2,90.63,88.77,17.17,105.94,3.80%,35%,24%,17%,0.57,-0.53,1.69,AA,4.90%,15
26,嘉澳转债,113502,嘉澳环保,603822,城市公用设施,97.96,-1.86%,0.59%,29.95,-5.67%,6.7,3.70%,45.27,3.1,-33.80%,48.10%,4.67年,2.67年,8.40%,5.60%,1.9,3.15%,2.62%,3.04%,1.94%,1.70%,87.92,66.16,86.71,6.19,92.91,5.40%,59%,28%,17%,0.22,-1.06,1.53,AA-,5.90%,32
27,济川转债,110038,济川药业,600566,医药,113.61,-1.47%,1.94%,35.46,0.94%,17,2.30%,40.04,5.81,-11.40%,28.30%,3.68年,1.68年,2.20%,1.90%,6.3,-1.18%,-1.62%,-1.27%,-5.92%,-6.07%,92.84,88.56,91.14,14.96,106.1,7.10%,35%,28%,15%,0.5,-1.14,2.21,AA,5.00%,9
28,水晶转债,128020,水晶光电,2273,电子,111.1,2.40%,0.29%,13.9,5.14%,70,5.40%,16,3.32,-13.10%,27.90%,4.69年,2.69年,9.80%,8.50%,11.8,0.10%,-0.36%,0.01%,-2.79%,-2.96%,89.38,86.88,89.27,13.41,102.68,8.20%,51%,29%,16%,0.52,-1.38,2.53,AA,5.00%,13
29,生益转债,110040,生益科技,600183,电子,115.12,-0.85%,0.35%,11.49,-0.78%,46,2.20%,11.62,4.11,-1.10%,16.40%,4.71年,无权,7.40%,7.30%,18,-0.92%,-1.32%,-1.00%,无权,无权,无权,98.88,90.58,20.96,111.54,3.20%,45%,22%,16%,0.65,-0.16,1.46,AA+,4.40%,2
30,国祯转债,123002,国祯环保,300388,城市公用设施,119.54,-5.13%,-2.01%,10.18,-8.62%,5.7,0.80%,8.72,2.73,16.70%,2.40%,4.71年,2.71年,10.50%,12.20%,5.9,-1.72%,-2.12%,-1.80%,-5.07%,-5.26%,91.28,116.74,90.62,34.9,125.51,-4.80%,51%,<2%,16%,0.83,1.64,0.09,AA,4.30%,6
31,兄弟转债,128021,兄弟科技,2562,医药,109.2,-0.09%,-3.53%,5.01,-5.83%,24,3.40%,5.35,2.07,-6.40%,16.60%,4.72年,2.72年,14.40%,13.50%,6.4,0.22%,-0.19%,0.14%,-2.00%,-2.20%,90.21,93.64,88.92,18.34,107.27,1.80%,68%,20%,16%,0.62,-0.09,1.33,AA,4.80%,19
32,众信转债,128022,众信旅游,2707,旅游餐饮酒店,105.71,-2.12%,0.89%,7.16,-6.28%,7.6,1.00%,10.99,2.69,-34.80%,62.30%,4.73年,2.73年,11.00%,7.20%,7,0.92%,0.51%,0.84%,-0.88%,-1.09%,88.11,65.15,85.62,6.63,92.25,14.60%,70%,44%,17%,0.2,-2.52,3.19,AA,5.60%,6
33,亚太转债,128023,亚太股份,2284,汽车,95.14,-1.71%,1.60%,5.55,-1.42%,12,1.30%,10.34,1.56,-46.30%,77.30%,4.74年,2.74年,24.40%,13.10%,10,3.73%,3.21%,3.63%,2.90%,2.67%,87.71,53.68,86.64,3.56,90.2,5.50%,38%,33%,17%,0.08,-1.03,1.19,AA,5.80%,21
34,宁行转债,128024,宁波银行,2142,金融,116.206,-2.11%,-0.44%,19.15,-3.82%,170,1.90%,18.01,1.63,6.30%,9.30%,4.74年,无权,7.50%,8.00%,75,-1.36%,-1.71%,-1.43%,无权,无权,无权,106.33,90.78,27.89,118.67,-2.10%,30%,16%,18%,0.67,1.15,0.23,AAA,4.00%,21
35,特一转债,128025,特一药业,2728,医药,107.88,-1.83%,-1.35%,15.89,-4.62%,3.8,1.00%,16.1,3.04,-1.30%,9.30%,4.74年,2.74年,10.60%,10.50%,3.4,0.48%,0.07%,0.40%,-1.57%,-1.77%,90.06,98.7,88.75,22.71,111.46,-3.20%,36%,13%,17%,0.69,0.94,0.46,AA-,4.80%,23
36,蓝思转债,123003,蓝思科技,300433,电子,98.1,-0.91%,0.59%,8.81,-6.18%,39,0.80%,16.08,2.12,-45.20%,79.10%,4.75年,2.75年,13.90%,7.60%,48,2.55%,2.12%,2.46%,1.72%,1.51%,89.62,54.79,88.06,3.45,91.51,7.20%,87%,36%,16%,0.05,-1.31,1.44,AA+,4.90%,19
37,众兴转债,128026,众兴菌业,2772,农业,95,-2.37%,1.32%,7.48,-5.44%,11,1.30%,11.64,1.1,-35.70%,47.80%,4.76年,2.76年,32.90%,21.20%,9.2,3.37%,2.92%,3.28%,2.96%,2.72%,87.27,64.26,84.44,6.22,90.66,4.80%,56%,26%,16%,0.19,-0.95,1.35,AA-,6.00%,34
38,泰晶转债,113503,泰晶科技,603738,电子,106.59,-0.60%,0.52%,16.75,-0.12%,12,5.20%,17.99,4.4,-6.90%,14.50%,4.77年,2.77年,8.10%,7.50%,2.2,1.24%,0.74%,1.14%,-1.04%,-1.26%,90.25,93.11,90.73,17.36,108.09,-1.40%,63%,15%,16%,0.61,0.49,0.73,AA,4.80%,21
39,崇达转债,128027,崇达技术,2815,电子,123,-0.80%,0.33%,17.71,-0.56%,5.6,0.60%,15.11,5.63,17.20%,4.90%,4.77年,2.77年,5.30%,6.20%,7.8,-2.21%,-2.61%,-2.29%,-5.82%,-6.02%,91.28,117.21,90.83,35.68,126.52,-2.80%,64%,11%,16%,0.83,1.2,0.49,AA,4.30%,2
40,铁汉转债,123004,铁汉生态,300197,城市公用设施,117,-5.65%,-1.04%,4.6,-8.00%,40,6.50%,3.99,1.65,15.30%,1.50%,4.77年,2.77年,5.00%,5.80%,5.2,-1.25%,-1.64%,-1.33%,-4.25%,-4.44%,91.07,115.29,90.43,33.29,123.72,-5.40%,67%,<2%,15%,0.84,1.8,-0.03,AA,4.30%,62
41,东财转债,123006,东方财富,300059,金融,165.102,-11.40%,2.32%,19.3,-9.52%,"1,656",34.90%,11.36,6.89,69.90%,-2.80%,4.78年,2.78年,2.80%,4.70%,27.6,-8.15%,-8.50%,-8.22%,-14.80%,-14.90%,90.92,169.89,91.48,83.7,175.18,-5.80%,58%,<2%,17%,0.96,2.17,-0.13,AA,4.10%,40
42,赣锋转债,128028,赣锋锂业,2460,有色金属,102.62,-2.46%,1.23%,25.94,-8.24%,3.2,0.30%,42.58,6.14,-39.10%,68.40%,4.78年,2.78年,2.70%,1.70%,9.3,1.45%,1.06%,1.37%,-0.02%,-0.19%,87.18,60.92,84.57,5.49,90.07,13.90%,71%,44%,17%,0.15,-2.43,2.97,AA,5.70%,11
43,太阳转债,128029,太阳纸业,2078,造纸包装印刷,106.902,-1.02%,-0.68%,6.8,-5.95%,27,2.10%,8.75,1.49,-22.30%,37.60%,3.78年,1.78年,6.80%,5.30%,12,0.35%,-0.07%,0.26%,-2.64%,-2.79%,92.76,77.71,91.13,6.85,97.98,9.10%,37%,32%,16%,0.29,-1.5,2.15,AA+,4.70%,6
44,天康转债,128030,天康生物,2100,农业,118.7,6.46%,0.49%,8.21,10.10%,46,4.10%,8.15,2.55,0.70%,17.80%,4.78年,2.78年,12.60%,12.70%,10,-1.08%,-1.56%,-1.17%,-4.63%,-4.83%,90.5,100.74,91.25,22.39,113.64,4.40%,29%,24%,16%,0.69,-0.53,1.94,AA,4.60%,11
45,双环转债,128032,双环传动,2472,机械装备制造,101.7,-1.36%,-0.43%,7.15,-6.04%,5.1,0.50%,9.99,1.49,-28.40%,42.10%,4.79年,2.79年,20.40%,14.60%,10,1.84%,1.41%,1.75%,0.53%,0.31%,88.49,71.57,86.5,7.96,94.46,7.70%,54%,29%,16%,0.3,-1.39,2.05,AA,5.40%,13
46,蒙电转债,110041,内蒙华电,600863,能源电力,112.5,-1.52%,-2.01%,2.91,-5.83%,30,1.40%,2.92,1.6,-0.30%,12.90%,4.78年,2.78年,11.10%,11.00%,18.7,-0.30%,-0.72%,-0.39%,-2.84%,-3.05%,92.19,99.66,92.26,21.07,113.33,-0.70%,23%,16%,16%,0.61,0.78,0.45,AAA,4.00%,17
47,航电转债,110042,中航电子,600372,航空航天,122.15,-0.68%,-2.67%,16.19,-4.48%,28,1.00%,14.23,4.13,13.80%,7.40%,4.79年,2.79年,8.40%,9.60%,24,-2.24%,-2.60%,-2.31%,-5.54%,-5.74%,92.06,113.77,91.31,32.58,123.89,-1.40%,36%,15%,16%,0.75,1.07,0.45,AAA,4.00%,17
48,吉视转债,113017,吉视传媒,601929,传媒娱乐,106.84,-1.73%,-1.32%,2.82,-5.05%,44,2.60%,2.96,1.32,-4.70%,12.10%,4.80年,2.80年,17.80%,16.90%,15.6,0.68%,0.28%,0.60%,-1.22%,-1.42%,90.8,95.27,90.06,18.81,108.86,-1.90%,26%,15%,16%,0.6,0.84,0.39,AA+,4.40%,28
49,迪龙转债,128033,雪迪龙,2658,城市公用设施,105.135,-1.74%,-1.75%,8.08,-6.16%,7.3,1.30%,9.03,2.46,-10.50%,17.50%,4.80年,2.80年,10.60%,9.50%,5.2,1.02%,0.62%,0.94%,-0.68%,-0.88%,89.6,89.48,88.17,16.87,105.04,0.10%,38%,18%,17%,0.57,0.18,0.96,AA,4.90%,40
50,道氏转债,123007,道氏技术,300409,建筑,121,-2.65%,-0.18%,18.49,-3.29%,30,5.20%,15.2,4.74,21.60%,-0.50%,4.80年,2.80年,5.70%,6.90%,4.7,-1.63%,-2.07%,-1.72%,-5.17%,-5.38%,91.32,121.64,91.67,38.91,130.58,-7.30%,77%,<2%,16%,0.86,2.23,-0.35,AA-,4.30%,26
51,常熟转债,113018,常熟银行,601128,金融,138.5,-7.05%,-1.69%,7.86,-9.97%,121,4.20%,5.76,1.52,36.50%,1.50%,4.86年,无权,11.50%,15.70%,20.4,-4.76%,-5.10%,-4.83%,无权,无权,无权,136.46,90.31,53.3,143.61,-3.60%,42%,<2%,18%,0.88,1.56,0.25,AA+,4.10%,40
52,江银转债,128034,江阴银行,2807,金融,115.6,-3.93%,-2.78%,6.29,-8.97%,101,4.70%,5.67,1.16,10.90%,4.20%,4.88年,无权,16.60%,18.40%,18.5,-1.10%,-1.46%,-1.17%,无权,无权,无权,110.93,89.71,31.87,121.58,-4.90%,49%,10%,18%,0.75,1.65,-0.07,AA+,4.30%,57
53,无锡转债,110043,无锡银行,600908,金融,110.06,-2.95%,-3.38%,6.41,-9.72%,70,2.10%,6.7,1.19,-4.30%,15.00%,4.89年,无权,25.30%,24.20%,30,-0.89%,-1.10%,-0.93%,无权,无权,无权,95.67,85.86,22.7,108.56,1.40%,47%,21%,18%,0.65,0.17,1.13,AA+,4.30%,51
54,大族转债,128035,大族激光,2008,电子,110.6,-0.72%,0.82%,42.55,0.26%,49,1.90%,52.5,5.54,-19.00%,36.50%,4.91年,2.91年,5.10%,4.10%,23,-0.41%,-0.73%,-0.48%,-1.74%,-2.04%,91.28,81.05,87.12,12.64,99.76,10.90%,39%,33%,16%,0.39,-1.76,2.68,AA+,4.60%,13
55,玲珑转债,113019,玲珑轮胎,601966,汽车,108.26,-1.81%,0.13%,15.82,-4.53%,7.6,0.40%,18.84,2.01,-16.00%,28.90%,3.97年,1.97年,10.50%,8.80%,20,1.10%,0.50%,0.98%,-2.86%,-3.02%,92.38,83.97,94.59,8.89,103.48,4.60%,34%,25%,16%,0.37,-0.64,1.4,AA+,4.60%,11
56,康泰转债,123008,康泰生物,300601,医药,135,-5.06%,0.23%,41.72,-5.33%,11,3.80%,31.23,16.93,33.60%,1.10%,4.89年,2.89年,0.80%,1.00%,2.1,-4.02%,-4.40%,-4.10%,-8.43%,-8.61%,91.07,133.59,90.79,50.45,141.24,-4.40%,69%,<2%,16%,0.91,1.68,0.2,AA-,4.20%,11
57,艾华转债,113504,艾华集团,603989,电子,112,-0.89%,1.91%,22,1.43%,6.9,0.90%,21.73,4.72,1.20%,10.60%,4.98年,2.98年,8.10%,8.20%,6.9,-0.22%,-0.62%,-0.30%,-2.56%,-2.75%,89.85,101.24,89.05,24.38,113.42,-1.30%,41%,16%,16%,0.71,0.62,0.81,AA,4.60%,4
58,杭电转债,113505,杭电股份,603618,能源电力,105.52,-2.52%,-2.16%,6.31,-8.82%,8.9,1.10%,7.29,2,-13.40%,21.90%,4.99年,2.99年,18.00%,15.60%,7.8,1.37%,0.89%,1.27%,-0.68%,-0.88%,88.83,86.56,89.07,14.32,103.39,2.10%,72%,20%,16%,0.53,-0.27,1.34,AA,4.90%,34
59,星源转债,123009,星源材质,300568,汽车,118,-2.72%,-1.03%,29.8,-4.91%,2.2,0.40%,27.69,4.12,7.60%,9.60%,4.99年,2.99年,8.40%,9.00%,4.8,-1.36%,-1.74%,-1.44%,-4.23%,-4.40%,89.83,107.62,88.97,29.55,118.52,-0.40%,64%,18%,17%,0.76,0.55,0.97,AA,4.50%,11
60,长证转债,127005,长江证券,783,金融,115.77,-2.24%,-3.78%,7.39,-9.99%,224,3.90%,7.45,1.56,-0.80%,16.70%,5年1.3天,无权,12.20%,12.10%,50,-1.05%,-1.41%,-1.12%,无权,无权,无权,99.19,90.65,23.83,114.48,1.10%,31%,21%,18%,0.6,0.39,0.82,AAA,4.00%,34
61,敖东转债,127006,吉林敖东,623,医药,106.931,-3.05%,-0.34%,17.64,-7.06%,111,4.30%,20.82,0.99,-15.30%,26.20%,5年2天,3年2天,11.80%,10.00%,24.1,0.31%,-0.01%,0.25%,-1.40%,-1.54%,88.97,84.73,87.31,14.03,101.34,5.50%,31%,25%,16%,0.48,-0.74,1.73,AA+,4.50%,34
62,岩土转债,128037,中化岩土,2542,建筑,96.47,-1.17%,0.65%,4.99,-2.92%,10,1.80%,8.03,2.5,-37.90%,55.20%,5年4天,3年4天,6.60%,4.10%,6,3.29%,2.79%,3.19%,2.29%,2.06%,87.16,62.14,86.37,4.86,91.23,5.70%,55%,28%,16%,0.18,-1.11,1.49,AA,5.60%,64
63,利欧转债,128038,利欧股份,2131,传媒娱乐,134.194,-6.81%,12.00%,2.41,5.70%,"1,870",130%,1.72,1.61,40.10%,-4.20%,5年11天,3年11天,7.10%,9.90%,10.5,-3.23%,-3.70%,-3.32%,-7.84%,-8.03%,90.98,140.12,93.2,54.94,148.14,-9.40%,80%,<2%,16%,0.91,2.91,-0.83,AA,4.20%,100
64,金农转债,128036,金新农,2548,农业,114.25,5.77%,2.16%,10.68,9.99%,123,17.20%,9.62,2.8,11.00%,2.90%,4.998年,2.998年,16.00%,17.80%,6.5,-0.53%,-0.95%,-0.62%,-3.02%,-3.24%,90.02,111.02,89.71,32.71,122.42,-6.70%,38%,<2%,17%,0.79,1.89,-0.19,AA-,4.50%,60
65,鼎信转债,113506,鼎信通讯,603421,能源电力,128.41,2.36%,2.50%,28.14,5.47%,163,47.50%,21.65,5.45,30.00%,-1.20%,5年32天,3年32天,2.10%,2.80%,2.7,-2.94%,-3.30%,-3.01%,-6.51%,-6.68%,90.44,129.98,89.96,47.97,137.92,-6.90%,51%,<2%,16%,0.89,2.26,-0.33,AA,4.20%,34
66,天马转债,113507,天马科技,603668,农业,118.71,0.16%,1.18%,8.9,1.60%,28,9.00%,7.37,2.98,20.80%,-1.70%,5年35天,3年35天,9.90%,11.90%,2.6,-0.93%,-1.39%,-1.02%,-4.07%,-4.28%,90.33,120.76,91.39,39.64,131.03,-9.40%,54%,<2%,17%,0.84,2.67,-0.76,AA-,4.40%,34
67,新凤转债,113508,新凤鸣,603225,服装纺织,105.84,0.02%,0.12%,20.99,0.24%,112,4.90%,23.74,2.28,-11.60%,19.70%,5年46天,3年46天,12.00%,10.60%,21.5,1.33%,0.85%,1.23%,-0.65%,-0.86%,88.7,88.42,89.03,15.89,104.92,0.90%,48%,18%,16%,0.56,-0.01,1.13,AA,4.90%,17
68,新泉转债,113509,新泉股份,603179,汽车,106.59,-3.12%,0.21%,17.89,-4.69%,0.7,0.20%,19.38,2.67,-7.70%,15.50%,5.23年,3.23年,11.00%,10.20%,4.5,0.81%,0.41%,0.73%,-0.84%,-1.04%,88.58,92.31,87.51,20.26,107.78,-1.10%,55%,16%,17%,0.62,0.45,0.79,AA,4.80%,21
69,三力转债,128039,三 力 士,2224,机械装备制造,118.6,-4.29%,1.48%,7,-3.31%,38,6.20%,5.84,2.63,19.90%,-1.10%,5.24年,3.24年,11.10%,13.30%,5.1,-1.35%,-1.71%,-1.42%,-3.99%,-4.16%,89.41,119.86,88.69,40.68,129.37,-8.30%,39%,<2%,17%,0.85,2.42,-0.54,AA-,4.40%,30
70,华通转债,128040,华通医药,2758,医药,101.001,-2.88%,-0.77%,9.51,-7.13%,12,5.00%,11.45,3.11,-16.90%,21.60%,5.26年,3.26年,11.20%,9.30%,2.2,2.25%,1.78%,2.16%,0.81%,0.59%,87.36,83.06,87.19,15.16,102.35,-1.30%,76%,17%,18%,0.51,0.25,0.77,AA-,5.20%,40
71,再升转债,113510,再升科技,603601,城市公用设施,101,-2.70%,1.73%,8.61,-3.26%,4.4,3.80%,11.32,3.7,-23.90%,32.80%,5.27年,1.27年,2.40%,1.90%,1.1,2.25%,1.77%,2.15%,0.11%,-0.05%,93.34,76.06,84.85,13.49,98.34,2.70%,67%,23%,17%,0.3,-0.41,1.01,AA-,5.80%,28
72,千禾转债,113511,千禾味业,603027,食品饮料,101.8,-2.35%,0.18%,18.59,-6.06%,19,5.10%,25.85,4.75,-28.10%,41.60%,5.28年,3.28年,5.90%,4.20%,3.6,2.05%,1.59%,1.96%,0.51%,0.31%,86.01,71.91,85.28,8.68,93.96,8.30%,59%,29%,16%,0.36,-1.61,2.44,AA-,5.60%,34
73,广电转债,110044,广电网络,600831,传媒娱乐,125,-5.47%,-2.76%,8.38,-9.89%,39,8.20%,6.91,1.59,21.30%,3.10%,5.30年,3.30年,6.50%,7.90%,3.7,-1.87%,-2.31%,-1.96%,-5.27%,-5.47%,89.75,121.27,90.91,40.62,131.53,-5.00%,38%,<2%,17%,0.83,1.66,0.08,AA,4.30%,17
