,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
12,富祥转债,123020,2019-03-29,富祥股份,300497,医药,148.1,20.80%,-11.70%,25.83,10.00%,260,43.90%,18.05,5.3,43.10%,143.1,3.50%,5.89年,3.89年,7.20%,10.40%,4.2,-3.42%,-4.00%,-3.54%,-8.33%,-8.50%,88.49,95.41,55.44,150.85,-1.80%,64%,<2%,16%,0.91,1.08,0.76,AA-,4.20%,34
13,长城转债,113528,2019-03-20,长城科技,603897,机械装备制造,112.38,-1.13%,-0.59%,25.36,-2.27%,24,3.40%,24.18,2.75,4.90%,104.88,7.20%,5.89年,3.89年,14.00%,14.70%,6.3,0.86%,0.32%,0.75%,-1.81%,-2.01%,87.13,91.04,26.94,117.97,-4.70%,57%,10%,17%,0.75,1.19,0.36,AA-,4.60%,26
14,今飞转债,128056,2019-03-22,今飞凯达,2863,汽车,113,-1.02%,-1.30%,7.51,-2.97%,16,3.80%,6.8,3,10.40%,110.44,2.30%,5.89年,3.89年,13.00%,14.40%,3.7,1.28%,0.64%,1.15%,-1.87%,-2.09%,87.3,93.56,29.87,123.43,-8.50%,72%,<2%,17%,0.78,2.02,-0.33,A+,4.70%,34
15,中天转债,110051,2019-03-22,中天科技,600522,通信互联网,114.38,-0.60%,-0.80%,10.17,-2.12%,73,1.60%,10.29,1.66,-1.20%,98.83,15.70%,5.89年,3.89年,12.70%,12.60%,39.7,-0.01%,-0.45%,-0.10%,-2.38%,-2.56%,87.51,89.42,22.15,111.57,2.50%,64%,20%,16%,0.66,-0.05,1.38,AA+,4.30%,23
16,长青转2,128055,2019-04-03,长青股份,2391,石油天然气化工,145.7,15.80%,-6.52%,16.56,10.00%,317,24.50%,11.41,1.83,45.10%,145.14,0.40%,5.89年,3.89年,15.40%,22.30%,9.1,-3.93%,-4.37%,-4.02%,-8.05%,-8.21%,88.34,91.33,60.44,151.78,-4.00%,30%,<2%,16%,0.93,1.63,0.28,AA,4.10%,41
17,中来转债,123019,2019-03-22,中来股份,300393,能源电力,110.201,-1.71%,0.30%,20.68,-2.13%,14,1.20%,20.41,1.98,1.30%,101.32,8.80%,5.88年,3.88年,20.10%,20.30%,10,2.20%,1.47%,2.05%,-1.24%,-1.47%,86.71,95.09,23.17,118.26,-6.80%,48%,10%,18%,0.66,1.5,-0.1,AA-,4.90%,48
18,中宠转债,128054,2019-03-14,中宠股份,2891,农业,110.29,-2.68%,2.11%,36.71,-0.78%,5.3,2.40%,37.97,5.01,-3.30%,96.68,14.10%,5.86年,3.86年,5.30%,5.10%,1.9,0.82%,0.34%,0.73%,-1.48%,-1.66%,86.13,88.17,21.41,109.58,0.60%,49%,21%,16%,0.72,-0.08,1.53,A+,4.80%,13
19,尚荣转债,128053,2019-03-07,尚荣医疗,2551,医药,123.026,0.83%,1.26%,6.56,2.34%,77,8.30%,4.94,2,32.80%,132.79,-7.40%,5.85年,3.85年,16.20%,21.50%,7.5,-1.12%,-1.58%,-1.21%,-4.17%,-4.34%,88.08,90.97,49.19,140.16,-12.20%,43%,<2%,16%,0.89,3.56,-1.35,AA,4.20%,51
20,维格转债,113527,2019-02-19,维格娜丝,603518,服装纺织,119.66,0.08%,-0.35%,18.35,-0.33%,36,4.00%,14.96,1.37,22.70%,122.66,-2.40%,5.80年,3.80年,22.50%,27.60%,7.5,0.15%,-0.46%,0.03%,-3.50%,-3.69%,87.93,94.58,39.23,133.8,-10.60%,39%,<2%,18%,0.81,2.87,-0.97,AA,4.40%,46
21,联泰转债,113526,2019-02-18,联泰环保,603797,城市公用设施,118.03,0.58%,-0.41%,14.55,0.21%,2.3,0.50%,12.31,2.94,18.20%,118.2,-0.10%,5.79年,3.79年,12.60%,14.90%,3.9,-1.06%,-1.40%,-1.13%,-3.26%,-3.43%,87.65,87.2,40.3,127.49,-7.40%,50%,<2%,18%,0.83,2.19,-0.39,AA,4.30%,16
22,平银转债,127010,2019-02-18,平安银行,1,金融,125.3,-0.12%,0.66%,13.96,0.72%,189,0.60%,11.77,1.09,18.60%,118.61,5.60%,5.79年,无权,10.80%,12.90%,260,-1.06%,-1.59%,-1.16%,无权,无权,无权,94.56,35.79,130.35,-3.90%,29%,11%,16%,0.75,1.6,-0.03,AAA,4.00%,44
23,冰轮转债,127009,2019-02-21,冰轮环境,811,机械装备制造,141.76,-3.24%,-1.00%,8.65,-4.53%,20,2.70%,5.52,2,56.70%,156.7,-9.50%,5.77年,3.77年,9.00%,14.10%,5.1,-3.58%,-4.02%,-3.66%,-7.68%,-7.84%,88.66,91.7,71.18,162.88,-13.00%,44%,<2%,17%,0.94,3.92,-1.55,AA,4.10%,26
24,凯龙转债,128052,2019-01-21,凯龙股份,2783,石油天然气化工,163.5,3.15%,-0.90%,13.58,2.34%,174,32.00%,6.97,3.11,94.80%,194.84,-16.10%,5.70年,3.70年,7.30%,14.20%,3.3,-6.01%,-6.45%,-6.10%,-10.70%,-10.90%,89.29,92.44,107.7,200.13,-18.30%,78%,<2%,17%,0.97,5.6,-2.65,AA,4.10%,31
25,溢利转债,123018,2019-01-23,溢多利,300381,医药,119.517,-1.49%,-0.44%,10.48,-2.24%,7.2,0.90%,8.41,2.13,24.60%,124.61,-4.10%,5.70年,3.70年,15.60%,19.40%,6.7,-0.64%,-1.11%,-0.73%,-3.61%,-3.79%,88.23,90.94,42.39,133.33,-10.40%,77%,<2%,17%,0.87,2.92,-0.91,AA-,4.30%,31
26,佳都转债,110050,2019-01-21,佳都科技,600728,计算机及应用,137.05,-1.71%,-2.36%,11.84,-4.36%,101,8.40%,7.95,5.82,48.90%,148.93,-8.00%,5.70年,3.70年,4.60%,6.80%,8.8,-3.19%,-3.61%,-3.27%,-7.00%,-7.16%,88.9,91.14,63.91,155.05,-11.60%,71%,<2%,16%,0.93,3.54,-1.27,AA,4.10%,26
27,海尔转债,110049,2019-01-18,青岛海尔,600690,家电,128.57,-0.92%,0.29%,18.1,-0.77%,114,2.90%,14.55,3.13,24.40%,124.4,3.40%,5.69年,3.69年,2.60%,3.20%,30.1,-2.74%,-3.05%,-2.81%,-5.50%,-5.66%,89.06,88.32,43.53,131.85,-2.50%,32%,13%,16%,0.83,1.37,0.33,AAA,4.00%,23
28,台华转债,113525,2019-01-11,台华新材,603055,服装纺织,119.02,0.44%,0.42%,12.68,1.12%,3.1,0.50%,11.56,2.78,9.70%,109.69,8.50%,5.69年,3.69年,7.60%,8.40%,5.3,-0.57%,-1.04%,-0.66%,-3.52%,-3.69%,87.87,90.38,30.33,120.71,-1.40%,47%,17%,17%,0.77,0.7,0.85,AA,4.50%,8
29,奇精转债,113524,2019-01-07,奇精机械,603677,家电,111.41,-1.38%,1.75%,15.59,0.52%,4.2,1.10%,14.76,3.17,5.60%,105.62,5.50%,5.68年,3.68年,10.80%,11.40%,3.3,1.08%,0.51%,0.97%,-1.84%,-2.02%,87.56,92.23,26.95,119.18,-6.50%,60%,12%,18%,0.72,1.67,-0.14,AA,4.60%,49
30,光华转债,128051,2019-01-09,光华科技,2741,汽车,108.563,0.20%,0.76%,15.87,1.47%,7.9,2.90%,17.03,4.94,-6.80%,93.19,16.50%,5.68年,3.68年,4.20%,3.90%,2.5,1.20%,0.69%,1.10%,-1.04%,-1.25%,87.03,89.01,19.37,108.38,0.20%,38%,19%,17%,0.65,0,1.29,AA-,4.90%,21
31,钧达转债,128050,2018-12-27,钧达股份,2865,汽车,110.2,-1.52%,-0.15%,22.53,-2.47%,28,7.90%,21.74,3.17,3.60%,103.63,6.30%,5.67年,3.67年,11.70%,12.10%,3.2,2.16%,1.43%,2.02%,-1.41%,-1.62%,87.41,95.63,23.85,119.48,-7.80%,66%,7%,18%,0.68,1.8,-0.33,AA-,4.80%,70
32,伟明转债,113523,2018-12-26,伟明环保,603568,城市公用设施,115.1,0.33%,1.69%,26.1,2.59%,13,1.70%,23.92,6.54,9.10%,109.11,5.50%,5.67年,3.67年,3.70%,4.10%,6.7,0.03%,-0.45%,-0.06%,-2.68%,-2.86%,88,90.54,29.03,119.57,-3.70%,43%,14%,16%,0.78,1.21,0.38,AA,4.40%,30
33,福能转债,110048,2018-12-28,福能股份,600483,能源电力,123,-1.51%,0.65%,9.99,-1.09%,58,1.60%,8.69,1.42,15.00%,114.96,7.00%,5.66年,3.66年,18.30%,21.00%,28.3,-1.31%,-1.75%,-1.40%,-4.37%,-4.55%,88.77,90.89,33.63,124.52,-1.20%,29%,17%,16%,0.79,0.87,0.72,AA+,4.20%,11
34,华源转债,128049,2018-12-20,华源控股,2787,造纸包装印刷,118.22,-1.94%,0.34%,9.4,-1.88%,21,4.30%,7.57,2.16,24.20%,124.17,-4.80%,5.64年,3.64年,13.70%,17.00%,4,-0.39%,-0.88%,-0.49%,-3.34%,-3.53%,88.55,91.33,42.55,133.87,-11.70%,75%,<2%,18%,0.85,3.23,-1.18,AA-,4.40%,57
35,旭升转债,113522,2018-12-11,旭升股份,603305,汽车,113.9,-1.81%,-0.05%,30.72,-2.69%,14,2.90%,29.86,8.75,2.90%,102.88,10.70%,5.62年,3.62年,3.40%,3.50%,4.2,0.99%,0.37%,0.87%,-2.44%,-2.63%,87.64,93.78,22.2,115.98,-1.80%,63%,14%,16%,0.69,0.63,0.76,AA,4.60%,20
36,山鹰转债,110047,2018-12-10,山鹰纸业,600567,造纸包装印刷,128.02,0.41%,1.58%,4.38,2.34%,47,1.60%,3.34,1.56,31.10%,131.14,-2.40%,5.62年,3.62年,11.50%,15.00%,23,-1.39%,-1.95%,-1.50%,-5.43%,-5.60%,89.15,94.7,44.7,139.4,-8.20%,29%,<2%,16%,0.85,2.57,-0.65,AA+,4.10%,62
37,寒锐转债,123017,2018-12-24,寒锐钴业,300618,有色金属,127,0.79%,1.86%,103.88,2.94%,84,15.00%,81.49,11.16,27.50%,127.48,-0.40%,5.62年,3.62年,2.20%,2.80%,4.4,-2.39%,-2.74%,-2.46%,-5.28%,-5.45%,88.62,88.31,46.26,134.58,-5.60%,77%,<2%,16%,0.9,1.88,0.01,AA-,4.20%,43
38,圆通转债,110046,2018-12-18,圆通速递,600233,交通运输,127.32,-1.02%,1.08%,14.11,0.07%,139,3.00%,10.89,3.88,29.60%,129.57,-1.70%,5.62年,3.62年,9.10%,11.80%,36.5,-1.74%,-2.22%,-1.83%,-5.24%,-5.42%,89.44,92.47,45.18,137.65,-7.50%,61%,<2%,16%,0.86,2.42,-0.52,AA+,4.10%,34
39,桐昆转债,113020,2018-12-12,桐昆股份,601233,服装纺织,138.23,3.99%,0.62%,18.02,5.07%,552,10.20%,12.63,2.14,42.70%,142.68,-3.10%,5.61年,3.61年,11.60%,16.50%,38,-3.57%,-3.96%,-3.65%,-7.40%,-7.56%,89.14,90.66,58.28,148.94,-7.20%,48%,<2%,16%,0.91,2.44,-0.45,AA+,4.10%,25
40,特发转债,127008,2018-12-25,特发信息,70,通信互联网,184.271,-1.89%,-2.08%,14.7,-4.05%,127,16.30%,6.78,4.34,117%,216.81,-15.00%,4.61年,2.61年,4.60%,9.90%,4.2,-10.40%,-10.20%,-10.40%,-12.80%,-12.90%,91.68,93.16,126.95,220.11,-16.30%,60%,<2%,17%,0.98,5.04,-2.25,AA,4.00%,41
41,科森转债,113521,2018-12-07,科森科技,603626,通信互联网,115.81,-1.83%,-0.71%,10.19,-3.23%,9.6,1.40%,8.95,2.42,13.90%,113.85,1.70%,5.61年,3.61年,14.40%,16.40%,6.1,-0.02%,-0.51%,-0.12%,-2.83%,-3.03%,88.51,91.21,34.09,125.31,-7.60%,64%,<2%,18%,0.79,2.1,-0.38,AA,4.40%,64
42,张行转债,128048,2018-11-29,张家港行,2839,金融,122.2,-0.42%,-0.12%,7.12,-0.70%,84,2.70%,6.06,1.44,17.50%,117.49,4.00%,5.60年,无权,19.40%,22.80%,25,-1.21%,-1.66%,-1.30%,无权,无权,无权,91.07,36.95,128.01,-4.50%,56%,<2%,18%,0.77,1.58,0.04,AA+,4.20%,30
43,百合转债,113520,2018-11-26,梦百合,603313,其他,142.03,-9.83%,0.47%,28.64,-9.99%,44,5.70%,19.03,4.01,50.50%,150.5,-5.60%,5.58年,3.58年,7.40%,11.10%,5.1,-3.67%,-4.14%,-3.77%,-8.04%,-8.22%,89.45,92.6,64.35,156.95,-9.50%,41%,<2%,16%,0.94,2.98,-0.83,AA-,4.20%,16
44,洲明转债,123016,2018-12-03,洲明科技,300232,电子,148.8,-3.93%,0.19%,14.83,-3.95%,10,1.20%,9.45,5.36,56.90%,156.93,-5.20%,5.58年,3.58年,4.90%,7.60%,5.5,-4.48%,-4.94%,-4.57%,-9.14%,-9.32%,89.77,92.82,70.41,163.23,-8.80%,69%,<2%,16%,0.95,2.84,-0.7,AA-,4.10%,13
45,长久转债,113519,2018-11-30,长久物流,603569,交通运输,120,-2.20%,-0.24%,14.26,-3.06%,7.7,0.90%,11.99,3.55,18.90%,118.93,0.90%,5.58年,3.58年,8.80%,10.40%,7,0.09%,-0.54%,-0.04%,-3.76%,-3.96%,88.74,95.28,34.62,129.9,-7.60%,53%,<2%,17%,0.8,2.14,-0.39,AA,4.40%,21
46,光电转债,128047,2018-12-07,中航光电,2179,机械装备制造,119.89,-0.09%,-0.94%,40.05,-1.50%,14,0.90%,40.26,5.48,-0.50%,99.48,20.50%,5.58年,3.58年,4.10%,4.10%,13,-1.56%,-1.88%,-1.62%,-3.88%,-4.05%,88.48,87.28,23.6,110.89,8.10%,34%,27%,16%,0.69,-1.05,2.51,AA+,4.30%,11
47,利尔转债,128046,2018-11-09,利尔化学,2258,石油天然气化工,130.7,10.50%,-2.77%,19.92,9.99%,81,7.30%,18.62,3.53,7.00%,106.98,22.20%,5.52年,3.52年,8.20%,8.70%,8.5,-2.60%,-3.01%,-2.68%,-6.11%,-6.28%,88.51,89.47,27.94,117.41,11.30%,61%,28%,16%,0.77,-1.65,3.39,AA,4.50%,15
48,顾家转债,113518,2018-10-09,顾家家居,603816,其他,120.56,-3.20%,0.67%,56.02,-3.33%,17,1.30%,52.2,5.66,7.30%,107.32,12.30%,5.43年,3.43年,4.60%,4.90%,11,-0.83%,-1.33%,-0.93%,-4.12%,-4.31%,88.82,91.32,26.93,118.25,2.00%,39%,22%,16%,0.76,0,1.52,AA,4.50%,8
49,机电转债,128045,2018-09-14,中航机电,2013,航空航天,120,-1.64%,-0.05%,8.24,-2.37%,35,1.40%,7.66,3.35,7.60%,107.57,11.60%,5.38年,3.38年,7.10%,7.60%,21,-1.63%,-1.96%,-1.70%,-4.11%,-4.29%,90.14,89.4,28.24,117.64,2.00%,57%,21%,16%,0.71,0.34,1.09,AAA,4.00%,13
50,岭南转债,128044,2018-09-04,岭南股份,2717,城市公用设施,117.85,1.16%,0.32%,10.15,1.81%,19,2.40%,8.96,2.37,13.30%,113.28,4.00%,5.35年,3.35年,6.30%,7.20%,6.6,-0.95%,-1.35%,-1.03%,-3.63%,-3.82%,89.27,89.59,32.75,122.34,-3.70%,67%,11%,16%,0.82,1.29,0.38,AA,4.40%,26
51,蓝盾转债,123015,2018-09-13,蓝盾股份,300297,计算机及应用,126.029,-4.55%,0.12%,7.33,-5.05%,21,8.10%,5.82,2.06,25.90%,125.95,0.10%,5.35年,3.35年,2.20%,2.80%,2,-2.01%,-2.44%,-2.10%,-5.42%,-5.61%,89.83,91.12,42.63,133.75,-5.80%,37%,<2%,16%,0.88,1.91,-0.06,AA,4.20%,44
52,曙光转债,113517,2018-08-23,中科曙光,603019,计算机及应用,128.48,-1.92%,-1.12%,63,-3.52%,49,3.40%,51.28,11.08,22.90%,122.85,4.60%,5.33年,3.33年,2.80%,3.40%,11.2,-2.38%,-2.81%,-2.46%,-5.98%,-6.17%,89.81,91.06,39.92,130.97,-1.90%,60%,<2%,16%,0.86,1.03,0.71,AA,4.30%,7
53,东音转债,128043,2018-08-27,东音股份,2793,机械装备制造,116.2,-0.45%,1.01%,13,0.70%,9,2.90%,11.43,3.07,13.70%,113.74,2.20%,5.32年,3.32年,10.30%,11.80%,2.7,-0.12%,-0.63%,-0.22%,-3.21%,-3.41%,89.28,91.93,32.36,124.29,-6.50%,69%,<2%,17%,0.81,1.82,-0.1,AA-,4.50%,36
54,苏农转债,113516,2018-08-20,苏农银行,603323,金融,128.03,0.09%,-0.70%,7.9,-0.75%,26,1.60%,6.34,1.28,24.60%,124.61,2.70%,5.32年,无权,10.00%,12.40%,12.9,-1.94%,-2.45%,-2.04%,无权,无权,无权,93.36,41.11,134.47,-4.80%,49%,<2%,18%,0.8,1.72,-0.03,AA+,4.20%,31
55,凯发转债,123014,2018-08-21,凯发电气,300407,能源电力,120.399,-1.79%,-0.34%,9.57,-2.55%,8.6,2.20%,8.15,2.7,17.40%,117.42,2.50%,4.30年,2.30年,11.70%,13.80%,3.2,-2.21%,-2.61%,-2.29%,-6.44%,-6.60%,91.8,90.88,34.34,125.22,-3.90%,64%,<2%,18%,0.83,1.35,0.37,A+,4.50%,18
56,凯中转债,128042,2018-09-03,凯中精密,2823,能源电力,111.5,0.43%,-2.17%,12.88,-2.72%,22,4.80%,13.25,2.86,-2.80%,97.21,14.70%,5.31年,3.31年,11.10%,10.80%,4.2,0.98%,0.40%,0.86%,-2.06%,-2.26%,88.57,92.26,19.64,111.91,-0.40%,67%,15%,17%,0.64,0.26,1.01,AA,4.70%,51
57,横河转债,123013,2018-08-20,横河模具,300539,机械装备制造,127.292,-0.55%,0.18%,11.84,-0.42%,11,20.60%,9.26,6.46,27.90%,127.86,-0.40%,5.30年,3.30年,1.70%,2.20%,0.4,-1.70%,-2.23%,-1.80%,-5.56%,-5.79%,90.46,93.44,43.85,137.29,-7.30%,77%,<2%,17%,0.88,2.15,-0.26,A+,4.40%,25
58,高能转债,113515,2018-08-27,高能环境,603588,城市公用设施,128.07,2.46%,2.34%,12.01,5.44%,55,5.00%,9.38,3.24,28.00%,128.04,0.00%,5.30年,3.30年,10.60%,13.60%,8.4,-2.33%,-2.76%,-2.42%,-5.94%,-6.13%,90.04,91.36,44.26,135.62,-5.60%,67%,<2%,16%,0.88,1.89,-0.03,AA,4.20%,30
59,万顺转债,123012,2018-08-29,万顺股份,300057,造纸包装印刷,133.15,4.32%,0.81%,8.67,5.73%,40,10.10%,6.47,1.43,34.00%,134,-0.60%,5.28年,3.28年,6.50%,8.80%,3,-3.40%,-3.77%,-3.47%,-7.03%,-7.22%,90.02,89.69,51.94,141.63,-6.00%,44%,<2%,18%,0.89,1.99,-0.1,AA-,4.30%,30
60,威帝转债,113514,2018-08-13,威帝股份,603023,汽车,111.16,-1.00%,0.30%,6.21,-0.96%,5.3,2.40%,5.92,3.97,4.90%,104.9,6.00%,4.28年,2.28年,8.90%,9.40%,2,0.07%,-0.42%,-0.03%,-3.38%,-3.55%,91.23,91.49,24.05,115.54,-3.80%,70%,13%,18%,0.73,1.09,0.41,A+,4.80%,46
61,德尔转债,123011,2018-08-14,德尔股份,300473,汽车,117,0.26%,-0.06%,39.35,0.25%,11,1.60%,34.96,2.27,12.60%,112.56,3.90%,5.27年,2.78年,13.40%,15.10%,5.6,0.10%,-0.49%,-0.02%,-4.18%,-4.38%,90.76,93.53,30.28,123.82,-5.50%,44%,<2%,17%,0.78,1.56,0.08,AA-,4.50%,44
62,盛路转债!,128041,2018-08-14,盛路通信,2446,通信互联网,156.501,-3.39%,-0.18%,10.79,-3.57%,18,7.30%,6.88,2.91,56.80%,156.83,-0.20%,5.27年,3.27年,1.70%,2.60%,1.6,-5.70%,-6.18%,-5.80%,-11.00%,-11.20%,91.03,94.35,62.48,156.83,-0.20%,52%,<2%,16%,1,1.04,0.96,AA,4.00%,20
63,海澜转债,110045,2018-07-31,海澜之家,600398,服装纺织,105.99,-1.00%,0.53%,9.99,-1.09%,23,0.70%,12.4,3.62,-19.40%,80.56,31.60%,5.26年,3.26年,6.70%,5.40%,30,1.05%,0.63%,0.97%,-0.89%,-1.05%,88.32,88.77,9.8,98.57,7.50%,30%,28%,16%,0.43,-1.18,2.1,AA+,4.60%,38
64,安井转债,113513,2018-07-31,安井食品,603345,食品饮料,119.92,-0.89%,1.88%,42.18,1.15%,52,8.60%,35.46,4.98,19.00%,118.95,0.80%,5.26年,3.26年,5.50%,6.50%,5,-1.13%,-1.57%,-1.22%,-4.22%,-4.40%,89.63,90.75,36.52,127.27,-5.80%,51%,<2%,16%,0.86,1.81,-0.01,AA-,4.40%,15
65,景旺转债!,113512,2018-07-24,景旺电子,603228,电子,125.76,-3.56%,-0.12%,63.06,-3.68%,32,4.00%,49.85,6.67,26.50%,126.5,-0.60%,5.24年,3.24年,2.40%,3.00%,6.2,-2.01%,-2.45%,-2.10%,-5.53%,-5.72%,90.94,92.64,33.86,126.5,-0.60%,38%,<2%,16%,1,1.12,0.88,AA,4.00%,10
66,博世转债,123010,2018-08-14,博世科,300422,城市公用设施,113.48,0.23%,1.36%,12.76,2.65%,5,1.00%,14.3,3.43,-10.80%,89.23,27.20%,5.24年,3.24年,9.50%,8.50%,4.3,-0.03%,-0.49%,-0.12%,-2.61%,-2.82%,88.04,88.18,16.39,104.57,8.50%,68%,32%,17%,0.6,-1.5,2.83,AA-,5.00%,36
67,湖广转债,127007,2018-08-01,湖北广电,665,传媒娱乐,122.1,-2.94%,1.21%,9.41,-2.18%,13,0.80%,7.92,1,18.80%,118.81,2.80%,5.22年,3.22年,21.40%,25.50%,13.7,-1.40%,-1.86%,-1.49%,-4.65%,-4.87%,90.71,92.07,36.43,128.5,-5.00%,33%,<2%,17%,0.79,1.75,-0.07,AA+,4.20%,34
68,广电转债,110044,2018-07-24,广电网络,600831,传媒娱乐,167.72,-1.31%,-0.78%,11.54,-2.20%,88,28.60%,6.91,2.19,67.00%,167,0.40%,5.22年,3.22年,2.30%,3.80%,1.8,-7.37%,-7.77%,-7.45%,-13.00%,-13.10%,90.74,92.28,80.36,172.64,-2.80%,42%,<2%,17%,0.95,1.49,0.45,AA,4.10%,10
69,千禾转债,113511,2018-07-10,千禾味业,603027,食品饮料,111,-1.84%,0.09%,23.03,-2.91%,5.2,1.30%,25.85,5.89,-10.90%,89.09,24.60%,5.20年,3.20年,4.70%,4.20%,3.6,0.37%,-0.09%,0.28%,-2.05%,-2.25%,88.06,88.2,15.33,103.53,7.20%,57%,28%,16%,0.6,-1.26,2.55,AA-,5.00%,38
70,再升转债,113510,2018-07-13,再升科技,603601,城市公用设施,107.86,0.28%,-0.77%,9.43,-1.26%,3.3,2.70%,11.32,4.05,-16.70%,83.3,29.50%,5.20年,1.20年,2.20%,1.90%,1.1,0.97%,0.50%,0.88%,-4.60%,-4.76%,94.05,86.23,15.11,101.34,6.40%,66%,26%,17%,0.39,-1.06,1.89,AA-,5.50%,31
