,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
11,浙商转债,113022,2019-03-28,浙商证券,601878,金融,111.9,0.74%,-0.21%,11.37,0.98%,46,1.20%,12.53,3.06,-9.30%,90.74,23.30%,5.90年,无权,9.20%,8.40%,35,-0.29%,-0.61%,-0.36%,无权,无权,无权,87.63,19.05,106.68,4.90%,50%,26%,18%,0.54,-0.38,1.48,AAA,4.00%,26
12,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,122.1,-0.93%,-0.25%,46.3,-1.47%,13,1.00%,40.52,5.49,14.30%,114.26,6.90%,5.89年,3.89年,5.30%,6.00%,10,-0.54%,-1.08%,-0.65%,-3.95%,-4.12%,87.31,92.22,32.22,124.44,-1.90%,46%,14%,16%,0.8,0.84,0.77,AA,4.40%,15
13,视源转债,128059,2019-04-02,视源股份,2841,电子,114.6,0.27%,-0.27%,73.2,0.00%,6,0.60%,76.25,14.69,-4.00%,96,19.40%,5.89年,3.89年,2.00%,1.90%,9.4,-0.05%,-0.48%,-0.13%,-2.43%,-2.60%,86.52,87.97,20.94,108.91,5.20%,56%,24%,16%,0.68,-0.78,2.2,AA,4.60%,15
14,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,118.4,-0.42%,0.42%,13.09,0.00%,7.5,0.50%,11.99,1.77,9.20%,109.17,8.50%,5.89年,3.89年,7.50%,8.20%,12,-0.40%,-0.87%,-0.49%,-3.17%,-3.35%,87.98,90.9,30.04,120.94,-2.10%,42%,16%,17%,0.73,0.99,0.49,AA+,4.30%,15
15,拓邦转债,128058,2019-04-08,拓邦股份,2139,电子,121.9,1.33%,0.63%,6.84,2.40%,81,11.60%,5.64,2.59,21.30%,121.28,0.50%,5.88年,3.88年,8.20%,10.00%,5.7,0.16%,-0.50%,0.02%,-3.68%,-3.89%,88.42,96.2,36.26,132.46,-8.00%,59%,<2%,16%,0.82,2.24,-0.44,AA,4.40%,42
16,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,114.357,0.01%,-0.01%,10.18,0.00%,26,4.00%,8.9,1.93,14.40%,114.38,0.00%,5.88年,3.88年,10.80%,12.30%,5.8,0.49%,-0.04%,0.38%,-2.32%,-2.51%,87.51,91.57,32.98,124.56,-8.20%,74%,<2%,16%,0.82,2.21,-0.41,AA-,4.40%,44
17,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,124.17,1.06%,0.24%,10.6,1.53%,62,3.10%,8.13,1.96,30.40%,130.38,-4.80%,5.88年,3.88年,14.50%,18.90%,16,-0.74%,-1.29%,-0.85%,-4.26%,-4.45%,88.67,94.15,45,139.16,-10.80%,41%,<2%,16%,0.85,3.22,-1.18,AA+,4.20%,36
18,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,122.108,0.12%,2.05%,16.8,2.56%,21,1.50%,13.62,4.25,23.30%,123.35,-1.00%,5.87年,3.87年,6.50%,8.00%,12,-0.55%,-1.08%,-0.65%,-3.98%,-4.14%,87.69,92.77,39.45,132.21,-7.60%,50%,<2%,16%,0.85,2.26,-0.4,AA,4.30%,14
19,中信转债,113021,2019-03-19,中信银行,601998,金融,108.08,-0.05%,0.05%,6.54,0.00%,100,0.20%,7.45,0.91,-12.20%,87.79,23.10%,5.87年,无权,12.50%,11.00%,400,1.71%,1.13%,1.59%,无权,无权,无权,95.14,14.09,109.23,-1.10%,23%,17%,17%,0.45,0.73,0.2,AAA,4.00%,41
20,富祥转债,123020,2019-03-29,富祥股份,300497,医药,126.488,-1.86%,-0.68%,23.6,-2.88%,30,5.60%,18.05,3.71,30.70%,130.75,-3.30%,5.86年,3.86年,7.90%,10.40%,4.2,-0.75%,-1.36%,-0.88%,-4.69%,-4.89%,88.31,95.09,44.61,139.7,-9.50%,64%,<2%,16%,0.88,2.72,-0.73,AA-,4.30%,41
21,长城转债,113528,2019-03-20,长城科技,603897,机械装备制造,109.42,-0.03%,-0.56%,24.99,-0.79%,3.8,0.50%,24.18,2.63,3.30%,103.35,5.90%,5.86年,3.86年,14.20%,14.70%,6.3,1.34%,0.79%,1.23%,-1.16%,-1.37%,87.13,90.98,25.78,116.75,-6.30%,56%,7%,17%,0.74,1.52,0.03,AA-,4.70%,33
22,今飞转债,128056,2019-03-22,今飞凯达,2863,汽车,111.25,-0.23%,0.23%,7.58,0.00%,6.9,1.70%,6.8,2.71,11.50%,111.47,-0.20%,5.86年,3.86年,12.90%,14.40%,3.7,1.56%,0.92%,1.43%,-1.50%,-1.72%,87.48,93.78,30.5,124.28,-10.50%,71%,<2%,17%,0.79,2.55,-0.75,A+,4.60%,45
23,中天转债,110051,2019-03-22,中天科技,600522,通信互联网,115.37,1.48%,0.09%,11.4,2.06%,225,5.00%,10.29,1.68,10.80%,110.79,4.10%,5.86年,3.86年,11.30%,12.60%,39.7,-0.16%,-0.60%,-0.25%,-2.61%,-2.79%,87.96,90.02,30.94,120.96,-4.60%,64%,10%,16%,0.76,1.59,0.01,AA+,4.20%,24
24,长青转2,128055,2019-04-03,长青股份,2391,石油天然气化工,124.454,-1.38%,1.26%,14.74,-0.14%,25,2.20%,11.41,1.23,29.20%,129.18,-3.70%,5.86年,3.86年,17.20%,22.30%,9.1,-1.29%,-1.75%,-1.38%,-4.40%,-4.58%,88.18,91.05,46.06,137.11,-9.20%,31%,<2%,16%,0.89,2.74,-0.73,AA,4.20%,44
25,中来转债,123019,2019-03-22,中来股份,300393,能源电力,109.61,0.01%,0.91%,21.4,1.33%,8,0.70%,20.41,1.96,4.90%,104.85,4.50%,5.85年,3.85年,19.40%,20.30%,10,2.30%,1.57%,2.16%,-1.12%,-1.34%,87.09,95.64,25.26,120.9,-9.30%,47%,6%,18%,0.69,2.18,-0.62,AA-,4.80%,52
26,中宠转债,128054,2019-03-14,中宠股份,2891,农业,109.001,-0.68%,0.41%,35.81,-0.39%,2.6,1.20%,37.97,4.73,-5.70%,94.31,15.60%,5.83年,3.83年,5.40%,5.10%,1.9,1.03%,0.55%,0.94%,-1.20%,-1.38%,86.02,87.95,19.86,107.81,1.10%,48%,19%,16%,0.7,-0.23,1.64,A+,4.90%,18
27,尚荣转债,128053,2019-03-07,尚荣医疗,2551,医药,121.304,0.43%,0.96%,6.52,1.56%,17,1.90%,4.94,1.51,32.00%,131.98,-8.10%,5.82年,3.82年,16.30%,21.50%,7.5,-0.88%,-1.34%,-0.97%,-3.86%,-4.03%,88.17,91.06,48.37,139.43,-13.00%,42%,<2%,16%,0.89,3.76,-1.51,AA,4.20%,61
28,维格转债,113527,2019-02-19,维格娜丝,603518,服装纺织,115.75,0.33%,0.07%,17.78,0.51%,3.5,0.40%,14.96,1.12,18.90%,118.85,-2.60%,5.77年,3.77年,23.30%,27.70%,7.5,0.74%,0.12%,0.62%,-2.70%,-2.89%,87.93,94.52,36.08,130.6,-11.40%,39%,<2%,18%,0.79,3.04,-1.13,AA,4.40%,45
29,联泰转债,113526,2019-02-18,联泰环保,603797,城市公用设施,114.28,-0.37%,-0.64%,14.08,-1.26%,4.7,1.10%,12.31,2.49,14.40%,114.38,-0.10%,5.76年,3.76年,13.00%,14.90%,3.9,-0.50%,-0.85%,-0.57%,-2.48%,-2.65%,87.64,87.13,37.17,124.3,-8.10%,50%,<2%,18%,0.81,2.28,-0.49,AA,4.40%,20
30,平银转债,127010,2019-02-18,平安银行,1,金融,125.5,1.19%,0.95%,14.73,2.72%,313,1.00%,11.77,0.92,25.10%,125.15,0.30%,5.76年,无权,10.30%,12.90%,260,-1.09%,-1.63%,-1.20%,无权,无权,无权,94.67,41.23,135.91,-7.70%,29%,<2%,16%,0.79,2.54,-0.74,AAA,4.00%,47
31,冰轮转债,127009,2019-02-21,冰轮环境,811,机械装备制造,161.8,3.37%,-0.08%,10.62,3.41%,112,13.70%,5.52,1.28,92.40%,192.39,-15.90%,5.74年,3.74年,7.30%,14.10%,5.1,-5.82%,-6.25%,-5.91%,-10.40%,-10.60%,88.97,92.12,105.43,197.55,-18.10%,44%,<2%,17%,0.97,5.53,-2.6,AA,4.10%,29
32,凯龙转债,128052,2019-01-21,凯龙股份,2783,石油天然气化工,222,-2.67%,3.00%,21,0.33%,"2,255",302%,6.97,1.6,201%,301.29,-26.30%,5.67年,3.67年,4.70%,14.20%,3.3,-11.00%,-10.10%,-10.80%,-16.90%,-17.10%,89.51,92.72,213.43,306.16,-27.50%,79%,<2%,17%,0.98,8.91,-4.5,AA,4.00%,33
33,溢利转债,123018,2019-01-23,溢多利,300381,医药,116.531,0.24%,0.26%,10.25,0.59%,2.5,0.30%,8.41,1.71,21.90%,121.88,-4.40%,5.67年,3.67年,16.00%,19.40%,6.7,-0.19%,-0.67%,-0.29%,-3.00%,-3.18%,88.24,90.9,40.05,130.95,-11.00%,77%,<2%,17%,0.85,3.05,-1.03,AA-,4.40%,36
34,佳都转债,110050,2019-01-21,佳都科技,600728,计算机及应用,132.01,0.27%,-0.02%,11.26,0.27%,40,3.50%,7.95,3.72,41.60%,141.64,-6.80%,5.67年,3.67年,4.80%,6.80%,8.8,-2.55%,-2.99%,-2.64%,-6.13%,-6.30%,88.93,91.14,57.08,148.22,-10.90%,70%,<2%,16%,0.92,3.31,-1.12,AA,4.20%,24
35,海尔转债,110049,2019-01-18,青岛海尔,600690,家电,127.51,0.69%,1.61%,18.36,2.74%,42,1.10%,14.55,2.52,26.20%,126.19,1.00%,5.66年,3.66年,2.60%,3.20%,30.1,-2.61%,-2.93%,-2.68%,-5.34%,-5.50%,89.16,88.43,45.01,133.44,-4.40%,32%,<2%,16%,0.84,1.82,-0.05,AAA,4.00%,23
36,台华转债,113525,2019-01-11,台华新材,603055,服装纺织,114.5,0.05%,-0.17%,12.45,-0.16%,7.7,1.30%,11.56,2.53,7.70%,107.7,6.30%,5.66年,3.66年,7.80%,8.40%,5.3,0.13%,-0.36%,0.03%,-2.55%,-2.74%,87.89,90.35,28.82,119.17,-3.90%,47%,12%,17%,0.76,1.2,0.35,AA,4.50%,9
37,奇精转债,113524,2019-01-07,奇精机械,603677,家电,110.31,1.45%,0.42%,15.78,2.60%,8.1,2.20%,14.76,3,6.90%,106.91,3.20%,5.65年,3.65年,10.70%,11.40%,3.3,1.27%,0.69%,1.15%,-1.59%,-1.78%,87.69,92.37,27.8,120.16,-8.20%,60%,<2%,18%,0.72,2.09,-0.49,AA,4.60%,52
38,光华转债,128051,2019-01-09,光华科技,2741,汽车,105.8,-0.47%,0.10%,15.84,-0.56%,5,1.90%,17.03,5.3,-7.00%,93.01,13.70%,5.65年,3.65年,4.20%,3.90%,2.5,1.68%,1.16%,1.57%,-0.37%,-0.59%,87.15,89.13,19.16,108.29,-2.30%,37%,15%,17%,0.65,0.5,0.8,AA-,4.90%,24
39,钧达转债,128050,2018-12-27,钧达股份,2865,汽车,107.49,-0.81%,0.78%,21.79,-0.05%,7.5,2.20%,21.74,3.06,0.20%,100.23,7.20%,5.64年,3.64年,12.10%,12.10%,3.2,2.64%,1.89%,2.49%,-0.76%,-0.99%,87.27,95.34,21.7,117.04,-8.20%,66%,9%,18%,0.64,1.81,-0.4,AA-,4.90%,74
40,伟明转债,113523,2018-12-26,伟明环保,603568,城市公用设施,117,-0.08%,0.98%,27.49,1.10%,3.5,0.40%,23.92,5.65,14.90%,114.92,1.80%,5.64年,3.64年,3.50%,4.10%,6.7,-0.26%,-0.74%,-0.36%,-3.12%,-3.30%,88.37,91.04,33.45,124.49,-6.00%,43%,<2%,16%,0.82,1.8,-0.06,AA,4.40%,26
41,福能转债,110048,2018-12-28,福能股份,600483,能源电力,119.89,-0.29%,0.05%,9.99,-0.30%,39,1.10%,8.69,1.23,15.00%,114.96,4.30%,5.63年,3.63年,18.30%,21.00%,28.3,-0.86%,-1.31%,-0.95%,-3.75%,-3.93%,88.87,91,33.52,124.52,-3.70%,29%,10%,16%,0.79,1.41,0.22,AA+,4.20%,9
42,华源转债,128049,2018-12-20,华源控股,2787,造纸包装印刷,115.606,0.17%,1.43%,8.88,1.95%,3,0.60%,7.57,1.74,17.30%,117.31,-1.40%,5.61年,3.61年,14.50%,17.00%,4,0.01%,-0.48%,-0.08%,-2.79%,-2.98%,88.42,91.08,37.03,128.1,-9.80%,75%,<2%,18%,0.82,2.6,-0.74,AA-,4.50%,61
43,旭升转债,113522,2018-12-11,旭升股份,603305,汽车,113.31,-0.61%,-0.09%,30.71,-1.00%,2.9,0.60%,29.86,8.5,2.80%,102.85,10.20%,5.59年,3.59年,3.40%,3.50%,4.2,1.10%,0.46%,0.97%,-2.33%,-2.51%,87.75,93.89,22.08,115.98,-2.30%,63%,14%,16%,0.69,0.74,0.66,AA,4.60%,17
44,山鹰转债,110047,2018-12-10,山鹰纸业,600567,造纸包装印刷,116.91,0.05%,-0.05%,3.94,0.00%,42,1.60%,3.34,1.15,18.00%,117.96,-0.90%,5.59年,3.59年,12.70%,15.00%,23,0.25%,-0.33%,0.13%,-3.14%,-3.32%,89.04,94.47,33.61,128.08,-8.70%,29%,<2%,16%,0.78,2.58,-0.79,AA+,4.20%,68
45,寒锐转债,123017,2018-12-24,寒锐钴业,300618,有色金属,115.192,-0.72%,-0.89%,87.95,-1.99%,3.8,0.70%,81.49,8.75,7.90%,107.93,6.70%,5.59年,3.59年,2.60%,2.80%,4.4,-0.66%,-1.02%,-0.73%,-2.81%,-2.98%,88.02,87.38,30.07,117.45,-1.90%,77%,12%,16%,0.81,0.81,0.82,AA-,4.50%,42
46,圆通转债,110046,2018-12-18,圆通速递,600233,交通运输,127.62,1.54%,1.89%,14.5,3.94%,207,4.50%,10.89,2.84,33.10%,133.15,-4.20%,5.59年,3.59年,8.90%,11.80%,36.5,-1.79%,-2.27%,-1.89%,-5.34%,-5.53%,89.58,92.64,48.2,140.85,-9.40%,60%,<2%,16%,0.87,2.92,-0.9,AA+,4.10%,38
47,桐昆转债,113020,2018-12-12,桐昆股份,601233,服装纺织,127.85,-0.23%,1.28%,17.3,1.17%,103,2.10%,12.63,1.5,37.00%,136.98,-6.70%,5.58年,3.58年,12.10%,16.50%,38,-2.21%,-2.61%,-2.29%,-5.49%,-5.66%,89.2,90.7,52.91,143.61,-11.00%,48%,<2%,16%,0.89,3.37,-1.21,AA+,4.10%,30
48,特发转债,127008,2018-12-25,特发信息,70,通信互联网,203.01,2.22%,-1.09%,16.8,1.14%,704,83.60%,6.78,1.9,148%,247.79,-18.10%,4.58年,2.58年,4.00%,9.90%,4.2,-11.60%,-11.90%,-11.60%,-14.60%,-14.60%,91.81,93.3,157.69,250.99,-19.10%,60%,<2%,17%,0.99,5.93,-2.82,AA,4.00%,44
49,科森转债,113521,2018-12-07,科森科技,603626,通信互联网,118.32,-6.00%,4.31%,11.11,-2.03%,166,22.40%,8.95,2.12,24.10%,124.13,-4.70%,5.58年,3.58年,13.20%,16.40%,6.1,-0.41%,-0.91%,-0.51%,-3.41%,-3.61%,88.93,91.79,42.12,133.91,-11.60%,63%,<2%,18%,0.83,3.27,-1.24,AA,4.30%,64
50,张行转债,128048,2018-11-29,张家港行,2839,金融,117.98,-0.01%,0.45%,7.05,0.57%,23,0.80%,6.06,1.22,16.30%,116.34,1.40%,5.57年,无权,19.60%,22.80%,25,-0.58%,-1.03%,-0.67%,无权,无权,无权,91.16,35.91,127.07,-7.20%,56%,<2%,18%,0.77,2.17,-0.48,AA+,4.20%,30
51,百合转债,113520,2018-11-26,梦百合,603313,其他,137.71,1.26%,1.50%,28.16,2.96%,39,5.60%,19.03,2.66,48.00%,147.98,-6.90%,5.55年,3.55年,7.50%,11.10%,5.1,-3.14%,-3.62%,-3.24%,-7.33%,-7.51%,89.53,92.67,61.92,154.59,-10.90%,41%,<2%,16%,0.93,3.32,-1.1,AA-,4.20%,21
52,洲明转债,123016,2018-12-03,洲明科技,300232,电子,137.988,1.16%,-0.19%,13.56,1.04%,8.1,1.10%,9.45,3.42,43.50%,143.49,-3.80%,5.55年,3.55年,5.30%,7.60%,5.5,-3.17%,-3.65%,-3.27%,-7.33%,-7.52%,89.73,92.7,57.79,150.5,-8.30%,69%,<2%,16%,0.93,2.62,-0.56,AA-,4.20%,17
53,长久转债,113519,2018-11-30,长久物流,603569,交通运输,120.14,2.00%,0.54%,14.5,3.13%,12,1.50%,11.99,2.77,20.90%,120.93,-0.70%,5.55年,3.55年,8.60%,10.40%,7,0.07%,-0.56%,-0.06%,-3.82%,-4.02%,88.94,95.53,36.07,131.61,-8.70%,52%,<2%,17%,0.81,2.42,-0.6,AA,4.40%,21
54,光电转债,128047,2018-12-07,中航光电,2179,机械装备制造,116.7,0.26%,-0.10%,40.99,0.22%,23,1.50%,40.26,5.51,1.80%,101.81,14.60%,5.55年,3.55年,4.00%,4.10%,13,-1.08%,-1.41%,-1.14%,-3.20%,-3.38%,88.65,87.49,25.21,112.7,3.60%,34%,22%,16%,0.71,-0.17,1.59,AA+,4.30%,8
55,利尔转债,128046,2018-11-09,利尔化学,2258,石油天然气化工,111.99,-1.33%,1.93%,17.3,0.93%,7.3,0.80%,18.62,3.3,-7.10%,92.91,20.50%,5.49年,3.49年,9.40%,8.70%,8.5,0.22%,-0.22%,0.13%,-2.07%,-2.27%,87.81,88.36,18.24,106.6,5.10%,41%,27%,16%,0.64,-0.78,2.1,AA,4.70%,12
56,顾家转债,113518,2018-10-09,顾家家居,603816,其他,118.82,0.71%,0.04%,56.46,0.98%,38,2.90%,52.2,5.27,8.20%,108.16,9.90%,5.40年,3.40年,4.50%,4.90%,11,-0.57%,-1.07%,-0.67%,-3.76%,-3.95%,88.97,91.49,27.42,118.92,-0.10%,39%,17%,16%,0.77,0.43,1.1,AA,4.50%,8
57,机电转债,128045,2018-09-14,中航机电,2013,航空航天,116.35,-0.54%,0.28%,8.06,-0.37%,4.6,0.20%,7.66,3.12,5.20%,105.22,10.60%,5.35年,3.35年,7.20%,7.60%,21,-1.06%,-1.40%,-1.13%,-3.29%,-3.48%,90.25,89.51,26.24,115.75,0.50%,55%,18%,16%,0.69,0.63,0.76,AAA,4.00%,14
58,岭南转债,128044,2018-09-04,岭南股份,2717,城市公用设施,110.5,0.42%,1.23%,9.53,2.14%,8.4,1.20%,8.96,2.09,6.40%,106.36,3.90%,5.32年,3.32年,6.70%,7.20%,6.6,0.28%,-0.14%,0.19%,-1.85%,-2.04%,89.1,89.27,27.24,116.51,-5.20%,66%,10%,16%,0.77,1.56,0.05,AA,4.50%,30
59,蓝盾转债!,123015,2018-09-13,蓝盾股份,300297,计算机及应用,137.4,2.16%,0.39%,8.05,2.55%,22,13.20%,5.82,1.64,38.30%,138.32,-0.70%,5.32年,3.32年,1.20%,1.70%,1.2,-3.63%,-4.05%,-3.71%,-7.81%,-7.99%,90.68,92.37,45.95,138.32,-0.70%,37%,<2%,16%,1,1.14,0.87,AA,4.00%,39
60,曙光转债,113517,2018-08-23,中科曙光,603019,计算机及应用,122.12,0.34%,0.65%,59.83,1.18%,33,2.40%,51.28,9.02,16.70%,116.67,4.70%,5.30年,3.30年,2.90%,3.40%,11.2,-1.43%,-1.87%,-1.52%,-4.63%,-4.82%,89.74,90.89,34.72,125.61,-2.80%,60%,14%,16%,0.83,1.14,0.55,AA,4.30%,3
61,东音转债,128043,2018-08-27,东音股份,2793,机械装备制造,114.09,0.00%,0.00%,12.61,0.00%,0,0.00%,11.43,2.7,10.30%,110.32,3.40%,5.29年,3.29年,10.70%,11.80%,2.7,0.24%,-0.29%,0.13%,-2.72%,-2.92%,89.22,91.77,29.61,121.38,-6.00%,69%,<2%,17%,0.78,1.67,-0.02,AA-,4.50%,41
62,苏农转债,113516,2018-08-20,苏农银行,603323,金融,122.79,0.04%,0.68%,7.6,0.93%,13,0.80%,6.34,1.03,19.90%,119.87,2.40%,5.29年,无权,10.40%,12.40%,12.9,-1.16%,-1.67%,-1.26%,无权,无权,无权,93.35,37.19,130.54,-5.90%,48%,<2%,18%,0.77,1.93,-0.26,AA+,4.20%,29
63,凯发转债,123014,2018-08-21,凯发电气,300407,能源电力,117.8,0.17%,1.07%,9.45,1.50%,2.4,0.70%,8.15,2.3,16.00%,115.95,1.60%,4.27年,2.27年,11.90%,13.80%,3.2,-1.72%,-2.12%,-1.80%,-5.68%,-5.84%,91.86,90.91,33.11,124.02,-5.00%,64%,11%,18%,0.83,1.58,0.14,A+,4.50%,20
64,凯中转债,128042,2018-09-03,凯中精密,2823,能源电力,109.9,1.76%,-1.96%,12.77,-0.31%,6.3,1.40%,13.25,2.95,-3.60%,96.38,14.00%,5.28年,3.28年,11.20%,10.80%,4.2,1.27%,0.68%,1.15%,-1.66%,-1.87%,88.64,92.3,19.04,111.34,-1.30%,66%,14%,17%,0.63,0.43,0.83,AA,4.70%,53
65,横河转债,123013,2018-08-20,横河模具,300539,机械装备制造,121.92,-0.31%,1.38%,11.33,1.25%,3,6.10%,9.26,5.08,22.40%,122.35,-0.40%,5.27年,3.27年,1.60%,2.00%,0.4,-0.88%,-1.43%,-0.99%,-4.40%,-4.64%,90.37,93.24,39.12,132.36,-7.90%,77%,<2%,17%,0.86,2.23,-0.37,A+,4.40%,27
66,高能转债,113515,2018-08-27,高能环境,603588,城市公用设施,125.82,-0.55%,1.07%,11.83,0.60%,9.6,1.00%,9.38,2.42,26.10%,126.12,-0.20%,5.27年,3.27年,10.10%,12.70%,7.9,-2.01%,-2.45%,-2.10%,-5.50%,-5.69%,90.13,91.42,42.48,133.9,-6.00%,67%,<2%,16%,0.88,1.98,-0.12,AA,4.20%,36
67,万顺转债,123012,2018-08-29,万顺股份,300057,造纸包装印刷,124.99,-2.04%,0.05%,8.01,-2.32%,5.4,2.10%,6.47,1.06,23.80%,123.8,1.00%,5.25年,3.25年,4.80%,5.90%,2,-2.23%,-2.61%,-2.30%,-5.34%,-5.54%,89.88,89.41,43.17,132.59,-5.70%,41%,<2%,18%,0.86,1.82,-0.01,AA-,4.40%,26
68,威帝转债,113514,2018-08-13,威帝股份,603023,汽车,111.27,-0.78%,-0.27%,6.4,-1.39%,1.8,0.80%,5.92,3.79,8.10%,108.11,2.90%,4.25年,2.25年,8.70%,9.40%,2,0.05%,-0.45%,-0.05%,-3.46%,-3.63%,91.54,91.93,26.05,117.99,-5.70%,70%,<2%,18%,0.76,1.58,0.02,A+,4.70%,45
69,德尔转债,123011,2018-08-14,德尔股份,300473,汽车,112.8,1.65%,-0.52%,38.29,1.48%,52,8.50%,34.96,2.02,9.50%,109.53,3.00%,5.24年,2.75年,13.80%,15.10%,5.6,0.81%,0.22%,0.70%,-3.00%,-3.21%,90.74,93.4,28.03,121.43,-7.10%,44%,<2%,17%,0.76,1.86,-0.23,AA-,4.60%,44
70,盛路转债!,128041,2018-08-14,盛路通信,2446,通信互联网,172.489,3.30%,-0.26%,11.88,3.04%,46,23.20%,6.88,1.86,72.70%,172.67,-0.10%,5.24年,3.24年,1.10%,1.90%,1.2,-7.50%,-7.96%,-7.59%,-13.50%,-13.70%,91.14,94.46,78.21,172.67,-0.10%,52%,<2%,16%,1,1.02,0.98,AA,4.00%,18
