,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展/上市日,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
28,生益转债,110040,2017-12-11,生益科技,600183,电子,120.01,-0.05%,0.94%,12.63,1.20%,24,1.10%,11.62,4.52,8.70%,108.69,10.40%,4.67年,无权,6.70%,7.30%,18,-1.82%,-2.21%,-1.90%,无权,无权,无权,91.09,27.98,119.07,0.80%,45%,20%,16%,0.74,0.44,1.04,AA+,4.30%,2
29,国祯转债,123002,2017-12-25,国祯环保,300388,城市公用设施,126.051,-0.90%,0.34%,10.83,-0.64%,0.9,0.10%,8.72,2.9,24.20%,124.2,1.50%,4.67年,2.67年,9.80%,12.10%,5.8,-2.86%,-3.25%,-2.94%,-6.90%,-7.08%,91.61,91.07,41.07,132.13,-4.60%,51%,<2%,16%,0.87,1.67,0.14,AA,4.30%,8
30,兄弟转债,128021,2017-12-27,兄弟科技,2562,医药,118.769,-0.34%,0.61%,5.84,0.34%,13,1.80%,5.35,2.42,9.20%,109.16,8.80%,4.68年,2.68年,12.40%,13.50%,6.4,-1.59%,-1.99%,-1.67%,-4.89%,-5.09%,91.13,90.31,28.91,119.22,-0.40%,68%,18%,16%,0.78,0.58,0.98,AA,4.40%,21
31,众信转债,128022,2017-12-28,众信旅游,2707,旅游餐饮酒店,110.1,-0.17%,3.72%,8.31,10.10%,80,10.40%,10.99,3.13,-24.40%,75.61,45.60%,4.69年,2.69年,9.50%,7.20%,7,0.04%,-0.37%,-0.04%,-2.31%,-2.51%,89.02,86.97,9.87,96.84,13.70%,69%,47%,17%,0.35,-2.35,3.34,AA,5.30%,10
32,亚太转债,128023,2017-12-26,亚太股份,2284,汽车,98.485,0.14%,-0.17%,5.7,-0.35%,10,1.00%,10.34,1.6,-44.90%,55.13,78.70%,4.70年,2.70年,23.80%,13.10%,10,2.99%,2.47%,2.88%,1.69%,1.46%,87.93,86.88,3.68,90.56,8.80%,37%,37%,17%,0.09,-1.62,1.86,AA,5.80%,33
33,宁行转债,128024,2018-01-12,宁波银行,2142,金融,122.8,0.24%,-0.28%,20.68,-0.05%,57,0.60%,18.01,1.76,14.80%,114.83,6.90%,4.70年,无权,7.00%,8.00%,75,-2.54%,-2.88%,-2.61%,无权,无权,无权,90.91,34.49,125.4,-2.10%,30%,15%,18%,0.73,1.2,0.31,AAA,4.00%,29
34,特一转债,128025,2017-12-28,特一药业,2728,医药,111.738,-0.84%,0.88%,16.49,0.06%,2.4,0.60%,16.1,3.16,2.40%,102.42,9.10%,4.71年,2.71年,10.20%,10.50%,3.4,-0.28%,-0.68%,-0.36%,-2.80%,-3.00%,90.43,89.24,25.11,114.35,-2.30%,36%,16%,17%,0.72,0.79,0.67,AA-,4.70%,29
35,蓝思转债,123003,2018-01-17,蓝思科技,300433,电子,106.61,0.01%,-0.02%,8.82,-0.23%,109,2.10%,16.08,2.12,-45.10%,54.85,94.40%,4.71年,2.71年,13.90%,7.60%,48,0.74%,0.33%,0.66%,-1.18%,-1.39%,89.78,88.22,3.39,91.6,16.40%,87%,54%,16%,0.05,-2.79,3.2,AA+,4.90%,33
36,众兴转债,128026,2018-01-03,众兴菌业,2772,农业,99.499,0.39%,-0.52%,7.99,-0.50%,7.4,0.80%,11.64,1.18,-31.40%,68.64,45.00%,4.72年,2.72年,30.80%,21.20%,9.2,2.37%,1.92%,2.28%,1.35%,1.12%,87.79,85.15,7.57,92.72,7.30%,55%,28%,16%,0.25,-1.41,1.98,AA-,5.90%,42
37,泰晶转债,113503,2018-01-02,泰晶科技,603738,电子,107.56,0.04%,1.92%,16.35,3.42%,5.3,2.30%,17.99,4.29,-9.10%,90.88,18.30%,4.73年,2.73年,8.30%,7.50%,2.2,1.05%,0.55%,0.95%,-1.36%,-1.59%,90.24,90.63,15.92,106.55,1.00%,63%,21%,16%,0.57,0,1.14,AA,4.90%,33
38,崇达转债,128027,2018-01-22,崇达技术,2815,电子,120.001,-0.33%,0.10%,17.02,-0.29%,0.5,0.10%,15.11,5.14,12.60%,112.64,6.50%,4.73年,2.73年,5.50%,6.20%,7.8,-1.70%,-2.11%,-1.78%,-5.08%,-5.28%,91.28,90.74,31.98,122.73,-2.20%,63%,14%,16%,0.8,1,0.62,AA,4.40%,6
39,铁汉转债,123004,2018-01-26,铁汉生态,300197,城市公用设施,120.007,-1.65%,0.41%,4.73,-1.46%,9.6,1.60%,3.99,1.69,18.50%,118.55,1.20%,4.74年,2.74年,4.30%,5.10%,4.8,-1.79%,-2.18%,-1.87%,-5.14%,-5.33%,91.29,90.7,35.89,126.59,-5.20%,67%,<2%,15%,0.85,1.78,0.01,AA,4.30%,67
40,东财转债!,123006,2018-01-29,东方财富,300059,金融,175.851,-2.09%,0.22%,19.85,-1.93%,747,18.50%,11.36,7.09,74.70%,174.74,0.60%,4.74年,2.74年,2.20%,3.80%,22.6,-9.43%,-9.78%,-9.50%,-11.20%,-11.20%,91.12,91.72,88.1,179.83,-2.20%,58%,<2%,17%,0.97,1.45,0.53,AA,4.10%,33
41,赣锋转债,128028,2018-01-19,赣锋锂业,2460,有色金属,107.2,0.00%,-0.40%,29.58,-1.53%,5.3,0.50%,42.58,7,-30.50%,69.47,54.30%,4.75年,2.75年,2.40%,1.70%,9.3,0.51%,0.13%,0.44%,-1.52%,-1.69%,87.89,85.59,7.84,93.42,14.70%,71%,40%,17%,0.26,-2.53,3.35,AA,5.50%,17
42,太阳转债,128029,2018-01-16,太阳纸业,2078,造纸包装印刷,112.52,-0.20%,1.41%,7.39,3.07%,5.5,0.40%,8.75,1.62,-15.50%,84.46,33.20%,3.75年,1.75年,6.30%,5.30%,12,-1.02%,-1.43%,-1.11%,-5.27%,-5.41%,93.1,91.63,9.44,101.07,11.30%,37%,37%,16%,0.39,-1.79,2.73,AA+,4.60%,10
43,天康转债,128030,2018-01-29,天康生物,2100,农业,122.601,-0.53%,-2.44%,8.18,-4.33%,5,0.40%,8.15,2.54,0.40%,100.37,22.20%,4.75年,2.75年,12.70%,12.70%,10,-1.77%,-2.24%,-1.86%,-5.75%,-5.94%,90.62,91.35,22.03,113.38,8.10%,30%,26%,16%,0.68,-1.2,2.67,AA,4.60%,10
44,双环转债,128032,2018-01-25,双环传动,2472,机械装备制造,109.095,-0.72%,1.97%,7.81,3.17%,4.9,0.50%,9.99,1.63,-21.80%,78.18,39.50%,4.76年,2.76年,18.70%,14.60%,10,0.33%,-0.09%,0.25%,-1.86%,-2.08%,89.14,87.42,10.48,97.9,11.40%,54%,38%,16%,0.39,-1.96,2.94,AA,5.20%,17
45,蒙电转债,110041,2018-01-09,内蒙华电,600863,能源电力,113.81,0.28%,-0.28%,2.9,0.00%,11,0.50%,2.92,1.59,-0.70%,99.32,14.60%,4.75年,2.75年,11.10%,11.00%,18.7,-0.55%,-0.97%,-0.64%,-3.26%,-3.48%,92.32,92.39,20.71,113.11,0.60%,22%,17%,16%,0.6,0.5,0.71,AAA,4.00%,17
46,航电转债,110042,2018-01-15,中航电子,600372,航空航天,123.72,-0.42%,-0.36%,16.69,-1.01%,16,0.50%,14.23,4.13,17.30%,117.29,5.50%,4.76年,2.76年,8.20%,9.60%,24,-2.52%,-2.89%,-2.59%,-6.02%,-6.22%,92.19,91.44,35.38,126.81,-2.40%,35%,11%,16%,0.77,1.33,0.27,AAA,4.00%,19
47,吉视转债,113017,2018-01-15,吉视传媒,601929,传媒娱乐,117,-2.53%,-1.35%,3.13,-5.44%,72,3.90%,2.96,1.47,5.70%,105.74,10.60%,4.76年,2.76年,16.00%,16.90%,15.6,-1.25%,-1.64%,-1.33%,-4.27%,-4.46%,91.21,90.64,26,116.64,0.30%,27%,15%,16%,0.71,0.52,0.91,AA+,4.30%,40
48,迪龙转债,128033,2018-01-29,雪迪龙,2658,城市公用设施,109.35,0.32%,0.29%,8.97,0.90%,30,5.20%,9.03,2.69,-0.70%,99.34,10.10%,4.76年,2.76年,9.60%,9.50%,5.2,0.18%,-0.22%,0.10%,-2.02%,-2.22%,90.32,89.22,22.91,112.12,-2.50%,38%,15%,17%,0.68,0.85,0.53,AA,4.60%,56
49,道氏转债,123007,2018-01-26,道氏技术,300409,建筑,138.61,-3.07%,-1.39%,20.5,-4.92%,7.7,1.70%,15.2,5.25,34.90%,134.87,2.80%,4.77年,2.77年,3.50%,4.80%,3.3,-4.45%,-4.88%,-4.54%,-9.55%,-9.75%,91.75,92.29,50.25,142.54,-2.80%,77%,<2%,16%,0.91,1.31,0.53,AA-,4.20%,25
50,常熟转债!,113018,2018-02-06,常熟银行,601128,金融,133.56,-2.08%,0.37%,7.73,-1.78%,65,2.90%,5.76,1.49,34.20%,134.2,-0.50%,4.83年,无权,8.60%,11.60%,16.4,-4.07%,-4.41%,-4.14%,无权,无权,无权,90.8,48.29,139.09,-4.00%,42%,<2%,18%,0.96,1.83,0.17,AA+,4.00%,37
51,江银转债,128034,2018-02-14,江阴银行,2807,金融,117.401,-0.47%,-0.70%,6.45,-1.53%,8,0.40%,5.67,1.13,13.80%,113.76,3.20%,4.84年,无权,15.10%,17.20%,17.6,-1.43%,-1.79%,-1.50%,无权,无权,无权,89.89,33.97,123.87,-5.20%,49%,<2%,18%,0.76,1.74,-0.13,AA+,4.20%,54
52,无锡转债,110043,2018-03-14,无锡银行,600908,金融,111.6,-0.01%,-1.00%,6.65,-1.48%,19,0.60%,6.7,1.24,-0.70%,99.25,12.40%,4.86年,无权,24.40%,24.20%,30,-1.19%,-1.40%,-1.23%,无权,无权,无权,86.09,25.1,111.19,0.40%,47%,18%,18%,0.68,0.43,0.92,AA+,4.30%,52
53,大族转债,128035,2018-03-05,大族激光,2008,电子,113.76,-0.25%,-0.23%,41.83,-1.32%,6.1,0.20%,52.5,5.45,-20.30%,79.68,42.80%,4.87年,2.87年,5.20%,4.10%,23,-1.00%,-1.31%,-1.06%,-2.67%,-2.96%,91.37,87.17,11.85,99.02,14.90%,39%,38%,16%,0.37,-2.4,3.42,AA+,4.60%,17
54,玲珑转债,113019,2018-03-22,玲珑轮胎,601966,汽车,111,0.72%,-0.80%,17.17,-0.17%,29,1.30%,18.84,2.18,-8.90%,91.14,21.80%,3.94年,1.94年,9.70%,8.80%,20,0.46%,-0.14%,0.34%,-4.06%,-4.21%,92.72,95.11,12.28,107.39,3.40%,34%,21%,16%,0.47,-0.32,1.27,AA+,4.50%,21
55,康泰转债,123008,2018-03-19,康泰生物,300601,医药,144.7,-0.73%,1.95%,45.59,1.31%,28,10.20%,31.23,18.5,46.00%,145.98,-0.90%,4.86年,2.86年,0.60%,0.90%,1.9,-5.43%,-5.80%,-5.51%,-10.50%,-10.60%,91.38,91.19,61.68,152.87,-5.30%,69%,<2%,16%,0.93,1.98,-0.02,AA-,4.20%,10
56,艾华转债,113504,2018-03-23,艾华集团,603989,电子,115,0.68%,1.14%,21.98,2.57%,0.5,0.10%,21.73,4.71,1.20%,101.15,13.70%,4.94年,2.94年,8.10%,8.20%,6.9,-0.76%,-1.16%,-0.84%,-3.42%,-3.61%,89.98,89.18,24.19,113.36,1.40%,40%,21%,16%,0.71,0.07,1.35,AA,4.60%,6
57,杭电转债,113505,2018-03-27,杭电股份,603618,能源电力,108.8,-0.56%,0.56%,6.6,0.00%,6.6,0.80%,7.29,2.09,-9.50%,90.53,20.20%,4.95年,2.95年,17.20%,15.60%,7.8,0.74%,0.27%,0.65%,-1.66%,-1.86%,89.25,89.64,16.48,106.12,2.50%,72%,21%,16%,0.58,-0.31,1.48,AA,4.80%,46
58,星源转债,123009,2018-04-10,星源材质,300568,汽车,118.7,-0.25%,-0.71%,30.62,-1.23%,0.5,0.10%,27.69,4.11,10.60%,110.58,7.30%,4.96年,2.96年,8.20%,9.00%,4.8,-1.49%,-1.87%,-1.57%,-4.46%,-4.63%,90.08,89.27,31.73,121,-1.90%,64%,14%,17%,0.78,0.88,0.7,AA,4.40%,13
59,长证转债,127005,2018-04-11,长江证券,783,金融,118.22,-0.54%,0.13%,7.58,-0.66%,53,0.90%,7.45,1.6,1.70%,101.74,16.20%,4.97年,无权,11.90%,12.10%,50,-1.52%,-1.87%,-1.59%,无权,无权,无权,90.58,25.35,115.92,2.00%,31%,22%,18%,0.62,0.25,1,AAA,4.00%,38
60,敖东转债,127006,2018-05-11,吉林敖东,623,医药,110.162,-0.61%,0.32%,18.55,-0.54%,9.6,0.40%,20.82,1.04,-10.90%,89.1,23.60%,4.97年,2.97年,11.20%,10.00%,24.1,-0.33%,-0.64%,-0.39%,-2.41%,-2.54%,89.06,87.49,16.33,103.82,6.10%,31%,27%,16%,0.54,-0.81,1.93,AA+,4.50%,40
61,岩土转债,128037,2018-04-25,中化岩土,2542,建筑,103.172,0.26%,0.58%,5.79,2.66%,16,2.60%,8.03,2.91,-27.90%,72.1,43.10%,4.98年,2.98年,5.70%,4.10%,6,1.84%,1.36%,1.74%,0.04%,-0.17%,87.74,87.35,7.65,95,8.60%,55%,31%,16%,0.32,-1.55,2.28,AA,5.40%,73
62,利欧转债,128038,2018-04-19,利欧股份,2131,传媒娱乐,128.7,-1.16%,-0.38%,2.21,-1.78%,47,12.40%,1.72,1.47,28.50%,128.49,0.20%,4.998年,2.998年,2.20%,2.80%,2.9,-2.42%,-2.91%,-2.52%,-6.69%,-6.88%,90.61,93.01,44.5,137.51,-6.40%,80%,<2%,16%,0.87,2.08,-0.21,AA,4.30%,92
63,金农转债,128036,2018-04-02,金新农,2548,农业,113.79,-1.66%,-2.64%,10.54,-5.47%,30,4.80%,9.62,2.77,9.60%,109.56,3.90%,4.96年,2.96年,13.60%,14.90%,5.5,-0.53%,-0.93%,-0.61%,-3.04%,-3.24%,90.11,89.36,31.28,120.64,-5.70%,39%,<2%,17%,0.79,1.64,0.01,AA-,4.50%,58
64,鼎信转债,113506,2018-05-14,鼎信通讯,603421,能源电力,136.74,2.08%,-0.50%,29.84,1.74%,35,13.50%,21.65,5.77,37.80%,137.83,-0.80%,5年19天,3年19天,1.40%,1.90%,1.9,-4.18%,-4.54%,-4.25%,-8.40%,-8.57%,90.71,90.29,54.96,145.25,-5.90%,52%,<2%,16%,0.91,2.06,-0.12,AA,4.20%,31
65,天马转债,113507,2018-05-07,天马科技,603668,农业,122.49,-0.58%,-0.71%,8.92,-1.55%,3.4,1.20%,7.37,2.99,21.00%,121.03,1.20%,5年22天,3年22天,8.70%,10.50%,2.3,-1.56%,-2.02%,-1.65%,-5.05%,-5.26%,90.47,91.54,39.74,131.28,-6.70%,54%,<2%,17%,0.84,2.02,-0.21,AA-,4.40%,37
66,新凤转债,113508,2018-05-16,新凤鸣,603225,服装纺织,109.9,0.00%,0.22%,21.28,0.38%,24,1.00%,23.74,2.31,-10.40%,89.64,22.60%,5年33天,3年33天,11.90%,10.60%,21.5,0.58%,0.11%,0.48%,-1.81%,-2.02%,88.93,89.3,16.54,105.84,3.80%,49%,23%,16%,0.58,-0.57,1.75,AA,4.80%,33
67,新泉转债,113509,2018-06-22,新泉股份,603179,汽车,109.39,-0.13%,-0.08%,18.26,-0.33%,4.6,0.90%,19.38,2.72,-5.80%,94.22,16.10%,5.20年,3.20年,10.80%,10.20%,4.5,0.30%,-0.09%,0.23%,-1.62%,-1.82%,88.8,87.78,21.32,109.1,0.30%,55%,19%,17%,0.63,0.21,1.05,AA,4.70%,29
68,三力转债,128039,2018-06-29,三 力 士,2224,机械装备制造,119.9,-0.64%,-0.68%,6.83,-1.59%,2.2,0.40%,5.84,2.57,17.00%,116.95,2.50%,5.21年,3.21年,10.40%,12.20%,4.7,-1.56%,-1.93%,-1.64%,-4.34%,-4.52%,89.44,88.66,38.18,126.84,-5.50%,38%,<2%,17%,0.83,1.7,0.04,AA-,4.40%,29
69,华通转债,128040,2018-07-13,华通医药,2758,医药,108.035,-0.21%,-0.49%,10.71,-1.11%,4.2,1.80%,11.45,3.5,-6.50%,93.54,15.50%,5.23年,3.23年,10.00%,9.30%,2.2,0.93%,0.46%,0.84%,-1.18%,-1.40%,88.35,88.61,21.15,109.76,-1.60%,76%,16%,18%,0.63,0.44,0.82,AA-,4.90%,52
70,再升转债,113510,2018-07-13,再升科技,603601,城市公用设施,106.2,0.08%,-0.46%,8.96,-1.10%,1.8,1.50%,11.32,3.85,-20.80%,79.15,34.20%,5.24年,1.24年,2.40%,1.90%,1.1,1.27%,0.80%,1.17%,-3.40%,-3.56%,93.66,85.48,14.55,100.03,6.20%,67%,27%,17%,0.34,-1.04,1.76,AA-,5.60%,35
