,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
14,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,122.18,0.78%,3.06%,10.65,4.51%,98,5.00%,8.13,2.57,31.00%,131,-6.70%,5.89年,3.89年,14.40%,18.90%,16,-0.46%,-1.01%,-0.57%,-3.86%,-4.05%,88.65,94.14,45.56,139.7,-12.50%,41%,<2%,16%,0.85,3.69,-1.53,AA+,4.20%,36
15,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,123,1.23%,2.88%,16.94,4.83%,60,4.10%,13.62,5.28,24.40%,124.38,-1.10%,5.88年,3.88年,6.40%,8.00%,12,-0.67%,-1.21%,-0.78%,-4.14%,-4.31%,87.69,92.79,40.29,133.08,-7.60%,51%,<2%,16%,0.85,2.26,-0.39,AA,4.30%,16
16,中信转债,113021,2019-03-19,中信银行,601998,金融,108.4,0.84%,1.31%,6.65,4.56%,279,0.60%,7.45,0.81,-10.70%,89.26,21.40%,5.88年,无权,12.30%,11.00%,400,1.65%,1.07%,1.54%,无权,无权,无权,95.11,15.03,110.14,-1.60%,23%,18%,17%,0.47,0.84,0.13,AAA,4.00%,39
17,富祥转债,123020,2019-03-29,富祥股份,300497,医药,135.4,13.60%,-4.67%,24.18,10.00%,301,53.90%,18.05,4.97,34.00%,133.96,1.10%,5.87年,3.87年,7.70%,10.40%,4.2,-1.92%,-2.51%,-2.04%,-6.29%,-6.48%,88.38,95.22,47.4,142.62,-5.10%,64%,<2%,16%,0.89,1.69,0.16,AA-,4.30%,42
18,长城转债,113528,2019-03-20,长城科技,603897,机械装备制造,109.67,0.20%,1.22%,25.22,1.90%,11,1.60%,24.18,2.74,4.30%,104.3,5.10%,5.87年,3.87年,14.10%,14.70%,6.3,1.30%,0.75%,1.19%,-1.22%,-1.42%,87.17,91.05,26.47,117.52,-6.70%,56%,10%,17%,0.75,1.63,-0.05,AA-,4.60%,31
19,今飞转债,128056,2019-03-22,今飞凯达,2863,汽车,108.203,-1.19%,0.98%,7.2,-0.28%,13,3.30%,6.8,2.87,5.90%,105.88,2.20%,5.87年,3.87年,13.60%,14.40%,3.7,2.05%,1.41%,1.92%,-0.81%,-1.03%,87.14,93.27,26.54,119.81,-9.70%,71%,<2%,17%,0.76,2.24,-0.55,A+,4.70%,41
20,中天转债,110051,2019-03-22,中天科技,600522,通信互联网,111.29,0.71%,2.04%,10.43,3.99%,91,2.10%,10.29,1.7,1.40%,101.36,9.80%,5.87年,3.87年,12.40%,12.60%,39.7,0.46%,0.02%,0.38%,-1.73%,-1.90%,87.68,89.63,23.93,113.56,-2.00%,64%,17%,16%,0.69,0.88,0.51,AA+,4.30%,25
21,长青转2,128055,2019-04-03,长青股份,2391,石油天然气化工,125.8,0.01%,0.83%,14.87,0.95%,50,4.40%,11.41,1.64,30.30%,130.32,-3.50%,5.87年,3.87年,17.10%,22.30%,9.1,-1.47%,-1.93%,-1.56%,-4.65%,-4.83%,88.16,91.03,47.1,138.13,-8.90%,31%,<2%,16%,0.89,2.68,-0.68,AA,4.20%,45
22,中来转债,123019,2019-03-22,中来股份,300393,能源电力,108.901,-0.08%,1.80%,21.24,2.51%,17,1.60%,20.41,2.04,4.10%,104.07,4.60%,5.86年,3.86年,19.50%,20.30%,10,2.42%,1.69%,2.27%,-0.95%,-1.18%,87,95.52,24.77,120.28,-9.50%,48%,8%,18%,0.68,2.2,-0.65,AA-,4.80%,52
23,中宠转债,128054,2019-03-14,中宠股份,2891,农业,108.402,-1.00%,3.70%,35.72,3.87%,9.7,4.60%,37.97,4.87,-5.90%,94.07,15.20%,5.83年,3.83年,5.40%,5.10%,1.9,1.13%,0.64%,1.03%,-1.06%,-1.24%,85.97,87.89,19.74,107.63,0.70%,48%,23%,16%,0.7,-0.16,1.57,A+,4.90%,17
24,尚荣转债,128053,2019-03-07,尚荣医疗,2551,医药,119,0.37%,1.03%,6.44,1.58%,68,7.70%,4.94,1.97,30.40%,130.36,-8.70%,5.83年,3.83年,16.50%,21.50%,7.5,-0.55%,-1.01%,-0.64%,-3.39%,-3.56%,88.11,90.98,47,137.98,-13.80%,42%,<2%,16%,0.89,3.95,-1.65,AA,4.20%,64
25,维格转债,113527,2019-02-19,维格娜丝,603518,服装纺织,115.08,-0.05%,1.13%,17.69,1.38%,19,2.20%,14.96,1.32,18.20%,118.25,-2.70%,5.77年,3.77年,23.40%,27.70%,7.5,0.84%,0.22%,0.72%,-2.55%,-2.74%,87.87,94.44,35.64,130.09,-11.50%,39%,<2%,18%,0.79,3.08,-1.17,AA,4.40%,42
26,联泰转债,113526,2019-02-18,联泰环保,603797,城市公用设施,115.42,-0.62%,1.66%,14.24,1.28%,2,0.50%,12.31,2.88,15.70%,115.68,-0.20%,5.77年,3.77年,12.80%,14.90%,3.9,-0.67%,-1.02%,-0.74%,-2.73%,-2.90%,87.64,87.15,38.23,125.38,-7.90%,50%,<2%,18%,0.81,2.27,-0.48,AA,4.40%,19
27,平银转债,127010,2019-02-18,平安银行,1,金融,124.65,1.92%,3.16%,14.58,6.50%,601,1.90%,11.77,1.14,23.90%,123.87,0.60%,5.77年,无权,10.40%,12.90%,260,-0.97%,-1.51%,-1.08%,无权,无权,无权,94.64,40.13,134.77,-7.50%,29%,<2%,16%,0.78,2.5,-0.72,AAA,4.00%,48
28,冰轮转债,127009,2019-02-21,冰轮环境,811,机械装备制造,148.86,2.41%,0.52%,9.75,3.07%,49,6.50%,5.52,2.25,76.60%,176.63,-15.70%,5.75年,3.75年,8.00%,14.10%,5.1,-4.42%,-4.86%,-4.51%,-8.87%,-9.03%,88.88,91.99,90.11,182.1,-18.30%,44%,<2%,17%,0.96,5.55,-2.63,AA,4.10%,30
29,凯龙转债,128052,2019-01-21,凯龙股份,2783,石油天然气化工,213.1,14.10%,-4.35%,17.3,9.98%,607,92.40%,6.97,3.97,148%,248.21,-14.10%,5.68年,3.68年,5.70%,14.20%,3.3,-10.30%,-10.70%,-10.40%,-16.10%,-16.30%,89.45,92.65,160.49,253.14,-15.80%,78%,<2%,17%,0.98,4.89,-2.16,AA,4.00%,36
30,溢利转债,123018,2019-01-23,溢多利,300381,医药,115.4,-0.38%,1.49%,10.13,1.30%,4.7,0.60%,8.41,2.06,20.50%,120.45,-4.20%,5.68年,3.68年,16.10%,19.40%,6.7,-0.02%,-0.49%,-0.11%,-2.74%,-2.92%,88.16,90.79,38.96,129.74,-11.10%,77%,<2%,17%,0.85,3.03,-1.03,AA-,4.40%,33
31,佳都转债,110050,2019-01-21,佳都科技,600728,计算机及应用,134.09,0.76%,2.45%,11.69,3.45%,99,8.50%,7.95,5.47,47.00%,147.04,-8.80%,5.67年,3.67年,4.60%,6.80%,8.8,-2.82%,-3.25%,-2.91%,-6.50%,-6.67%,88.96,91.19,62.09,153.28,-12.50%,71%,<2%,16%,0.93,3.77,-1.45,AA,4.10%,25
32,海尔转债,110049,2019-01-18,青岛海尔,600690,家电,125.89,0.01%,2.27%,17.63,2.80%,36,1.00%,14.55,3.05,21.20%,121.17,3.90%,5.67年,3.67年,2.70%,3.20%,30.1,-2.39%,-2.70%,-2.45%,-5.01%,-5.17%,89.13,88.4,40.6,129,-2.40%,32%,18%,16%,0.81,1.34,0.33,AAA,4.00%,25
33,台华转债,113525,2019-01-11,台华新材,603055,服装纺织,112.8,0.04%,0.88%,12.32,1.23%,13,2.10%,11.56,2.7,6.60%,106.57,5.80%,5.67年,3.67年,7.90%,8.40%,5.3,0.39%,-0.09%,0.30%,-2.16%,-2.35%,87.8,90.24,28.05,118.29,-4.60%,47%,12%,17%,0.75,1.33,0.21,AA,4.50%,9
34,奇精转债,113524,2019-01-07,奇精机械,603677,家电,108.28,-0.55%,1.57%,15.11,1.48%,2.9,0.80%,14.76,3.07,2.40%,102.37,5.80%,5.66年,3.66年,11.10%,11.40%,3.3,1.60%,1.03%,1.49%,-1.11%,-1.30%,87.45,92.02,24.6,116.62,-7.20%,60%,11%,18%,0.69,1.79,-0.3,AA,4.60%,50
35,光华转债,128051,2019-01-09,光华科技,2741,汽车,106.3,-1.31%,0.98%,15.72,-0.51%,5.2,2.00%,17.03,4.89,-7.70%,92.31,15.20%,5.66年,3.66年,4.20%,3.90%,2.5,1.59%,1.07%,1.48%,-0.49%,-0.71%,87.1,89.07,18.72,107.79,-1.40%,37%,17%,17%,0.65,0.3,0.99,AA-,4.90%,23
36,钧达转债,128050,2018-12-27,钧达股份,2865,汽车,108.389,-0.37%,1.09%,22.02,1.10%,8.4,2.40%,21.74,3.1,1.30%,101.29,7.00%,5.65年,3.65年,11.90%,12.10%,3.2,2.48%,1.74%,2.33%,-0.98%,-1.20%,87.32,95.43,22.37,117.8,-8.00%,66%,9%,18%,0.65,1.79,-0.36,AA-,4.90%,73
37,伟明转债,113523,2018-12-26,伟明环保,603568,城市公用设施,118,0.61%,-0.19%,27.31,0.52%,17,2.10%,23.92,6.45,14.20%,114.17,3.40%,5.65年,3.65年,3.60%,4.10%,6.7,-0.42%,-0.89%,-0.51%,-3.33%,-3.51%,88.3,90.96,32.89,123.85,-4.70%,43%,<2%,16%,0.81,1.49,0.2,AA,4.40%,27
38,福能转债,110048,2018-12-28,福能股份,600483,能源电力,120.15,-0.37%,0.77%,10.26,0.49%,38,1.10%,8.69,1.46,18.10%,118.07,1.80%,5.64年,3.64年,17.80%,21.00%,28.3,-0.90%,-1.34%,-0.99%,-3.80%,-3.98%,88.9,91.05,36.07,127.12,-5.50%,29%,<2%,16%,0.8,1.85,-0.14,AA+,4.20%,11
39,华源转债,128049,2018-12-20,华源控股,2787,造纸包装印刷,114.61,-0.26%,2.25%,8.84,2.43%,9.3,2.00%,7.57,2.03,16.80%,116.78,-1.90%,5.61年,3.61年,14.50%,17.00%,4,0.17%,-0.33%,0.07%,-2.55%,-2.75%,88.38,91.04,36.63,127.66,-10.20%,75%,<2%,18%,0.82,2.71,-0.83,AA-,4.50%,63
40,旭升转债,113522,2018-12-11,旭升股份,603305,汽车,112.45,-0.58%,1.51%,30.21,1.38%,5.4,1.10%,29.86,8.6,1.20%,101.17,11.10%,5.60年,3.60年,3.50%,3.50%,4.2,1.23%,0.60%,1.11%,-2.12%,-2.31%,87.62,93.7,21.08,114.78,-2.00%,63%,16%,16%,0.68,0.64,0.72,AA,4.60%,20
41,山鹰转债,110047,2018-12-10,山鹰纸业,600567,造纸包装印刷,116.86,0.38%,0.22%,3.99,0.76%,78,2.90%,3.34,1.37,19.50%,119.46,-2.20%,5.60年,3.60年,12.60%,15.00%,23,0.25%,-0.32%,0.14%,-3.12%,-3.30%,89.03,94.47,34.85,129.33,-9.60%,29%,<2%,16%,0.79,2.82,-0.96,AA+,4.20%,66
42,寒锐转债,123017,2018-12-24,寒锐钴业,300618,有色金属,116.77,0.50%,1.45%,91.79,2.33%,15,3.00%,81.49,9.86,12.60%,112.64,3.70%,5.60年,3.60年,2.50%,2.80%,4.4,-0.90%,-1.26%,-0.97%,-3.16%,-3.33%,88.2,87.66,33.82,121.48,-3.90%,77%,13%,16%,0.84,1.29,0.42,AA-,4.40%,44
43,圆通转债,110046,2018-12-18,圆通速递,600233,交通运输,124.8,0.84%,0.72%,13.78,1.85%,62,1.40%,10.89,3.79,26.50%,126.54,-1.40%,5.60年,3.60年,9.40%,11.80%,36.5,-1.39%,-1.87%,-1.48%,-4.76%,-4.95%,89.47,92.49,42.46,134.94,-7.50%,61%,<2%,16%,0.84,2.4,-0.53,AA+,4.20%,39
44,桐昆转债,113020,2018-12-12,桐昆股份,601233,服装纺织,126.73,0.34%,1.15%,16.83,1.69%,84,1.70%,12.63,2,33.30%,133.25,-4.90%,5.59年,3.59年,12.40%,16.50%,38,-2.05%,-2.46%,-2.13%,-5.26%,-5.43%,89.13,90.61,49.55,140.15,-9.60%,48%,<2%,16%,0.88,3,-0.94,AA+,4.10%,30
45,特发转债,127008,2018-12-25,特发信息,70,通信互联网,205.7,13.00%,-3.18%,15.84,10.00%,763,93.70%,6.78,4.68,134%,233.63,-12.00%,4.58年,2.58年,4.20%,9.90%,4.2,-11.80%,-12.10%,-11.80%,-14.70%,-14.80%,91.77,93.26,143.6,236.86,-13.20%,60%,<2%,17%,0.99,4.15,-1.63,AA,4.00%,47
46,科森转债,113521,2018-12-07,科森科技,603626,通信互联网,113.1,-0.16%,1.89%,10.06,2.24%,20,2.90%,8.95,2.39,12.40%,112.4,0.60%,5.58年,3.58年,14.60%,16.40%,6.1,0.42%,-0.09%,0.32%,-2.23%,-2.43%,88.52,91.19,32.88,124.08,-8.80%,63%,<2%,18%,0.78,2.39,-0.65,AA,4.40%,63
47,张行转债,128048,2018-11-29,张家港行,2839,金融,118.7,0.36%,2.10%,7.13,3.18%,93,3.20%,6.06,1.44,17.70%,117.66,0.90%,5.57年,无权,19.40%,22.80%,25,-0.69%,-1.14%,-0.78%,无权,无权,无权,91.15,37,128.15,-7.40%,56%,<2%,18%,0.77,2.24,-0.53,AA+,4.20%,28
48,百合转债,113520,2018-11-26,梦百合,603313,其他,137.19,-0.24%,-0.49%,27.83,-0.78%,19,2.70%,19.03,3.9,46.20%,146.24,-6.20%,5.56年,3.56年,7.60%,11.10%,5.1,-3.07%,-3.55%,-3.17%,-7.22%,-7.40%,89.48,92.61,60.36,152.96,-10.30%,41%,<2%,16%,0.93,3.15,-0.97,AA-,4.20%,20
49,洲明转债,123016,2018-12-03,洲明科技,300232,电子,138.388,0.18%,2.99%,13.96,3.41%,13,1.70%,9.45,5.05,47.70%,147.72,-6.30%,5.56年,3.56年,5.20%,7.60%,5.5,-3.22%,-3.69%,-3.31%,-7.39%,-7.58%,89.75,92.74,61.71,154.46,-10.40%,69%,<2%,16%,0.93,3.18,-1,AA-,4.20%,16
50,长久转债,113519,2018-11-30,长久物流,603569,交通运输,116.41,-0.52%,2.00%,14.07,1.88%,4.5,0.60%,11.99,3.51,17.30%,117.35,-0.80%,5.56年,3.56年,8.90%,10.40%,7,0.65%,0.01%,0.52%,-2.99%,-3.19%,88.76,95.26,33.3,128.56,-9.40%,53%,<2%,17%,0.79,2.57,-0.77,AA,4.40%,20
51,光电转债,128047,2018-12-07,中航光电,2179,机械装备制造,117.1,0.17%,0.49%,41.07,0.93%,22,1.40%,40.26,5.62,2.00%,102.01,14.80%,5.55年,3.55年,4.00%,4.10%,13,-1.14%,-1.47%,-1.20%,-3.29%,-3.46%,88.63,87.47,25.33,112.8,3.80%,34%,23%,16%,0.71,-0.22,1.65,AA+,4.30%,8
52,利尔转债,128046,2018-11-09,利尔化学,2258,石油天然气化工,115.08,1.75%,0.88%,17.51,4.04%,16,1.60%,18.62,3.11,-6.00%,94.04,22.40%,5.50年,3.50年,9.30%,8.70%,8.5,-0.29%,-0.72%,-0.38%,-2.80%,-2.99%,87.85,88.44,18.96,107.4,7.10%,61%,28%,16%,0.65,-1.13,2.51,AA,4.70%,11
53,顾家转债,113518,2018-10-09,顾家家居,603816,其他,116.68,0.15%,1.53%,54.88,2.27%,11,0.90%,52.2,5.54,5.10%,105.13,11.00%,5.41年,3.41年,4.60%,4.90%,11,-0.22%,-0.73%,-0.32%,-3.25%,-3.45%,88.8,91.25,25.3,116.55,0.10%,39%,20%,16%,0.74,0.32,1.16,AA,4.50%,6
54,机电转债,128045,2018-09-14,中航机电,2013,航空航天,117.01,0.09%,0.60%,8.11,1.00%,13,0.50%,7.66,3.3,5.90%,105.87,10.50%,5.36年,3.36年,7.20%,7.60%,21,-1.17%,-1.50%,-1.23%,-3.44%,-3.62%,90.22,89.48,26.8,116.28,0.60%,56%,19%,16%,0.7,0.61,0.79,AAA,4.00%,14
55,岭南转债,128044,2018-09-04,岭南股份,2717,城市公用设施,110,-1.08%,2.31%,9.55,1.60%,24,3.30%,8.96,2.23,6.60%,106.58,3.20%,5.33年,3.33年,6.70%,7.20%,6.6,0.36%,-0.06%,0.28%,-1.72%,-1.91%,89.08,89.25,27.43,116.68,-5.70%,67%,11%,16%,0.77,1.69,-0.06,AA,4.50%,30
56,蓝盾转债,123015,2018-09-13,蓝盾股份,300297,计算机及应用,133.419,0.24%,0.58%,7.82,0.90%,19,10.90%,5.82,2.2,34.40%,134.36,-0.70%,5.32年,3.32年,1.40%,1.90%,1.4,-3.08%,-3.51%,-3.16%,-7.00%,-7.19%,90.06,91.44,49.88,141.32,-5.60%,37%,<2%,16%,0.9,1.97,-0.06,AA,4.20%,41
57,曙光转债,113517,2018-08-23,中科曙光,603019,计算机及应用,122.04,0.44%,1.35%,60.07,2.14%,38,2.80%,51.28,10.57,17.10%,117.14,4.20%,5.31年,3.31年,2.90%,3.40%,11.2,-1.42%,-1.86%,-1.51%,-4.60%,-4.79%,89.72,90.88,35.12,126,-3.10%,60%,14%,16%,0.83,1.23,0.47,AA,4.30%,6
58,东音转债,128043,2018-08-27,东音股份,2793,机械装备制造,114.09,0.00%,0.00%,12.61,0.00%,0,0.00%,11.43,2.98,10.30%,110.32,3.40%,5.29年,3.29年,10.70%,11.80%,2.7,0.24%,-0.29%,0.13%,-2.71%,-2.92%,89.18,91.74,29.64,121.38,-6.00%,69%,<2%,17%,0.78,1.67,-0.02,AA-,4.50%,47
59,苏农转债,113516,2018-08-20,苏农银行,603323,金融,123.8,0.65%,0.91%,7.65,2.00%,25,1.50%,6.34,1.24,20.70%,120.66,2.60%,5.29年,无权,10.30%,12.40%,12.9,-1.31%,-1.83%,-1.42%,无权,无权,无权,93.34,37.85,131.18,-5.60%,49%,<2%,18%,0.78,1.87,-0.2,AA+,4.20%,30
60,凯发转债,123014,2018-08-21,凯发电气,300407,能源电力,120.2,2.48%,0.21%,9.74,3.18%,8.4,2.30%,8.15,2.75,19.50%,119.51,0.60%,4.28年,2.28年,11.50%,13.80%,3.2,-2.19%,-2.58%,-2.27%,-6.44%,-6.60%,91.97,91.12,35.92,127.04,-5.40%,64%,<2%,18%,0.85,1.71,0.06,A+,4.50%,20
61,凯中转债,128042,2018-09-03,凯中精密,2823,能源电力,108.3,-0.55%,0.95%,12.88,0.63%,3.4,0.80%,13.25,2.86,-2.80%,97.21,11.40%,5.29年,3.29年,11.10%,10.80%,4.2,1.55%,0.96%,1.43%,-1.23%,-1.44%,88.66,92.35,19.57,111.92,-3.20%,67%,15%,17%,0.64,0.86,0.44,AA,4.70%,52
62,横河转债,123013,2018-08-20,横河模具,300539,机械装备制造,123.524,-0.85%,1.53%,11.5,0.79%,4.9,9.60%,9.26,6.31,24.20%,124.19,-0.50%,5.27年,3.27年,1.60%,2.00%,0.4,-1.13%,-1.67%,-1.24%,-4.76%,-5.00%,90.4,93.31,40.67,133.99,-7.80%,77%,<2%,17%,0.86,2.24,-0.36,A+,4.40%,28
63,高能转债,113515,2018-08-27,高能环境,603588,城市公用设施,123.74,-0.05%,1.33%,11.74,1.47%,28,2.80%,9.38,3.02,25.20%,125.16,-1.10%,5.27年,3.27年,10.70%,13.40%,8.3,-1.69%,-2.13%,-1.78%,-5.03%,-5.22%,90.07,91.35,41.69,133.04,-7.00%,67%,<2%,16%,0.87,2.2,-0.31,AA,4.30%,36
64,万顺转债,123012,2018-08-29,万顺股份,300057,造纸包装印刷,129.883,1.43%,-0.27%,8.45,1.32%,8.4,2.70%,6.47,1.38,30.60%,130.6,-0.60%,5.26年,3.26年,5.30%,7.00%,2.4,-2.95%,-3.32%,-3.02%,-6.40%,-6.58%,90.01,89.63,48.98,138.61,-6.30%,43%,<2%,18%,0.88,2.02,-0.14,AA-,4.30%,28
65,威帝转债,113514,2018-08-13,威帝股份,603023,汽车,109.01,-0.08%,1.41%,6.29,1.78%,3.3,1.50%,5.92,4.02,6.20%,106.25,2.60%,4.26年,2.26年,8.80%,9.40%,2,0.54%,0.04%,0.44%,-2.62%,-2.79%,91.39,91.7,24.86,116.57,-6.50%,70%,10%,18%,0.74,1.73,-0.14,A+,4.80%,45
66,德尔转债,123011,2018-08-14,德尔股份,300473,汽车,108.001,-0.91%,1.22%,36.65,0.41%,14,2.40%,34.96,2.11,4.80%,104.83,3.00%,5.25年,2.76年,14.40%,15.10%,5.6,1.67%,1.07%,1.55%,-1.52%,-1.74%,90.52,93.02,24.76,117.78,-8.30%,44%,<2%,17%,0.73,2.05,-0.44,AA-,4.70%,42
67,盛路转债!,128041,2018-08-14,盛路通信,2446,通信互联网,168.8,9.61%,-0.51%,11.63,9.10%,106,43.40%,6.88,3.14,69.00%,169.04,-0.10%,5.25年,3.25年,1.50%,2.50%,1.5,-7.10%,-7.56%,-7.19%,-13.00%,-13.10%,91.11,94.43,74.61,169.04,-0.10%,52%,<2%,16%,1,1.03,0.97,AA,4.00%,19
68,海澜转债,110045,2018-07-31,海澜之家,600398,服装纺织,104.69,0.14%,0.29%,9.59,1.16%,12,0.40%,12.4,3.47,-22.70%,77.34,35.40%,5.24年,3.24年,7.00%,5.40%,30,1.30%,0.88%,1.21%,-0.53%,-0.69%,88.25,88.62,8.29,96.91,8.00%,30%,29%,16%,0.37,-1.29,2.11,AA+,4.60%,41
69,安井转债,113513,2018-07-31,安井食品,603345,食品饮料,113.5,-0.18%,0.20%,38.76,0.03%,4.2,0.80%,35.46,4.58,9.30%,109.31,3.80%,5.24年,3.24年,6.00%,6.50%,5,-0.07%,-0.52%,-0.16%,-2.67%,-2.86%,89.31,90.21,28.89,119.1,-4.70%,51%,<2%,16%,0.8,1.42,0.23,AA-,4.50%,20
70,景旺转债!,113512,2018-07-24,景旺电子,603228,电子,122.61,2.65%,1.49%,62.17,4.14%,94,16.30%,49.85,6.58,24.70%,124.71,-1.70%,5.22年,3.22年,1.80%,2.30%,4.8,-1.53%,-1.98%,-1.62%,-4.85%,-5.04%,91.02,92.72,32,124.71,-1.70%,38%,<2%,16%,1,1.36,0.66,AA,4.00%,8
