,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展/上市日,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,转股价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
15,永东转债,128014,2017-07-18,永东股份,2753,石油天然气化工,101.51,-1.25%,0.38%,10.2,-2.76%,3.3,1.00%,13.53,2.53,-24.60%,34.70%,4年33天,2年33天,9.90%,7.50%,3.4,2.72%,2.11%,2.60%,0.87%,0.57%,91.43,75.39,90.5,7.87,98.37,3.20%,60%,24%,17%,0.31,-0.59,1.22,AA-,5.70%,31
16,模塑转债,127004,2017-08-16,模塑科技,700,汽车,95.49,-0.74%,0.62%,3.75,-3.35%,15,1.90%,7.72,1.29,-51.40%,96.60%,4.22年,2.22年,26.40%,12.80%,8.2,4.61%,3.93%,4.48%,3.48%,3.17%,90.36,48.58,90.7,1.61,92.31,3.40%,54%,33%,17%,0.04,-0.68,0.74,AA,5.90%,55
17,久其转债,128015,2017-07-18,久其软件,2279,计算机及应用,103.26,-4.39%,3.11%,8.85,-5.85%,52,6.40%,12.86,3.2,-31.20%,50.00%,4.23年,2.23年,12.40%,8.50%,7.8,2.04%,1.49%,1.93%,-0.09%,-0.33%,90.6,68.82,89.71,5.69,95.4,8.20%,71%,37%,17%,0.22,-1.5,2.01,AA,5.60%,31
18,国君转债,113013,2017-07-24,国泰君安,601211,金融,118.23,-1.00%,-1.48%,19.22,-4.38%,109,1.30%,19.8,1.49,-2.90%,21.80%,4.31年,无权,4.20%,4.10%,70,-1.73%,-2.14%,-1.82%,无权,无权,无权,97.07,93.04,19.06,112.1,5.50%,26%,24%,17%,0.56,-0.46,1.61,AAA,4.00%,29
19,雨虹转债,128016,2017-10-20,东方雨虹,2271,建筑,109.69,-0.29%,0.61%,19.06,0.74%,24,1.20%,22.63,3.88,-15.80%,30.20%,4.53年,2.53年,6.50%,5.40%,18.4,0.12%,-0.30%,0.04%,-2.30%,-2.52%,91.45,84.22,90.45,11.76,102.21,7.30%,51%,29%,16%,0.44,-1.1,2.03,AA+,4.60%,6
20,林洋转债,113014,2017-11-13,林洋能源,601222,能源电力,105.04,-0.66%,0.02%,5.94,-2.94%,13,0.40%,8.76,1.14,-32.20%,54.90%,4.62年,2.62年,28.60%,19.40%,30,1.18%,0.74%,1.10%,-0.60%,-0.83%,88.94,67.81,86.71,6.67,93.39,12.50%,83%,37%,16%,0.22,-2.22,2.86,AA,5.60%,12
21,金禾转债,128017,2017-11-27,金禾实业,2597,石油天然气化工,108.5,-0.30%,0.28%,18,-0.06%,0.9,0.10%,23.32,2.79,-22.80%,40.60%,4.63年,2.63年,6.00%,4.60%,6,0.36%,-0.05%,0.28%,-1.84%,-2.04%,89.39,77.19,87.39,10.31,97.7,11.10%,36%,35%,17%,0.37,-1.9,2.83,AA,5.30%,16
22,隆基转债,113015,2017-11-20,隆基股份,601012,能源电力,125.54,-1.18%,-0.16%,27.15,-1.67%,110,3.10%,22.98,5.08,18.10%,6.30%,4.64年,2.64年,3.70%,4.40%,28,-2.80%,-3.19%,-2.88%,-6.85%,-7.03%,91.92,118.15,91.49,35.41,126.9,-1.10%,47%,15%,16%,0.81,0.94,0.69,AA+,4.20%,10
23,小康转债,113016,2017-11-21,小康股份,601127,汽车,108.45,-2.21%,1.73%,17.51,-0.68%,6.6,0.70%,17.2,3.47,1.80%,6.50%,4.65年,2.65年,5.30%,5.40%,8.8,0.47%,0.04%,0.38%,-1.73%,-1.95%,91.15,101.8,90.34,23.64,113.98,-4.90%,40%,12%,16%,0.71,1.42,0.06,AA,4.60%,27
24,时达转债,128018,2017-12-04,新时达,2527,机械装备制造,100.101,0.05%,-0.48%,6.67,-5.79%,10,1.20%,11.83,1.45,-43.60%,77.50%,4.65年,2.65年,21.30%,12.00%,8.8,2.25%,1.80%,2.16%,1.13%,0.90%,88.14,56.38,85.51,4.73,90.24,10.90%,35%,35%,16%,0.07,-1.98,2.25,AA,5.90%,35
25,久立转2,128019,2017-12-01,久立特材,2318,石油天然气化工,110.132,-2.10%,0.76%,7.93,-2.10%,3.2,0.30%,8.22,2.4,-3.50%,14.20%,4.65年,2.65年,15.60%,15.00%,10.4,0.03%,-0.38%,-0.05%,-2.35%,-2.55%,90.59,96.47,89.36,20.6,109.97,0.10%,35%,20%,17%,0.64,0.29,0.99,AA,4.70%,12
26,嘉澳转债,113502,2017-11-27,嘉澳环保,603822,城市公用设施,98.99,-0.91%,0.52%,29.82,-1.78%,4.1,2.20%,45.27,3.09,-34.10%,50.30%,4.66年,2.66年,8.50%,5.60%,1.9,2.92%,2.39%,2.81%,1.57%,1.33%,87.95,65.87,86.72,6.08,92.8,6.70%,59%,30%,17%,0.22,-1.27,1.76,AA-,5.90%,33
27,济川转债,110038,2017-11-29,济川药业,600566,医药,111.83,-2.84%,1.39%,35.13,-2.96%,7.4,1.00%,40.04,5.75,-12.30%,27.50%,3.67年,1.67年,2.20%,1.90%,6.3,-0.75%,-1.20%,-0.84%,-5.13%,-5.29%,92.86,87.74,91.11,14.52,105.64,5.90%,35%,28%,15%,0.49,-0.94,1.97,AA,5.00%,10
28,水晶转债,128020,2017-12-12,水晶光电,2273,电子,110.5,-1.33%,-0.16%,13.46,-3.10%,35,2.60%,16,3.22,-15.90%,31.40%,4.68年,2.68年,10.20%,8.50%,11.8,0.22%,-0.24%,0.12%,-2.62%,-2.78%,89.23,84.12,88.99,12,100.99,9.40%,52%,30%,16%,0.48,-1.63,2.73,AA,5.00%,12
29,生益转债,110040,2017-12-11,生益科技,600183,电子,114.1,-1.93%,1.65%,11.52,-0.43%,75,3.60%,11.62,4.12,-0.90%,15.10%,4.70年,无权,7.40%,7.30%,18,-0.73%,-1.13%,-0.81%,无权,无权,无权,99.14,90.63,21.11,111.74,2.10%,45%,23%,16%,0.65,0.05,1.24,AA+,4.40%,2
30,国祯转债,123002,2017-12-25,国祯环保,300388,城市公用设施,122.7,-1.63%,0.04%,10.42,-1.88%,17,2.50%,8.72,2.79,19.50%,2.70%,4.70年,2.70年,10.20%,12.10%,5.8,-2.28%,-2.67%,-2.36%,-5.95%,-6.14%,91.4,119.5,90.78,37.18,127.95,-4.10%,52%,<2%,16%,0.84,1.52,0.23,AA,4.30%,8
31,兄弟转债,128021,2017-12-27,兄弟科技,2562,医药,109.424,-1.52%,-0.07%,5.05,-2.51%,6.3,0.90%,5.35,2.09,-5.60%,15.90%,4.71年,2.71年,14.30%,13.50%,6.4,0.17%,-0.23%,0.09%,-2.08%,-2.28%,90.3,94.39,89.05,18.71,107.77,1.50%,68%,19%,16%,0.63,-0.02,1.28,AA,4.70%,18
32,众信转债,128022,2017-12-28,众信旅游,2707,旅游餐饮酒店,106.701,-0.65%,-0.38%,7.2,-5.14%,2.6,0.30%,10.99,2.71,-34.50%,62.90%,4.72年,2.72年,11.00%,7.20%,7,0.72%,0.31%,0.64%,-1.21%,-1.41%,88.18,65.51,85.71,6.7,92.41,15.50%,70%,42%,17%,0.2,-2.66,3.37,AA,5.60%,6
33,亚太转债,128023,2017-12-26,亚太股份,2284,汽车,96.921,-1.10%,0.53%,5.66,-6.75%,8,0.80%,10.34,1.59,-45.30%,77.10%,4.72年,2.72年,24.00%,13.10%,10,3.33%,2.81%,3.22%,2.25%,2.01%,87.8,54.74,86.74,3.68,90.42,7.20%,37%,34%,17%,0.08,-1.35,1.56,AA,5.80%,27
34,宁行转债,128024,2018-01-12,宁波银行,2142,金融,117.011,0.02%,-0.19%,19.52,-0.26%,69,0.80%,18.01,1.66,8.40%,8.00%,4.73年,无权,7.40%,8.00%,75,-1.51%,-1.86%,-1.58%,无权,无权,无权,108.38,90.82,29.48,120.3,-2.70%,30%,14%,18%,0.69,1.3,0.13,AAA,4.00%,20
35,特一转债,128025,2017-12-28,特一药业,2728,医药,106.71,-2.73%,1.58%,15.88,-1.67%,4.8,1.30%,16.1,3.04,-1.40%,8.20%,4.73年,2.73年,10.60%,10.50%,3.4,0.71%,0.31%,0.63%,-1.21%,-1.41%,90.1,98.63,88.78,22.63,111.41,-4.20%,36%,14%,17%,0.69,1.16,0.26,AA-,4.80%,27
36,蓝思转债,123003,2018-01-17,蓝思科技,300433,电子,104.69,-0.13%,-0.07%,8.58,-3.92%,95,1.90%,16.08,2.06,-46.60%,96.20%,4.74年,2.74年,14.20%,7.60%,48,1.13%,0.72%,1.05%,-0.55%,-0.75%,89.67,53.36,88.11,3.26,91.37,14.60%,87%,49%,16%,0.05,-2.51,2.84,AA+,4.90%,22
37,众兴转债,128026,2018-01-03,众兴菌业,2772,农业,97.17,-1.24%,0.68%,7.61,-2.81%,5.6,0.60%,11.64,1.12,-34.60%,48.60%,4.75年,2.75年,32.40%,21.20%,9.2,2.88%,2.43%,2.79%,2.17%,1.94%,87.36,65.38,84.55,6.73,91.28,6.50%,55%,29%,16%,0.2,-1.22,1.66,AA-,6.00%,37
38,泰晶转债,113503,2018-01-02,泰晶科技,603738,电子,101.98,-5.66%,2.96%,15.24,-5.52%,18,7.80%,17.99,4,-15.30%,20.40%,4.75年,2.75年,8.90%,7.50%,2.2,2.20%,1.69%,2.10%,0.48%,0.25%,89.72,84.71,89.85,12.65,102.5,-0.50%,63%,21%,16%,0.49,0.21,0.78,AA,5.00%,20
39,崇达转债,128027,2018-01-22,崇达技术,2815,电子,117.7,-2.97%,2.27%,17.03,-0.87%,26,2.80%,15.11,5.41,12.70%,4.40%,4.75年,2.75年,5.50%,6.20%,7.8,-1.29%,-1.69%,-1.37%,-4.40%,-4.60%,91.18,112.71,90.65,32.13,122.78,-4.10%,63%,14%,16%,0.8,1.42,0.24,AA,4.40%,4
40,铁汉转债,123004,2018-01-26,铁汉生态,300197,城市公用设施,113.571,-3.77%,0.95%,4.51,-3.43%,14,2.50%,3.99,1.62,13.00%,0.50%,4.76年,2.76年,4.50%,5.10%,4.8,-0.62%,-1.02%,-0.70%,-3.29%,-3.48%,91.05,113.03,90.37,31.46,121.83,-6.80%,67%,<2%,15%,0.82,2.07,-0.29,AA,4.40%,67
41,东财转债!,123006,2018-01-29,东方财富,300059,金融,170.17,-0.54%,0.44%,19.41,-0.10%,"1,430",36.60%,11.36,6.93,70.90%,-0.40%,4.77年,2.77年,2.30%,3.90%,22.9,-8.75%,-9.10%,-8.82%,-10.50%,-10.50%,91.03,170.86,91.63,84.33,175.95,-3.30%,58%,<2%,17%,0.97,1.68,0.31,AA,4.10%,35
42,赣锋转债,128028,2018-01-19,赣锋锂业,2460,有色金属,104.997,-1.95%,3.35%,30.93,4.35%,130,13.20%,42.58,7.32,-27.40%,44.50%,4.77年,2.77年,2.30%,1.70%,9.3,0.96%,0.57%,0.88%,-0.80%,-0.97%,88.06,72.64,85.92,8.81,94.74,10.80%,71%,42%,17%,0.32,-1.93,2.74,AA,5.40%,12
43,太阳转债,128029,2018-01-16,太阳纸业,2078,造纸包装印刷,108.001,-0.55%,0.08%,6.84,-1.58%,1.6,0.10%,8.75,1.5,-21.80%,38.20%,3.77年,1.77年,6.80%,5.30%,12,0.07%,-0.34%,-0.01%,-3.17%,-3.31%,92.83,78.17,91.21,6.98,98.19,10.00%,37%,33%,16%,0.3,-1.64,2.34,AA+,4.70%,6
44,天康转债,128030,2018-01-29,天康生物,2100,农业,120.72,-2.72%,-4.30%,8.55,-9.62%,40,3.20%,8.15,2.65,4.90%,15.10%,4.77年,2.77年,12.10%,12.70%,10,-1.44%,-1.91%,-1.53%,-5.20%,-5.40%,90.75,104.91,91.62,25.26,116.88,3.30%,31%,14%,16%,0.73,-0.26,1.73,AA,4.50%,10
45,双环转债,128032,2018-01-25,双环传动,2472,机械装备制造,104,-1.52%,0.32%,7.25,-3.85%,4.5,0.40%,9.99,1.51,-27.40%,43.30%,4.78年,2.78年,20.10%,14.60%,10,1.36%,0.93%,1.27%,-0.23%,-0.45%,88.62,72.57,86.66,8.34,95,9.50%,54%,32%,16%,0.31,-1.7,2.44,AA,5.40%,12
46,蒙电转债,110041,2018-01-09,内蒙华电,600863,能源电力,111.34,-2.10%,0.34%,2.82,-3.09%,29,1.40%,2.92,1.55,-3.40%,15.30%,4.77年,2.77年,11.40%,11.00%,18.7,-0.08%,-0.51%,-0.17%,-2.50%,-2.72%,92.23,96.58,92.3,18.82,111.13,0.20%,23%,18%,16%,0.57,0.58,0.57,AAA,4.00%,16
47,航电转债,110042,2018-01-15,中航电子,600372,航空航天,121.53,-1.79%,-0.33%,17.18,-2.66%,94,3.20%,14.23,4.39,20.70%,0.70%,4.78年,2.78年,7.90%,9.60%,24,-2.14%,-2.50%,-2.21%,-5.40%,-5.60%,92.1,120.73,91.35,38.46,129.8,-6.40%,35%,<2%,16%,0.8,2.23,-0.47,AAA,4.00%,22
48,吉视转债,113017,2018-01-15,吉视传媒,601929,传媒娱乐,108.66,-2.06%,-2.83%,2.8,-8.20%,44,2.60%,2.96,1.32,-5.40%,14.90%,4.79年,2.79年,17.90%,16.90%,15.6,0.32%,-0.08%,0.24%,-1.79%,-1.99%,90.82,94.59,90.07,18.36,108.42,0.20%,27%,12%,16%,0.6,0.39,0.8,AA+,4.40%,37
49,迪龙转债,128033,2018-01-29,雪迪龙,2658,城市公用设施,103.86,-2.46%,-1.23%,8.23,-6.26%,31,5.70%,9.03,2.51,-8.90%,14.00%,4.79年,2.79年,10.40%,9.50%,5.2,1.29%,0.88%,1.20%,-0.27%,-0.47%,89.76,91.14,88.39,17.78,106.17,-2.20%,38%,13%,17%,0.59,0.66,0.53,AA,4.80%,45
50,道氏转债,123007,2018-01-26,道氏技术,300409,建筑,130.109,3.34%,1.73%,20.3,5.62%,163,29.60%,15.2,5.2,33.60%,-2.60%,4.79年,2.79年,4.70%,6.30%,4.3,-3.14%,-3.57%,-3.22%,-7.50%,-7.71%,91.64,133.55,92.16,49.16,141.31,-7.90%,77%,<2%,16%,0.9,2.5,-0.51,AA-,4.20%,24
51,常熟转债,113018,2018-02-06,常熟银行,601128,金融,134.31,-3.03%,0.00%,7.7,-3.51%,73,3.00%,5.76,1.49,33.70%,0.50%,4.85年,无权,10.50%,14.00%,18.2,-4.16%,-4.50%,-4.23%,无权,无权,无权,133.68,90.31,50.74,141.05,-4.80%,42%,<2%,18%,0.87,1.83,-0.01,AA+,4.10%,43
52,江银转债,128034,2018-02-14,江阴银行,2807,金融,114.408,-0.60%,-0.34%,6.31,-1.25%,25,1.20%,5.67,1.17,11.30%,2.80%,4.87年,无权,15.80%,17.60%,17.6,-0.89%,-1.25%,-0.96%,无权,无权,无权,111.29,89.76,32.11,121.87,-6.10%,49%,<2%,18%,0.75,1.93,-0.3,AA+,4.20%,61
53,无锡转债,110043,2018-03-14,无锡银行,600908,金融,109.24,-0.22%,1.25%,6.62,1.53%,34,1.00%,6.7,1.23,-1.20%,10.60%,4.88年,无权,24.50%,24.20%,30,-0.74%,-0.95%,-0.78%,无权,无权,无权,98.81,85.99,24.87,110.86,-1.50%,47%,19%,18%,0.67,0.8,0.56,AA+,4.30%,51
54,大族转债,128035,2018-03-05,大族激光,2008,电子,111.72,-1.24%,1.05%,41.83,-0.52%,7.8,0.30%,52.5,5.45,-20.30%,40.20%,4.90年,2.90年,5.20%,4.10%,23,-0.62%,-0.94%,-0.68%,-2.07%,-2.36%,91.27,79.68,87.08,11.92,99,12.90%,39%,37%,16%,0.37,-2.08,3.03,AA+,4.60%,14
55,玲珑转债,113019,2018-03-22,玲珑轮胎,601966,汽车,107.5,-0.65%,-0.07%,16.46,-1.73%,7.9,0.40%,18.84,2.09,-12.60%,23.00%,3.96年,1.96年,10.10%,8.80%,20,1.28%,0.68%,1.16%,-2.55%,-2.71%,92.51,87.37,94.8,10.53,105.33,2.10%,34%,20%,16%,0.42,-0.15,0.98,AA+,4.60%,10
56,康泰转债,123008,2018-03-19,康泰生物,300601,医药,136.72,-3.17%,-1.58%,42.18,-5.21%,6,2.10%,31.23,17.12,35.10%,1.20%,4.88年,2.88年,0.80%,1.00%,2.1,-4.28%,-4.66%,-4.36%,-8.84%,-9.02%,91.14,135.06,90.88,51.74,142.61,-4.10%,69%,<2%,16%,0.91,1.62,0.26,AA-,4.20%,12
57,艾华转债,113504,2018-03-23,艾华集团,603989,电子,111.58,-1.13%,-1.00%,20.85,-3.25%,1.6,0.20%,21.73,4.47,-4.00%,16.30%,4.97年,2.97年,8.50%,8.20%,6.9,-0.14%,-0.54%,-0.22%,-2.45%,-2.64%,89.59,95.95,88.63,20.67,109.3,2.10%,40%,19%,16%,0.66,-0.1,1.42,AA,4.70%,4
58,杭电转债,113505,2018-03-27,杭电股份,603618,能源电力,105.1,-2.37%,1.76%,6.59,-1.05%,12,1.50%,7.29,2.09,-9.60%,16.30%,4.98年,2.98年,17.20%,15.60%,7.8,1.46%,0.98%,1.36%,-0.55%,-0.75%,89.14,90.4,89.53,16.47,106.01,-0.90%,72%,18%,16%,0.58,0.36,0.81,AA,4.80%,35
59,星源转债,123009,2018-04-10,星源材质,300568,汽车,114.66,-3.48%,2.00%,30.39,-1.90%,40,7.20%,27.69,4.2,9.80%,4.50%,4.98年,2.98年,8.20%,9.00%,4.8,-0.79%,-1.16%,-0.86%,-3.36%,-3.54%,89.95,109.75,89.13,31.18,120.3,-4.70%,64%,13%,17%,0.78,1.48,0.13,AA,4.40%,14
60,长证转债,127005,2018-04-11,长江证券,783,金融,115.36,-1.55%,-0.78%,7.25,-3.97%,51,0.90%,7.45,1.53,-2.70%,18.50%,4.995年,无权,12.50%,12.10%,50,-1.02%,-1.37%,-1.09%,无权,无权,无权,97.32,90.49,22.29,112.78,2.30%,31%,21%,18%,0.59,0.15,1.02,AAA,4.00%,35
61,敖东转债,127006,2018-05-11,吉林敖东,623,医药,107.03,-0.71%,-0.45%,17.82,-2.36%,10,0.40%,20.82,1,-14.40%,25.00%,4.998年,2.998年,11.60%,10.00%,24.1,0.30%,-0.03%,0.23%,-1.44%,-1.58%,88.84,85.59,87.4,14.44,101.84,5.10%,31%,23%,16%,0.49,-0.64,1.65,AA+,4.50%,35
62,岩土转债,128037,2018-04-25,中化岩土,2542,建筑,99.799,-0.99%,-1.15%,5.39,-8.64%,17,2.80%,8.03,2.7,-32.90%,48.70%,5年0.3天,3年0.3天,6.10%,4.10%,6,2.58%,2.09%,2.49%,1.20%,0.97%,87.58,67.12,86.99,6.15,93.14,7.20%,55%,24%,16%,0.25,-1.35,1.9,AA,5.50%,65
63,利欧转债,128038,2018-04-19,利欧股份,2131,传媒娱乐,129.11,-10.30%,2.19%,2.28,-9.16%,516,97.50%,1.72,1.52,32.60%,-2.60%,5年7天,3年7天,2.80%,3.70%,3.9,-2.48%,-2.96%,-2.57%,-6.73%,-6.93%,90.89,132.56,93.04,48.09,141.13,-8.50%,80%,<2%,16%,0.88,2.64,-0.65,AA,4.20%,100
64,金农转债,128036,2018-04-02,金新农,2548,农业,108.199,-5.09%,-0.97%,10.05,-8.14%,61,10.00%,9.62,2.64,4.50%,3.60%,4.99年,2.99年,14.50%,15.10%,5.5,0.50%,0.10%,0.42%,-1.44%,-1.64%,89.73,104.47,88.83,27.6,116.43,-7.10%,39%,<2%,17%,0.74,1.9,-0.29,AA-,4.60%,57
65,鼎信转债,113506,2018-05-14,鼎信通讯,603421,能源电力,125.14,-4.37%,1.30%,26.99,-3.54%,11,4.10%,21.65,5.22,24.70%,0.40%,5年28天,3年28天,1.80%,2.20%,2.2,-2.44%,-2.81%,-2.52%,-5.78%,-5.95%,90.38,124.67,89.84,43.36,133.19,-6.00%,52%,<2%,16%,0.87,1.99,-0.14,AA,4.30%,35
66,天马转债,113507,2018-05-07,天马科技,603668,农业,115,-3.30%,-0.16%,8.5,-4.28%,9.4,3.40%,7.37,2.85,15.30%,-0.30%,5年31天,3年31天,9.40%,10.80%,2.4,-0.30%,-0.77%,-0.39%,-3.13%,-3.35%,90.18,115.33,91.13,35.34,126.47,-9.10%,54%,<2%,17%,0.81,2.48,-0.66,AA-,4.50%,35
67,新凤转债,113508,2018-05-16,新凤鸣,603225,服装纺织,106.51,-0.48%,-1.12%,20.05,-3.14%,18,0.80%,23.74,2.18,-15.50%,26.10%,5年42天,3年42天,12.60%,10.60%,21.5,1.20%,0.73%,1.11%,-0.85%,-1.06%,88.45,84.46,88.62,13.78,102.4,4.00%,49%,21%,16%,0.51,-0.69,1.73,AA,5.00%,22
68,新泉转债,113509,2018-06-22,新泉股份,603179,汽车,106.42,-1.55%,-0.62%,17.45,-3.70%,1.8,0.40%,19.38,2.6,-10.00%,18.20%,5.22年,3.22年,11.30%,10.20%,4.5,0.84%,0.45%,0.76%,-0.80%,-1.00%,88.43,90.04,87.27,18.9,106.17,0.20%,55%,17%,17%,0.59,0.14,1.04,AA,4.80%,18
69,三力转债,128039,2018-06-29,三 力 士,2224,机械装备制造,116.5,-5.36%,1.52%,6.83,-4.61%,14,2.60%,5.84,2.57,17.00%,-0.40%,5.23年,3.23年,10.40%,12.20%,4.7,-1.01%,-1.37%,-1.08%,-3.49%,-3.67%,89.34,116.95,88.57,38.27,126.84,-8.20%,38%,<2%,17%,0.83,2.34,-0.5,AA-,4.40%,33
70,华通转债,128040,2018-07-13,华通医药,2758,医药,103.29,-3.47%,-0.67%,10.21,-7.01%,13,5.70%,11.45,3.34,-10.80%,15.80%,5.25年,3.25年,10.40%,9.30%,2.2,1.81%,1.34%,1.72%,0.15%,-0.07%,87.95,89.17,88.06,18.58,106.64,-3.10%,76%,13%,18%,0.59,0.71,0.49,AA-,5.00%,47
