,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,转股价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
14,骆驼转债,113012,骆驼股份,601311,汽车,117.01,-3.92%,-0.96%,15.91,-5.86%,511,60.40%,13.44,2.42,18.40%,-1.20%,4年10天,2年10天,5.30%,6.20%,7.1,-1.71%,-2.13%,-1.79%,-5.67%,-5.92%,93.97,118.38,92.46,34.38,126.84,-7.80%,33%,<2%,16%,0.83,2.39,-0.54,AA,4.30%,21
15,永东转债,128014,永东股份,2753,石油天然气化工,102.79,0.03%,-0.59%,10.49,-1.59%,6.5,1.90%,13.53,2.61,-22.50%,32.60%,4年34天,2年34天,9.60%,7.50%,3.4,2.40%,1.79%,2.28%,0.31%,0.00%,91.59,77.53,90.81,8.67,99.48,3.30%,60%,23%,17%,0.35,-0.63,1.34,AA-,5.60%,31
16,模塑转债,127004,模塑科技,700,汽车,96.2,-0.22%,0.18%,3.88,-0.77%,13,1.60%,7.72,1.33,-49.70%,91.40%,4.22年,2.22年,25.50%,12.80%,8.2,4.42%,3.74%,4.29%,3.15%,2.84%,90.38,50.26,90.75,1.72,92.47,4.00%,54%,32%,17%,0.04,-0.78,0.87,AA,5.90%,56
17,久其转债,128015,久其软件,2279,计算机及应用,108,-3.23%,1.32%,9.4,-6.75%,24,2.80%,12.86,3.4,-26.90%,47.80%,4.24年,2.24年,11.70%,8.50%,7.8,0.94%,0.41%,0.84%,-1.95%,-2.19%,90.85,73.09,90.14,6.92,97.06,11.30%,71%,36%,17%,0.28,-1.95,2.68,AA,5.40%,33
18,国君转债,113013,国泰君安,601211,金融,119.42,-0.86%,-0.42%,20.1,-2.09%,181,2.20%,19.8,1.56,1.50%,17.60%,4.32年,无权,4.00%,4.10%,70,-1.97%,-2.37%,-2.05%,无权,无权,无权,101.52,93.03,22.17,115.2,3.70%,26%,24%,17%,0.62,-0.09,1.32,AAA,4.00%,29
19,雨虹转债,128016,东方雨虹,2271,建筑,110.01,-0.98%,-0.48%,18.92,-3.42%,19,0.90%,22.63,3.86,-16.40%,31.60%,4.54年,2.54年,6.50%,5.40%,18.4,0.06%,-0.36%,-0.03%,-2.41%,-2.62%,91.42,83.61,90.4,11.47,101.87,8.00%,50%,26%,16%,0.43,-1.23,2.16,AA+,4.60%,6
20,林洋转债,113014,林洋能源,601222,能源电力,105.74,-1.27%,0.17%,6.12,-4.38%,20,0.60%,8.76,1.17,-30.10%,51.40%,4.62年,2.62年,27.80%,19.40%,30,1.04%,0.60%,0.95%,-0.84%,-1.07%,89.08,69.86,86.94,7.29,94.23,12.20%,83%,38%,16%,0.25,-2.15,2.86,AA,5.50%,13
21,金禾转债,128017,金禾实业,2597,石油天然气化工,108.829,-0.30%,-0.09%,18.01,-1.04%,5.9,0.90%,23.32,2.79,-22.80%,40.90%,4.64年,2.64年,6.00%,4.60%,6,0.30%,-0.12%,0.21%,-1.94%,-2.15%,89.38,77.23,87.38,10.34,97.72,11.40%,37%,37%,17%,0.37,-1.95,2.89,AA,5.30%,19
22,隆基转债,113015,隆基股份,601012,能源电力,127.04,-0.83%,0.21%,27.61,-0.75%,25,0.70%,22.98,5.17,20.10%,5.70%,4.64年,2.64年,3.60%,4.40%,28,-3.05%,-3.44%,-3.13%,-7.24%,-7.42%,91.95,120.15,91.53,37.14,128.67,-1.30%,47%,18%,16%,0.82,0.98,0.67,AA+,4.20%,10
23,小康转债,113016,小康股份,601127,汽车,110.9,-0.67%,-1.26%,17.63,-2.70%,6,0.60%,17.2,3.49,2.50%,8.20%,4.65年,2.65年,5.30%,5.40%,8.8,-0.02%,-0.45%,-0.11%,-2.51%,-2.73%,91.17,102.5,90.38,24.13,114.51,-3.20%,40%,<2%,16%,0.72,1.06,0.4,AA,4.60%,27
24,时达转债,128018,新时达,2527,机械装备制造,100.051,-0.74%,0.18%,7.08,-4.97%,14,1.60%,11.83,1.54,-40.20%,67.20%,4.65年,2.65年,20.00%,12.00%,8.8,2.26%,1.81%,2.17%,1.15%,0.92%,88.3,59.85,85.78,5.1,90.89,10.10%,35%,35%,16%,0.11,-1.81,2.13,AA,5.80%,35
25,久立转2,128019,久立特材,2318,石油天然气化工,112.5,-0.88%,-0.80%,8.1,-2.53%,4,0.30%,8.22,2.45,-1.50%,14.20%,4.66年,2.66年,15.30%,15.00%,10.4,-0.43%,-0.84%,-0.51%,-3.08%,-3.28%,90.69,98.54,89.53,22.03,111.56,0.80%,35%,20%,17%,0.66,0.16,1.16,AA,4.70%,13
26,嘉澳转债,113502,嘉澳环保,603822,城市公用设施,99.9,-0.21%,-0.39%,30.36,-2.54%,6,3.20%,45.27,3.14,-32.90%,49.00%,4.66年,2.66年,8.30%,5.60%,1.9,2.71%,2.19%,2.61%,1.24%,1.00%,88.04,67.06,86.88,6.42,93.3,7.10%,59%,29%,17%,0.24,-1.37,1.91,AA-,5.90%,33
27,济川转债,110038,济川药业,600566,医药,115.1,0.09%,-0.30%,36.2,-0.41%,3.2,0.40%,40.04,5.93,-9.60%,27.30%,3.67年,1.67年,2.10%,1.90%,6.3,-1.54%,-1.98%,-1.63%,-6.61%,-6.76%,92.96,90.41,91.32,15.88,107.2,7.40%,35%,26%,15%,0.53,-1.15,2.28,AA,4.90%,10
28,水晶转债,128020,水晶光电,2273,电子,111.99,-4.65%,0.03%,13.89,-8.86%,34,2.50%,16,3.32,-13.20%,29.00%,4.68年,2.68年,9.80%,8.50%,11.8,-0.08%,-0.53%,-0.17%,-3.08%,-3.24%,89.41,86.81,89.29,13.36,102.66,9.10%,51%,32%,16%,0.52,-1.53,2.7,AA,5.00%,13
29,生益转债,110040,生益科技,600183,电子,116.35,-0.55%,-1.59%,11.57,-3.26%,26,1.20%,11.62,4.14,-0.40%,16.90%,4.70年,无权,7.30%,7.30%,18,-1.15%,-1.55%,-1.23%,无权,无权,无权,99.57,90.64,21.42,112.06,3.80%,45%,22%,16%,0.65,-0.27,1.59,AA+,4.30%,2
30,国祯转债,123002,国祯环保,300388,城市公用设施,124.737,-0.19%,-1.93%,10.62,-2.48%,9.8,1.40%,8.72,2.85,21.80%,2.40%,4.70年,2.70年,10.00%,12.10%,5.8,-2.63%,-3.01%,-2.70%,-6.49%,-6.68%,91.45,121.79,90.87,39.12,130,-4.00%,51%,<2%,16%,0.86,1.52,0.25,AA,4.30%,8
31,兄弟转债,128021,兄弟科技,2562,医药,111.11,-1.89%,-0.91%,5.18,-4.25%,13,1.80%,5.35,2.14,-3.20%,14.80%,4.71年,2.71年,14.00%,13.50%,6.4,-0.16%,-0.56%,-0.24%,-2.60%,-2.80%,90.43,96.82,89.25,20.25,109.5,1.50%,68%,16%,16%,0.66,0.04,1.27,AA,4.70%,19
32,众信转债,128022,众信旅游,2707,旅游餐饮酒店,107.402,0.38%,-0.04%,7.59,1.34%,3.4,0.40%,10.99,2.86,-30.90%,55.50%,4.72年,2.72年,10.40%,7.20%,7,0.58%,0.17%,0.49%,-1.43%,-1.64%,88.42,69.06,86.09,7.67,93.76,14.50%,70%,42%,17%,0.25,-2.51,3.3,AA,5.50%,6
33,亚太转债,128023,亚太股份,2284,汽车,98,-0.33%,-0.02%,6.07,-2.72%,14,1.40%,10.34,1.71,-41.30%,66.90%,4.73年,2.73年,22.30%,13.10%,10,3.08%,2.56%,2.97%,1.85%,1.62%,87.99,58.7,87.05,4.24,91.29,7.40%,38%,33%,17%,0.13,-1.35,1.65,AA,5.70%,25
34,宁行转债,128024,宁波银行,2142,金融,116.99,-0.27%,0.52%,19.57,0.36%,139,1.60%,18.01,1.66,8.70%,7.70%,4.73年,无权,7.40%,8.00%,75,-1.51%,-1.85%,-1.58%,无权,无权,无权,108.66,90.81,29.71,120.52,-2.90%,30%,15%,18%,0.69,1.34,0.1,AAA,4.00%,21
35,特一转债,128025,特一药业,2728,医药,109.7,-1.17%,-0.11%,16.15,-1.82%,5.7,1.50%,16.1,3.09,0.30%,9.40%,4.73年,2.73年,10.40%,10.50%,3.4,0.12%,-0.29%,0.04%,-2.15%,-2.35%,90.2,100.31,88.94,23.78,112.72,-2.70%,36%,12%,17%,0.7,0.84,0.58,AA-,4.70%,25
36,蓝思转债,123003,蓝思科技,300433,电子,104.83,-0.06%,-0.16%,8.93,-3.35%,107,2.10%,16.08,2.15,-44.50%,88.80%,4.74年,2.74年,13.70%,7.60%,48,1.10%,0.69%,1.02%,-0.59%,-0.80%,89.69,55.53,88.15,3.52,91.67,14.40%,87%,45%,16%,0.07,-2.49,2.85,AA+,4.90%,21
37,众兴转债,128026,众兴菌业,2772,农业,98.39,-0.23%,-0.26%,7.83,-2.13%,14,1.60%,11.64,1.16,-32.70%,46.30%,4.75年,2.75年,31.50%,21.20%,9.2,2.60%,2.16%,2.51%,1.73%,1.50%,87.53,67.27,84.82,7.22,92.04,6.90%,56%,26%,16%,0.23,-1.35,1.86,AA-,5.90%,35
38,泰晶转债,113503,泰晶科技,603738,电子,108.1,-0.49%,-2.62%,16.13,-5.62%,4.1,1.70%,17.99,4.24,-10.30%,20.60%,4.76年,2.76年,8.40%,7.50%,2.2,0.93%,0.43%,0.83%,-1.52%,-1.74%,90.03,89.66,90.36,15.28,105.63,2.30%,63%,16%,16%,0.55,-0.27,1.38,AA,4.90%,19
39,崇达转债,128027,崇达技术,2815,电子,121.3,-1.24%,-2.22%,17.18,-4.29%,6,0.60%,15.11,5.46,13.70%,6.70%,4.76年,2.76年,5.40%,6.20%,7.8,-1.92%,-2.32%,-2.00%,-5.38%,-5.58%,91.2,113.7,90.69,32.92,123.61,-1.90%,64%,<2%,16%,0.81,0.94,0.69,AA,4.40%,2
40,铁汉转债,123004,铁汉生态,300197,城市公用设施,118.02,-2.86%,-0.61%,4.67,-4.11%,18,3.00%,3.99,1.67,17.00%,0.80%,4.77年,2.77年,4.60%,5.40%,4.9,-1.43%,-1.82%,-1.51%,-4.55%,-4.74%,91.14,117.04,90.53,34.7,125.23,-5.80%,67%,<2%,15%,0.85,1.9,-0.1,AA,4.30%,67
41,东财转债,123006,东方财富,300059,金融,171.1,-3.22%,-0.97%,19.43,-4.38%,"1,073",24.60%,11.36,6.94,71.00%,0.00%,4.77年,2.77年,2.50%,4.30%,25.1,-8.85%,-9.20%,-8.92%,-10.60%,-10.60%,90.96,171.04,91.52,84.77,176.29,-2.90%,58%,<2%,17%,0.96,1.53,0.43,AA,4.10%,35
42,赣锋转债,128028,赣锋锂业,2460,有色金属,107.09,1.49%,1.23%,29.64,9.98%,38,3.90%,42.58,7.02,-30.40%,53.80%,4.77年,2.77年,2.40%,1.70%,9.3,0.53%,0.15%,0.46%,-1.47%,-1.64%,87.81,69.61,85.54,7.69,93.24,14.90%,71%,45%,17%,0.27,-2.54,3.38,AA,5.50%,13
43,太阳转债,128029,太阳纸业,2078,造纸包装印刷,108.6,-0.73%,-0.11%,6.95,-2.66%,5,0.40%,8.75,1.52,-20.60%,36.70%,3.78年,1.78年,6.70%,5.30%,12,-0.07%,-0.48%,-0.16%,-3.44%,-3.59%,92.85,79.43,91.27,7.44,98.71,10.00%,37%,31%,16%,0.32,-1.62,2.36,AA+,4.70%,6
44,天康转债,128030,天康生物,2100,农业,124.1,-2.24%,-1.60%,9.46,-4.73%,114,9.00%,8.15,2.94,16.10%,6.90%,4.78年,2.78年,11.00%,12.70%,10,-2.01%,-2.48%,-2.11%,-6.08%,-6.28%,91.16,116.07,92.29,33.72,126.01,-1.50%,29%,21%,16%,0.81,0.87,0.77,AA,4.40%,8
45,双环转债,128032,双环传动,2472,机械装备制造,105.6,-1.22%,0.21%,7.54,-2.84%,6.4,0.60%,9.99,1.57,-24.50%,39.90%,4.78年,2.78年,19.30%,14.60%,10,1.03%,0.60%,0.94%,-0.75%,-0.96%,88.83,75.48,87,9.42,96.42,9.50%,54%,30%,16%,0.36,-1.7,2.54,AA,5.30%,13
46,蒙电转债,110041,内蒙华电,600863,能源电力,113.73,-1.52%,-0.30%,2.91,-3.00%,16,0.70%,2.92,1.6,-0.30%,14.10%,4.78年,2.78年,11.10%,11.00%,18.7,-0.54%,-0.95%,-0.62%,-3.21%,-3.42%,92.22,99.66,92.29,21.04,113.33,0.30%,23%,17%,16%,0.61,0.56,0.66,AAA,4.00%,17
47,航电转债,110042,中航电子,600372,航空航天,123.74,-1.89%,0.44%,17.65,-1.78%,124,4.10%,14.23,4.51,24.00%,-0.20%,4.78年,2.78年,7.70%,9.60%,24,-2.51%,-2.87%,-2.58%,-5.97%,-6.17%,92.09,124.03,91.34,41.35,132.69,-6.70%,36%,<2%,16%,0.82,2.34,-0.53,AAA,4.00%,21
48,吉视转债,113017,吉视传媒,601929,传媒娱乐,110.94,-4.34%,1.94%,3.05,-3.48%,114,6.40%,2.96,1.43,3.00%,7.70%,4.79年,2.79年,16.40%,16.90%,15.6,-0.12%,-0.52%,-0.20%,-2.48%,-2.67%,91.05,103.04,90.43,24.19,114.62,-3.20%,26%,15%,16%,0.69,1.22,0.21,AA+,4.30%,35
49,迪龙转债,128033,雪迪龙,2658,城市公用设施,106.48,-3.46%,4.84%,8.78,2.09%,29,5.10%,9.03,2.68,-2.80%,9.50%,4.79年,2.79年,9.80%,9.50%,5.2,0.75%,0.35%,0.67%,-1.11%,-1.31%,90.1,97.23,88.93,21.56,110.49,-3.60%,38%,20%,17%,0.66,1.08,0.27,AA,4.70%,40
50,道氏转债,123007,道氏技术,300409,建筑,125.9,-1.56%,-0.32%,19.22,-2.14%,15,2.60%,15.2,4.92,26.40%,-0.40%,4.79年,2.79年,5.20%,6.60%,4.5,-2.46%,-2.89%,-2.54%,-6.46%,-6.66%,91.48,126.45,91.91,42.95,134.87,-6.60%,77%,<2%,16%,0.88,2.12,-0.23,AA-,4.30%,25
51,常熟转债,113018,常熟银行,601128,金融,138.51,-3.61%,-0.31%,7.98,-4.43%,61,2.30%,5.76,1.54,38.50%,0.00%,4.85年,无权,10.30%,14.30%,18.6,-4.77%,-5.11%,-4.84%,无权,无权,无权,138.54,90.38,55.16,145.53,-4.80%,42%,<2%,18%,0.88,1.86,0.01,AA+,4.10%,42
52,江银转债,128034,江阴银行,2807,金融,115.099,-0.44%,-0.72%,6.39,-1.54%,40,2.00%,5.67,1.18,12.70%,2.10%,4.87年,无权,15.60%,17.60%,17.6,-1.01%,-1.37%,-1.09%,无权,无权,无权,112.7,89.77,33.24,123.01,-6.40%,49%,<2%,18%,0.75,2.01,-0.36,AA+,4.20%,58
53,无锡转债,110043,无锡银行,600908,金融,109.48,-0.72%,-0.86%,6.52,-2.40%,31,1.00%,6.7,1.21,-2.70%,12.50%,4.88年,无权,24.90%,24.20%,30,-0.79%,-1.00%,-0.83%,无权,无权,无权,97.31,85.92,23.84,109.76,-0.30%,47%,19%,18%,0.66,0.52,0.8,AA+,4.30%,48
54,大族转债,128035,大族激光,2008,电子,113.122,-1.03%,-0.62%,42.05,-4.41%,14,0.60%,52.5,5.48,-19.90%,41.20%,4.90年,2.90年,5.10%,4.10%,23,-0.88%,-1.19%,-0.94%,-2.47%,-2.76%,91.28,80.1,87.09,12.14,99.23,14.00%,39%,34%,16%,0.37,-2.26,3.27,AA+,4.60%,13
55,玲珑转债,113019,玲珑轮胎,601966,汽车,108.2,-1.82%,1.24%,16.75,-1.30%,59,2.70%,18.84,2.13,-11.10%,21.70%,3.97年,1.97年,10.00%,8.80%,20,1.11%,0.51%,0.99%,-2.85%,-3.00%,92.55,88.91,94.89,11.27,106.17,1.90%,34%,24%,16%,0.45,-0.09,0.99,AA+,4.60%,10
56,康泰转债,123008,康泰生物,300601,医药,141.2,0.57%,0.15%,44.5,0.77%,27,9.20%,31.23,18.06,42.50%,-0.90%,4.89年,2.89年,0.70%,1.00%,2.1,-4.92%,-5.29%,-4.99%,-9.79%,-9.97%,91.23,142.49,91.03,58.5,149.53,-5.60%,69%,<2%,16%,0.93,2.02,-0.06,AA-,4.20%,13
57,艾华转债,113504,艾华集团,603989,电子,112.86,-1.89%,-0.67%,21.55,-3.71%,0.7,0.10%,21.73,4.62,-0.80%,13.80%,4.97年,2.97年,8.20%,8.20%,6.9,-0.38%,-0.77%,-0.46%,-2.80%,-3.00%,89.76,99.17,88.9,22.92,111.82,0.90%,41%,18%,16%,0.69,0.15,1.23,AA,4.60%,4
58,杭电转债,113505,杭电股份,603618,能源电力,107.65,-0.63%,-1.35%,6.66,-3.34%,8.4,1.00%,7.29,2.11,-8.60%,17.80%,4.98年,2.98年,17.10%,15.60%,7.8,0.96%,0.49%,0.86%,-1.31%,-1.51%,89.19,91.36,89.62,17.07,106.69,0.90%,72%,15%,16%,0.59,0.01,1.18,AA,4.80%,33
59,星源转债,123009,星源材质,300568,汽车,118.795,-1.98%,-3.14%,30.98,-6.49%,11,1.80%,27.69,4.28,11.90%,6.20%,4.98年,2.98年,8.10%,9.00%,4.8,-1.50%,-1.87%,-1.58%,-4.44%,-4.62%,90.02,111.88,89.24,32.84,122.08,-2.70%,64%,<2%,17%,0.79,1.06,0.55,AA,4.40%,10
60,长证转债,127005,长江证券,783,金融,117.18,0.14%,-0.38%,7.55,-0.40%,115,2.00%,7.45,1.59,1.30%,15.60%,4.998年,无权,12.00%,12.10%,50,-1.30%,-1.66%,-1.37%,无权,无权,无权,101.34,90.68,25.33,116.01,1.00%,31%,21%,18%,0.62,0.43,0.81,AAA,4.00%,35
61,敖东转债,127006,吉林敖东,623,医药,107.8,-1.25%,0.54%,18.25,-1.35%,39,1.50%,20.82,1.03,-12.30%,23.00%,5.00年,3.00年,11.40%,10.00%,24.1,0.15%,-0.17%,0.09%,-1.66%,-1.80%,89.11,87.66,87.51,15.65,103.16,4.50%,31%,23%,16%,0.52,-0.52,1.58,AA+,4.50%,33
62,岩土转债,128037,中化岩土,2542,建筑,100.801,-1.66%,2.25%,5.9,1.72%,91,14.90%,8.03,2.96,-26.50%,37.20%,5年1.3天,3年1.3天,5.60%,4.10%,6,2.37%,1.88%,2.28%,0.88%,0.65%,88.06,73.47,87.74,8.35,96.09,4.90%,55%,27%,16%,0.34,-0.91,1.63,AA,5.30%,67
63,利欧转债,128038,利欧股份,2131,传媒娱乐,143.9,-2.44%,-1.41%,2.51,-4.20%,"1,085",139%,1.72,1.67,45.90%,-1.40%,5年8天,3年8天,3.50%,5.10%,5.4,-4.59%,-5.06%,-4.69%,-9.87%,-10.10%,91.08,145.93,93.34,60.22,153.56,-6.30%,80%,<2%,16%,0.92,2.19,-0.22,AA,4.20%,100
64,金农转债,128036,金新农,2548,农业,114.001,-7.69%,-0.40%,10.94,-9.96%,80,11.10%,9.62,2.87,13.70%,0.20%,4.99年,2.99年,14.60%,16.60%,6.1,-0.56%,-0.96%,-0.64%,-3.07%,-3.27%,90.18,113.72,89.53,34.59,124.13,-8.20%,38%,<2%,17%,0.81,2.29,-0.49,AA-,4.50%,58
65,鼎信转债,113506,鼎信通讯,603421,能源电力,130.86,-4.10%,-3.35%,27.98,-8.41%,24,7.10%,21.65,5.41,29.20%,1.30%,5年29天,3年29天,2.00%,2.60%,2.6,-3.31%,-3.67%,-3.38%,-7.07%,-7.24%,90.46,129.24,89.97,47.3,137.26,-4.70%,51%,<2%,16%,0.89,1.73,0.12,AA,4.20%,35
66,天马转债,113507,天马科技,603668,农业,118.93,-3.70%,0.52%,8.88,-3.79%,12,4.00%,7.37,2.97,20.50%,-1.30%,5年32天,3年32天,9.10%,10.90%,2.4,-0.97%,-1.43%,-1.06%,-4.14%,-4.35%,90.35,120.49,91.41,39.38,130.79,-9.10%,54%,<2%,17%,0.84,2.59,-0.69,AA-,4.40%,35
67,新凤转债,113508,新凤鸣,603225,服装纺织,107.02,-0.71%,-2.40%,20.7,-5.69%,36,1.60%,23.74,2.25,-12.80%,22.70%,5年43天,3年43天,12.20%,10.60%,21.5,1.11%,0.63%,1.01%,-0.99%,-1.20%,88.65,87.19,88.93,15.2,104.12,2.80%,48%,14%,16%,0.55,-0.4,1.5,AA,4.90%,19
68,新泉转债,113509,新泉股份,603179,汽车,108.09,-0.62%,-0.10%,18.12,-1.15%,3.2,0.70%,19.38,2.7,-6.50%,15.60%,5.23年,3.23年,10.90%,10.20%,4.5,0.54%,0.14%,0.46%,-1.25%,-1.46%,88.65,93.5,87.6,20.98,108.58,-0.50%,55%,17%,17%,0.63,0.34,0.91,AA,4.70%,19
69,三力转债,128039,三 力 士,2224,机械装备制造,123.099,-4.57%,-0.63%,7.16,-6.04%,15,2.50%,5.84,2.69,22.60%,0.40%,5.24年,3.24年,10.30%,12.60%,4.9,-2.06%,-2.42%,-2.13%,-5.05%,-5.22%,89.54,122.6,88.87,42.96,131.83,-6.60%,39%,<2%,17%,0.86,2.03,-0.19,AA-,4.30%,33
70,华通转债,128040,华通医药,2758,医药,107,2.98%,2.64%,10.98,8.61%,51,21.70%,11.45,3.59,-4.10%,11.60%,5.25年,3.25年,9.70%,9.30%,2.2,1.12%,0.65%,1.02%,-0.89%,-1.11%,88.39,95.9,88.74,22.67,111.4,-4.00%,76%,16%,18%,0.65,1,0.34,AA-,4.90%,42
71,再升转债,113510,再升科技,603601,城市公用设施,104,-0.47%,-0.21%,9.04,-1.85%,1.9,1.60%,11.32,3.89,-20.10%,30.20%,5.27年,1.27年,2.30%,1.90%,1.1,1.67%,1.20%,1.58%,-1.91%,-2.07%,93.6,79.86,85.61,14.69,100.29,3.70%,67%,24%,17%,0.37,-0.59,1.33,AA-,5.60%,27
72,千禾转债,113511,千禾味业,603027,食品饮料,104.03,0.81%,0.55%,19.83,3.17%,12,3.20%,25.85,5.07,-23.30%,35.60%,5.27年,3.27年,5.50%,4.20%,3.6,1.63%,1.17%,1.54%,-0.12%,-0.33%,86.54,76.71,86.07,10.69,96.75,7.50%,59%,29%,16%,0.43,-1.46,2.42,AA-,5.40%,35
73,广电转债,110044,广电网络,600831,传媒娱乐,133.44,-5.22%,-0.85%,9.11,-6.95%,64,13.80%,6.91,1.73,31.80%,1.20%,5.29年,3.29年,5.60%,7.30%,3.4,-3.10%,-3.53%,-3.19%,-7.08%,-7.26%,90.03,131.84,91.31,49.64,140.96,-5.30%,38%,<2%,17%,0.87,1.84,0,AA,4.30%,17
