,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,转股价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
20,林洋转债,113014,林洋能源,601222,能源电力,106.12,3.42%,-0.95%,6.14,10.00%,94,3.00%,8.76,1.18,-29.90%,51.40%,4.63年,2.63年,27.70%,19.40%,30,0.95%,0.52%,0.87%,-0.97%,-1.19%,89.04,70.09,86.88,7.26,94.14,12.70%,83%,38%,16%,0.25,-2.21,2.92,AA,5.50%,13
21,金禾转债,128017,金禾实业,2597,石油天然气化工,108.589,0.72%,-0.04%,17.35,2.06%,7,1.10%,23.32,2.69,-25.60%,46.00%,4.64年,2.64年,6.20%,4.60%,6,0.34%,-0.07%,0.26%,-1.86%,-2.07%,89.15,74.4,87.03,9.27,96.3,12.80%,37%,37%,17%,0.33,-2.23,3.13,AA,5.30%,19
22,隆基转债,113015,隆基股份,601012,能源电力,129.44,7.64%,0.61%,27.84,10.00%,300,8.60%,22.98,5.21,21.10%,6.80%,4.64年,2.64年,3.60%,4.40%,28,-3.44%,-3.83%,-3.52%,-7.84%,-8.03%,91.94,121.15,91.54,38.01,129.55,-0.10%,47%,18%,16%,0.83,0.74,0.92,AA+,4.20%,11
23,小康转债,113016,小康股份,601127,汽车,110.21,1.46%,2.54%,18.11,5.41%,9.7,1.00%,17.2,3.59,5.30%,4.70%,4.65年,2.65年,5.10%,5.40%,8.8,0.12%,-0.31%,0.03%,-2.29%,-2.50%,91.28,105.29,90.56,26.08,116.63,-5.50%,40%,12%,16%,0.74,1.65,-0.08,AA,4.50%,30
24,时达转债,128018,新时达,2527,机械装备制造,100.01,0.16%,0.40%,7.06,5.06%,24,2.80%,11.83,1.54,-40.30%,67.60%,4.65年,2.65年,20.10%,12.00%,8.8,2.27%,1.82%,2.18%,1.16%,0.93%,88.27,59.68,85.75,5.08,90.83,10.10%,35%,37%,16%,0.11,-1.81,2.14,AA,5.80%,36
25,久立转2,128019,久立特材,2318,石油天然气化工,112.2,2.00%,2.81%,8,7.38%,3.3,0.30%,8.22,2.42,-2.70%,15.30%,4.66年,2.66年,15.40%,15.00%,10.4,-0.37%,-0.78%,-0.45%,-2.99%,-3.19%,90.6,97.32,89.41,21.21,110.62,1.40%,35%,24%,17%,0.65,0.04,1.26,AA,4.70%,15
26,嘉澳转债,113502,嘉澳环保,603822,城市公用设施,99.46,1.53%,-1.00%,30.6,2.17%,3.7,2.00%,45.27,3.17,-32.40%,47.10%,4.67年,2.67年,8.20%,5.60%,1.9,2.81%,2.28%,2.70%,1.39%,1.15%,88.06,67.59,86.93,6.6,93.52,6.30%,59%,28%,17%,0.25,-1.25,1.79,AA-,5.90%,32
27,济川转债,110038,济川药业,600566,医药,115.01,1.23%,0.98%,36.89,4.03%,23,3.20%,40.04,6.04,-7.90%,24.80%,3.67年,1.67年,2.10%,1.90%,6.3,-1.52%,-1.95%,-1.60%,-6.55%,-6.70%,93.01,92.13,91.44,16.92,108.37,6.10%,35%,28%,15%,0.55,-0.92,2.07,AA,4.90%,11
28,水晶转债,128020,水晶光电,2273,电子,119.4,7.47%,-1.10%,15.29,10.00%,108,7.90%,16,3.66,-4.40%,24.90%,4.69年,2.69年,8.90%,8.50%,11.8,-1.45%,-1.89%,-1.54%,-5.24%,-5.39%,89.95,95.56,90.18,18.45,108.62,9.90%,51%,29%,16%,0.64,-1.56,2.99,AA,4.70%,13
29,生益转债,110040,生益科技,600183,电子,118.29,2.75%,0.32%,12,4.44%,21,1.00%,11.62,4.29,3.30%,14.50%,4.70年,无权,7.10%,7.30%,18,-1.50%,-1.89%,-1.58%,无权,无权,无权,103.27,90.78,24.04,114.82,3.00%,45%,22%,16%,0.69,-0.07,1.46,AA+,4.30%,2
30,国祯转债,123002,国祯环保,300388,城市公用设施,122.02,2.07%,1.11%,10.56,3.73%,4.3,0.60%,8.72,2.83,21.10%,0.80%,4.70年,2.70年,10.00%,12.10%,5.8,-2.16%,-2.55%,-2.24%,-5.75%,-5.94%,91.42,121.1,90.83,38.56,129.38,-5.70%,51%,<2%,16%,0.85,1.89,-0.08,AA,4.30%,6
31,兄弟转债,128021,兄弟科技,2562,医药,112.11,2.66%,2.99%,5.41,7.98%,22,3.10%,5.35,2.24,1.10%,10.90%,4.72年,2.72年,13.40%,13.50%,6.4,-0.35%,-0.75%,-0.43%,-2.90%,-3.10%,90.65,101.12,89.63,23.21,112.84,-0.60%,68%,20%,16%,0.71,0.5,0.92,AA,4.60%,19
32,众信转债,128022,众信旅游,2707,旅游餐饮酒店,106.699,0.94%,0.25%,7.51,4.89%,5.3,0.70%,10.99,2.83,-31.70%,56.10%,4.72年,2.72年,10.50%,7.20%,7,0.72%,0.31%,0.64%,-1.21%,-1.41%,88.34,68.33,85.98,7.48,93.46,14.20%,70%,44%,17%,0.24,-2.46,3.22,AA,5.50%,6
33,亚太转债,128023,亚太股份,2284,汽车,97.02,1.98%,-1.29%,5.9,6.31%,16,1.60%,10.34,1.66,-42.90%,70.00%,4.73年,2.73年,23.00%,13.10%,10,3.30%,2.78%,3.19%,2.20%,1.97%,87.88,57.06,86.89,3.95,90.84,6.80%,38%,32%,17%,0.11,-1.26,1.51,AA,5.80%,23
34,宁行转债,128024,宁波银行,2142,金融,117.47,1.09%,0.17%,19.5,1.83%,82,0.90%,18.01,1.66,8.30%,8.50%,4.73年,无权,7.40%,8.00%,75,-1.59%,-1.94%,-1.66%,无权,无权,无权,108.27,90.79,29.42,120.21,-2.30%,30%,16%,18%,0.69,1.2,0.22,AAA,4.00%,21
35,特一转债,128025,特一药业,2728,医药,109.941,1.91%,0.45%,16.41,3.27%,2.3,0.60%,16.1,3.14,1.90%,7.90%,4.74年,2.74年,10.30%,10.50%,3.4,0.07%,-0.33%,-0.01%,-2.22%,-2.42%,90.27,101.93,89.08,24.88,113.96,-3.50%,36%,13%,17%,0.72,1.05,0.42,AA-,4.70%,26
36,蓝思转债,123003,蓝思科技,300433,电子,104.3,6.32%,-5.87%,9.27,5.22%,778,15.50%,16.08,2.23,-42.40%,80.90%,4.74年,2.74年,13.20%,7.60%,48,1.21%,0.80%,1.12%,-0.42%,-0.62%,89.72,57.65,88.21,3.7,91.92,13.50%,87%,36%,16%,0.09,-2.32,2.69,AA+,4.90%,19
37,众兴转债,128026,众兴菌业,2772,农业,97.39,2.52%,-1.14%,7.91,5.75%,11,1.20%,11.64,1.17,-32.00%,43.30%,4.76年,2.76年,31.20%,21.20%,9.2,2.82%,2.38%,2.74%,2.09%,1.85%,87.57,67.96,84.9,7.45,92.34,5.50%,56%,25%,16%,0.24,-1.1,1.61,AA-,5.90%,34
38,泰晶转债,113503,泰晶科技,603738,电子,109,2.26%,-0.03%,17.33,3.46%,6.2,2.70%,17.99,4.55,-3.70%,13.20%,4.76年,2.76年,7.80%,7.50%,2.2,0.76%,0.26%,0.66%,-1.80%,-2.02%,90.46,96.33,91.06,19.29,110.34,-1.20%,63%,15%,16%,0.64,0.52,0.77,AA,4.70%,21
39,崇达转债,128027,崇达技术,2815,电子,124.036,0.84%,2.78%,18.46,4.23%,11,1.20%,15.11,5.87,22.20%,1.50%,4.76年,2.76年,5.10%,6.20%,7.8,-2.38%,-2.78%,-2.46%,-6.10%,-6.29%,91.43,122.17,91.06,39.88,130.94,-5.30%,64%,11%,16%,0.86,1.79,0.01,AA,4.30%,4
40,铁汉转债,123004,铁汉生态,300197,城市公用设施,119.85,2.44%,1.51%,4.81,4.57%,36,6.20%,3.99,1.72,20.60%,-0.60%,4.77年,2.77年,4.50%,5.40%,5,-1.75%,-2.14%,-1.83%,-5.05%,-5.23%,91.22,120.55,90.67,37.7,128.37,-6.60%,67%,<2%,15%,0.86,2.13,-0.27,AA,4.30%,62
41,东财转债,123006,东方财富,300059,金融,174.111,5.46%,-2.37%,19.92,3.21%,"1,445",31.80%,11.36,7.11,75.40%,-0.70%,4.78年,2.78年,2.60%,4.50%,26.5,-9.18%,-9.53%,-9.25%,-10.80%,-10.90%,90.96,175.35,91.52,88.98,180.51,-3.50%,58%,<2%,17%,0.96,1.67,0.31,AA,4.10%,38
42,赣锋转债,128028,赣锋锂业,2460,有色金属,104.4,1.73%,-1.06%,26.83,3.43%,6.5,0.70%,42.58,6.35,-37.00%,65.70%,4.78年,2.78年,2.60%,1.70%,9.3,1.08%,0.69%,1.00%,-0.61%,-0.78%,87.43,63.01,84.95,5.9,90.85,14.90%,71%,44%,17%,0.2,-2.58,3.27,AA,5.60%,11
43,太阳转债,128029,太阳纸业,2078,造纸包装印刷,107.43,0.49%,0.25%,6.96,2.35%,8.9,0.70%,8.75,1.52,-20.50%,35.10%,3.78年,1.78年,6.70%,5.30%,12,0.22%,-0.20%,0.13%,-2.90%,-3.04%,92.83,79.54,91.24,7.5,98.74,8.80%,37%,32%,16%,0.32,-1.41,2.12,AA+,4.70%,6
44,天康转债,128030,天康生物,2100,农业,124.35,4.76%,3.00%,9.03,9.99%,30,2.40%,8.15,2.8,10.80%,12.20%,4.78年,2.78年,11.50%,12.70%,10,-2.05%,-2.52%,-2.15%,-6.14%,-6.33%,90.96,110.8,91.98,29.62,121.6,2.30%,29%,24%,16%,0.78,0.03,1.52,AA,4.40%,11
45,双环转债,128032,双环传动,2472,机械装备制造,104.6,2.85%,-0.85%,7.55,5.59%,9.8,1.00%,9.99,1.57,-24.40%,38.40%,4.79年,2.79年,19.30%,14.60%,10,1.23%,0.81%,1.15%,-0.43%,-0.64%,88.82,75.58,87,9.47,96.47,8.40%,54%,29%,16%,0.36,-1.51,2.33,AA,5.30%,13
46,蒙电转债,110041,内蒙华电,600863,能源电力,113.6,0.98%,-0.34%,2.94,1.03%,10,0.50%,2.92,1.61,0.70%,12.80%,4.78年,2.78年,11.00%,11.00%,18.7,-0.51%,-0.93%,-0.59%,-3.17%,-3.38%,92.2,100.68,92.28,21.79,114.07,-0.40%,23%,16%,16%,0.62,0.72,0.53,AAA,4.00%,17
47,航电转债,110042,中航电子,600372,航空航天,125.01,2.34%,4.59%,17.57,8.52%,74,2.50%,14.23,4.49,23.50%,1.20%,4.79年,2.79年,7.80%,9.60%,24,-2.72%,-3.08%,-2.79%,-6.29%,-6.49%,92.07,123.47,91.32,40.87,132.2,-5.40%,36%,15%,16%,0.81,2.02,-0.27,AAA,4.00%,19
48,吉视转债,113017,吉视传媒,601929,传媒娱乐,108.17,1.24%,-0.14%,2.87,1.77%,43,2.60%,2.96,1.35,-3.00%,11.60%,4.79年,2.79年,17.50%,16.90%,15.6,0.41%,0.01%,0.33%,-1.64%,-1.83%,90.86,96.96,90.15,19.91,110.06,-1.70%,26%,15%,16%,0.62,0.83,0.44,AA+,4.40%,30
49,迪龙转债,128033,雪迪龙,2658,城市公用设施,109.4,4.06%,-0.58%,8.53,5.57%,4.8,0.90%,9.03,2.6,-5.50%,15.80%,4.79年,2.79年,10.10%,9.50%,5.2,0.17%,-0.23%,0.09%,-2.01%,-2.21%,89.91,94.46,88.64,19.79,108.43,0.90%,38%,18%,17%,0.62,0.11,1.14,AA,4.80%,40
50,道氏转债,123007,道氏技术,300409,建筑,125,3.31%,0.02%,19.19,3.79%,50,8.80%,15.2,4.92,26.30%,-1.00%,4.80年,2.80年,5.40%,6.80%,4.6,-2.31%,-2.74%,-2.39%,-6.22%,-6.42%,91.46,126.25,91.89,42.8,134.69,-7.20%,77%,<2%,16%,0.88,2.24,-0.33,AA-,4.30%,26
51,常熟转债,113018,常熟银行,601128,金融,138.31,-0.14%,1.83%,8.01,1.91%,131,5.10%,5.76,1.55,39.10%,-0.50%,4.86年,无权,10.30%,14.30%,18.7,-4.74%,-5.07%,-4.80%,无权,无权,无权,139.06,90.37,55.65,146.02,-5.30%,42%,<2%,18%,0.89,1.96,-0.08,AA+,4.10%,40
52,江银转债,128034,江阴银行,2807,金融,115.601,0.00%,1.81%,6.44,2.38%,42,2.10%,5.67,1.19,13.60%,1.80%,4.88年,无权,15.50%,17.60%,17.6,-1.10%,-1.46%,-1.17%,无权,无权,无权,113.58,89.77,33.95,123.72,-6.60%,49%,10%,18%,0.76,2.05,-0.39,AA+,4.20%,60
53,无锡转债,110043,无锡银行,600908,金融,110.16,0.09%,1.79%,6.59,2.81%,98,3.00%,6.7,1.23,-1.60%,12.00%,4.89年,无权,24.60%,24.20%,30,-0.91%,-1.12%,-0.95%,无权,无权,无权,98.36,85.95,24.58,110.53,-0.30%,47%,21%,18%,0.67,0.56,0.79,AA+,4.30%,51
54,大族转债,128035,大族激光,2008,电子,113.65,2.76%,-0.70%,44.51,4.61%,80,3.10%,52.5,5.8,-15.20%,34.10%,4.91年,2.91年,4.80%,4.10%,23,-0.97%,-1.29%,-1.03%,-2.61%,-2.90%,91.45,84.78,87.36,14.29,101.66,11.80%,39%,33%,16%,0.45,-1.83,2.9,AA+,4.60%,13
55,玲珑转债,113019,玲珑轮胎,601966,汽车,109.02,0.70%,0.42%,16.26,2.78%,2.4,0.10%,18.84,2.06,-13.70%,26.30%,3.97年,1.97年,10.30%,8.80%,20,0.92%,0.32%,0.80%,-3.18%,-3.34%,92.45,86.31,94.72,10.03,104.75,4.10%,34%,25%,16%,0.4,-0.54,1.35,AA+,4.60%,11
56,康泰转债,123008,康泰生物,300601,医药,140.35,3.96%,0.72%,43.84,5.08%,22,7.70%,31.23,17.79,40.40%,0.00%,4.89年,2.89年,0.70%,1.00%,2.1,-4.80%,-5.17%,-4.87%,-9.60%,-9.78%,91.19,140.38,90.97,56.6,147.56,-4.90%,69%,<2%,16%,0.92,1.84,0.09,AA-,4.20%,11
57,艾华转债,113504,艾华集团,603989,电子,114.1,1.88%,-1.81%,22.02,0.09%,15,1.90%,21.73,4.72,1.30%,12.60%,4.98年,2.98年,8.00%,8.20%,6.9,-0.60%,-0.99%,-0.68%,-3.14%,-3.33%,89.87,101.33,89.07,24.43,113.5,0.50%,41%,16%,16%,0.71,0.25,1.17,AA,4.60%,4
58,杭电转债,113505,杭电股份,603618,能源电力,107.5,1.88%,4.51%,6.94,9.98%,24,2.90%,7.29,2.2,-4.80%,12.90%,4.99年,2.99年,16.40%,15.60%,7.8,0.99%,0.51%,0.89%,-1.27%,-1.47%,89.42,95.2,89.99,19.42,109.41,-1.70%,72%,20%,16%,0.64,0.61,0.68,AA,4.70%,34
59,星源转债,123009,星源材质,300568,汽车,121.318,2.81%,4.02%,32.29,8.36%,7.5,1.30%,27.69,4.46,16.60%,4.00%,4.99年,2.99年,7.70%,9.00%,4.8,-1.92%,-2.29%,-1.99%,-5.08%,-5.25%,90.15,116.61,89.44,36.56,126,-3.70%,64%,18%,17%,0.82,1.37,0.32,AA,4.40%,13
60,长证转债,127005,长江证券,783,金融,116.212,0.38%,0.36%,7.48,1.22%,176,3.00%,7.45,1.58,0.40%,15.70%,5年0.1天,无权,12.10%,12.10%,50,-1.13%,-1.49%,-1.20%,无权,无权,无权,100.4,90.66,24.68,115.34,0.80%,31%,21%,18%,0.61,0.47,0.75,AAA,4.00%,36
61,敖东转债,127006,吉林敖东,623,医药,108,1.00%,1.16%,18.36,4.08%,42,1.60%,20.82,1.03,-11.80%,22.50%,5年1.1天,3年1.1天,11.30%,10.00%,24.1,0.11%,-0.21%,0.05%,-1.72%,-1.85%,89.11,88.18,87.52,15.99,103.51,4.30%,31%,25%,16%,0.53,-0.49,1.56,AA+,4.50%,34
62,岩土转债,128037,中化岩土,2542,建筑,97.71,1.29%,-0.02%,5.27,5.61%,11,2.00%,8.03,2.64,-34.40%,48.90%,5年3天,3年3天,6.30%,4.10%,6,3.02%,2.52%,2.92%,1.88%,1.65%,87.43,65.63,86.78,5.69,92.47,5.70%,55%,28%,16%,0.23,-1.06,1.55,AA,5.50%,64
63,利欧转债,128038,利欧股份,2131,传媒娱乐,134.8,0.45%,-1.57%,2.38,-1.24%,"1,078",117%,1.72,1.59,38.40%,-2.60%,5年10天,3年10天,4.60%,6.40%,6.8,-3.32%,-3.80%,-3.41%,-7.98%,-8.17%,90.97,138.37,93.17,53.35,146.52,-8.00%,80%,<2%,16%,0.9,2.55,-0.55,AA,4.20%,100
64,金农转债,128036,金新农,2548,农业,120,5.40%,3.18%,11.75,10.00%,204,26.30%,9.62,3.08,22.10%,-1.80%,4.99年,2.99年,14.50%,17.70%,6.5,-1.59%,-1.98%,-1.67%,-4.64%,-4.83%,90.46,122.14,89.98,41.42,131.4,-8.70%,38%,<2%,17%,0.86,2.53,-0.61,AA-,4.40%,62
65,鼎信转债,113506,鼎信通讯,603421,能源电力,138.93,8.19%,-0.67%,30.45,8.21%,106,29.70%,21.65,5.89,40.60%,-1.20%,5年31天,3年31天,1.90%,2.70%,2.7,-4.46%,-4.81%,-4.53%,-8.77%,-8.94%,90.62,140.65,90.22,57.66,147.88,-6.10%,51%,<2%,16%,0.92,2.13,-0.17,AA,4.20%,34
66,天马转债,113507,天马科技,603668,农业,124.45,4.84%,-1.35%,9.26,4.04%,30,9.50%,7.37,3.1,25.60%,-1.00%,5年34天,3年34天,9.40%,11.80%,2.6,-1.86%,-2.32%,-1.95%,-5.47%,-5.67%,90.51,125.64,91.66,43.76,135.41,-8.10%,54%,<2%,17%,0.86,2.39,-0.49,AA-,4.30%,34
67,新凤转债,113508,新凤鸣,603225,服装纺织,106.76,0.87%,2.89%,22.25,6.00%,121,5.30%,23.74,2.42,-6.30%,13.90%,5年45天,3年45天,11.40%,10.60%,21.5,1.15%,0.68%,1.06%,-0.92%,-1.13%,89.07,93.72,89.6,19.14,108.74,-1.80%,48%,18%,16%,0.63,0.58,0.68,AA,4.70%,19
68,新泉转债,113509,新泉股份,603179,汽车,108.99,2.25%,-0.35%,18.42,2.96%,1.6,0.30%,19.38,2.75,-5.00%,14.70%,5.23年,3.23年,10.70%,10.20%,4.5,0.37%,-0.02%,0.30%,-1.50%,-1.70%,88.73,95.05,87.73,21.93,109.66,-0.60%,55%,16%,17%,0.64,0.41,0.88,AA,4.70%,21
69,三力转债,128039,三 力 士,2224,机械装备制造,125.1,5.48%,-1.12%,7.35,5.00%,27,4.20%,5.84,2.77,25.90%,-0.60%,5.24年,3.24年,10.40%,13.10%,5,-2.36%,-2.72%,-2.43%,-5.50%,-5.67%,89.6,125.86,88.97,45.76,134.74,-7.20%,39%,<2%,17%,0.87,2.19,-0.3,AA-,4.30%,32
70,华通转债,128040,华通医药,2758,医药,102.95,1.93%,1.33%,10.05,5.68%,6.4,2.80%,11.45,3.29,-12.20%,17.30%,5.26年,3.26年,10.60%,9.30%,2.2,1.88%,1.40%,1.78%,0.24%,0.03%,87.8,87.77,87.85,17.75,105.6,-2.50%,76%,17%,18%,0.57,0.56,0.6,AA-,5.10%,43
71,再升转债,113510,再升科技,603601,城市公用设施,103.18,2.16%,-1.00%,8.9,3.37%,3.3,2.80%,11.32,3.83,-21.40%,31.20%,5.27年,1.27年,2.40%,1.90%,1.1,1.83%,1.35%,1.73%,-1.36%,-1.52%,93.5,78.62,85.35,14.26,99.61,3.60%,67%,23%,17%,0.34,-0.57,1.26,AA-,5.60%,28
72,千禾转债,113511,千禾味业,603027,食品饮料,102.93,1.11%,0.07%,19.15,3.01%,3.9,1.10%,25.85,4.9,-25.90%,38.90%,5.27年,3.27年,5.70%,4.20%,3.6,1.84%,1.37%,1.74%,0.19%,-0.01%,86.26,74.08,85.66,9.58,95.24,8.10%,59%,29%,16%,0.39,-1.58,2.48,AA-,5.50%,34
73,广电转债,110044,广电网络,600831,传媒娱乐,128.64,2.91%,2.44%,8.9,6.21%,73,17.00%,6.91,1.69,28.80%,-0.10%,5.29年,3.29年,5.70%,7.40%,3.4,-2.41%,-2.85%,-2.50%,-6.07%,-6.26%,89.95,128.8,91.2,47.05,138.25,-7.00%,38%,<2%,17%,0.86,2.18,-0.31,AA,4.30%,17
