,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展/上市日,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,转股价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
11,海印转债,127003,2016-07-01,海印股份,861,商业零售,107.222,0.12%,0.37%,2.95,1.37%,42,3.50%,3.5,2.04,-15.70%,27.20%,3.23年,1.23年,17.30%,14.60%,11.1,2.04%,1.22%,1.88%,-3.00%,-3.37%,95.74,84.29,97.16,7.24,104.39,2.70%,26%,23%,16%,0.36,-0.41,1.13,AA,5.30%,100
12,洪涛转债,128013,2016-08-23,洪涛股份,2325,建筑,97.4,0.52%,-0.52%,3.8,2.70%,24,2.00%,9.98,1.29,-61.90%,156%,3.37年,1.37年,25.30%,9.60%,12,4.41%,3.70%,4.27%,3.61%,3.23%,94.07,38.08,92.67,2.45,95.12,2.40%,36%,36%,16%,0,-0.47,0.46,AA,6.00%,78
13,光大转债,113011,2017-07-18,光大银行,601818,金融,113.64,-0.08%,0.08%,4.13,0.00%,234,0.70%,4.13,0.78,0.00%,13.60%,4年0.3天,无权,13.80%,13.80%,300,-0.87%,-1.32%,-0.96%,无权,无权,无权,100,94.19,19.33,113.52,0.10%,18%,17%,16%,0.59,0.59,0.6,AAA,4.00%,29
14,骆驼转债,113012,2017-07-18,骆驼股份,601311,汽车,113.16,2.64%,-1.69%,14.5,1.26%,254,41.60%,13.44,2.21,7.90%,4.90%,4年7天,2年7天,4.40%,4.70%,5.4,-0.88%,-1.30%,-0.96%,-4.23%,-4.48%,93.7,107.89,91.95,26.11,118.06,-4.10%,34%,<2%,16%,0.75,1.41,0.16,AA,4.50%,20
15,永东转债,128014,2017-07-18,永东股份,2753,石油天然气化工,102.237,0.72%,-0.40%,10.3,0.98%,5.7,1.70%,13.53,2.56,-23.90%,34.30%,4年31天,2年31天,9.80%,7.50%,3.4,2.54%,1.93%,2.42%,0.55%,0.25%,91.5,76.13,90.62,8.13,98.75,3.50%,60%,24%,17%,0.32,-0.66,1.31,AA-,5.70%,33
16,模塑转债,127004,2017-08-16,模塑科技,700,汽车,96.02,0.56%,-0.56%,3.75,0.00%,7.1,0.90%,7.72,1.29,-51.40%,97.70%,4.21年,2.21年,26.40%,12.80%,8.2,4.48%,3.79%,4.34%,3.24%,2.94%,90.39,48.58,90.73,1.61,92.33,4.00%,54%,33%,17%,0.04,-0.78,0.84,AA,5.90%,57
17,久其转债,128015,2017-07-18,久其软件,2279,计算机及应用,103.639,0.37%,-0.46%,8.81,-0.45%,7.8,1.00%,12.86,3.19,-31.50%,51.30%,4.23年,2.23年,12.40%,8.50%,7.8,1.95%,1.41%,1.84%,-0.24%,-0.49%,90.61,68.51,89.7,5.59,95.29,8.80%,71%,33%,17%,0.21,-1.58,2.1,AA,5.60%,33
18,国君转债,113013,2017-07-24,国泰君安,601211,金融,118.7,0.40%,-0.31%,19.25,0.16%,85,1.00%,19.8,1.49,-2.80%,22.10%,4.31年,无权,4.20%,4.10%,70,-1.83%,-2.24%,-1.91%,无权,无权,无权,97.22,93.06,19.15,112.21,5.80%,26%,26%,17%,0.57,-0.52,1.67,AAA,4.00%,33
19,雨虹转债,128016,2017-10-20,东方雨虹,2271,建筑,112.299,2.38%,0.28%,20.07,5.30%,16,0.80%,22.63,4.09,-11.30%,26.60%,4.53年,2.53年,6.10%,5.40%,18.4,-0.40%,-0.82%,-0.49%,-3.16%,-3.37%,91.62,88.69,90.71,14.07,104.79,7.20%,51%,28%,16%,0.5,-1,2.06,AA+,4.50%,10
20,林洋转债,113014,2017-11-13,林洋能源,601222,能源电力,105,-0.04%,0.15%,5.97,0.51%,30,1.00%,8.76,1.14,-31.80%,54.10%,4.61年,2.61年,28.50%,19.40%,30,1.19%,0.75%,1.11%,-0.59%,-0.82%,88.99,68.15,86.77,6.76,93.53,12.30%,83%,39%,16%,0.22,-2.18,2.83,AA,5.60%,14
21,金禾转债,128017,2017-11-27,金禾实业,2597,石油天然气化工,109,0.46%,0.08%,18.25,1.39%,4.9,0.80%,23.32,2.83,-21.70%,39.30%,4.63年,2.63年,5.90%,4.60%,6,0.26%,-0.15%,0.18%,-2.00%,-2.21%,89.5,78.26,87.55,10.67,98.22,11.00%,36%,35%,17%,0.39,-1.88,2.84,AA,5.20%,20
22,隆基转债,113015,2017-11-20,隆基股份,601012,能源电力,126.65,0.88%,0.17%,27.5,1.29%,53,1.50%,22.98,5.15,19.70%,5.80%,4.63年,2.63年,3.60%,4.40%,28,-2.99%,-3.38%,-3.07%,-7.15%,-7.34%,91.97,119.67,91.55,36.7,128.24,-1.20%,47%,15%,16%,0.82,0.98,0.67,AA+,4.20%,14
23,小康转债,113016,2017-11-21,小康股份,601127,汽车,108.82,0.34%,-0.58%,17.45,-0.34%,4.7,0.50%,17.2,3.46,1.50%,7.30%,4.64年,2.64年,5.30%,5.40%,8.8,0.40%,-0.04%,0.31%,-1.85%,-2.07%,91.16,101.45,90.34,23.38,113.72,-4.30%,40%,9%,16%,0.71,1.29,0.18,AA,4.60%,29
24,时达转债,128018,2017-12-04,新时达,2527,机械装备制造,100.22,0.12%,0.01%,6.77,1.50%,8.9,1.00%,11.83,1.48,-42.80%,75.10%,4.64年,2.64年,21.00%,12.00%,8.8,2.23%,1.78%,2.14%,1.09%,0.86%,88.21,57.23,85.61,4.83,90.44,10.80%,35%,38%,16%,0.08,-1.96,2.24,AA,5.80%,37
25,久立转2,128019,2017-12-01,久立特材,2318,石油天然气化工,111.003,0.79%,-0.55%,7.96,0.38%,0.8,0.10%,8.22,2.41,-3.20%,14.60%,4.65年,2.65年,15.50%,15.00%,10.4,-0.14%,-0.55%,-0.22%,-2.63%,-2.83%,90.63,96.84,89.42,20.84,110.25,0.70%,35%,18%,17%,0.65,0.19,1.11,AA,4.70%,14
26,嘉澳转债,113502,2017-11-27,嘉澳环保,603822,城市公用设施,99.34,0.35%,0.27%,30.58,2.55%,6.5,3.50%,45.27,3.16,-32.40%,47.10%,4.65年,2.65年,8.20%,5.60%,1.9,2.84%,2.32%,2.74%,1.44%,1.20%,88.12,67.55,86.98,6.55,93.53,6.20%,59%,30%,17%,0.24,-1.22,1.76,AA-,5.90%,35
27,济川转债,110038,2017-11-29,济川药业,600566,医药,112.7,0.78%,-0.71%,35.18,0.14%,2.1,0.30%,40.04,5.76,-12.10%,28.30%,3.66年,1.66年,2.20%,1.90%,6.3,-0.97%,-1.41%,-1.06%,-5.55%,-5.71%,92.88,87.86,91.15,14.57,105.71,6.60%,35%,26%,15%,0.49,-1.07,2.12,AA,5.00%,14
28,水晶转债,128020,2017-12-12,水晶光电,2273,电子,110.501,0.00%,1.92%,13.95,3.64%,20,1.60%,16,3.33,-12.80%,26.70%,4.67年,2.67年,9.80%,8.50%,11.8,0.22%,-0.24%,0.12%,-2.62%,-2.79%,89.47,87.19,89.36,13.53,102.89,7.40%,52%,31%,16%,0.53,-1.23,2.37,AA,4.90%,14
29,生益转债,110040,2017-12-11,生益科技,600183,电子,114.89,0.69%,-0.86%,11.49,-0.26%,14,0.70%,11.62,4.11,-1.10%,16.20%,4.69年,无权,7.40%,7.30%,18,-0.88%,-1.28%,-0.96%,无权,无权,无权,98.88,90.64,20.91,111.55,3.00%,45%,20%,16%,0.65,-0.12,1.42,AA+,4.40%,2
30,国祯转债,123002,2017-12-25,国祯环保,300388,城市公用设施,123.303,0.49%,1.40%,10.65,2.21%,3.3,0.50%,8.72,2.85,22.10%,1.00%,4.69年,2.69年,9.90%,12.10%,5.8,-2.39%,-2.78%,-2.46%,-6.13%,-6.31%,91.49,122.13,90.92,39.38,130.3,-5.40%,52%,<2%,16%,0.86,1.82,-0.01,AA,4.30%,10
31,兄弟转债,128021,2017-12-27,兄弟科技,2562,医药,110.801,1.26%,2.58%,5.33,5.54%,32,4.60%,5.35,2.2,-0.40%,11.20%,4.70年,2.70年,13.60%,13.50%,6.4,-0.10%,-0.50%,-0.18%,-2.51%,-2.71%,90.62,99.63,89.55,22.13,111.68,-0.80%,68%,20%,16%,0.69,0.51,0.87,AA,4.60%,22
32,众信转债,128022,2017-12-28,众信旅游,2707,旅游餐饮酒店,107,0.28%,-0.22%,7.22,0.28%,0.4,0.10%,10.99,2.72,-34.30%,62.90%,4.71年,2.71年,10.90%,7.20%,7,0.66%,0.25%,0.58%,-1.31%,-1.51%,88.22,65.7,85.75,6.74,92.49,15.70%,70%,45%,17%,0.2,-2.69,3.42,AA,5.60%,8
33,亚太转债,128023,2017-12-26,亚太股份,2284,汽车,97.3,0.39%,-0.41%,5.65,-0.18%,14,1.40%,10.34,1.59,-45.40%,78.10%,4.72年,2.72年,24.00%,13.10%,10,3.24%,2.72%,3.14%,2.11%,1.88%,87.82,54.64,86.77,3.65,90.42,7.60%,37%,35%,17%,0.08,-1.42,1.64,AA,5.80%,27
34,宁行转债,128024,2018-01-12,宁波银行,2142,金融,117.16,0.13%,-0.30%,19.47,-0.26%,154,1.80%,18.01,1.65,8.10%,8.40%,4.72年,无权,7.40%,8.00%,75,-1.54%,-1.89%,-1.61%,无权,无权,无权,108.11,90.84,29.24,120.08,-2.40%,30%,14%,18%,0.68,1.23,0.19,AAA,4.00%,24
35,特一转债,128025,2017-12-28,特一药业,2728,医药,108.66,1.83%,0.07%,16.3,2.64%,2.9,0.80%,16.1,3.12,1.20%,7.30%,4.72年,2.72年,10.40%,10.50%,3.4,0.32%,-0.08%,0.24%,-1.83%,-2.03%,90.32,101.24,89.11,24.34,113.46,-4.20%,36%,12%,17%,0.72,1.19,0.29,AA-,4.70%,29
36,蓝思转债,123003,2018-01-17,蓝思科技,300433,电子,104.75,0.06%,-0.01%,8.65,0.82%,57,1.10%,16.08,2.08,-46.20%,94.70%,4.73年,2.73年,14.10%,7.60%,48,1.12%,0.71%,1.03%,-0.57%,-0.77%,89.7,53.79,88.15,3.31,91.45,14.50%,87%,51%,16%,0.05,-2.5,2.84,AA+,4.90%,24
37,众兴转债,128026,2018-01-03,众兴菌业,2772,农业,97.81,0.66%,-0.47%,7.68,0.92%,7.4,0.80%,11.64,1.13,-34.00%,48.20%,4.74年,2.74年,32.10%,21.20%,9.2,2.74%,2.29%,2.65%,1.94%,1.71%,87.44,65.98,84.65,6.9,91.56,6.80%,55%,28%,16%,0.21,-1.29,1.75,AA-,6.00%,39
38,泰晶转债,113503,2018-01-02,泰晶科技,603738,电子,103.89,1.87%,-1.51%,15.35,0.72%,16,7.40%,17.99,4.03,-14.70%,21.80%,4.75年,2.75年,8.80%,7.50%,2.2,1.80%,1.29%,1.70%,-0.16%,-0.39%,89.78,85.33,89.93,12.95,102.88,1.00%,63%,17%,16%,0.5,-0.08,1.07,AA,5.00%,24
39,崇达转债,128027,2018-01-22,崇达技术,2815,电子,115.8,-1.61%,0.82%,16.86,-1.00%,34,3.70%,15.11,5.36,11.60%,3.80%,4.75年,2.75年,5.50%,6.20%,7.8,-0.94%,-1.35%,-1.02%,-3.87%,-4.08%,91.17,111.58,90.62,31.23,121.84,-5.00%,63%,<2%,16%,0.79,1.58,0.08,AA,4.40%,8
40,铁汉转债,123004,2018-01-26,铁汉生态,300197,城市公用设施,116.369,2.46%,-1.17%,4.58,1.55%,23,4.10%,3.99,1.64,14.80%,1.40%,4.76年,2.76年,4.50%,5.10%,4.8,-1.14%,-1.53%,-1.22%,-4.10%,-4.29%,91.11,114.79,90.46,32.85,123.31,-5.60%,67%,<2%,15%,0.83,1.84,-0.07,AA,4.30%,69
41,东财转债!,123006,2018-01-29,东方财富,300059,金融,169.85,-0.19%,-0.61%,19.25,-0.82%,"1,000",25.70%,11.36,6.87,69.50%,0.20%,4.76年,2.76年,2.30%,3.90%,22.6,-8.72%,-9.08%,-8.79%,-10.50%,-10.50%,91.05,169.45,91.64,82.9,174.54,-2.70%,58%,<2%,17%,0.97,1.55,0.43,AA,4.10%,35
42,赣锋转债,128028,2018-01-19,赣锋锂业,2460,有色金属,105.45,0.43%,-0.33%,31.03,0.32%,60,6.10%,42.58,7.34,-27.10%,44.70%,4.77年,2.77年,2.30%,1.70%,9.3,0.86%,0.48%,0.79%,-0.95%,-1.12%,88.1,72.87,85.97,8.89,94.86,11.20%,71%,35%,17%,0.32,-1.98,2.81,AA,5.40%,16
43,太阳转债,128029,2018-01-16,太阳纸业,2078,造纸包装印刷,108.9,0.83%,-0.08%,7,2.34%,3.4,0.30%,8.75,1.53,-20.00%,36.10%,3.77年,1.77年,6.60%,5.30%,12,-0.15%,-0.56%,-0.23%,-3.60%,-3.74%,92.9,80,91.31,7.57,98.89,10.10%,37%,34%,16%,0.32,-1.62,2.37,AA+,4.70%,10
44,天康转债,128030,2018-01-29,天康生物,2100,农业,122.6,1.56%,-2.65%,8.42,-1.52%,19,1.50%,8.15,2.61,3.30%,18.70%,4.77年,2.77年,12.30%,12.70%,10,-1.76%,-2.23%,-1.86%,-5.71%,-5.91%,90.7,103.31,91.53,24.12,115.65,6.00%,31%,23%,16%,0.72,-0.79,2.28,AA,4.60%,10
45,双环转债,128032,2018-01-25,双环传动,2472,机械装备制造,104.91,0.88%,-0.47%,7.34,1.24%,7.4,0.70%,9.99,1.53,-26.50%,42.80%,4.78年,2.78年,19.80%,14.60%,10,1.17%,0.75%,1.09%,-0.53%,-0.74%,88.71,73.47,86.79,8.68,95.47,9.90%,54%,32%,16%,0.32,-1.77,2.55,AA,5.40%,14
46,蒙电转债,110041,2018-01-09,内蒙华电,600863,能源电力,112.11,0.69%,-0.69%,2.82,0.00%,13,0.60%,2.92,1.55,-3.40%,16.10%,4.77年,2.77年,11.40%,11.00%,18.7,-0.23%,-0.65%,-0.32%,-2.74%,-2.95%,92.25,96.58,92.32,18.8,111.13,0.90%,23%,17%,16%,0.57,0.44,0.7,AAA,4.00%,18
47,航电转债,110042,2018-01-15,中航电子,600372,航空航天,122.25,0.59%,-2.09%,16.85,-1.92%,43,1.50%,14.23,4.3,18.40%,3.20%,4.78年,2.78年,8.10%,9.60%,24,-2.26%,-2.63%,-2.34%,-5.60%,-5.80%,92.12,118.41,91.37,36.42,127.78,-4.30%,35%,<2%,16%,0.78,1.75,-0.09,AAA,4.00%,24
48,吉视转债,113017,2018-01-15,吉视传媒,601929,传媒娱乐,108.1,-0.52%,0.95%,2.82,0.71%,29,1.70%,2.96,1.32,-4.70%,13.50%,4.78年,2.78年,17.80%,16.90%,15.6,0.43%,0.03%,0.35%,-1.62%,-1.82%,90.86,95.27,90.12,18.75,108.87,-0.70%,27%,18%,16%,0.6,0.6,0.62,AA+,4.40%,39
49,迪龙转债,128033,2018-01-29,雪迪龙,2658,城市公用设施,105.129,1.22%,-0.12%,8.38,1.82%,8.8,1.60%,9.03,2.55,-7.20%,13.30%,4.78年,2.78年,10.30%,9.50%,5.2,1.03%,0.62%,0.95%,-0.68%,-0.88%,89.86,92.8,88.54,18.76,107.3,-2.00%,38%,15%,17%,0.6,0.67,0.56,AA,4.80%,47
50,道氏转债,123007,2018-01-26,道氏技术,300409,建筑,139.72,7.39%,-1.66%,21.56,6.21%,150,28.60%,15.2,5.52,41.80%,-1.50%,4.78年,2.78年,4.00%,5.70%,3.9,-4.60%,-5.02%,-4.68%,-9.74%,-9.93%,91.78,141.84,92.38,56.64,149.03,-6.20%,77%,<2%,16%,0.92,2.16,-0.19,AA-,4.20%,29
51,常熟转债,113018,2018-02-06,常熟银行,601128,金融,135.81,1.12%,-0.33%,7.77,0.91%,96,3.90%,5.76,1.5,34.90%,0.70%,4.84年,无权,10.40%,14.00%,18.2,-4.39%,-4.73%,-4.45%,无权,无权,无权,134.9,90.35,51.82,142.17,-4.50%,42%,<2%,18%,0.87,1.76,0.06,AA+,4.10%,45
52,江银转债,128034,2018-02-14,江阴银行,2807,金融,115.5,0.95%,-0.12%,6.38,1.11%,24,1.20%,5.67,1.12,12.50%,2.60%,4.86年,无权,15.30%,17.20%,17.6,-1.09%,-1.45%,-1.16%,无权,无权,无权,112.52,89.8,33.07,122.87,-6.00%,49%,<2%,18%,0.75,1.91,-0.28,AA+,4.20%,63
53,无锡转债,110043,2018-03-14,无锡银行,600908,金融,109.51,0.25%,0.27%,6.67,0.76%,64,1.90%,6.7,1.24,-0.40%,10.00%,4.87年,无权,24.30%,24.20%,30,-0.79%,-1.00%,-0.83%,无权,无权,无权,99.55,86.04,25.37,111.41,-1.70%,47%,17%,18%,0.68,0.87,0.51,AA+,4.30%,57
54,大族转债,128035,2018-03-05,大族激光,2008,电子,111.512,-0.19%,0.48%,42.16,0.79%,11,0.40%,52.5,5.49,-19.70%,38.90%,4.89年,2.89年,5.10%,4.10%,23,-0.58%,-0.90%,-0.65%,-2.02%,-2.31%,91.32,80.3,87.14,12.22,99.36,12.20%,39%,35%,16%,0.38,-1.98,2.93,AA+,4.60%,18
55,玲珑转债,113019,2018-03-22,玲珑轮胎,601966,汽车,108.09,0.55%,0.94%,16.99,3.22%,19,0.90%,18.84,2.16,-9.80%,19.90%,3.96年,1.96年,9.80%,8.80%,20,1.14%,0.54%,1.02%,-2.81%,-2.97%,92.62,90.18,94.99,11.87,106.86,1.20%,34%,21%,16%,0.46,0.09,0.84,AA+,4.50%,14
56,康泰转债,123008,2018-03-19,康泰生物,300601,医药,140.02,2.41%,-0.04%,43.27,2.58%,24,8.40%,31.23,17.56,38.60%,1.10%,4.88年,2.88年,0.70%,1.00%,2.1,-4.76%,-5.14%,-4.84%,-9.57%,-9.74%,91.21,138.55,90.98,54.89,145.86,-4.00%,69%,<2%,16%,0.92,1.62,0.27,AA-,4.20%,12
57,艾华转债,113504,2018-03-23,艾华集团,603989,电子,112.51,0.83%,2.34%,21.79,4.51%,2,0.30%,21.73,4.67,0.30%,12.20%,4.96年,2.96年,8.10%,8.20%,6.9,-0.31%,-0.71%,-0.39%,-2.71%,-2.91%,89.86,100.28,89.04,23.64,112.68,-0.20%,40%,20%,16%,0.7,0.38,1.03,AA,4.60%,8
58,杭电转债,113505,2018-03-27,杭电股份,603618,能源电力,105.7,0.57%,0.24%,6.68,1.37%,11,1.30%,7.29,2.12,-8.40%,15.40%,4.97年,2.97年,17.00%,15.60%,7.8,1.34%,0.86%,1.24%,-0.73%,-0.94%,89.24,91.63,89.68,17.21,106.9,-1.10%,72%,16%,16%,0.6,0.42,0.78,AA,4.80%,37
59,星源转债,123009,2018-04-10,星源材质,300568,汽车,113.507,-1.01%,-2.86%,28.77,-5.33%,6.5,1.20%,27.69,3.86,3.90%,9.20%,4.98年,2.98年,8.70%,9.00%,4.8,-0.58%,-0.96%,-0.66%,-3.05%,-3.23%,89.7,103.9,88.73,26.82,115.55,-1.80%,64%,<2%,17%,0.73,0.77,0.69,AA,4.50%,16
60,长证转债,127005,2018-04-11,长江证券,783,金融,114.85,-0.44%,1.44%,7.37,1.66%,223,3.90%,7.45,1.56,-1.10%,16.10%,4.99年,无权,12.30%,12.10%,50,-0.93%,-1.29%,-1.00%,无权,无权,无权,98.93,90.51,23.41,113.92,0.80%,31%,22%,18%,0.6,0.45,0.76,AAA,4.00%,39
61,敖东转债,127006,2018-05-11,吉林敖东,623,医药,107.5,0.44%,0.07%,18,1.01%,14,0.50%,20.82,1.01,-13.50%,24.30%,4.99年,2.99年,11.50%,10.00%,24.1,0.17%,-0.15%,0.11%,-1.64%,-1.76%,88.9,86.46,87.27,14.78,102.05,5.30%,31%,25%,16%,0.51,-0.68,1.72,AA+,4.50%,35
62,岩土转债,128037,2018-04-25,中化岩土,2542,建筑,100.09,0.59%,-0.26%,5.46,1.30%,23,3.80%,8.03,2.74,-32.00%,47.20%,4.998年,2.998年,6.10%,4.10%,6,2.53%,2.03%,2.43%,1.11%,0.88%,87.36,68,87.11,6.42,93.52,7.00%,55%,29%,16%,0.26,-1.33,1.91,AA,5.50%,67
63,利欧转债,128038,2018-04-19,利欧股份,2131,传媒娱乐,127.31,-1.39%,-1.65%,2.2,-3.51%,307,72.30%,1.72,1.47,27.90%,-0.50%,5年5.3天,3年5.3天,2.40%,3.10%,3.3,-2.20%,-2.69%,-2.30%,-6.33%,-6.52%,90.83,127.91,92.92,44.07,136.99,-7.10%,80%,<2%,16%,0.87,2.22,-0.34,AA,4.30%,100
64,金农转债,128036,2018-04-02,金新农,2548,农业,111,2.59%,0.67%,10.47,4.18%,89,14.60%,9.62,2.75,8.80%,2.00%,4.98年,2.98年,13.90%,15.10%,5.5,-0.02%,-0.42%,-0.10%,-2.25%,-2.45%,90,108.84,89.24,30.79,120.03,-7.50%,39%,<2%,17%,0.78,2.07,-0.36,AA-,4.50%,59
65,鼎信转债,113506,2018-05-14,鼎信通讯,603421,能源电力,127.41,1.81%,0.14%,27.59,2.22%,19,7.00%,21.65,5.34,27.40%,0.00%,5年26天,3年26天,1.70%,2.20%,2.2,-2.80%,-3.16%,-2.87%,-6.31%,-6.49%,90.46,127.44,89.94,45.72,135.66,-6.10%,52%,<2%,16%,0.88,2.04,-0.16,AA,4.20%,35
66,天马转债,113507,2018-05-07,天马科技,603668,农业,116.21,1.05%,0.30%,8.64,1.65%,9.9,3.70%,7.37,2.89,17.20%,-0.90%,5年29天,3年29天,9.00%,10.60%,2.3,-0.51%,-0.98%,-0.60%,-3.45%,-3.67%,90.27,117.23,91.26,36.81,128.06,-9.30%,54%,<2%,17%,0.82,2.57,-0.71,AA-,4.40%,39
67,新凤转债,113508,2018-05-16,新凤鸣,603225,服装纺织,106.99,0.45%,0.20%,20.3,1.25%,29,1.30%,23.74,2.21,-14.50%,25.10%,5年40天,3年40天,12.40%,10.60%,21.5,1.11%,0.64%,1.02%,-0.99%,-1.20%,88.55,85.51,88.77,14.31,103.07,3.80%,49%,23%,16%,0.52,-0.63,1.7,AA,5.00%,24
68,新泉转债,113509,2018-06-22,新泉股份,603179,汽车,106,-0.39%,0.63%,17.52,0.40%,5.5,1.10%,19.38,2.61,-9.60%,17.30%,5.22年,3.22年,11.30%,10.20%,4.5,0.92%,0.52%,0.84%,-0.68%,-0.89%,88.46,90.4,87.3,19.11,106.42,-0.40%,55%,18%,17%,0.59,0.27,0.91,AA,4.80%,22
69,三力转债,128039,2018-06-29,三 力 士,2224,机械装备制造,117.801,1.12%,-0.99%,6.84,0.15%,11,1.90%,5.84,2.57,17.10%,0.60%,5.23年,3.23年,10.40%,12.20%,4.7,-1.22%,-1.59%,-1.29%,-3.81%,-3.99%,89.37,117.12,88.6,38.38,126.98,-7.20%,38%,<2%,17%,0.83,2.12,-0.31,AA-,4.40%,33
70,华通转债,128040,2018-07-13,华通医药,2758,医药,105.4,2.04%,2.18%,10.88,6.56%,14,5.80%,11.45,3.56,-5.00%,10.90%,5.24年,3.24年,9.80%,9.30%,2.2,1.42%,0.94%,1.32%,-0.45%,-0.67%,88.36,95.02,88.67,22.12,110.79,-4.90%,76%,15%,18%,0.64,1.18,0.16,AA-,4.90%,51
