,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
19,长城转债,113528,2019-03-20,长城科技,603897,机械装备制造,109.5,-0.16%,1.11%,25.54,1.27%,11,1.60%,24.18,2.63,5.60%,105.62,3.70%,5.87年,3.87年,13.90%,14.70%,6.3,1.32%,0.77%,1.21%,-1.18%,-1.39%,87.24,91.15,27.42,118.57,-7.60%,56%,7%,17%,0.75,1.87,-0.25,AA-,4.60%,33
20,今飞转债,128056,2019-03-22,今飞凯达,2863,汽车,110.02,1.68%,0.47%,7.4,2.78%,17,4.20%,6.8,2.71,8.80%,108.82,1.10%,5.87年,3.87年,13.20%,14.40%,3.7,1.76%,1.11%,1.63%,-1.22%,-1.44%,87.32,93.54,28.63,122.17,-9.90%,71%,<2%,17%,0.77,2.35,-0.61,A+,4.70%,42
21,中天转债,110051,2019-03-22,中天科技,600522,通信互联网,111.27,-0.02%,-0.76%,10.31,-1.15%,45,1.00%,10.29,1.68,0.20%,100.19,11.10%,5.87年,3.87年,12.50%,12.60%,39.7,0.47%,0.03%,0.38%,-1.72%,-1.90%,87.65,89.58,23.07,112.65,-1.20%,64%,15%,16%,0.68,0.72,0.65,AA+,4.30%,26
22,长青转2,128055,2019-04-03,长青股份,2391,石油天然气化工,127,0.95%,-0.54%,14.94,0.47%,45,3.90%,11.41,1.26,30.90%,130.94,-3.00%,5.86年,3.86年,17.00%,22.30%,9.1,-1.63%,-2.09%,-1.73%,-4.88%,-5.06%,88.18,91.05,47.63,138.68,-8.40%,31%,<2%,16%,0.89,2.56,-0.58,AA,4.20%,45
23,中来转债,123019,2019-03-22,中来股份,300393,能源电力,109.571,0.62%,1.50%,21.87,2.97%,17,1.60%,20.41,1.96,7.20%,107.15,2.30%,5.86年,3.86年,19.00%,20.30%,10,2.31%,1.58%,2.16%,-1.11%,-1.33%,87.25,95.89,26.88,122.78,-10.80%,48%,<2%,18%,0.71,2.55,-0.89,AA-,4.70%,53
24,中宠转债,128054,2019-03-14,中宠股份,2891,农业,108.223,-0.17%,-1.51%,34.84,-2.46%,6,2.80%,37.97,5.18,-8.20%,91.76,17.90%,5.83年,3.83年,5.60%,5.10%,1.9,1.16%,0.67%,1.06%,-1.02%,-1.20%,85.81,87.65,18.26,105.91,2.20%,48%,18%,16%,0.68,-0.49,1.87,A+,5.00%,18
25,尚荣转债,128053,2019-03-07,尚荣医疗,2551,医药,120.725,1.45%,-0.20%,6.53,1.40%,82,9.10%,4.94,1.51,32.20%,132.19,-8.70%,5.83年,3.83年,16.30%,21.50%,7.5,-0.80%,-1.26%,-0.89%,-3.74%,-3.91%,88.15,91.04,48.57,139.62,-13.50%,42%,<2%,16%,0.89,3.91,-1.61,AA,4.20%,61
26,维格转债,113527,2019-02-19,维格娜丝,603518,服装纺织,115.89,0.70%,-0.39%,17.76,0.40%,12,1.40%,14.96,1.12,18.70%,118.72,-2.40%,5.77年,3.77年,23.30%,27.70%,7.5,0.72%,0.10%,0.60%,-2.73%,-2.92%,87.9,94.49,36,130.49,-11.20%,39%,<2%,18%,0.79,2.99,-1.1,AA,4.40%,42
27,联泰转债,113526,2019-02-18,联泰环保,603797,城市公用设施,114.49,-0.81%,0.98%,14.27,0.21%,3,0.70%,12.31,2.49,15.90%,115.92,-1.20%,5.77年,3.77年,12.80%,14.90%,3.9,-0.53%,-0.88%,-0.60%,-2.53%,-2.70%,87.66,87.17,38.42,125.58,-8.80%,50%,<2%,18%,0.81,2.49,-0.66,AA,4.40%,23
28,平银转债,127010,2019-02-18,平安银行,1,金融,124.7,0.04%,-1.25%,14.35,-1.58%,277,0.90%,11.77,0.92,21.90%,121.92,2.30%,5.76年,无权,10.60%,12.90%,260,-0.98%,-1.51%,-1.08%,无权,无权,无权,94.65,38.44,133.09,-6.30%,29%,<2%,16%,0.77,2.21,-0.5,AAA,4.00%,45
29,冰轮转债,127009,2019-02-21,冰轮环境,811,机械装备制造,155.901,4.73%,0.41%,10.27,5.33%,196,25.30%,5.52,1.28,86.10%,186.05,-16.20%,5.74年,3.74年,7.60%,14.10%,5.1,-5.20%,-5.63%,-5.29%,-9.96%,-10.10%,88.93,92.07,99.27,191.34,-18.50%,44%,<2%,17%,0.96,5.65,-2.68,AA,4.10%,27
30,凯龙转债,128052,2019-01-21,凯龙股份,2783,石油天然气化工,245,15.00%,-5.15%,19.03,10.00%,"1,200",157%,6.97,1.6,173%,273.03,-10.30%,5.68年,3.68年,5.20%,14.20%,3.3,-11.00%,-11.30%,-11.10%,-10.20%,-10.30%,89.48,92.68,185.23,277.91,-11.80%,78%,<2%,17%,0.98,3.78,-1.37,AA,4.00%,33
31,溢利转债,123018,2019-01-23,溢多利,300381,医药,116.02,0.54%,0.56%,10.26,1.28%,3.5,0.50%,8.41,1.71,22.00%,122,-4.90%,5.67年,3.67年,15.90%,19.40%,6.7,-0.11%,-0.59%,-0.21%,-2.88%,-3.06%,88.22,90.88,40.17,131.05,-11.50%,77%,<2%,17%,0.85,3.17,-1.12,AA-,4.40%,33
32,佳都转债,110050,2019-01-21,佳都科技,600728,计算机及应用,133.35,-0.55%,-0.72%,11.53,-1.37%,54,4.70%,7.95,3.72,45.00%,145.03,-8.10%,5.67年,3.67年,4.70%,6.80%,8.8,-2.73%,-3.16%,-2.81%,-6.37%,-6.54%,88.94,91.17,60.23,151.4,-11.90%,70%,<2%,16%,0.93,3.6,-1.32,AA,4.10%,24
33,海尔转债,110049,2019-01-18,青岛海尔,600690,家电,125.97,0.06%,0.63%,17.78,0.85%,68,1.80%,14.55,2.52,22.20%,122.2,3.10%,5.67年,3.67年,2.70%,3.20%,30.1,-2.40%,-2.71%,-2.46%,-5.03%,-5.19%,89.14,88.41,41.5,129.91,-3.00%,32%,12%,16%,0.82,1.48,0.22,AAA,4.00%,24
34,台华转债,113525,2019-01-11,台华新材,603055,服装纺织,114.45,1.46%,-1.28%,12.35,0.24%,7.8,1.30%,11.56,2.53,6.80%,106.83,7.10%,5.67年,3.67年,7.80%,8.40%,5.3,0.13%,-0.35%,0.04%,-2.54%,-2.72%,87.82,90.27,28.23,118.49,-3.40%,47%,11%,17%,0.75,1.07,0.46,AA,4.50%,11
35,奇精转债,113524,2019-01-07,奇精机械,603677,家电,107.97,-0.29%,0.20%,15.09,-0.13%,3.7,1.00%,14.76,3,2.20%,102.24,5.60%,5.66年,3.66年,11.10%,11.40%,3.3,1.66%,1.08%,1.54%,-1.03%,-1.22%,87.45,92.02,24.5,116.51,-7.30%,60%,8%,18%,0.69,1.84,-0.34,AA,4.60%,52
36,光华转债,128051,2019-01-09,光华科技,2741,汽车,106.267,-0.03%,2.87%,16.38,4.20%,12,4.50%,17.03,5.3,-3.80%,96.18,10.50%,5.66年,3.66年,4.10%,3.90%,2.5,1.59%,1.08%,1.49%,-0.48%,-0.70%,87.36,89.45,21.13,110.58,-3.90%,37%,16%,17%,0.68,0.93,0.45,AA-,4.80%,24
37,钧达转债,128050,2018-12-27,钧达股份,2865,汽车,108.4,0.01%,-0.16%,21.97,-0.23%,4.4,1.30%,21.74,3.06,1.10%,101.06,7.30%,5.65年,3.65年,12.00%,12.10%,3.2,2.48%,1.74%,2.33%,-0.98%,-1.21%,87.31,95.42,22.22,117.63,-7.80%,66%,8%,18%,0.65,1.75,-0.34,AA-,4.90%,71
38,伟明转债,113523,2018-12-26,伟明环保,603568,城市公用设施,116.4,-1.36%,0.56%,27.04,-0.99%,7.2,0.90%,23.92,5.65,13.00%,113.04,3.00%,5.65年,3.65年,3.60%,4.10%,6.7,-0.17%,-0.65%,-0.27%,-2.99%,-3.17%,88.27,90.9,31.98,122.88,-5.30%,43%,<2%,16%,0.81,1.61,0.08,AA,4.40%,27
39,福能转债,110048,2018-12-28,福能股份,600483,能源电力,120.53,0.32%,-0.94%,10.18,-0.78%,102,3.00%,8.69,1.23,17.10%,117.15,2.90%,5.64年,3.64年,17.90%,21.00%,28.3,-0.95%,-1.40%,-1.04%,-3.88%,-4.06%,88.89,91.03,35.32,126.35,-4.60%,29%,<2%,16%,0.8,1.64,0.04,AA+,4.20%,11
40,华源转债,128049,2018-12-20,华源控股,2787,造纸包装印刷,115.127,0.45%,-0.17%,8.87,0.34%,7.5,1.60%,7.57,1.74,17.20%,117.17,-1.70%,5.61年,3.61年,14.50%,17.00%,4,0.09%,-0.41%,-0.01%,-2.67%,-2.87%,88.4,91.05,36.94,127.99,-10.10%,75%,<2%,18%,0.82,2.67,-0.8,AA-,4.50%,59
41,旭升转债,113522,2018-12-11,旭升股份,603305,汽车,113.87,1.26%,1.55%,31.4,3.94%,43,9.00%,29.86,8.5,5.20%,105.16,8.30%,5.60年,3.60年,3.30%,3.50%,4.2,1.00%,0.37%,0.88%,-2.45%,-2.64%,87.86,94.09,23.7,117.79,-3.30%,63%,14%,16%,0.71,0.98,0.47,AA,4.60%,18
42,山鹰转债,110047,2018-12-10,山鹰纸业,600567,造纸包装印刷,116.93,0.06%,0.14%,4,0.25%,91,3.40%,3.34,1.15,19.80%,119.76,-2.40%,5.60年,3.60年,12.50%,15.00%,23,0.24%,-0.33%,0.13%,-3.14%,-3.32%,89.04,94.49,35.09,129.57,-9.80%,29%,<2%,16%,0.79,2.85,-0.99,AA+,4.20%,67
43,寒锐转债,123017,2018-12-24,寒锐钴业,300618,有色金属,118,1.05%,-0.26%,92.65,0.94%,13,2.50%,81.49,8.75,13.70%,113.69,3.80%,5.59年,3.59年,2.50%,2.80%,4.4,-1.09%,-1.45%,-1.16%,-3.43%,-3.60%,88.27,87.76,34.62,122.38,-3.60%,77%,<2%,16%,0.84,1.24,0.48,AA-,4.40%,42
44,圆通转债,110046,2018-12-18,圆通速递,600233,交通运输,124.01,-0.63%,0.57%,13.77,-0.07%,45,1.00%,10.89,2.99,26.40%,126.45,-1.90%,5.59年,3.59年,9.40%,11.80%,36.5,-1.27%,-1.76%,-1.37%,-4.60%,-4.79%,89.48,92.49,42.37,134.86,-8.00%,61%,<2%,16%,0.84,2.53,-0.64,AA+,4.20%,38
45,桐昆转债,113020,2018-12-12,桐昆股份,601233,服装纺织,128.48,1.38%,-1.28%,16.85,0.12%,179,3.70%,12.63,1.5,33.40%,133.41,-3.70%,5.59年,3.59年,12.40%,16.50%,38,-2.29%,-2.70%,-2.37%,-5.61%,-5.78%,89.14,90.62,49.67,140.29,-8.40%,48%,<2%,16%,0.88,2.71,-0.71,AA+,4.10%,30
46,特发转债,127008,2018-12-25,特发信息,70,通信互联网,195.53,-4.94%,6.25%,16.05,1.33%,"1,211",143%,6.78,1.9,137%,236.73,-17.40%,4.58年,2.58年,4.20%,9.90%,4.2,-10.90%,-11.20%,-11.00%,-13.90%,-14.00%,91.78,93.27,146.68,239.95,-18.50%,60%,<2%,17%,0.99,5.73,-2.7,AA,4.00%,44
47,科森转债,113521,2018-12-07,科森科技,603626,通信互联网,114.39,1.14%,0.84%,10.31,2.49%,30,4.30%,8.95,2.12,15.20%,115.2,-0.70%,5.58年,3.58年,14.20%,16.40%,6.1,0.21%,-0.29%,0.11%,-2.53%,-2.72%,88.66,91.4,35.05,126.44,-9.50%,63%,<2%,18%,0.8,2.59,-0.77,AA,4.40%,62
48,张行转债,128048,2018-11-29,张家港行,2839,金融,118,-0.59%,0.05%,7.08,-0.70%,64,2.20%,6.06,1.22,16.80%,116.83,1.00%,5.57年,无权,19.50%,22.80%,25,-0.58%,-1.04%,-0.67%,无权,无权,无权,91.14,36.33,127.47,-7.40%,56%,<2%,18%,0.77,2.25,-0.54,AA+,4.20%,27
49,百合转债,113520,2018-11-26,梦百合,603313,其他,138,0.59%,-0.36%,27.9,0.25%,7.8,1.10%,19.03,2.66,46.60%,146.61,-5.90%,5.56年,3.56年,7.60%,11.10%,5.1,-3.18%,-3.65%,-3.27%,-7.37%,-7.55%,89.49,92.62,60.68,153.31,-10.00%,41%,<2%,16%,0.93,3.07,-0.91,AA-,4.20%,18
50,洲明转债,123016,2018-12-03,洲明科技,300232,电子,136.98,-1.02%,-1.11%,13.64,-2.29%,9.3,1.20%,9.45,3.42,44.30%,144.34,-5.10%,5.56年,3.56年,5.30%,7.60%,5.5,-3.04%,-3.51%,-3.13%,-7.13%,-7.33%,89.71,92.69,58.6,151.29,-9.50%,69%,<2%,16%,0.93,2.91,-0.8,AA-,4.20%,14
51,长久转债,113519,2018-11-30,长久物流,603569,交通运输,117.71,1.12%,-0.67%,14.15,0.57%,7.5,0.90%,11.99,2.77,18.00%,118.02,-0.30%,5.56年,3.56年,8.80%,10.40%,7,0.45%,-0.19%,0.32%,-3.28%,-3.48%,88.79,95.32,33.81,129.13,-8.80%,53%,<2%,17%,0.79,2.43,-0.64,AA,4.40%,21
52,光电转债,128047,2018-12-07,中航光电,2179,机械装备制造,117,-0.09%,-0.68%,40.62,-1.10%,9.5,0.60%,40.26,5.51,0.90%,100.89,16.00%,5.55年,3.55年,4.00%,4.10%,13,-1.12%,-1.45%,-1.19%,-3.27%,-3.44%,88.6,87.42,24.55,111.97,4.50%,34%,23%,16%,0.7,-0.37,1.78,AA+,4.30%,9
53,利尔转债,128046,2018-11-09,利尔化学,2258,石油天然气化工,114.602,-0.42%,-0.03%,17.39,-0.69%,8,0.80%,18.62,3.3,-6.60%,93.39,22.70%,5.50年,3.50年,9.30%,8.70%,8.5,-0.21%,-0.65%,-0.30%,-2.69%,-2.88%,87.82,88.39,18.55,106.94,7.20%,61%,27%,16%,0.64,-1.15,2.52,AA,4.70%,12
54,顾家转债,113518,2018-10-09,顾家家居,603816,其他,116.68,0.00%,-0.38%,54.6,-0.51%,13,1.00%,52.2,5.27,4.60%,104.6,11.60%,5.40年,3.40年,4.70%,4.90%,11,-0.22%,-0.73%,-0.32%,-3.25%,-3.45%,88.79,91.23,24.9,116.13,0.50%,39%,18%,16%,0.74,0.24,1.24,AA,4.50%,8
55,机电转债,128045,2018-09-14,中航机电,2013,航空航天,117.15,0.12%,0.14%,8.14,0.37%,20,0.80%,7.66,3.12,6.30%,106.27,10.20%,5.36年,3.36年,7.10%,7.60%,21,-1.19%,-1.53%,-1.26%,-3.48%,-3.66%,90.23,89.49,27.11,116.59,0.50%,56%,18%,16%,0.7,0.64,0.76,AAA,4.00%,15
56,岭南转债,128044,2018-09-04,岭南股份,2717,城市公用设施,110.002,0.00%,-0.24%,9.52,-0.31%,11,1.60%,8.96,2.09,6.20%,106.25,3.50%,5.32年,3.32年,6.80%,7.20%,6.6,0.36%,-0.06%,0.28%,-1.72%,-1.91%,89.08,89.24,27.18,116.42,-5.50%,67%,<2%,16%,0.77,1.64,-0.02,AA,4.50%,30
57,蓝盾转债,123015,2018-09-13,蓝盾股份,300297,计算机及应用,132.12,-0.97%,-0.06%,7.73,-1.15%,9.6,5.90%,5.82,1.64,32.80%,132.82,-0.50%,5.32年,3.32年,1.30%,1.70%,1.2,-2.90%,-3.33%,-2.98%,-6.74%,-6.93%,90.05,91.41,48.48,139.88,-5.50%,37%,<2%,16%,0.9,1.95,-0.05,AA,4.20%,38
58,曙光转债,113517,2018-08-23,中科曙光,603019,计算机及应用,121.95,-0.07%,-0.98%,59.3,-1.28%,16,1.20%,51.28,9.02,15.60%,115.64,5.50%,5.30年,3.30年,2.90%,3.40%,11.2,-1.40%,-1.85%,-1.49%,-4.58%,-4.78%,89.68,90.82,33.92,124.73,-2.20%,60%,11%,16%,0.82,1,0.66,AA,4.40%,6
59,东音转债,128043,2018-08-27,东音股份,2793,机械装备制造,114.09,0.00%,0.00%,12.61,0.00%,0,0.00%,11.43,2.7,10.30%,110.32,3.40%,5.29年,3.29年,10.70%,11.80%,2.7,0.24%,-0.29%,0.13%,-2.71%,-2.92%,89.19,91.75,29.63,121.38,-6.00%,69%,<2%,17%,0.78,1.67,-0.02,AA-,4.50%,44
60,苏农转债,113516,2018-08-20,苏农银行,603323,金融,123.98,0.15%,-1.74%,7.49,-2.09%,12,0.80%,6.34,1.03,18.10%,118.14,4.90%,5.29年,无权,10.50%,12.40%,12.9,-1.34%,-1.85%,-1.44%,无权,无权,无权,93.27,35.84,129.11,-4.00%,49%,<2%,18%,0.76,1.45,0.14,AA+,4.20%,29
61,凯发转债,123014,2018-08-21,凯发电气,300407,能源电力,118.769,-1.19%,0.93%,9.71,-0.31%,6.1,1.60%,8.15,2.3,19.10%,119.14,-0.30%,4.27年,2.27年,11.60%,13.80%,3.2,-1.91%,-2.31%,-1.99%,-5.98%,-6.14%,91.97,91.11,35.61,126.72,-6.30%,64%,<2%,18%,0.85,1.91,-0.12,A+,4.50%,21
62,凯中转债,128042,2018-09-03,凯中精密,2823,能源电力,108.199,-0.09%,0.64%,12.99,0.85%,4.2,0.90%,13.25,2.95,-2.00%,98.04,10.40%,5.28年,3.28年,11.00%,10.80%,4.2,1.57%,0.98%,1.45%,-1.21%,-1.42%,88.72,92.44,20.07,112.5,-3.80%,67%,14%,17%,0.65,1.01,0.31,AA,4.70%,52
63,横河转债,123013,2018-08-20,横河模具,300539,机械装备制造,124.099,0.47%,-0.39%,11.51,0.09%,6.2,12.10%,9.26,5.08,24.30%,124.3,-0.20%,5.27年,3.27年,1.60%,2.00%,0.4,-1.22%,-1.76%,-1.33%,-4.89%,-5.13%,90.42,93.33,40.75,134.08,-7.40%,77%,<2%,17%,0.86,2.15,-0.29,A+,4.40%,27
64,高能转债,113515,2018-08-27,高能环境,603588,城市公用设施,126.48,2.21%,-1.17%,11.88,1.19%,71,6.90%,9.38,2.42,26.70%,126.65,-0.10%,5.27年,3.27年,10.40%,13.20%,8.2,-2.10%,-2.54%,-2.19%,-5.64%,-5.83%,90.11,91.41,42.97,134.38,-5.90%,67%,<2%,16%,0.88,1.95,-0.09,AA,4.20%,36
65,万顺转债,123012,2018-08-29,万顺股份,300057,造纸包装印刷,129.01,-0.67%,-0.16%,8.37,-0.95%,5.6,2.10%,6.47,1.06,29.40%,129.37,-0.30%,5.26年,3.26年,4.60%,5.90%,2,-2.82%,-3.20%,-2.90%,-6.21%,-6.40%,89.99,89.59,47.93,137.53,-6.20%,43%,<2%,18%,0.88,1.98,-0.12,AA-,4.30%,26
66,威帝转债,113514,2018-08-13,威帝股份,603023,汽车,110.61,1.47%,0.87%,6.48,3.02%,4.1,1.90%,5.92,3.79,9.50%,109.46,1.10%,4.26年,2.26年,8.60%,9.40%,2,0.19%,-0.30%,0.09%,-3.21%,-3.38%,91.58,92.03,27.09,119.12,-7.10%,70%,<2%,18%,0.77,1.93,-0.27,A+,4.70%,45
67,德尔转债,123011,2018-08-14,德尔股份,300473,汽车,109.752,1.62%,1.23%,38.03,3.77%,18,3.00%,34.96,2.02,8.80%,108.78,0.90%,5.25年,2.75年,13.90%,15.10%,5.6,1.35%,0.75%,1.23%,-2.07%,-2.28%,90.69,93.32,27.54,120.85,-9.20%,44%,<2%,17%,0.76,2.35,-0.64,AA-,4.60%,42
68,盛路转债!,128041,2018-08-14,盛路通信,2446,通信互联网,163.5,-3.14%,0.39%,11.31,-2.75%,32,16.20%,6.88,1.86,64.40%,164.39,-0.50%,5.25年,3.25年,1.20%,1.90%,1.2,-6.53%,-6.99%,-6.62%,-12.20%,-12.40%,91.12,94.44,69.95,164.39,-0.50%,52%,<2%,16%,1,1.11,0.89,AA,4.00%,20
69,海澜转债,110045,2018-07-31,海澜之家,600398,服装纺织,104.73,0.04%,0.00%,9.6,0.10%,4.6,0.10%,12.4,4.49,-22.60%,77.42,35.30%,5.24年,3.24年,7.00%,5.40%,30,1.29%,0.87%,1.21%,-0.54%,-0.71%,88.27,88.63,8.32,96.95,8.00%,30%,28%,16%,0.37,-1.29,2.11,AA+,4.60%,41
70,安井转债,113513,2018-07-31,安井食品,603345,食品饮料,114.52,0.90%,1.22%,39.76,2.58%,27,4.70%,35.46,4.19,12.10%,112.13,2.10%,5.23年,3.23年,5.80%,6.50%,5,-0.24%,-0.69%,-0.33%,-2.93%,-3.12%,89.46,90.44,31.07,121.51,-5.80%,51%,<2%,16%,0.82,1.69,0.03,AA-,4.50%,21
